Citance Number: 1 | Reference Article:  J03-1005.txt | Citing Article:  W03-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a DP-based beam search procedure similar to the one presented in (Tillmann and Ney, 2003).</S> | Reference Offset:  ['28','470'] | Reference Text:  <S sid = 28 ssid = >A data-driven beam search approach is presented on the basis of this DP-based algorithm.</S><S sid = 470 ssid = >We have presented a DP-based beam search algorithm for the IBM-4 translation model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J03-1005.txt | Citing Article:  P06-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, their decoder is outperformed by phrase-based decoders such as (Koehn, 2004), (Och et al, 1999), and (Tillmann and Ney, 2003).</S> | Reference Offset:  ['50','350'] | Reference Text:  <S sid = 50 ssid = >The actual implementation used during the experiments is described in AlOnaizan et al. (1999) and in Och and Ney (2000).</S><S sid = 350 ssid = >Word joining: Target language words are joined using a method similar to the one described in Och, Tillmann, and Ney (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J03-1005.txt | Citing Article:  P06-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The phrase-based decoder we use is inspired by the decoder described in (Tillmann and Ney, 2003) and similar to that described in (Koehn, 2004).</S> | Reference Offset:  ['95','276'] | Reference Text:  <S sid = 95 ssid = >The first is a reimplementation of the stack-based decoder described in Berger et al. (1996).</S><S sid = 276 ssid = >It is based on the pruning thresholds described in Section 3.8.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J03-1005.txt | Citing Article:  P06-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The beam search algorithm attempts to find the translation (i.e., hypothesis that covers all source words) with the minimum cost as in (Tillmann and Ney, 2003) and (Koehn, 2004). The distortion cost is added to the log-linear mixture.</S> | Reference Offset:  ['136','470'] | Reference Text:  <S sid = 136 ssid = >Finally, the cost for the optimal tour is obtained in the second-to-last line of the algorithm.</S><S sid = 470 ssid = >We have presented a DP-based beam search algorithm for the IBM-4 translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J03-1005.txt | Citing Article:  P06-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The word reorderings that are explored by the search algorithm are controlled by two parameters s and w as described in (Tillmann and Ney, 2003).</S> | Reference Offset:  ['30','86'] | Reference Text:  <S sid = 30 ssid = >By imposing constraints on the possible word reorderings similar to that described in Berger et al. (1996), the DP-based approach becomes more effective: when the constraints are applied, the number of word reorderings is greatly reduced.</S><S sid = 86 ssid = >A restriction on the possible word reorderings, which is described in Section 3.6, is applied.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J03-1005.txt | Citing Article:  H05-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Machine Translation Performance using the NIST 2005 Bleu scorer scribed in (Tillmann and Ney, 2003).</S> | Reference Offset:  ['0','15'] | Reference Text:  <S sid = 0 ssid = >Word Reordering And A Dynamic Programming Beam Search Algorithm For Statistical Machine Translation</S><S sid = 15 ssid = >This article is about a search procedure for statistical machine translation (MT).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J03-1005.txt | Citing Article:  N07-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A beam search decoder similar to phrase-based systems (Tillmann and Ney, 2003) is used to translate the Arabic sentence into English.</S> | Reference Offset:  ['99','264'] | Reference Text:  <S sid = 99 ssid = >This article will present a DP-based beam search decoder for the IBM-4 translation model.</S><S sid = 264 ssid = >The implementation described here is similar to that used in beam search speech recognition systems, as presented in Ney et al. (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J03-1005.txt | Citing Article:  N04-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For details, see (Tillmann and Ney, 2003).</S> | Reference Offset:  ['288','290'] | Reference Text:  <S sid = 288 ssid = >3.9.2 Details for IBM-4 Model.</S><S sid = 290 ssid = >(More details can be found in Tillmann [2001] or in the cited papers.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J03-1005.txt | Citing Article:  W08-0318.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our implementation of a monotone-at-punctuation reordering constraint (Tillmann and Ney,2003) requires that all input words before clause separating punctuation have be translated, be forewords afterwards are covered.</S> | Reference Offset:  ['373','463'] | Reference Text:  <S sid = 373 ssid = >The average length of the sentence fragments that are separated by punctuation marks is rather small: 4.5 words per fragment.</S><S sid = 463 ssid = >As for the Germanto-English translation experiments, word reordering is restricted so that it may not cross punctuation boundaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J03-1005.txt | Citing Article:  D11-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Tillmann and Ney, 2003), a beam-search algorithm used for TSP is adapted to work with an IBM-4 word-based model and phrase-based model respectively.</S> | Reference Offset:  ['48','470'] | Reference Text:  <S sid = 48 ssid = >Here, the model used for the translation experiments is the IBM-4 model.</S><S sid = 470 ssid = >We have presented a DP-based beam search algorithm for the IBM-4 translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J03-1005.txt | Citing Article:  D11-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dynamic-programming based beam search algorithms are discussed for both word-based and phrase-based models by Tillmann and Ney (2003) and Tillmann (2006).</S> | Reference Offset:  ['1','480'] | Reference Text:  <S sid = 1 ssid = >In this article, we describe an efficient beam search algorithm for statistical machine translation based on dynamic programming (DP).</S><S sid = 480 ssid = >Since the efficiency of the beam search approach is based on restrictions on the allowed coverage vectors C alone, the approach may be used for different types of translation models as well (e.g., for the multiword-based translation model proposed in Och, Tillmann, and Ney [1999]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J03-1005.txt | Citing Article:  P09-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Tillmann and Ney, 2003) and (Tillmann, 2006), the authors modify a certain Dynamic Programming technique used for TSP for use with an IBM4 word-based model and a phrase-based model respectively.</S> | Reference Offset:  ['1','21'] | Reference Text:  <S sid = 1 ssid = >In this article, we describe an efficient beam search algorithm for statistical machine translation based on dynamic programming (DP).</S><S sid = 21 ssid = >Tillmann, Vogel, Ney, and Zubiaga (1997) proposes a dynamic programming (DP)–based search algorithm for statistical MT that monotonically translates the input sentence from left to right.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J03-1005.txt | Citing Article:  C04-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For further details see e.g. (Tillmann and Ney, 2003).</S> | Reference Offset:  ['288','290'] | Reference Text:  <S sid = 288 ssid = >3.9.2 Details for IBM-4 Model.</S><S sid = 290 ssid = >(More details can be found in Tillmann [2001] or in the cited papers.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J03-1005.txt | Citing Article:  C04-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Investigations on the IBM constraints (Berger et al, 1996) for single-word based statistical machine translation can be found e.g. in (Tillmann and Ney, 2003).</S> | Reference Offset:  ['30','95'] | Reference Text:  <S sid = 30 ssid = >By imposing constraints on the possible word reorderings similar to that described in Berger et al. (1996), the DP-based approach becomes more effective: when the constraints are applied, the number of word reorderings is greatly reduced.</S><S sid = 95 ssid = >The first is a reimplementation of the stack-based decoder described in Berger et al. (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J03-1005.txt | Citing Article:  W06-3602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The paper contains the following original contributions: 1) the DP-based decoding algorithm in (Tillmann and Ney, 2003) is extended in a formal way to handle phrases and a novel pruning strategy with increased translation speed is presented 2) a novel alignment algorithm is presented that computes a phrase alignment efficiently in the case that it is consistent with an underlying word alignment.</S> | Reference Offset:  ['240','470'] | Reference Text:  <S sid = 240 ssid = >To speed up the search, a beam search strategy is used.</S><S sid = 470 ssid = >We have presented a DP-based beam search algorithm for the IBM-4 translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J03-1005.txt | Citing Article:  W06-3602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In these algorithms, a shortest-path search is carried out in one pass over some input along a specific 'direction': in speech recognition the search is time synchronous, the single-word based search algorithm in (Tillmann et al., 1997) is (source) position-synchronous or left-to-right, the search algorithm in (Niessen et al., 1998) is (target) position-synchronous or bottom-to-top, and the search algorithm in (Tillmann and Ney, 2003) is so-called cardinality-synchronous.</S> | Reference Offset:  ['19','106'] | Reference Text:  <S sid = 19 ssid = >For this purpose, we present a data-driven beam search algorithm similar to the one used in speech recognition search algorithms (Ney et al. 1992).</S><S sid = 106 ssid = >For search purposes, we use the inverted alignment concept as introduced in Niessen et al. (1998) and Ney et al.</S> | Discourse Facet:  NA | Annotator: Automatic


