Citance Number: 1 | Reference Article:  P98-1013.txt | Citing Article:  P00-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our statistical algorithms are trained on a hand-labeled dataset: the FrameNet database (Baker et al, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For practical lexicography, the contribution of the FrameNet database will be its presentation of the full range of use possibilities for individual words, documented with corpus data, the model examples for each use, and the statistical information on relative frequency.</S><S sid = NA ssid = NA>The database will also contain estimates of the relative frequency of senses and complementation patterns calculated by matching the senses and patterns in the hand-tagged examples against the entire BNC corpus.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P98-1013.txt | Citing Article:  W10-3204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Therefore, many large human-annotated corpora have been constructed to support related research, such as FrameNet (Baker et al, 1998), PropBank (Kings bury and Palmer, 2002), NomBank (Meyers et al,2004), and so on.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These descriptions are based on hand-tagged semantic annotations of example sentences extracted from large text corpora and systematic analysis of the semantic patterns they exemplify by lexicographers and linguists.</S><S sid = NA ssid = NA>The computational side of the FrameNet project is directed at efficiently capturing human insights into semantic structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P98-1013.txt | Citing Article:  E12-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>UBY currently contains nine resources in two languages: English WordNet (WN, Fellbaum (1998), Wiktionary2 (WKT-en), Wikipedia3 (WP en), FrameNet (FN, Baker et al (1998)), and VerbNet (VN, Kipper et al (2008)); German Wiktionary (WKT-de), Wikipedia (WP-de), and Ger ma Net (GN, Kunze and Lemnitzer (2002)), and the English and German entries of OmegaWiki4 (OW), referred to as OW-en and OW-de.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Berkeley FrameNet project' is producing frame-semantic descriptions of several thousand English lexical items and backing up these descriptions with semantically annotated attestations from contemporary English corpora2.</S><S sid = NA ssid = NA>Sentences containing the lemma are extracted from from a corpus and classified into subcorpora by syntactic pattern (2.2.1) using a CASCADE FILTER (2.2.2, 2.2.5, 2.2.6) representing a partial regular-expression grammar of English over part-of-speech tags (cf.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P98-1013.txt | Citing Article:  S12-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In formalisms such as Frame Semantics (Baker et al, 1998), semantic roles generalize across semantically similar predicates belonging to the same frame.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The project's key features are (a) a commitment to corpus evidence for semantic and syntactic generalizations, and (b) the representation of the valences of its target words (mostly nouns, adjectives, and verbs) in which the semantic portion makes use of frame semantics.</S><S sid = NA ssid = NA>Some combinations of frame elements, or Frame Element Groups (FEGs), for some real corpus sentences in the DRIVING frame are shown in Fig.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P98-1013.txt | Citing Article:  W04-0210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other groups however have shown that this can be done, e.g., in Framenet (Baker et al, 1998) and more recently in PropBank (Kingsbury and Palmer, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some combinations of frame elements, or Frame Element Groups (FEGs), for some real corpus sentences in the DRIVING frame are shown in Fig.</S><S sid = NA ssid = NA>These are discussed briefly below and shown in Fig.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P98-1013.txt | Citing Article:  W06-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This type of approach has led to two highly valued semantic resources: the Prince ton WordNet (Fellbaum, 1998) and the Berkeley Framenet (Baker et al, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Berkeley FrameNet Project</S><S sid = NA ssid = NA>The database has three major components (described in more detail below: PLE SENTENCES which illustrate each of the potential realization patterns identified in the formula;4 and (d) links to the FRAME DATABASE and to other machine-readable resources such as WordNet and COMLEX. marked up to exemplify the semantic and morphosyntactic properties of the lexical items.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P98-1013.txt | Citing Article:  W11-0905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>FrameNet (FN; Baker et al (1998), Ruppenhofer et al (2010)) is a lexical resource based on FS.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The results of the project are (a) a lexical resource, called the FrameNet database3, and (b) associated software tools.</S><S sid = NA ssid = NA>The FrameNet work is in some ways similar to efforts to describe the argument structures of lexical items in terms of case-roles or thetaroles,5 but in FrameNet, the role names (called frame elements or FEs) are local to particular conceptual structures (frames); some of these are quite general, while others are specific to a small family of lexical items.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P98-1013.txt | Citing Article:  W12-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(6) To deal with these errors, we may use rich knowledge about verbs such as VerbNet (Kipper et al, 2000) and FrameNet (Baker et al, 1998) in order to judge whether a verb is transitive or intransitive.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For practical lexicography, the contribution of the FrameNet database will be its presentation of the full range of use possibilities for individual words, documented with corpus data, the model examples for each use, and the statistical information on relative frequency.</S><S sid = NA ssid = NA>The primary emphasis of the project therefore is the encoding, by humans, of semantic knowledge in machine-readable form.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P98-1013.txt | Citing Article:  W11-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The current computational scene has witnessed an increased interest in the creation and use of semantically annotated computational lexica and their associated annotated corpora, like PropBank (Palmeretal., 2005), FrameNet (Baker et al, 1998) and NomBank (Meyers, 2007), where the proposed annotation scheme has been applied in real contexts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The computational side of the FrameNet project is directed at efficiently capturing human insights into semantic structure.</S><S sid = NA ssid = NA>The Berkeley FrameNet project' is producing frame-semantic descriptions of several thousand English lexical items and backing up these descriptions with semantically annotated attestations from contemporary English corpora2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P98-1013.txt | Citing Article:  W11-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Specifically, the task included first the identification of frames and frame elements in a text following the FrameNet paradigm (Baker et al, 1998), then the identification of locally uninstantiated roles (NIs).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In some but not all cases, the assignment of syntactic correlates to frame elements could be mediated by mapping them to the roles of one of the more abstract frames.</S><S sid = NA ssid = NA>These are purely functional designations: the same person may play different roles at different times.9 pares the initial descriptions of frames, including lists of frames and frame elements, and adds these to the Frame Database (5.1) using the Frame Description tool (1.2).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P98-1013.txt | Citing Article:  E12-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Rule 14, we use FrameNet (Baker et al 1998) to determine whether med/situation should be assigned to an NP, NPi.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For practical lexicography, the contribution of the FrameNet database will be its presentation of the full range of use possibilities for individual words, documented with corpus data, the model examples for each use, and the statistical information on relative frequency.</S><S sid = NA ssid = NA>For example, once a parser has found the verb drive and its direct object NP, the link to the DRIVING frame will suggest some semantics for that NP, e.g. that a person as direct object probably represents the RIDER, while a non-human proper noun is probably the VEHICLE.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P98-1013.txt | Citing Article:  N03-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The modeling of Process as a kind of event that is continuous and homogeneous in nature, follows the frame semantic analysis used for generating the FRAMENET data (Baker et al, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Four processing steps are required produce the FrameNet database of frame semantic representations: (a) generating initial descriptions of semantic and syntactic patterns for use in corpus queries and annotation (&quot;Preparation&quot;), (b) extracting good example sentences (&quot;Subcorpus Extraction&quot;), (c) marking (by hand) the constituents of interest (&quot;Annotation&quot;), and (d) building a database of lexical semantic representations based on the annotations and other data (&quot;Entry Writing&quot;).</S><S sid = NA ssid = NA>These descriptions are based on hand-tagged semantic annotations of example sentences extracted from large text corpora and systematic analysis of the semantic patterns they exemplify by lexicographers and linguists.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P98-1013.txt | Citing Article:  W09-0505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For predicate structure annotation, we followed the FrameNet model (Baker et al., 1998) (see Section 2.2).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The computational side of the FrameNet project is directed at efficiently capturing human insights into semantic structure.</S><S sid = NA ssid = NA>The majority of the work involved is marking text with semantic tags, specifying (again by hand) the structure of the frames to be treated, and writing dictionary-style entries based the results of annotation and a priori descriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P98-1013.txt | Citing Article:  W09-0505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We carried out predicate argument structure annotation applying the FrameNet paradigm as described in (Baker et al, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The data structures described above are implemented in SGML.11 Each is described by a DTD, and these DTDs are structured to provide the necessary links between the components.</S><S sid = NA ssid = NA>The computational side of the FrameNet project is directed at efficiently capturing human insights into semantic structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P98-1013.txt | Citing Article:  N09-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Driven by annotation resources such as FrameNet (Baker et al, 1998) and PropBank (Palmer et al, 2005), many systems developed in these studies have achieved argument F1 scores near 80% in large-scale evaluations such as the one reported by Carreras and Marquez (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also, the FrameNet software is being developed on Unix, but we plan to provide crossplatform capabilities by making our tool suite web-based and XML-compatible.</S><S sid = NA ssid = NA>This selection of examples is achieved through a hybrid process partially controlled by the preliminary lexical description of each lemma.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P98-1013.txt | Citing Article:  H05-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>FrameNet (Baker et al, 1998) and OpenCyc are other valuable resources for English, also hand-created, that contain a rich set of relations between words and concepts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Berkeley FrameNet project' is producing frame-semantic descriptions of several thousand English lexical items and backing up these descriptions with semantically annotated attestations from contemporary English corpora2.</S><S sid = NA ssid = NA>The database will also contain estimates of the relative frequency of senses and complementation patterns calculated by matching the senses and patterns in the hand-tagged examples against the entire BNC corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P98-1013.txt | Citing Article:  H05-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our experiments we used two datasets: FN extracted from FrameNet II 1.1 (Baker et al., 1998) TB2 extracted from Penn Treebank-II.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These descriptions are based on hand-tagged semantic annotations of example sentences extracted from large text corpora and systematic analysis of the semantic patterns they exemplify by lexicographers and linguists.</S><S sid = NA ssid = NA>Sentences containing the lemma are extracted from from a corpus and classified into subcorpora by syntactic pattern (2.2.1) using a CASCADE FILTER (2.2.2, 2.2.5, 2.2.6) representing a partial regular-expression grammar of English over part-of-speech tags (cf.</S> | Discourse Facet:  NA | Annotator: Automatic


