Citance Number: 1 | Reference Article:  P11-1098.txt | Citing Article:  W11-2202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work by Chambers and Jurafsky (2011) approaches a related problem, applying agglomerative clustering over sentences to detect events, and then clustering syntactic constituents to induce the relevant fields of each event entity.</S> | Reference Offset:  ['126','143'] | Reference Text:  <S sid = 126 ssid = >We use agglomerative clustering with the above pairwise similarity metric.</S><S sid = 143 ssid = >Finally, since agglomerative clustering makes hard decisions, related events to a template may have been excluded in the initial event clustering stage.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P11-1098.txt | Citing Article:  W12-2412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Patwardhan and Riloff (2007) and Chambers and Jurafsky (2011) consider an IE approach where the extraction targets are MUC-4 style document-level templates (Sundheim, 1991), the former a supervised system and the latter fully unsupervised.</S> | Reference Offset:  ['33','208'] | Reference Text:  <S sid = 33 ssid = >We are the Riloff, 2007).</S><S sid = 208 ssid = >Figure 5 thus shows our results with previous work that is comparable: the fully supervised and weakly supervised approaches of Patwardhan and Riloff (2009; 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P11-1098.txt | Citing Article:  N12-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Efficiently storing such structures is an important step in integrating document-level statistics into downstream tasks, such as characterizing complex scenarios (Chambers and Jurafsky, 2011), or story understanding (Gordon et al, 2011).</S> | Reference Offset:  ['103','238'] | Reference Text:  <S sid = 103 ssid = >Our previous work (Chambers and Jurafsky, 2009) learned situation-specific roles over narrative schemas, similar to frame roles in FrameNet (Baker et al., 1998).</S><S sid = 238 ssid = >Recent work in Open IE learns atomic relations (Banko et al., 2007b), but little work focuses on structured scenarios.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P11-1098.txt | Citing Article:  N12-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, unsupervised techniques (Chambers and Jurafsky, 2011) have combined clustering, semantic roles, and syntactic relations in order to both construct and fill event templates.</S> | Reference Offset:  ['106','131'] | Reference Text:  <S sid = 106 ssid = >We learn the roles of cluster C by clustering the syntactic relations RC of its words.</S><S sid = 131 ssid = >We also begin with two assumptions about syntactic functions and semantic roles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P11-1098.txt | Citing Article:  D12-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Chambers and Jurafsky, 2011) (Poon and Domingos, 2010) (Chen et al 2011) focus on extracting frame-like structures (Baker et al 1998) by defining two types of clusters, event clusters and role clusters.</S> | Reference Offset:  ['11','103'] | Reference Text:  <S sid = 11 ssid = >There are many ways to represent events, ranging from role-based representations such as frames (Baker et al., 1998) to sequential events in scripts (Schank and Abelson, 1977) and narrative schemas (Chambers and Jurafsky, 2009; Kasch and Oates, 2010).</S><S sid = 103 ssid = >Our previous work (Chambers and Jurafsky, 2009) learned situation-specific roles over narrative schemas, similar to frame roles in FrameNet (Baker et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P11-1098.txt | Citing Article:  D12-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Chambers and Jurafsky, 2011) is similar to our approach in that it learns a semantic model, called template, from unlabelled news articles and then uses the template to extract information.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Template-Based Information Extraction without the Templates</S><S sid = 1 ssid = >Standard algorithms for template-based information extraction (IE) require predefined template schemas, and often labeled data, to learn to extract their slot fillers (e.g., an the a template).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P11-1098.txt | Citing Article:  P12-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There has been work that attempts to fill predefined templates using Bayesian nonparametrics (Haghighi and Klein, 2010) and automatically learns template structures using agglomerative clustering (Chambers and Jurafsky, 2011).</S> | Reference Offset:  ['76','164'] | Reference Text:  <S sid = 76 ssid = >Using this definition of distance, pointwise mutual information measures our similarity of two events: We run agglomerative clustering with pmi over all event patterns.</S><S sid = 164 ssid = >This section will describe how to extract slot fillers using our templates, but without knowing which templates are correct.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P11-1098.txt | Citing Article:  P13-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our first baseline is PROFINDER, a state of-the-art template inducer which Cheung et al (2013) showed to outperform the previous heuristic clustering method of Chambers and Jurafsky (2011).</S> | Reference Offset:  ['25','103'] | Reference Text:  <S sid = 25 ssid = >We will extend Many template extraction algorithms require full their work by showing how to learn without these knowledge of the templates and labeled corpora, assumptions, obviating the need for redundant docsuch as in rule-based systems (Chinchor et al., 1993; uments, and learning templates with any type and Rau et al., 1992) and modern supervised classi- any number of slots. fiers (Freitag, 1998; Chieu et al., 2003; Bunescu Large-scale learning of scripts and narrative and Mooney, 2004; Patwardhan and Riloff, 2009). schemas also captures template-like knowledge Classifiers rely on the labeled examples’ surround- from unlabeled text (Chambers and Jurafsky, 2008; ing context for features such as nearby tokens, doc- Kasch and Oates, 2010).</S><S sid = 103 ssid = >Our previous work (Chambers and Jurafsky, 2009) learned situation-specific roles over narrative schemas, similar to frame roles in FrameNet (Baker et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


