Citance Number: 1 | Reference Article:  W97-0313.txt | Citing Article:  W98-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach builds upon earlier work on corpus-based methods for generating extraction patterns (Riloff, 1996b) and semantic lexicons (Riloff and Shepherd, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Corpus-Based Approach For Building Semantic Lexicons</S><S sid = NA ssid = NA>Our corpus-based approach is designed to support fast semantic lexicon construction.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W97-0313.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff and Shepherd (1997) used a semi automatic method for discovering similar words using a few seed examples by using pattern-based techniques and human supervision.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In general, we found that additional seed words tend to improve performance, but the results were not substantially different using five seed words or using ten.</S><S sid = NA ssid = NA>In this paper, we present a corpus-based method that can be used to build semantic lexicons for specific categories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W97-0313.txt | Citing Article:  W02-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Riloff and Shepherd (Riloff and Shepherd, 1997) developed a statistical co-occurrence model for semantic lexicon induction that was designed with these structures in mind.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our corpus-based approach is designed to support fast semantic lexicon construction.</S><S sid = NA ssid = NA>Most of the time semantic knowledge is defined manually for the target application, but several techniques have been developed for generating semantic knowledge automatically.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W97-0313.txt | Citing Article:  D10-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Many of the successful methods follow the unsupervised iterative bootstrapping framework (Riloff and Shepherd, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the first section, we describe the statistical bootstrapping algorithm for identifying candidate category words and ranking them.</S><S sid = NA ssid = NA>We ran the bootstrapping algorithm for eight iterations, adding five new words to the seed word list after each cycle.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W97-0313.txt | Citing Article:  P06-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>NLP researchers have developed many algorithms for mining knowledge from text and the Web, including facts (Etzioni et al 2005), semantic lexicons (Riloff and Shepherd 1997), concept lists (Lin and Pantel 2002), and word similarity lists (Hindle 1990).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To our knowledge, our system is the first one aimed at building semantic lexicons from raw text without using any additional semantic knowledge.</S><S sid = NA ssid = NA>As an example, the seed word lists used in our experiments are shown below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W97-0313.txt | Citing Article:  P99-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The idea here is that nouns in conjunctions or appositives tend to be semantically related, as discussed in Riloff and Shepherd (1997) and Roark and Charniak (1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>But it is worth noting that this category achieved good results, presumably because location names often cluster together in appositives, conjunctions, and nominal compounds.</S><S sid = NA ssid = NA>We presented the words in random order so that the user had no idea how our system had ranked the words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W97-0313.txt | Citing Article:  P99-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both Hearst (1992) and Riloff and Shepherd (1997) use unparsed text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We'll use the category ANIMAL as an example.</S><S sid = NA ssid = NA>The MUC-4 development corpus (1700 texts) was used as the text corpus (MUC-4 Proceedings, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W97-0313.txt | Citing Article:  P99-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff and Shepherd (1997) suggested using conjunction and appositive data to cluster nouns; however, they approximated this data by just looking at the nearest NP on each side of a particular NP.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The remaining nouns are sorted by category score and ranked so that the nouns most strongly associated with the category appear at the top.</S><S sid = NA ssid = NA>In general, we found that additional seed words tend to improve performance, but the results were not substantially different using five seed words or using ten.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W97-0313.txt | Citing Article:  C02-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The main results to date in the field of automatic lexical acquisition are concerned with extracting lists of words reckoned to belong together in a particular category, such as vehicles or weapons (Riloff and Shepherd, 1997) (Roark and Charniak, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We performed experiments with five categories to evaluate the effectiveness and generality of our approach: energy, financial, military, vehicles, and weapons.</S><S sid = NA ssid = NA>Our system uses a text corpus and a small set of seed words for a category to identify other words that also belong to the category.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W97-0313.txt | Citing Article:  C02-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Algorithms of this type were used by Riloff and Shepherd (1997) and Roark and Charniak (1998), reporting accuracies of 17% and 35% respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As an example, the seed word lists used in our experiments are shown below.</S><S sid = NA ssid = NA>It is also apparent that a few additional heuristics could be used to remove many of the extraneous words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W97-0313.txt | Citing Article:  C02-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since lists are usually comprised of objects which are similar in some way, these relationships have been used to extract lists of nouns with similar properties (Riloff and Shepherd, 1997) (Roarkand Charniak, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As an example, the seed word lists used in our experiments are shown below.</S><S sid = NA ssid = NA>For each category, we began with the seed word lists shown in Figure 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W97-0313.txt | Citing Article:  C02-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These conditions are at least as stringent as those of previous experiments, particularly those of Riloff and Shepherd (1997) who also give credit for words associated with but not belonging to a particular category.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The output is a ranked list of words that are associated with the category.</S><S sid = NA ssid = NA>If a word refers to something that can be associated with members of the category, but is also associated with many other types of things, then it deserves a 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W97-0313.txt | Citing Article:  C02-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our results are an order of magnitude better than those reported by Riloff and Shepherd (1997) and Roark and Charniak (1998), who report average accuracies of 17% and 35% respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We presented the words in random order so that the user had no idea how our system had ranked the words.</S><S sid = NA ssid = NA>For the five categories reported in this paper, we arbitrarily chose a few words that were central members of the category.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W97-0313.txt | Citing Article:  C02-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The experiments in (Riloff and Shepherd, 1997) were performed on the 500,000 word MUC-4 corpus, and those of (Roark and Charniak, 1998) were performed using MUC-4 and the Wall Street Journal corpus (some 30 million words).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The MUC-4 development corpus (1700 texts) was used as the text corpus (MUC-4 Proceedings, 1992).</S><S sid = NA ssid = NA>The Location category performed very well using seed words such as city, town, and province.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W97-0313.txt | Citing Article:  C10-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff and Shepherd (1997) presented a corpus based method that can be used to build semantic lexicons for specific categories.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we present a corpus-based method that can be used to build semantic lexicons for specific categories.</S><S sid = NA ssid = NA>A Corpus-Based Approach For Building Semantic Lexicons</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W97-0313.txt | Citing Article:  C10-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following the work of (Riloff and Shepherd, 1997), we adopted the following evaluation setting.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CRITERIA: On a scale of 0 to 5, rate each word's strength of association with the given category using the following criteria.</S><S sid = NA ssid = NA>When we first began this work, we were unsure about what types of categories would be amenable to this approach.</S> | Discourse Facet:  NA | Annotator: Automatic


