Citance Number: 1 | Reference Article:  P05-1011.txt | Citing Article:  W05-1510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Comparing the latter half of the experimental results with those on parsing (Miyao and Tsujii, 2005), we investigated similarities and differences between probabilistic models for parsing and generation.</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >Probabilistic Disambiguation Models For Wide-Coverage HPSG Parsing</S><S sid = 16 ssid = >To our knowledge, this work provides the first results of extensive experiments of parsing Penn Treebank with a probabilistic HPSG.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P05-1011.txt | Citing Article:  P07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we use an HPSG parser developed by Miyao and Tsujii (2005).</S> | Reference Offset:  ['1','78'] | Reference Text:  <S sid = 1 ssid = >This paper reports the development of loglinear models for the disambiguation in wide-coverage HPSG parsing.</S><S sid = 78 ssid = >Actually, in our previous study (Miyao et al., 2003), we successfully developed a probabilistic model including features on nonlocal predicate-argument dependencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P05-1011.txt | Citing Article:  P07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, the HPSG grammar is extracted from the HPSG Treebank using a corpus based procedure, and it does not necessarily cover all possible grammatical phenomena in unseen text (Miyao and Tsujii, 2005).</S> | Reference Offset:  ['8','75'] | Reference Text:  <S sid = 8 ssid = >Recently, a wide-coverage grammar and a large treebank have become available for English HPSG (Miyao et al., 2004).</S><S sid = 75 ssid = >Although it is true to some extent, this does not necessarily mean the impossibility of incorporating features on nonlocal dependencies into the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P05-1011.txt | Citing Article:  P07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['47','152'] | Reference Text:  <S sid = 47 ssid = >The above method allows for the tractable estimation of log-linear models on exponentially-many HPSG parse trees.</S><S sid = 152 ssid = >Future work includes the investigation of such features, as well as the abstraction of lexical dependencies like semantic classes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P05-1011.txt | Citing Article:  P07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >By running the HPSG parser described in section 2.2 on the development data without dependency constraints, we obtain similar values of LP (86.8%) and LR (85.6%) as those reported by Miyao and Tsujii (Miyao and Tsujii, 2005).</S> | Reference Offset:  ['88','97'] | Reference Text:  <S sid = 88 ssid = >The F-score is the harmonic mean of LP and LR.</S><S sid = 97 ssid = >Our results cannot be strictly compared with other grammar formalisms because each formalism represents predicate-argument dependencies differently; for reference, our results are competitive with the corresponding measures reported for Combinatory Categorial Grammar (CCG) (LP/LR = 86.6/86.3) (Clark and Curran, 2004b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P05-1011.txt | Citing Article:  P07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['47','152'] | Reference Text:  <S sid = 47 ssid = >The above method allows for the tractable estimation of log-linear models on exponentially-many HPSG parse trees.</S><S sid = 152 ssid = >Future work includes the investigation of such features, as well as the abstraction of lexical dependencies like semantic classes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P05-1011.txt | Citing Article:  P07-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We examined 100 sentences using a phrase structure parser (Charniak and Johnson, 2005) and an HPSG parser (Miyao and Tsujii, 2005).</S> | Reference Offset:  ['82','99'] | Reference Text:  <S sid = 82 ssid = >For the training, we eliminated sentences with no less than 40 words and for which the parser could not produce the correct parse.</S><S sid = 99 ssid = >This results from the HPSG grammar having stricter feature constraints and the parser not being able to produce parse results for around one percent of the sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P05-1011.txt | Citing Article:  P06-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We first apply a deep parser (Miyao and Tsujii, 2005) and a dictionary-based term recognizer (Tsuruoka and Tsujii, 2004) to MEDLINE and obtain annotations of predicate argument structures and ontological identifiers of genes, gene products, diseases, and events.</S> | Reference Offset:  ['13','85'] | Reference Text:  <S sid = 13 ssid = >We apply two techniques for reducing the training cost.</S><S sid = 85 ssid = >We measured the accuracy of predicate-argument dependencies output by the parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P05-1011.txt | Citing Article:  P06-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, parsers that compute deeper analyses, such as predicate argument structures, have become available for the processing of real-world sentences (Miyao and Tsujii, 2005).</S> | Reference Offset:  ['4','113'] | Reference Text:  <S sid = 4 ssid = >A series of experiments empirically evaluated the estimation techniques, and also examined the performance of the disambiguation models on the parsing of real-world sentences.</S><S sid = 113 ssid = >Sentences with at least 10 words are necessary to properly evaluate the performance of parsing real-world texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P05-1011.txt | Citing Article:  P06-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We first parsed all sentences using an HPSG parser (Miyao and Tsujii, 2005) to obtain their predicate argument structures.</S> | Reference Offset:  ['78','85'] | Reference Text:  <S sid = 78 ssid = >Actually, in our previous study (Miyao et al., 2003), we successfully developed a probabilistic model including features on nonlocal predicate-argument dependencies.</S><S sid = 85 ssid = >We measured the accuracy of predicate-argument dependencies output by the parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P05-1011.txt | Citing Article:  W07-1505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['47','152'] | Reference Text:  <S sid = 47 ssid = >The above method allows for the tractable estimation of log-linear models on exponentially-many HPSG parse trees.</S><S sid = 152 ssid = >Future work includes the investigation of such features, as well as the abstraction of lexical dependencies like semantic classes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P05-1011.txt | Citing Article:  W07-2202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The HPSG parser used in this study is Ninomiya et al (2006), which is based on Enju (Miyao and Tsujii, 2005).</S> | Reference Offset:  ['19','80'] | Reference Text:  <S sid = 19 ssid = >Discriminative log-linear models are now becoming a de facto standard for probabilistic disambiguation models for deep parsing (Johnson et al., 1999; Riezler et al., 2002; Geman and Johnson, 2002; Miyao and Tsujii, 2002; Clark and Curran, 2004b; Kaplan et al., 2004).</S><S sid = 80 ssid = >We used an HPSG grammar derived from Penn Treebank (Marcus et al., 1994) Section 02-21 (39,832 sentences) by our method of grammar development (Miyao et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P05-1011.txt | Citing Article:  W07-2202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['47','152'] | Reference Text:  <S sid = 47 ssid = >The above method allows for the tractable estimation of log-linear models on exponentially-many HPSG parse trees.</S><S sid = 152 ssid = >Future work includes the investigation of such features, as well as the abstraction of lexical dependencies like semantic classes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P05-1011.txt | Citing Article:  W07-2202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['47','152'] | Reference Text:  <S sid = 47 ssid = >The above method allows for the tractable estimation of log-linear models on exponentially-many HPSG parse trees.</S><S sid = 152 ssid = >Future work includes the investigation of such features, as well as the abstraction of lexical dependencies like semantic classes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P05-1011.txt | Citing Article:  W06-1619.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the hybrid model, the probabilities of the previous model are multiplied by the super tagging probabilities instead of a preliminary probabilistic model, which is introduced to help the process of estimation by filtering unlikely lexical entries (Miyao and Tsujii, 2005).</S> | Reference Offset:  ['52','103'] | Reference Text:  <S sid = 52 ssid = >The preliminary model in this study is a unigram model, p(tIs) = FJwEs p(1I w), where w E s is a word in the sentence s, and 1 is a lexical entry assigned to w. This model can be estimated without parsing a treebank.</S><S sid = 103 ssid = >However, the model combined with a preliminary model achieved sufficient accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P05-1011.txt | Citing Article:  W06-1619.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the experiments, we compared our model with the probabilistic HPSG model of Miyao and Tsujii (2005).</S> | Reference Offset:  ['52','103'] | Reference Text:  <S sid = 52 ssid = >The preliminary model in this study is a unigram model, p(tIs) = FJwEs p(1I w), where w E s is a word in the sentence s, and 1 is a lexical entry assigned to w. This model can be estimated without parsing a treebank.</S><S sid = 103 ssid = >However, the model combined with a preliminary model achieved sufficient accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


