Citance Number: 1 | Reference Article:  P99-1068.txt | Citing Article:  W00-0801.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is implemented by Resnik and described in detail in [Resnik, 1999], calculates the similarity between all the words' senses of words in a set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The most recent end-product is an automatically acquired parallel corpus comprising 2491 English-French document pairs, approximately 1.5 million words per language.</S><S sid = NA ssid = NA>This translates into an estimated 100% precision against 64.1% recall, with a yield of 2491 documents, approximately 1.5 million words per language as counted after removal of HTML markup.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P99-1068.txt | Citing Article:  W02-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is capable of pulling parallel texts out of a large multilingual collection, and it rivals the performance of structure-based approaches to pair classification (Resnik, 1999), having better agreement with human judges.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Moreover, at least for the confidently judged cases, STRAND is in agreement with the combined human judgment more often than the human judges agree with each other.</S><S sid = NA ssid = NA>The problem is potentially acute if the generation stage happens to yield up many pairs of pages that come from online catalogues or other Web sites having large numbers of pages with a conventional structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P99-1068.txt | Citing Article:  P04-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Resnik (1999) addressed the issue of language identification for finding Web pages in the languages of interest.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Language identification is performed on the plain-text versions of the pages.</S><S sid = NA ssid = NA>In the process, it was discovered that the most lightweight use of language identification, restricted to just the the language pair of interest, needed to be revised in favor of a strategy that includes identification over a wide range of languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P99-1068.txt | Citing Article:  P03-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The lack of large-scale parallel corpora no doubt has impeded progress in this direction, although attempts have been made to mine parallel corpora from the Web (Resnik, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, I presume that if the number M of translation pairs on the Web is large, then half of M is also large.</S><S sid = NA ssid = NA>Resnik (1998) presented an algorithm called STRAND (Structural Translation Recognition for Acquiring Natural Data) designed to explore the Web as a source of parallel text, demonstrating its potential with a small-scale evaluation based on the author's judgments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P99-1068.txt | Citing Article:  H05-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, parallel corpora, especially accurately aligned parallel corpora are rare, although attempts have been made to mine them from the Web (Resnik, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A second natural direction is the application of Web-based parallel text in applications such as lexical acquisition and cross-language information retrieval — especially since a sideeffect of the core STRAND algorithm is aligned &quot;chunks&quot;, i.e. non-markup segments found to correspond to each other based on alignment of the markup.</S><S sid = NA ssid = NA>STRAND (Resnik, 1998) is a languageindependent system for automatic discovery of text in parallel translation on the World Wide Web.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P99-1068.txt | Citing Article:  W02-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Grefenstette and Nioche (2000) and Jones and Ghani (2000) use the web to generate corpora for languages where electronic resources are scarce, while Resnik (1999) describes a method for mining the web for bilingual texts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mining The Web For Bilingual Text</S><S sid = NA ssid = NA>Inspection of Web sites — those with bilingual text identified by STRAND and those without — suggests that the strategy of using Altavista to generate candidate pairs could be improved upon significantly by adding a true Web crawler to &quot;mine&quot; sites where bilingual text is known to be available, e.g. sites uncovered by a first pass of the system using the Altavista engine.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P99-1068.txt | Citing Article:  W06-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Preliminary experiments using even small amounts of these data suggest that standard techniques, such as cross-language lexical association, can uncover useful data.</S><S sid = NA ssid = NA>The number inside the chunk token is the length of the text chunk, not counting whitespace; from this point on only the length of the text chunks is used, and therefore the structural filtering algorithm is completely language independent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P99-1068.txt | Citing Article:  C10-2054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Resnik (1999) mined comparable corpora on the assumption that the pages which are comparable of each other share a similar structure (headers, paragraphs, etc.) when text is presented in many languages in the Web.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Resnik (1998) presented an algorithm called STRAND (Structural Translation Recognition for Acquiring Natural Data) designed to explore the Web as a source of parallel text, demonstrating its potential with a small-scale evaluation based on the author's judgments.</S><S sid = NA ssid = NA>The problem is potentially acute if the generation stage happens to yield up many pairs of pages that come from online catalogues or other Web sites having large numbers of pages with a conventional structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P99-1068.txt | Citing Article:  N07-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Grefenstette (1999) used the Web for example-based ma chine translation; Kilgarriff (2001) investigated the type of noise in Web data; Mihalcea and Moldovan (1999) and Agirre and Martinez (2000) used it as an additional resource for word sense disambiguation; Resnik (1999) mined the Web for bilingual texts; Turney (2001) used Web frequency counts to compute information retrieval-based mutual-information scores.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mining The Web For Bilingual Text</S><S sid = NA ssid = NA>A second natural direction is the application of Web-based parallel text in applications such as lexical acquisition and cross-language information retrieval — especially since a sideeffect of the core STRAND algorithm is aligned &quot;chunks&quot;, i.e. non-markup segments found to correspond to each other based on alignment of the markup.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P99-1068.txt | Citing Article:  P04-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mining the Web for bilingual text (Resnik, 1999) is not likely to provide sufficient quantities of high quality data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mining The Web For Bilingual Text</S><S sid = NA ssid = NA>I would conjecture that for English-French there is an order of magnitude more bilingual text on the Web than that uncovered in this early stage of research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P99-1068.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Table 5 shows the abstract of Resnik (1999) and 5 selected sentences that cite it in AAN.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, see Figure 2.</S><S sid = NA ssid = NA>The table also shows Cohen's lc, an agreement measure that corrects for chance agreement (Carletta, 1996); the most important value in the table is the value of 0.7 for the two human judges, which can be interpreted as sufficiently high to indicate that the task is reasonably well defined.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P99-1068.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Many research ideas have exploited the Web in unsupervised or weakly supervised algorithms for natural language processing (e.g., Resnik (1999)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Text in parallel translation is a valuable resource in natural language processing.</S><S sid = NA ssid = NA>I would conjecture that for English-French there is an order of magnitude more bilingual text on the Web than that uncovered in this early stage of research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P99-1068.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Resnik (1999), the Web is harvested in search of pages that are available in two languages, with the aim of building parallel corpora for any pair of target languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, experiments need to be done using languages that are less common on the Web.</S><S sid = NA ssid = NA>Exploration of the Web suggests that parent pages and sibling pages cover the major relationships between parallel translations on the Web.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P99-1068.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mining the Web for bilingual text (Resnik, 1999) is not likely to provide sufficient quantities of high quality data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mining The Web For Bilingual Text</S><S sid = NA ssid = NA>I would conjecture that for English-French there is an order of magnitude more bilingual text on the Web than that uncovered in this early stage of research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P99-1068.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The STRAND system of (Resnik, 1999), uses structural markup information from the pages, without looking at their content, to attempt to align them.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although the majority of Web content is in English, it also shows great promise as a source of multilingual content.</S><S sid = NA ssid = NA>Figure 3 illustrates: it shows two documents that are generated by looking for &quot;parent&quot; pages containing hyperlinks to English and Spanish, which pass the structural filter with flying colors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P99-1068.txt | Citing Article:  W12-3201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mining the Web for bilingual text (Resnik, 1999) is not likely to provide sufficient quantities of high quality data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mining The Web For Bilingual Text</S><S sid = NA ssid = NA>I would conjecture that for English-French there is an order of magnitude more bilingual text on the Web than that uncovered in this early stage of research.</S> | Discourse Facet:  NA | Annotator: Automatic


