Citance Number: 1 | Reference Article:  P06-1104.txt | Citing Article:  N07-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To benefit from both views, a composite kernel (Zhanget al, 2006) integrates the flat features from entities and structured features from parse trees.</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >A Composite Kernel To Extract Relations Between Entities With Both Flat And Structured Features</S><S sid = 4 ssid = >Our study illustrates that the composite kernel can effectively capture both flat and structured features without the need for extensive feature engineering, and can also easily scale to include more features.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P06-1104.txt | Citing Article:  D11-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also compare our approaches to the other state-of-the-art approaches including Convolution Tree kernel (Collinsand Duffy, 2001), Syntactic kernel (Zhao and Grishman, 2005), Composite kernel (linear) (Zhang et al, 2006) and the best kernel in (Nguyen et al, 2009).</S> | Reference Offset:  ['19','52'] | Reference Text:  <S sid = 19 ssid = >The composite kernel consists of an entity kernel and a convolution parse tree kernel.</S><S sid = 52 ssid = >Our composite kernel consists of an entity kernel and a convolution parse tree kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P06-1104.txt | Citing Article:  D11-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Zhang et al, 2006) showed that by carefully choosing the weight of each component and using a polynomial expansion, they could achieve the best performance on this data: 72.1% F measure.</S> | Reference Offset:  ['110','127'] | Reference Text:  <S sid = 110 ssid = >Precision (P), Recall (R) and F-measure (F) are adopted to measure the performance.</S><S sid = 127 ssid = >They suggest that the parse tree kernel can effectively explore the syntactic features which are critical for relation extraction. both the 2003 and 2004 data for the composite kernel by polynomial expansion (4) Error Analysis: Table 5 reports the error distribution of the polynomial composite kernel over the major types on the ACE data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-1104.txt | Citing Article:  P14-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, by combining tree kernels and convolution string kernels, (Zhang et al., 2006) achieved the state of the art performance on ACE data (ACE, 2004).</S> | Reference Offset:  ['16','114'] | Reference Text:  <S sid = 16 ssid = >For example, the kernels for structured natural language data, such as parse tree kernel (Collins and Duffy, 2001), string kernel (Lodhi et al., 2002) and graph kernel (Suzuki et al., 2003) are example instances of the wellknown convolution kernels1 in NLP.</S><S sid = 114 ssid = >It shows that: ACE 2003 five major types using the parse tree structure information only (regardless of any entity-related information) kernel setups over the ACE major types of both the 2003 data (the numbers in parentheses) and the 2004 data (the numbers outside parentheses) the 2003 data although the ACE 2003 data is two times larger than the ACE 2004 data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1104.txt | Citing Article:  N09-3012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Bunescu and Mooney, 2005a) dependency graph features are exploited, and in (Zhang et al, 2006a) syntactic features are employed for relation extraction.</S> | Reference Offset:  ['17','43'] | Reference Text:  <S sid = 17 ssid = >In relation extraction, typical work on kernel methods includes: Zelenko et al. (2003), Culotta and Sorensen (2004) and Bunescu and Mooney (2005).</S><S sid = 43 ssid = >Bunescu and Mooney (2005) proposed another dependency tree kernel for relation extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1104.txt | Citing Article:  N09-3012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the first time, in (Zhang et al, 2006a), this convolution tree kernel was used for relation extraction.</S> | Reference Offset:  ['38','52'] | Reference Text:  <S sid = 38 ssid = >Zelenko et al. (2003) developed a kernel over parse trees for relation extraction.</S><S sid = 52 ssid = >Our composite kernel consists of an entity kernel and a convolution parse tree kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1104.txt | Citing Article:  N09-3012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, this tree kernel is combined with an entity kernel to form a reportedly high quality composite kernel in (Zhang et al, 2006b).</S> | Reference Offset:  ['19','52'] | Reference Text:  <S sid = 19 ssid = >The composite kernel consists of an entity kernel and a convolution parse tree kernel.</S><S sid = 52 ssid = >Our composite kernel consists of an entity kernel and a convolution parse tree kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1104.txt | Citing Article:  N09-3012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >AAP is computed over the MCT tree portion which is also proposed by (Zhang et al, 2006a) and is the sub-tree rooted at the first common ancestor of relation arguments.</S> | Reference Offset:  ['43','64'] | Reference Text:  <S sid = 43 ssid = >Bunescu and Mooney (2005) proposed another dependency tree kernel for relation extraction.</S><S sid = 64 ssid = >The parse tree kernel counts the number of common sub-trees as the syntactic similarity measure between two relation instances.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1104.txt | Citing Article:  N09-3012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parameter of CD'01 kernel is set to 0.4 according to (Zhang et al., 2006a).</S> | Reference Offset:  ['8','67'] | Reference Text:  <S sid = 8 ssid = >According to the ACE Program, an entity is an object or set of objects in the world and a relation is an explicitly or implicitly stated relationship among entities.</S><S sid = 67 ssid = >Evaluation on the development set shows that this composite kernel yields the best performance when α is set to 0.4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1104.txt | Citing Article:  N09-3012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although the path-enclosed tree portion (PT) (Zhang et al, 2006a) seems to be an appropriate portion of the syntactic tree for relation extraction, it only takes into account the syntactic information between the relation arguments, and discards many useful features (before and after the arguments features).</S> | Reference Offset:  ['147','164'] | Reference Text:  <S sid = 147 ssid = >Furthermore, we find that the small portion (PT) of a full parse tree can effectively represent a relation instance.</S><S sid = 164 ssid = >This shows that the syntactic features embedded in a parse tree are particularly useful for relation extraction and which can be well captured by the parse tree kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1104.txt | Citing Article:  D09-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Motivated by the work of (Zhang et al, 2006), we here examine four cases that contain different sub-structures as shown in Fig.</S> | Reference Offset:  ['81','83'] | Reference Text:  <S sid = 81 ssid = >We study five cases as shown in Fig.1. mon sub-tree including the two entities.</S><S sid = 83 ssid = >Fig.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-1104.txt | Citing Article:  C08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhang et al (2006) discover that the Shortest Path enclosed Tree (SPT) achieves the best performance.</S> | Reference Offset:  ['82','163'] | Reference Text:  <S sid = 82 ssid = >In other words, the sub-tree is enclosed by the shortest path linking the two entities in the parse tree (this path is also commonly-used as the path tree feature in the feature-based methods).</S><S sid = 163 ssid = >To our knowledge, this is the first research to demonstrate that, without the need for extensive feature engineering, an individual tree kernel achieves comparable performance with the feature-based methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-1104.txt | Citing Article:  C08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhang et al (2006) describe a convolution tree kernel (CTK, Collins and Duffy, 2001) to investigate various structured information for relation extraction and find that the Shortest Path enclosed Tree (SPT) achieves the F-measure of 67.7 on the 7 relation types of the ACE RDC 2004 corpus.</S> | Reference Offset:  ['16','82'] | Reference Text:  <S sid = 16 ssid = >For example, the kernels for structured natural language data, such as parse tree kernel (Collins and Duffy, 2001), string kernel (Lodhi et al., 2002) and graph kernel (Suzuki et al., 2003) are example instances of the wellknown convolution kernels1 in NLP.</S><S sid = 82 ssid = >In other words, the sub-tree is enclosed by the shortest path linking the two entities in the parse tree (this path is also commonly-used as the path tree feature in the feature-based methods).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P06-1104.txt | Citing Article:  C08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhang et al (2006) design a composite kernel consisting of an entity linear kernel and a standard CTK, obtaining the F-measure of 72.1 on the 7 relation types in the ACE RDC 2004 corpus.</S> | Reference Offset:  ['52','98'] | Reference Text:  <S sid = 52 ssid = >Our composite kernel consists of an entity kernel and a convolution parse tree kernel.</S><S sid = 98 ssid = >The ACE 2003 data defines 5 entity types, 5 major relation types and 24 relation subtypes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P06-1104.txt | Citing Article:  C08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhang et al (2006) explore five kinds of tree spans and find that the Shortest Path-enclosed Tree (SPT) achieves the best performance.</S> | Reference Offset:  ['82','163'] | Reference Text:  <S sid = 82 ssid = >In other words, the sub-tree is enclosed by the shortest path linking the two entities in the parse tree (this path is also commonly-used as the path tree feature in the feature-based methods).</S><S sid = 163 ssid = >To our knowledge, this is the first research to demonstrate that, without the need for extensive feature engineering, an individual tree kernel achieves comparable performance with the feature-based methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P06-1104.txt | Citing Article:  C08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In fact, SPT (Zhang et al, 2006) can be arrived at by carrying out part of the above removal operations using a single rule (i.e. all the constituents outside the linking path should be removed) and CS-CSPT (Zhou et al, 2007) further recovers part of necessary context-sensitive information outside SPT, this justifies that SPT performs well, while CS-SPT outperforms SPT.</S> | Reference Offset:  ['31','82'] | Reference Text:  <S sid = 31 ssid = >Many techniques on relation extraction, such as rule-based (MUC, 1987-1998; Miller et al., 2000), feature-based (Kambhatla 2004; Zhou et al., 2005) and kernel-based (Zelenko et al., 2003; Culotta and Sorensen, 2004; Bunescu and Mooney, 2005), have been proposed in the literature.</S><S sid = 82 ssid = >In other words, the sub-tree is enclosed by the shortest path linking the two entities in the parse tree (this path is also commonly-used as the path tree feature in the feature-based methods).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P06-1104.txt | Citing Article:  C08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Experiments by Zhang et al (2006) show that linear kernel using only entity features contributes much when combined with the convolution parse tree kernel.</S> | Reference Offset:  ['19','52'] | Reference Text:  <S sid = 19 ssid = >The composite kernel consists of an entity kernel and a convolution parse tree kernel.</S><S sid = 52 ssid = >Our composite kernel consists of an entity kernel and a convolution parse tree kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


