Citance Number: 1 | Reference Article:  J99-4004.txt | Citing Article:  C02-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We hope this paper will bring about Teitelbaum's wish.</S><S sid = NA ssid = NA>Notice that an item derivation is a tree, not a directed graph.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J99-4004.txt | Citing Article:  P04-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To the best of our knowledge, Logic CT is the first published translation logic to be compatible with all of the semirings catalogued by Goodman (1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pointers, in various forms, allow one to efficiently represent infinite circular references, either directly (Goodman 1999), or indirectly (Goodman 1998).</S><S sid = NA ssid = NA>All of the semirings we use should be familiar, except for the derivation semirings, which we now describe.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J99-4004.txt | Citing Article:  D07-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Borrowing terms from parsing semirings (Goodman, 1999), a packed forest is composed of additive forest nodes and multiplicative forest nodes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Tendeau (1997b, 1997a) introduces a parse forest semiring, similar to our derivation forest semiring, in that it encodes a parse forest succinctly.</S><S sid = NA ssid = NA>There are three derivation semirings: the derivation forest semiring, the Viterbi-derivation semiring, and the Viterbi-n-best semiring.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J99-4004.txt | Citing Article:  E09-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Goodman (1999) augmented such logic programs with semiring weights, giving an algebraic explanation for the intuitive connections among classes of algorithms with the same logical structure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pointers, in various forms, allow one to efficiently represent infinite circular references, either directly (Goodman 1999), or indirectly (Goodman 1998).</S><S sid = NA ssid = NA>The first quantity, a derivation forest, is a data structure that allows one to efficiently compute the set of legal derivations of the input string.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J99-4004.txt | Citing Article:  E09-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is often done using back pointers, but can also be accomplished by representing the most probable proof for each theorem in its entirety as part of the semiring value (Goodman, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Now, we can consider the general case: Theorem 3 For x an item in a looping bucket B, and for g > 1, The proof parallels that of Theorem 2 (Goodman 1998).</S><S sid = NA ssid = NA>We can give a recursive equation for Z<g(x,B) as follows, using a proof similar to that of Theorem 5 (Goodman 1998): For items x E B and g > 1,</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J99-4004.txt | Citing Article:  E09-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is similar to the k-best semiring defined by Goodman (1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A complete semiring is a set of values over which a multiplicative operator and a commutative additive operator have been defined, and for which infinite summations are defined.</S><S sid = NA ssid = NA>There are three derivation semirings: the derivation forest semiring, the Viterbi-derivation semiring, and the Viterbi-n-best semiring.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J99-4004.txt | Citing Article:  E09-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Goodman (1999) handles this situation more carefully, though our version is more likely to be used in practice for both the Viterbi proof and k-best proof semirings.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Elsewhere (Goodman 1998), we give a trivial proof of this fact.</S><S sid = NA ssid = NA>In an implementation of the Viterbi-n-best semiring, in practice, loops can change values, but at most n times, so the same algorithm used for the Viterbi semiring still works.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J99-4004.txt | Citing Article:  E09-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Solvers have been proposed by Goodman (1999), by Klein and Manning (2001) using a hypergraph representation, and by Eisner et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For any item derivation tree that is not a simple rule, there is some al ...ak,b such that D E inner(al b&quot; ak).</S><S sid = NA ssid = NA>Figure 9 illustrates the idea of putting together an outer tree of b with inner trees for al, .7)., ak to form an outer tree of x = al. Using this observation, ak,b s.t. al ak A x=aj DEouter ak.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J99-4004.txt | Citing Article:  E09-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We hope this paper will bring about Teitelbaum's wish.</S><S sid = NA ssid = NA>Notice that an item derivation is a tree, not a directed graph.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J99-4004.txt | Citing Article:  D08-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>PTREE still propagates in O (n3) time: simply change the first-order parser's semiring (Goodman, 1999) to use max instead of sum.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus the brute-force approach would require 0(n3) time and space instead of 0(n) time and space, for these grammars.</S><S sid = NA ssid = NA>In this case, loops do not change values, and we use the same algorithm as for the Viterbi semiring.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J99-4004.txt | Citing Article:  W10-1718.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, a more general framework to specify these algorithms is semiring-weighted parsing (Goodman, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Semiring Parsing</S><S sid = NA ssid = NA>Elsewhere (Goodman 1998), we show that using essentially the same item-based descriptions we have used for parsing, we can specify grammar transformations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J99-4004.txt | Citing Article:  P08-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Goodman (1999), we present our lattice parser as a deductive proof system in Figure 2.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, there is the work in deductive parsing.</S><S sid = NA ssid = NA>Elsewhere (Goodman 1998), we give a trivial proof of this fact.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J99-4004.txt | Citing Article:  E09-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Deductive logic (Pereira and Warren, 1983), extended with semirings (Goodman, 1999), is an established formal ism used in parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recent work (Pereira and Warren 1983; Pereira and Shieber 1987) demonstrates how to use deduction engines for parsing.</S><S sid = NA ssid = NA>First, there is the work in deductive parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J99-4004.txt | Citing Article:  E09-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>we write an inference rule with antecedents on the top line and consequent on the second line, following Goodman (1999) and Shieber et al (1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since w1 = x, the instantiated rule is then Because the value of the top line of the instantiated unary rule, R(X x), has value 0.8, we deduce that the bottom line, [1, X, 2], has value 0.8.</S><S sid = NA ssid = NA>Furthermore, rather than use explicit, procedural descriptions, such as chart[s, A, s +1] := chart[s, A, s +1] v chart[s,B, s+ t] A chart[s+t, C, 9+1] A TRUE we will use inference rules such as The meaning of an inference rule is that if the top line is all true, then we can conclude the bottom line.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J99-4004.txt | Citing Article:  E09-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This suggests a useful generalization: semiring-weighted deduction (Goodman, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work can be thought of as a generalization from their work in the Boolean semiring to semirings in general.</S><S sid = NA ssid = NA>Pointers, in various forms, allow one to efficiently represent infinite circular references, either directly (Goodman 1999), or indirectly (Goodman 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J99-4004.txt | Citing Article:  E09-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Goodman (1999) describes semirings for the Viterbi derivation, k-best Viterbi derivations, derivation forest, and number of paths.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are three derivation semirings: the derivation forest semiring, the Viterbi-derivation semiring, and the Viterbi-n-best semiring.</S><S sid = NA ssid = NA>Now, consider implementations of the Viterbi-derivation semiring in practice, in which we keep only a representative derivation, rather than the whole derivation forest.</S> | Discourse Facet:  NA | Annotator: Automatic


