Citance Number: 1 | Reference Article:  J92-1001.txt | Citing Article:  W96-0305.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Those relations between the sense and its defining words are reflected in semantic dusters that are termed categorical, functional, and situational clusters in McRoy (1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>TRUMP's knowledge base contains three types of clusters: categorial, functional, and situational.</S><S sid = NA ssid = NA>Situational clusters capture the associations found in generic descriptions (cf.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J92-1001.txt | Citing Article:  W04-2404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(McRoy, 1992) was one of the first to use multiple kinds of features for word sense disambiguation in the semantic interpretation system, TRUMP.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using Multiple Knowledge Sources For Word Sense Discrimination</S><S sid = NA ssid = NA>Analysis of a text begins with the identification of the morphological features of each word and the retrieval of the (core) senses of each word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J92-1001.txt | Citing Article:  W04-0839.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I acknowledge the financial support of the General Electric Company, the University of Toronto, and the Natural Sciences and Engineering Research Council of Canada.</S><S sid = NA ssid = NA>When the syntactic constraints (such as io-rec, one-obj, and no-obj) influence semantic preferences, they are attached to the sense entry.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J92-1001.txt | Citing Article:  W04-0839.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I acknowledge the financial support of the General Electric Company, the University of Toronto, and the Natural Sciences and Engineering Research Council of Canada.</S><S sid = NA ssid = NA>When the syntactic constraints (such as io-rec, one-obj, and no-obj) influence semantic preferences, they are attached to the sense entry.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J92-1001.txt | Citing Article:  W02-1606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I acknowledge the financial support of the General Electric Company, the University of Toronto, and the Natural Sciences and Engineering Research Council of Canada.</S><S sid = NA ssid = NA>When the syntactic constraints (such as io-rec, one-obj, and no-obj) influence semantic preferences, they are attached to the sense entry.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J92-1001.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I acknowledge the financial support of the General Electric Company, the University of Toronto, and the Natural Sciences and Engineering Research Council of Canada.</S><S sid = NA ssid = NA>When the syntactic constraints (such as io-rec, one-obj, and no-obj) influence semantic preferences, they are attached to the sense entry.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J92-1001.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We propose a tagger that makes use of several types of information (dictionary definitions, parts-of-speech, domain codes, selectional preferences and collocates) in the tradition of McRoy (McRoy, 1992) although, the information sources we use are orthogonal, unlike the sources he used, making it easier to evaluate the performance of the various modules.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here we will describe how to use the whole range of information.</S><S sid = NA ssid = NA>Here we will describe how to use the whole range of information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J92-1001.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This approach as been recently used by (McRoy, 1992) and (Mahesh and Beale, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Schubert 1986; McRoy and Hirst 1990).</S><S sid = NA ssid = NA>For example, according to our lexicon, when safe is used as an adjective (as in Example 1), it always denotes the sense related to security, whereas safe used as a noun always denotes a type of container for storing valuables.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J92-1001.txt | Citing Article:  P98-2145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are a variety of methods for combining multiple knowledge sources (linguistic cues) (McRoy, 1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using Multiple Knowledge Sources For Word Sense Discrimination</S><S sid = NA ssid = NA>In the next section, we will describe how a semantic interpreter can apply knowledge from such a wide variety of sources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J92-1001.txt | Citing Article:  W07-1711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>McRoy (1992) describes a study of different sources useful for word sense disambiguation, including morphological information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The approach to disambiguation that we will take below combines many different, strong sources of information: syntactic tags, word frequencies, collocations, semantic context (clusters), selectional restrictions, and syntactic cues.</S><S sid = NA ssid = NA>Section 5 describes how it combines the preference information to select senses.</S> | Discourse Facet:  NA | Annotator: Automatic


