Citance Number: 1 | Reference Article:  P93-1016.txt | Citing Article:  C96-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This also distinguishes our approach from another major stream of object-oriented natural anguage parsing which is almost entirely concerned with implementational aspects of object-oriented programming, e.g., Habert (1991), Lin (1993) or Yonezawa& amp; Ohsawa (1994).</S> | Reference Offset:  ['18','168'] | Reference Text:  <S sid = 18 ssid = >Section 5 sketches an object-oriented implementation of the parser.</S><S sid = 168 ssid = >The parser has been implemented in C++, an object-oriented extension of C. The object-oriented paradigm makes the relationships between nodes and links in the grammar network and their software counterparts explicit and direct.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P93-1016.txt | Citing Article:  P10-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dataset is identical to the one used by TDP and has been constructed in the same wayas the dataset used by E&P: it contains those gold standard instances of verbs that have according to the analyses produced by the MiniPar parser (Lin, 1993) an overtly realized subject and object.</S> | Reference Offset:  ['18','169'] | Reference Text:  <S sid = 18 ssid = >Section 5 sketches an object-oriented implementation of the parser.</S><S sid = 169 ssid = >Communication via message passing is reflected in the message passing metaphor used in object-oriented languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P93-1016.txt | Citing Article:  W09-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We build the space from a Minipar-parsed version of the British National Corpus with dependency parses obtained from Minipar (Lin, 1993).</S> | Reference Offset:  ['33','49'] | Reference Text:  <S sid = 33 ssid = >The attribute values of these items are obtained from the lexicon.</S><S sid = 49 ssid = >The sentence is successfully parsed if an item is found at IF or CP node whose surface string is the input sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P93-1016.txt | Citing Article:  W09-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the current paper, we constructed a new subset of LexSub we call LEXSUB-PARA by parsing LexSub with Minipar (Lin, 1993) and extracting all 177 sentences with transitive verbs that had overtly realized subjects and objects, regardless of voice.</S> | Reference Offset:  ['99','170'] | Reference Text:  <S sid = 99 ssid = >For example, V:NP is a node representing normal transitive verbs which take an NP as complement.</S><S sid = 170 ssid = >Nodes and links are implemented as objects.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P93-1016.txt | Citing Article:  C08-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >English documents were parsed with the syntactic analyzer (Lin, 1993).</S> | Reference Offset:  ['49','197'] | Reference Text:  <S sid = 49 ssid = >The sentence is successfully parsed if an item is found at IF or CP node whose surface string is the input sentence.</S><S sid = 197 ssid = >In our model, each syntactic category is represented by an object.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P93-1016.txt | Citing Article:  D08-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This space was built from BNC dependency parses obtained from Minipar (Lin, 1993).</S> | Reference Offset:  ['33','70'] | Reference Text:  <S sid = 33 ssid = >The attribute values of these items are obtained from the lexicon.</S><S sid = 70 ssid = >The complete parse tree (Figure 2.b) is obtained by recursively tracing the origins of i4 and in from NP and Ibar respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P93-1016.txt | Citing Article:  P07-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Verbs and possible senses in our corpus Both corpora were lemmatized and part-of-speech (POS) tagged using Minipar (Lin, 1993) and Mxpost (Ratnaparkhi, 1996) ,respectivelly.</S> | Reference Offset:  ['8','99'] | Reference Text:  <S sid = 8 ssid = >Many methods have been proposed to alleviate the overgeneration problem by detecting illicit structures as early as possible, such as optimal ordering of principles (Fong, 1991), coroutining (Dorr, 1991; Johnson, 1991).</S><S sid = 99 ssid = >For example, V:NP is a node representing normal transitive verbs which take an NP as complement.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P93-1016.txt | Citing Article:  W08-1405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used Minipar (Lin, 1993), a dependency-based parser, in order to identify verbs, nouns, verb dependencies and noun dependencies.</S> | Reference Offset:  ['52','178'] | Reference Text:  <S sid = 52 ssid = >Similarly, V:IP denotes verbs taking a CP complement, N:CP represents nouns taking a CP complement. is illustrated in Figure 2.a.</S><S sid = 178 ssid = >The attribute vectors used here are similar to those in unification based grammars/parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P93-1016.txt | Citing Article:  W05-0807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We investigated four individual approaches for the syntax-features, a regular-expression-based quasi-parser, a system based on Dekang Lin's Mini Par (Lin, 1993), a system based on the Collins parser (Collins, 1999), and one based on the CMU Link Grammar Parser (Sleator and Temperley, 1993), as well as a family of voting-based combination schemes.</S> | Reference Offset:  ['0','5'] | Reference Text:  <S sid = 0 ssid = >Principle-Based Parsing Without Overgeneration</S><S sid = 5 ssid = >A key issue in building a principle-based parser is how to procedurally interpret the principles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P93-1016.txt | Citing Article:  C04-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The syntactic relations are generated by the Minipar dependency parser (Lin, 1993).</S> | Reference Offset:  ['6','98'] | Reference Text:  <S sid = 6 ssid = >Since GB principles are constraints over syntactic structures, one way to implement the principles is to This implementation of GB theory is very inefficient, since there are a large number of structures being generated and then filtered out.</S><S sid = 98 ssid = >The movement attributes are generated at the parent node of the initial trace.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P93-1016.txt | Citing Article:  C04-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The experiment was conducted using an 18 million tokens subset of the Reuters RCV1corpus, parsed by Lin's Minipar dependency parser (Lin, 1993).</S> | Reference Offset:  ['20','175'] | Reference Text:  <S sid = 20 ssid = >The message passing algorithm presented here is an extension to a message passing algorithm for context-free grammars (Lin and Goebel, 1993).</S><S sid = 175 ssid = >The implementation of the parser has been tested with example sentences from Chapters 410, 15-18 of (van Riemsdijk and Williams, 1986).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P93-1016.txt | Citing Article:  W09-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the dv package1 to compute type vectors from a Minipar (Lin, 1993) parse of the BNC.</S> | Reference Offset:  ['110','178'] | Reference Text:  <S sid = 110 ssid = >Otherwise, the movement is of type np.</S><S sid = 178 ssid = >The attribute vectors used here are similar to those in unification based grammars/parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P93-1016.txt | Citing Article:  P10-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specifically, we assume MINIPAR-style (Lin, 1993) dependency trees where nodes represent text expressions and edges represent the syntactic relations between them.</S> | Reference Offset:  ['22','115'] | Reference Text:  <S sid = 22 ssid = >The nodes in the networks represent syntactic categories.</S><S sid = 115 ssid = >The combinations of items represent constructions of larger parse trees from smaller ones.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P93-1016.txt | Citing Article:  C02-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Three parsers fulfilled all the requirements: Link Grammar (Sleator and Temperley, 1993), Minipar (Lin, 1993) and (Carroll and Briscoe, 2001).</S> | Reference Offset:  ['44','178'] | Reference Text:  <S sid = 44 ssid = >A link only allows items that satisfy its constraints to pass through.</S><S sid = 178 ssid = >The attribute vectors used here are similar to those in unification based grammars/parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P93-1016.txt | Citing Article:  N07-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the Mini par parser (Lin 1993) to match DIRT patterns in the text.</S> | Reference Offset:  ['4','21'] | Reference Text:  <S sid = 4 ssid = >Unlike rule-based grammars that use a large number of rules to describe patterns in a language, Government-Binding (GB) Theory (Chomsky, 1981; Haegeman, 1991; van Riemsdijk and Williams, 1986) explains these patterns in terms of more foundmental and universal principles.</S><S sid = 21 ssid = >We encode the grammar, as well as the parser, in a network (Figure 1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P93-1016.txt | Citing Article:  W01-0703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The syntactic relations were extracted using the Minipar parser (Lin, 1993).</S> | Reference Offset:  ['22','197'] | Reference Text:  <S sid = 22 ssid = >The nodes in the networks represent syntactic categories.</S><S sid = 197 ssid = >In our model, each syntactic category is represented by an object.</S> | Discourse Facet:  NA | Annotator: Automatic


