Citance Number: 1 | Reference Article:  P97-1063.txt | Citing Article:  W97-0311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >All translation models were induced using the method of Melamed (1997).</S> | Reference Offset:  ['80','91'] | Reference Text:  <S sid = 80 ssid = >More accurate models can be induced by taking into account various features of the linked tokens.</S><S sid = 91 ssid = >We induced a two-class word-to-word model of translational equivalence from 13 million words of the Canadian Hansards, aligned using the method in (Gale & Church, 1991).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P97-1063.txt | Citing Article:  W05-0829.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we describe the key idea behind this model and connect it with the competitive linking algorithm (Melamed, 1997) which was developed for word-to-word alignment.</S> | Reference Offset:  ['46','79'] | Reference Text:  <S sid = 46 ssid = >The simplicity of the competitive linking algorithm depends on the one-to-one assumption: Each word translates to at most one other word.</S><S sid = 79 ssid = >In the basic word-to-word model, the hidden parameters A+ and A- depend only on the distributions of link frequencies generated by the competitive linking algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P97-1063.txt | Citing Article:  W05-0829.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The competitive linking algorithm (CLA) (Melamed, 1997) is a greedy word alignment algorithm.</S> | Reference Offset:  ['43','46'] | Reference Text:  <S sid = 43 ssid = >The competitive linking algorithm implements this heuristic: N.B.</S><S sid = 46 ssid = >The simplicity of the competitive linking algorithm depends on the one-to-one assumption: Each word translates to at most one other word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P97-1063.txt | Citing Article:  C02-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Melamed,1997) has proposed the Competitive Linking Algorithm for linking the word pairs and a method which calculates the optimized correspondence level of the word pairs by hill climbing.</S> | Reference Offset:  ['43','46'] | Reference Text:  <S sid = 43 ssid = >The competitive linking algorithm implements this heuristic: N.B.</S><S sid = 46 ssid = >The simplicity of the competitive linking algorithm depends on the one-to-one assumption: Each word translates to at most one other word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P97-1063.txt | Citing Article:  W09-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Every English word has either 0 or 1 alignments (Melamed, 1997).</S> | Reference Offset:  ['125','129'] | Reference Text:  <S sid = 125 ssid = >The IBM models are directional; i.e. they posit the English words that gave rise to each French word, but ignore the distribution of the English words.</S><S sid = 129 ssid = >&quot;Partial links&quot; are those where one French word resulted from multiple English words, but the model only links the French word to one of its English sources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P97-1063.txt | Citing Article:  P06-3003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The problem, which was described in (Melamed, 1997) in a word-to-word alignment context, is as follows: if e1 is the translation of f1 and f2 has a strong monolingual association with f1, e1 and f2 will also have a strong correlation.</S> | Reference Offset:  ['0','39'] | Reference Text:  <S sid = 0 ssid = >A Word-To-Word Model Of Translational Equivalence</S><S sid = 39 ssid = >The arrow connecting vk and uk±i in Figure 1 represents an indirect association, since the association between vk and uk±i arises only by virtue of the association between each of them and uk .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P97-1063.txt | Citing Article:  W06-3123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >EM is then performed by first discovering an initial phrasal alignments using a greedy algorithm similar to the competitive linking algorithm (Melamed, 1997).</S> | Reference Offset:  ['29','43'] | Reference Text:  <S sid = 29 ssid = >After initialization, the model induction algorithm iterates: The competitive linking algorithm and its one-to-one assumption are detailed in Section 3.1.</S><S sid = 43 ssid = >The competitive linking algorithm implements this heuristic: N.B.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P97-1063.txt | Citing Article:  P98-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','169'] | Reference Text:  <S sid = 53 ssid = >A link type is an ordered pair of word types.</S><S sid = 169 ssid = >This research was supported by an equipment grant from Sun MicroSystems and by ARPA Contract #N66001-94C-6043.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P97-1063.txt | Citing Article:  P98-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This can be seen as a generalization of the one-to-one assumption for word-to-word translation used by Melamed (1997a) and is exploited for the same purpose, i.e. to exclude large numbers of candidate alignments, when good initial alignments have been found.</S> | Reference Offset:  ['46','139'] | Reference Text:  <S sid = 46 ssid = >The simplicity of the competitive linking algorithm depends on the one-to-one assumption: Each word translates to at most one other word.</S><S sid = 139 ssid = >Nevertheless, it appears that our word-to-word model with only two link classes does not perform any worse than IBM's Model 2, even though the word-to-word model was trained on less than one fifth the amount of data that was used to train the IBM model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P97-1063.txt | Citing Article:  P98-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The basic algorithm combines the K-vec approach, described by Fung and Church (1993), with the greedy word-to-word algorithm of Melamed (1997a).</S> | Reference Offset:  ['19','79'] | Reference Text:  <S sid = 19 ssid = >With the exception of (Fung, 1995b), previous methods for automatically constructing statistical translation models begin by looking at word cooccurrence frequencies in bitexts (Gale & Church, 1991; Kumano & Hirakawa, 1994; Fung, 1995a; Melamed, 1995).</S><S sid = 79 ssid = >In the basic word-to-word model, the hidden parameters A+ and A- depend only on the distributions of link frequencies generated by the competitive linking algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P97-1063.txt | Citing Article:  P04-3019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Equivalents in Bilingual Corpus When accurate instances are obtained from bilingual corpus, we continue to integrate the statistical word-alignment techniques (Melamed, 1997) and dictionaries to find the translation candidates for each of the two collocates.</S> | Reference Offset:  ['10','99'] | Reference Text:  <S sid = 10 ssid = >(Macklovitch, 1994; Melamed, 1996b)), concordancing for bilingual lexicography (Catizone et al., 1993; Gale & Church, 1991), computerassisted language learning, corpus linguistics (Melby.</S><S sid = 99 ssid = >Machine readable bilingual dictionaries, even when they are available, have only limited coverage and rarely include domain-specific terms (Resnik & Melamed, 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


