Citance Number: 1 | Reference Article:  P85-1018.txt | Citing Article:  C86-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An answer to these problems was presented by Shieber (1985) who proposed to do Earley prediction on the basis of some finite quotient of all constituent DAGs which can be specified by the grammar writer.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This standard Earley's algorithm is presented in Section 4.2.</S><S sid = NA ssid = NA>This extended Earley's algorithm is presented in Section 4.3.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P85-1018.txt | Citing Article:  C02-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The abstraction is specified by means of a restrict or (Shieber, 1985), the so-called lexicon restrict or.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Taking advantage of this property. we can change the Prediction Step to restrict the top-down information before unif■ lug it into the rule's dag.</S><S sid = NA ssid = NA>A dag with an empty domain is often called an empty dag or variable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P85-1018.txt | Citing Article:  E91-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pereira and Warren (1983) and Shieber (1985) present versions of Earley's algorithm for unification grammars, in which unification is the sole operation responsible for attribute valuation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the cases where no unification exists, the unification is said to fail.</S><S sid = NA ssid = NA>The following examples illustrate the notion of unification: The unification of two dags is not always well-defined.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P85-1018.txt | Citing Article:  E91-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>After establishing a correspondence b tween attribute and unification grammar (UG), we may see that the technique of 'restrictions'; used by Shieber (1985) in his extended algorithm is related to finite partitioning on attribute domains, in fact a particular case which takes advantage of the more structured attribute domains of UG.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This extended Earley's algorithm is presented in Section 4.3.</S><S sid = NA ssid = NA>Still, the algorithm should take advantage of that part of the arbitrarily large amount of information in the complex-feature structures that is significant for guiding parsing with the particular grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P85-1018.txt | Citing Article:  P01-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We can use the technique of restriction (Shieber 1985) to remove these features from our feature structures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This technique of restriction of complex-feature structures into a finite set of equivalence classes can be used for a wide variety of purposes.</S><S sid = NA ssid = NA>The PATR-II nonterminal domain is a lattice of directed, acyclic, graph structures (dags).3 Dags can be thought of as similar to the reentrant f-structures of LFG or functional structures of FUG, and we will use the bracketed notation associated with these formalisms for them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P85-1018.txt | Citing Article:  E93-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>[Shieber, 1985] therefore proposes a modified version of the Earley-parser, using restricted top down prediction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, parsing algorithms such as the above can be modified for use by grammar formalisms other than PATR-II.</S><S sid = NA ssid = NA>For example. the ancillary rimrt ion to compfite 1.1t closure-- which, like the Earley algorithm. either does not use feature information, or fails to terminate—can be modified in the same way as the Earley predictor step to terminate while still using significant feature information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P85-1018.txt | Citing Article:  E91-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We feel that the restriction technique has great potential to make increasingly powerful grammar formalisms computationally feasible.</S><S sid = NA ssid = NA>Instead, we would like a parsing algorithm that placed no restraints on the grammars it could handle as long as they could be expressed within the intended formalism.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P85-1018.txt | Citing Article:  E91-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For UGs which lack a so-called context-free back-bone, such as CUG, the top-down prediction step can only be guaranteed to terminate if we make use of restriction, as defined in Shieber (1985).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, because there are a potentially infinite number of such feature structures, the prediction step may never terminate.</S><S sid = NA ssid = NA>If the restrictor is chosen appropriately, this can be as constraining as predicting on the basis of the whole feature structure, yet prediction is guaranteed to terminate because the domain of restricted feature structures is finite.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P85-1018.txt | Citing Article:  E91-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We feel that the restriction technique has great potential to make increasingly powerful grammar formalisms computationally feasible.</S><S sid = NA ssid = NA>Instead, we would like a parsing algorithm that placed no restraints on the grammars it could handle as long as they could be expressed within the intended formalism.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P85-1018.txt | Citing Article:  E91-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The performance of the parsing algorithms discussed in the preceding sections (a bottom-up parser for UG (BU), a top-down parser for UG (of Shieber, 1985) (TD), a top-down parser operating on an instantiated grammar (TD/1), and a bottom-up parser with top down filtering operating on an instantiated grammar (BU/LC)) were tested on two experimental CUGs, one implementing the morphosyntactic features of German NPs, and one implementing the syntax of WH-questions in Dutch by means of a gap-threading mechanism.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Coupling the grammar design and parser design problems in this way leads to the linguistic and technological problems becoming inherently mixed, magnifying the difficulty of writing an adequate grammar/parser system.</S><S sid = NA ssid = NA>For example, if we find a verb that subcategorizes for a noun phrase, but the grammar rules allow postverbal NPs, PPs, s, VPs, and so forth, the parser will have no way to eliminate the building of edges corresponding to these categories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P85-1018.txt | Citing Article:  E91-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Comparing our results with those of Shieber (1985) and Haas (1989), we see that in all cases top-down filtering may reduce the size of the chart significantly.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the cases where no unification exists, the unification is said to fail.</S><S sid = NA ssid = NA>Our implementation demonstrates the drastic elimination of chart edges that can be achieved by this technique.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P85-1018.txt | Citing Article:  C96-2111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, such an adaptation of CF algorithms involves their extension to possibly infinite nonterminal domains, which, as Shieber (1985) and Haas (1989) have shown, is nontrivial.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we discuss a solution to the problem of extending parsing algorithms to formalisms with possibly infinite nonterminal domains, a solution based on a general technique we call restriction.</S><S sid = NA ssid = NA>In this paper, we discuss a solution to the problem of extending parsing algorithms to formalisms with possibly infinite nonterminal domains, a solution based on an operation we call restriction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P85-1018.txt | Citing Article:  C96-2111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Shieber (1985, 1992) follows established terminology in speaking of top-down filtering in connection with the prediction step of the Earley algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Formally, we define restriction as follows.</S><S sid = NA ssid = NA>Finally, restriction can be used in areas of parsing other than top-down prediction and filtering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P85-1018.txt | Citing Article:  C96-2111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We view the linking relation not simply as a filter to increase fficiency within the domain of syntactic analysis - this aspect is stressed by Shieber (1985) and other investigators such as Bouma (1991) - but rather as a device for the top-down predictive instantiation of information, as Shieber et al (1990) have shown for semantic-head-driven generation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Second. and perhaps more critically, because only certain of the information in a rule is used to guide the parse, say major category information, only such information can be used to filter spurious hypotheses by top-down filtering.</S><S sid = NA ssid = NA>I,FC and (PSG parsers can make rise of the top-down filtering device as Well.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P85-1018.txt | Citing Article:  C96-2111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We feel that the restriction technique has great potential to make increasingly powerful grammar formalisms computationally feasible.</S><S sid = NA ssid = NA>Instead, we would like a parsing algorithm that placed no restraints on the grammars it could handle as long as they could be expressed within the intended formalism.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P85-1018.txt | Citing Article:  C96-2111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This amounts to the simplest case of the restriction technique of Shieber (1985).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, in Section 5, we discuss applications of the particular algorithm and the restriction technique in general.</S><S sid = NA ssid = NA>We have presented a general technique of restriction with many applications in the area of manipulating complexfeature-based grammar formalisms.</S> | Discourse Facet:  NA | Annotator: Automatic


