Citance Number: 1 | Reference Article:  C90-3045.txt | Citing Article:  P11-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Synchronous tree adjoining grammars (TAG) (Shieber and Schabes, 1990) are a good candidate.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 1 ssid = >The unique properties of lree-adjoining grammars (TAG) present a challenge for the application of 'FAGs beyond the limited confines of syntax, for instance, to the task of semantic interpretation or automatic translation of nat- ural h'mguage.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C90-3045.txt | Citing Article:  P08-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For further background, refer to the work of Shieber and Schabes (1990) and Shieber (1994).</S> | Reference Offset:  ['8','112'] | Reference Text:  <S sid = 8 ssid = >Any version of compositional 1We assume familiarity throughout the paper with previous work on TAGs.</S><S sid = 112 ssid = >Machine translation proceeds akmg similar lines by mapping two 'FAGs directly (Abeill6 et al, 1990), In previous work, one of us noted that generation ac- cording to an augmented context-free grammar can be made more efficient by requiring the grammar to be se- mantically monotonic (Shieber, 1988); the derived se- mantics for an expression must include, in an appropri- ate sense, the semantic material of all its subconstituents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C90-3045.txt | Citing Article:  P05-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In theory, stochastic tree transducers and some versions of synchronous grammars provide solutions for the non-isomorphic tree based transduction problem and hence possible solutions for MT. Synchronous Tree Adjoining Grammars, proposed by (Shieber and Schabes, 1990), were introduced primarily for semantics but were later also proposed for translation.</S> | Reference Offset:  ['0','11'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 11 ssid = >However, in the case of TAGs, the compositional structure of the tree is not miro rored by its derivational structure, so that a method for constructing semantics based on the compositional syn- tactic structure will be inherently nonderivational, that is, construction of the semantics will be independent of the derivation of the tree, and therefore subsequent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C90-3045.txt | Citing Article:  P05-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A synchronous derivation process for the two syntactic structures of both languages suggests the level of cross-lingual isomorphism between the two trees (e.g. Synchronous Tree Adjoining Grammars (Shieber and Schabes, 1990)).</S> | Reference Offset:  ['0','20'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 20 ssid = >The original language and its associated structures are both defined by grammars tated in a TAG formalism; the two TAGs are synchronous in the sense that adjunction and substitution operations are applied simultaneously to related nodes in pairs of trees, one for each language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C90-3045.txt | Citing Article:  W04-3207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shieber and Schabes (1990) describe a synchronous tree adjoining grammar.</S> | Reference Offset:  ['0','118'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 118 ssid = >In summary, just as lexicaliza- lion of the syntactic grammar aids parsing (Schabes and Joshi, 1990), so lexicalization of the semantic gra.,nmz:r aids generation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C90-3045.txt | Citing Article:  W04-1513.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >At the same time, grammar theoreticians have proposed various generative synchronous grammar formalisms for MT, such as Synchronous Context Free Grammars (S-CFG) (Wu, 1997) or Synchronous Tree Adjoining Grammars (S-TAG) (Shieber and Schabes, 1990).</S> | Reference Offset:  ['0','116'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 116 ssid = >In the case of augmented context- free grammars, the semantic monotonicity requirement precludes "lexicalization" of the semantics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C90-3045.txt | Citing Article:  W04-1513.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Synchronous TAGs, proposed by (Shieber and Schabes, 1990), which were introduced primarily for semantics but were later also proposed for translation.</S> | Reference Offset:  ['10','74'] | Reference Text:  <S sid = 10 ssid = >semantics, or syntax.directed translation relies on such a methodology to some extent.</S><S sid = 74 ssid = >A companion paper (Abeill6 et al, 1990) uses a mapping between two TAGs for automatic translation between natural anguages, and constitutes a further application of the synchronous TAG concept.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C90-3045.txt | Citing Article:  P04-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The TAG channel model defines a stochastic mapping of source sentences X into observed sentences Y. There are several ways to define transducers using TAGs such as Shieber and Schabes (1990), but the following simple method, inspired by finite-state transducers, suffices for the application here.</S> | Reference Offset:  ['74','121'] | Reference Text:  <S sid = 74 ssid = >A companion paper (Abeill6 et al, 1990) uses a mapping between two TAGs for automatic translation between natural anguages, and constitutes a further application of the synchronous TAG concept.</S><S sid = 121 ssid = >In the case wltere the synchronous TAG is order- independent ( hat is, the order of derivation in one TAG does not effect the result in the other, as when no two links share an endpoint) there is a one-to-one mapping between the source and target derivation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C90-3045.txt | Citing Article:  W08-0411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The tree fragments that are obtained by decomposing the synchronous trees in this fashion are similar to the Synchronous Tree Insertion Grammar of (Shieber and Schabes, 1990). We developed a tree traversal algorithm that decomposes parallel trees into all minimal tree fragments.</S> | Reference Offset:  ['0','88'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 88 ssid = >In synchronous multi-component TAGs, the links between trees connect, in general, a set of nodes in one tree with a set in another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C90-3045.txt | Citing Article:  N10-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One natural solution is to restrict our candidate triples to those given by a synchronous context free grammar (SCFG) (Shieber and Schabes, 1990).</S> | Reference Offset:  ['23','116'] | Reference Text:  <S sid = 23 ssid = >A synchronous TAG for this purpose is given in Figure 1.</S><S sid = 116 ssid = >In the case of augmented context- free grammars, the semantic monotonicity requirement precludes "lexicalization" of the semantics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C90-3045.txt | Citing Article:  W03-1601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our mapping between semantic and syntactic constituents bears resemblance to the pairings in Synchronous TAG (Shieber and Schabes, 1990).</S> | Reference Offset:  ['74','118'] | Reference Text:  <S sid = 74 ssid = >A companion paper (Abeill6 et al, 1990) uses a mapping between two TAGs for automatic translation between natural anguages, and constitutes a further application of the synchronous TAG concept.</S><S sid = 118 ssid = >In summary, just as lexicaliza- lion of the syntactic grammar aids parsing (Schabes and Joshi, 1990), so lexicalization of the semantic gra.,nmz:r aids generation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C90-3045.txt | Citing Article:  D09-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently there is a swing back to incorporating more linguistic information again, but this time linguistic insight carefully guides the setup of empirically learned models. Shieber (2007) recently argued that probabilistic Synchronous Tree Adjoining Grammars (Shieber and Schabes, 1990) have the right combination of properties that satisfy both linguists and empirical MT practitioners.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 1 ssid = >The unique properties of lree-adjoining grammars (TAG) present a challenge for the application of 'FAGs beyond the limited confines of syntax, for instance, to the task of semantic interpretation or automatic translation of nat- ural h'mguage.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C90-3045.txt | Citing Article:  D09-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shieber and Schabes (1990) offer a synchronous version of TAG (STAG), allowing the construction of a pair of trees in lockstep fashion using the TAG operations of substitution and adjunction on tree pairs.</S> | Reference Offset:  ['20','97'] | Reference Text:  <S sid = 20 ssid = >The original language and its associated structures are both defined by grammars tated in a TAG formalism; the two TAGs are synchronous in the sense that adjunction and substitution operations are applied simultaneously to related nodes in pairs of trees, one for each language.</S><S sid = 97 ssid = >Completing the deriva- tion using analogous elementary tree pairs, we might generate the final tree pair a4 of Figure 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C90-3045.txt | Citing Article:  P96-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','131'] | Reference Text:  <S sid = 48 ssid = >When one of the links is chosen and an adjunction per- formed at the node, the other link must appear in the resultant.</S><S sid = 131 ssid = >If the representation can be left im- plicit, the optimization can be maintained, but retrieval of explicit representations will be combinatorially more complex.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C90-3045.txt | Citing Article:  P96-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >STAG (Shieber and Schabes, 1990) (Synchronized TAG) for each member of the TAG (Tree Adjoining Grammar) family.</S> | Reference Offset:  ['0','64'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 64 ssid = >Second, the use of the synchronous TAG augmenta- tion allows ,an even more radical reduction in the role of features in a TAG grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C90-3045.txt | Citing Article:  P96-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The meaning of the word& quot; synchronized& quot; here is exactly the same as in STAG (Shieber and Schabes, 1990).</S> | Reference Offset:  ['46','98'] | Reference Text:  <S sid = 46 ssid = >Tile trees in 7 are linked in this way so that other tree pairs can modify the N. We can continue the derivation, using 5 and ~ to gen- erate the pair given in Figure 2 thereby associating the meaning violently' ( hates' (george', cooked'( broccol i') ) ) ) with the sentence "George hates cooked broccoli vio- lently."</S><S sid = 98 ssid = >This final pairing associates the meaning By : vegetablc' (y).Vx : politician' (z).hates' ( z, y) with the sentence "Every politician hates some veg- etable."</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C90-3045.txt | Citing Article:  W07-0402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As first described by Shieber and Schabes (1990), STAG can be used to provide a semantics for a TAG syntactic analysis by taking the tree pairs to represent a syntactic analysis synchronized with a semantic analysis. For example, Figure 2 (a) contains a sample English syntax/semantics grammar fragment that can be used to analyze the sentence? John apparently likes Mary?.</S> | Reference Offset:  ['18','82'] | Reference Text:  <S sid = 18 ssid = >mal Description Language interpretation tasks can be thought of as asso- ciating a syntactic analysis of a sentence with some other stmcture,---a logical form representation r an analysis of a target language sentence, perhaps.</S><S sid = 82 ssid = >All of the arguments for the TAG analysis of idioms and light verb constructions can then be maintained in a formalism that allows for semantics for them as well.</S> | Discourse Facet:  NA | Annotator: Automatic


