Citance Number: 1 | Reference Article:  N03-1022.txt | Citing Article:  N06-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A third approach, exemplified by Moldovan et al (2003) and Raina et al (2005), is to translate dependency parses into neo-Davidsonian-style quasi logical forms, and to perform weighted abductive theorem proving in the tradition of (Hobbs et al, 1988).</S> | Reference Offset:  ['3','58'] | Reference Text:  <S sid = 3 ssid = >The approach is to transform questions and answer passages into logic representations.</S><S sid = 58 ssid = >Taking the same approach as for open text, we have parsed and represented in logic forms more than 50,000 WordNet glosses.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  N03-1022.txt | Citing Article:  H05-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Analysis of results on some RTE examples along without guesses and confidence probabilities inference of (Moldovan et al, 2003) and have proposed a way to capture common cases of this phenomenon.</S> | Reference Offset:  ['74','142'] | Reference Text:  <S sid = 74 ssid = >We call these NLP axioms and present below some examples together with questions that call them.</S><S sid = 142 ssid = >Table 1 summarizes these results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N03-1022.txt | Citing Article:  W04-0506.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In COGEX (Moldovan et al, 2003), a recent QA system, authors used automated reasoning for QA and showed that it is feasible, effective and scalable.</S> | Reference Offset:  ['11','140'] | Reference Text:  <S sid = 11 ssid = >In this paper we introduce one such novel idea, the use of automated reasoning in QA, and show that it is feasible, effective, and scalable.</S><S sid = 140 ssid = >Of these, 206 were answered by COGEX but some of these answers were also provided by QA system without COGEX.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N03-1022.txt | Citing Article:  W06-1604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moldovan et al (2003) describe a method similar to ours.</S> | Reference Offset:  ['78','106'] | Reference Text:  <S sid = 78 ssid = >Similar to the above issue, a question may refer to the subject/object in an abbreviated form, while the answer will refer to the subject/object in its full, proper form.</S><S sid = 106 ssid = >Additionally, similar to hyperresolution, paramodulation combines multiple substitution steps into one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N03-1022.txt | Citing Article:  P06-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Continuing this work Moldovan et al (Moldovan et al, 2003) built a logic prover for Question Answering.</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >COGEX: A Logic Prover For Question Answering</S><S sid = 2 ssid = >This paper introduces the idea of automated reasoning applied to question answering and shows the feasibility of integrating a logic prover into a Question Answering system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N03-1022.txt | Citing Article:  P04-3018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wordnets and ontologies are very common resources and are employed in a wide variety of direct and indirect QA tasks, such as reasoning based on axioms extracted from WordNet (Moldovanetal., 2003).</S> | Reference Offset:  ['15','102'] | Reference Text:  <S sid = 15 ssid = >These axioms are provided by the WordNet glosses represented in logic forms.</S><S sid = 102 ssid = >Axioms placed in the Usable list are: (1) Extended WordNet axioms, (2) NLP axioms, and (3) axioms based on outside world knowledge, such as people and organizations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N03-1022.txt | Citing Article:  W06-1808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >COGEX (Moldovan et al, 2003) uses its logic prover to extract lexical relationships between the question and its candidate answers.</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >COGEX: A Logic Prover For Question Answering</S><S sid = 12 ssid = >We have implemented a Logic Prover, called COGEX (from the permutation of the first two syllables of the verb excogitate) which uniformly codifies the question and answer text, as well as world knowledge resources, in order to use its inference engine to verify and extract any lexical relationships between the question and its candidate answers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N03-1022.txt | Citing Article:  P06-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >a combination of language processes that transform questions and candidate answers in logic representations such that reasoning systems can select the correct answer based on their proofs (cf. (Moldovan et al., 2003)).</S> | Reference Offset:  ['3','14'] | Reference Text:  <S sid = 3 ssid = >The approach is to transform questions and answer passages into logic representations.</S><S sid = 14 ssid = >In addition to the logic representations of questions and candidate answers, the QA Logic Prover needs world knowledge axioms to link question concepts to answer concepts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N03-1022.txt | Citing Article:  D07-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >WordNet (Fellbaum, 1998) is perhaps the most popular resource and has been employed in a variety of QA-related tasks ranging from query expansion, to axiom-based reasoning (Moldovan et al., 2003), passage scoring (Paranjpe et al, 2003), and answer filtering (Leidner et al, 2004).</S> | Reference Offset:  ['22','62'] | Reference Text:  <S sid = 22 ssid = >Our solution is to integrate the prover into the QA system and rely on reasoning methods only to augment other previously implemented answer extraction techniques.</S><S sid = 62 ssid = >These are sequences of semantically related words that link two concepts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N03-1022.txt | Citing Article:  W06-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Scenario knowledge was also included in the form of axiomatic logic transformation developed in (Moldovan et al, 2003).</S> | Reference Offset:  ['26','28'] | Reference Text:  <S sid = 26 ssid = >The term Answer Logic Form (ALF) refers to the candidate answers in logic form.</S><S sid = 28 ssid = >The term Question Logic Form (QLF) refers to the questions posed to the Question Answering system represented in logic form.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N03-1022.txt | Citing Article:  W09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['55','150'] | Reference Text:  <S sid = 55 ssid = >World knowledge is necessary to conceptually link questions and answers.</S><S sid = 150 ssid = >We wish to thank Mihai Surdeanu and Marius Pasca from LCC for their contribution to this work.</S> | Discourse Facet:  NA | Annotator: Automatic


