Citance Number: 1 | Reference Article:  W95-0101.txt | Citing Article:  W96-0101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Brill, 1995) presents a rule-based part-of-speech tagger for unsupervised training corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper we describe an unsupervised learning algorithm for automatically training a rule-based part of speech tagger without using a manually tagged corpus.</S><S sid = NA ssid = NA>Conclusions In this paper, we have presented a new algorithm for unsupervised training of a rule-based part of speech tagger.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W95-0101.txt | Citing Article:  P98-2186.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Transformation based learning (TBL) (Brill, 1995) is a machine learning approach for rule learning.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The rule-based tagger is based on a learning algorithm called transformation-based errordriven learning.</S><S sid = NA ssid = NA>The unsupervised rule learning algorithm is based on the following simple idea.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W95-0101.txt | Citing Article:  P98-2186.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In its most general setting, the TBL hypothesis is not a classifier (Brill, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A transformation-based system is a processor and not a classifier.</S><S sid = NA ssid = NA>Transformation-based error-driven learning has been applied to a number of natural language problems, including part of speech tagging, prepositional phrase attachment disambiguation, speech generation and syntactic parsing [Brill, 1992; Brill, 1994; Ramshaw and Marcus, 1994; Roche and Schabes, 1995; Brill and Resnik, 1994; Huang et al., 1994; Brill, 1993a; Brill, 1993b].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W95-0101.txt | Citing Article:  P98-2186.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Brill, 1995) uses lexicon for initial annotation of the training corpus, where each word in the lexicon has a set POS tags seen for the word in the training corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The initial state annotator tags each word in the corpus with a list of all allowable tags.</S><S sid = NA ssid = NA>Initially, each word in the training set is tagged with all tags allowed for that word, as indicated in the dictionary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W95-0101.txt | Citing Article:  P08-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brill (1995b) proposed an unsupervised tagger based on transformation based learning (Brill, 1995a), achieving accuracies of above 95%.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The rule-based tagger is based on a learning algorithm called transformation-based errordriven learning.</S><S sid = NA ssid = NA>It was shown in [Brill, 1994] that the transformation-based tagger achieves a high rate of tagging accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W95-0101.txt | Citing Article:  H05-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We will also study the effect of other window sizes and the combination of this unsupervised approach with minimally-supervised approaches such as (Brill 1995) (Smith and Mann 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This approach is described in [Merialdo, 1995; Elworthy, 1994].</S><S sid = NA ssid = NA>In table 2, we show tagging accuracy on a separate test set using different sizes of manually annotated corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W95-0101.txt | Citing Article:  D10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Research into unsupervised part-of-speech tagging with a tag dictionary (sometimes called weakly supervised POS tagging) has been going on for many years (cf Merialdo (1994), Brill (1995)), but generally using a fairly small tag set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>So all learned transformations will have the form: Change the tag of a word from x to Y in context C where x is a set of two or more part of speech tags, and Y- is a single part of speech tag, such that Y E X.</S><S sid = NA ssid = NA>Transformation-based error-driven learning has been applied to a number of natural language problems, including part of speech tagging, prepositional phrase attachment disambiguation, speech generation and syntactic parsing [Brill, 1992; Brill, 1994; Ramshaw and Marcus, 1994; Roche and Schabes, 1995; Brill and Resnik, 1994; Huang et al., 1994; Brill, 1993a; Brill, 1993b].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W95-0101.txt | Citing Article:  C04-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unsupervised part-of-speech tagging, as defined above, has been attempted using a variety of learning algorithms (Brill 1995, Church, 1988, Cutting et. al. 1992, Elworthy, 1994 Kupiec 1992, Merialdo 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This method is employed in [Kupiec, 1992; Cutting et al., 1992].</S><S sid = NA ssid = NA>Almost all of the work in the area of automatically trained taggers has explored Markov-model based part of speech tagging [Jelinek, 1985; Church, 1988; Derose, 1988; DeMarcken, 1990; Cutting et al., 1992; Kupiec, 1992; Charniak et al., 1993; Weischedel et al., 1993; Schutze and Singer, 1994; Lin et al., 1994; Elworthy, 1994; Merialdo, 19951.2 For a Markov-model based tagger, training consists of learning both lexical probabilities (P(worclItag)) and contextual probabilities (P(tagiltagi_i tagi_n)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W95-0101.txt | Citing Article:  C04-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For our comparison of unsupervised tagging methods, we implemented the HMM taggers described in Merialdo (1991) and Kupiec (1992), as well as the UTBL tagger described in Brill (1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In [Merialdo, 1995], tagging experiments are described training a tagger using the BaumWelch algorithm with a dictionary constructed as described above and an untagged corpus.</S><S sid = NA ssid = NA>This approach is described in [Merialdo, 1995; Elworthy, 1994].</S> | Discourse Facet:  NA | Annotator: Automatic


