Citance Number: 1 | Reference Article:  P01-1019.txt | Citing Article:  P02-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Given the fine-grained syntactic and semantic analysis of the HPSG grammar and its robustness (through SNLP integration), we decided to use the semantic representation (MRS, see (Copestake et al, 2001)) as additional input for IE.</S> | Reference Offset:  ['2','111'] | Reference Text:  <S sid = 2 ssid = >Some constraint-based grammar formalisms incorporate both syntactic and semantic representations within the same structure.</S><S sid = 111 ssid = >We have developed a framework for formally specifying semantics within constraint-based representations which allows semantic operations in a grammar to be tightly specified and which allows a representation of semantic content which is largely independent of the feature structure architecture of the syntactic representation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P01-1019.txt | Citing Article:  I05-2035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The original Grammar Matrix consisted of types defining the basic feature geometry, types associated with Minimal Recursion Semantics (e.g., (Copestake et al, 2001)), types for lexical and syntactic rules, and configuration files for the LKB grammar development environment (Copestake, 2002) and the PET system (Callmeier,2000).</S> | Reference Offset:  ['12','112'] | Reference Text:  <S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S><S sid = 112 ssid = >HPSGs can be written which encode much of the algebra described here as constraints on types in the grammar, thus ensuring that the grammar is consistent with the rules on composition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P01-1019.txt | Citing Article:  W02-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Redwoods tree bank provides deeper semantics expressed in the Minimum Recursion Semantics formalism (Copestake et al, 2001), but in the present experiments we have not explored this fully.</S> | Reference Offset:  ['5','12'] | Reference Text:  <S sid = 5 ssid = >It is in many ways easier to work with than A-calculus based approaches (which we discuss further below) and has the great advantage of allowing generalizations about the syntax-semantics interface to be easily expressed.</S><S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P01-1019.txt | Citing Article:  C04-1185.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In future work we will compare our semantics construction principles to the general model of Copestake et al (2001).</S> | Reference Offset:  ['12','100'] | Reference Text:  <S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S><S sid = 100 ssid = >In combination with the principles defined in Copestake et al (1999) for qeq conditions, the algebra presented here results in a much more tightly specified approach to semantic composition than that in Pollard and Sag (1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P01-1019.txt | Citing Article:  N04-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The semantic interpretations are expressed using Minimal Recursion Semantics (MRS) (Copestake et al, 2001), which provides the means to represent interpretations with a flat, underspecified semantics using terms of the predicate calculus and generalized quantifiers.</S> | Reference Offset:  ['12','48'] | Reference Text:  <S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S><S sid = 48 ssid = >This must define the semantics of the operation op in terms of a function f which is defined entirely in terms of the denotations of op’s arguments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P01-1019.txt | Citing Article:  W02-1210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The grammar is couched in the theoretical framework of Head-Driven Phrase Structure Grammar (HPSG) (Pollard; Sag 1994), with semantic representations in Minimal Recursion Semantics (MRS) (Copestake et al 2001).</S> | Reference Offset:  ['9','12'] | Reference Text:  <S sid = 9 ssid = >For instance, although HPSG has the Semantics Principle (Pollard and Sag, 1994) this does not stop the composition process accessing arbitrary pieces of structure, so it is often not easy to conceptually disentangle the syntax and semantics in an HPSG.</S><S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P01-1019.txt | Citing Article:  I05-6001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our method effectively performs automatic RMRS semantics construction from functional dependencies, following the semantic algebra of Copestake et al (2001).</S> | Reference Offset:  ['0','53'] | Reference Text:  <S sid = 0 ssid = >An Algebra For Semantic Construction In Constraint-Based Grammars</S><S sid = 53 ssid = >We can now define the following operation f over these denotations to create an algebra: Definition 5 Semantics of the Semantic Construction Algebra where G0 = {g : g(i1) = g(i02)} And this operation demonstrates that semantic construction is compositional: Theorem 2 Semantics of Semantic Construction is Compositional The mapping [] : hΣ, opi −→ hhI, I, Gi, fi is a homomorphism (so [op(a1, a2)] = f([a1], [a2])).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P01-1019.txt | Citing Article:  I05-6001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We show how to adapt the construction principles of the semantic algebra of Copestake et al (2001) to RMRS construction from dependencies in a rewrite scenario, and discuss the treatment of some special phenomena, such as verbal complementation, coordination and modification.</S> | Reference Offset:  ['0','53'] | Reference Text:  <S sid = 0 ssid = >An Algebra For Semantic Construction In Constraint-Based Grammars</S><S sid = 53 ssid = >We can now define the following operation f over these denotations to create an algebra: Definition 5 Semantics of the Semantic Construction Algebra where G0 = {g : g(i1) = g(i02)} And this operation demonstrates that semantic construction is compositional: Theorem 2 Semantics of Semantic Construction is Compositional The mapping [] : hΣ, opi −→ hhI, I, Gi, fi is a homomorphism (so [op(a1, a2)] = f([a1], [a2])).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P01-1019.txt | Citing Article:  I05-6001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For (R) MRS construction from dependencies we follow the algebra for semantics composition in Copestake et al (2001).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >An Algebra For Semantic Construction In Constraint-Based Grammars</S><S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P01-1019.txt | Citing Article:  I05-6001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Copestake et al (2001) mention a third feature to be included in the hook as an externally visible variable, which they instantiate with the index of the controlled subject in equi constructions and which is also used to implement the semantics of predicative modification.</S> | Reference Offset:  ['12','73'] | Reference Text:  <S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S><S sid = 73 ssid = >The handle in the hook corresponds to the LTOP feature in MRS.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P01-1019.txt | Citing Article:  I05-6001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Otherwise, composition strictly follows the semantic operations of the algebra of Copestake et al (2001): the composition rules only refer to the hook and slots of functors and arguments, to achieve the binding of argument variables and the encoding of scope constraints.</S> | Reference Offset:  ['39','112'] | Reference Text:  <S sid = 39 ssid = >We can assume that semantic composition always involves two arguments, since we can define composition in ternary rules etc as a sequence of binary operations.</S><S sid = 112 ssid = >HPSGs can be written which encode much of the algebra described here as constraints on types in the grammar, thus ensuring that the grammar is consistent with the rules on composition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P01-1019.txt | Citing Article:  I05-6001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The algebra of Copestake et al (2001) defines modifiers to externalise the variable of the ARG1.</S> | Reference Offset:  ['29','100'] | Reference Text:  <S sid = 29 ssid = >This is written relation(arg1, ... ,argn).</S><S sid = 100 ssid = >In combination with the principles defined in Copestake et al (1999) for qeq conditions, the algebra presented here results in a much more tightly specified approach to semantic composition than that in Pollard and Sag (1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P01-1019.txt | Citing Article:  I05-6001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In future research, we will investigate how the semantic algebra of Copestake et al (2001) compares to Glue Semantics (Dalrymple, 1999).</S> | Reference Offset:  ['12','100'] | Reference Text:  <S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S><S sid = 100 ssid = >In combination with the principles defined in Copestake et al (1999) for qeq conditions, the algebra presented here results in a much more tightly specified approach to semantic composition than that in Pollard and Sag (1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P01-1019.txt | Citing Article:  W06-0406.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The coincidence with Copestake et al.'s terminology (Copestake et al, 2001) is not casual; in fact, our formulation can be regarded as a decoupled fragment of theirs, since neither our holes involves syntactic labels nor are scopal issues ever touched.</S> | Reference Offset:  ['12','100'] | Reference Text:  <S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S><S sid = 100 ssid = >In combination with the principles defined in Copestake et al (1999) for qeq conditions, the algebra presented here results in a much more tightly specified approach to semantic composition than that in Pollard and Sag (1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P01-1019.txt | Citing Article:  C04-1193.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use this parser to parse the defining sentences into a full meaning representation using minimal recursion semantics (MRS: Copestake et al (2001)).</S> | Reference Offset:  ['12','111'] | Reference Text:  <S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S><S sid = 111 ssid = >We have developed a framework for formally specifying semantics within constraint-based representations which allows semantic operations in a grammar to be tightly specified and which allows a representation of semantic content which is largely independent of the feature structure architecture of the syntactic representation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P01-1019.txt | Citing Article:  C04-1193.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The output is written in Minimal Recursion Semantics (Copestake et al, 2001).</S> | Reference Offset:  ['12','29'] | Reference Text:  <S sid = 12 ssid = >Minimal Recursion Semantics (MRS: Copestake et al (1999), see also Egg (1998)) tightens up the specification of composition a little.</S><S sid = 29 ssid = >This is written relation(arg1, ... ,argn).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P01-1019.txt | Citing Article:  C04-1193.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An MRS consists of a bag of labeled elementary predicates and their arguments, a list of scoping constraints, and a pair of relations that provide a hook into the representation - a label, which must outscope all the handles, and an index (Copestake et al, 2001).</S> | Reference Offset:  ['19','72'] | Reference Text:  <S sid = 19 ssid = >The third element (the lzt) is a bag of elementary predications Intuitively, the hook is a record of the value in the semantic entity that can be used to fill a hole in another entity during composition.</S><S sid = 72 ssid = >To accommodate scoping in the algebra, we will make hooks and holes pairs of indices and handles.</S> | Discourse Facet:  NA | Annotator: Automatic


