Citance Number: 1 | Reference Article:  N04-4026.txt | Citing Article:  P05-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A DP-based beam search procedure identical to the one used in (Tillmann,2004) is used to maximize over all oriented block segmentations.</S> | Reference Offset:  ['82','83'] | Reference Text:  <S sid = 82 ssid = >We use a DP-based beam search procedure similar to the one presented in (Tillmann and Xia, 2003).</S><S sid = 83 ssid = >We maximize over all block segmentations with orientation for which the source phrases yield a segmentation of the input sentence.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  N04-4026.txt | Citing Article:  P10-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The phrase-based lexical reordering model (Tillmann, 2004) is also closely related to our model.</S> | Reference Offset:  ['7','45'] | Reference Text:  <S sid = 7 ssid = >In this paper, we present a phrase-based unigram system similar to the one in (Tillmann and Xia, 2003), which is extended by an unigram orientation model.</S><S sid = 45 ssid = >The orientation model is related to the distortion model in (Brown et al., 1993), but we do not compute a block alignment during training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N04-4026.txt | Citing Article:  W10-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One novelty this year are the introduction of lexicalized reordering models (Tillmann, 2004).</S> | Reference Offset:  ['34','100'] | Reference Text:  <S sid = 34 ssid = >1: Two unigram count-based models: and .</S><S sid = 100 ssid = >The and models use the block bigram model in Eq.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N04-4026.txt | Citing Article:  N10-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Both Moses and our system are evaluated with and without lexicalized reordering (Tillmann, 2004) .</S> | Reference Offset:  ['94','96'] | Reference Text:  <S sid = 94 ssid = >Three systems are evaluated in our experiments: is the baseline block unigram model without re-ordering.</S><S sid = 96 ssid = >This is the model presented in (Tillmann and Xia, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N04-4026.txt | Citing Article:  N10-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Tillmann, 2004) learns for each phrase a tendency to either remain monotone or to swap with other phrases.</S> | Reference Offset:  ['13','48'] | Reference Text:  <S sid = 13 ssid = >A monotone block sequence is generated except for the possibility to swap a pair of neighbor blocks.</S><S sid = 48 ssid = >Our baseline model is the unigram monotone model described in (Tillmann and Xia, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N04-4026.txt | Citing Article:  W11-2142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition to the translation model, eleven feature functions are combined: a target-language model; four lexicon models; two lexicalized reordering models (Tillmann, 2004) aiming at predicting the orientation of the next translation unit; a weak distance-based distortion model; and finally a word bonus model and a tuple-bonus model which compensate for the system preference for short translations.</S> | Reference Offset:  ['4','107'] | Reference Text:  <S sid = 4 ssid = >The orientation model is shown to improve translation performance over two models: 1) no block re-ordering is used, and 2) the block swapping is controlled only by a language model.</S><S sid = 107 ssid = >Interestingly, the swapping model without orientation performs worse than the baseline model: the word-based trigram language model alone is too weak to control the block swapping: the model is too unrestrictive to handle the block swapping reliably.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N04-4026.txt | Citing Article:  W09-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In baseline experiments we used a phrase dependent lexicalized reordering model, as proposed in Tillmann (2004).</S> | Reference Offset:  ['48','94'] | Reference Text:  <S sid = 48 ssid = >Our baseline model is the unigram monotone model described in (Tillmann and Xia, 2003).</S><S sid = 94 ssid = >Three systems are evaluated in our experiments: is the baseline block unigram model without re-ordering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N04-4026.txt | Citing Article:  W08-0304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >From the merged alignments we also extracted a bidirectional lexical reordering model conditioned on the source and the target phrases (Tillmann, 2004) (Koehn et al, 2007).</S> | Reference Offset:  ['6','45'] | Reference Text:  <S sid = 6 ssid = >In recent years, phrase-based systems for statistical machine translation (Och et al., 1999; Koehn et al., 2003; Venugopal et al., 2003) have delivered state-of-the-art performance on standard translation tasks.</S><S sid = 45 ssid = >The orientation model is related to the distortion model in (Brown et al., 1993), but we do not compute a block alignment during training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N04-4026.txt | Citing Article:  N06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The (Tillmann, 2004) paper introduced lexical features for distortion modeling.</S> | Reference Offset:  ['7','45'] | Reference Text:  <S sid = 7 ssid = >In this paper, we present a phrase-based unigram system similar to the one in (Tillmann and Xia, 2003), which is extended by an unigram orientation model.</S><S sid = 45 ssid = >The orientation model is related to the distortion model in (Brown et al., 1993), but we do not compute a block alignment during training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N04-4026.txt | Citing Article:  N06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An other obvious system improvement would be to incorporate more advanced word-based features in the DTs, such as questions about word classes (Tillmann and Zhang 2005, Tillmann 2004).</S> | Reference Offset:  ['11','36'] | Reference Text:  <S sid = 11 ssid = >The unigram orientation model is trained from word-aligned training data.</S><S sid = 36 ssid = >The blocks are counted from word-aligned training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N04-4026.txt | Citing Article:  W12-4207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Tillmann (2004) used a lexical reordering model, and Galley et al (2004) followed a syntactic-based model.</S> | Reference Offset:  ['6','45'] | Reference Text:  <S sid = 6 ssid = >In recent years, phrase-based systems for statistical machine translation (Och et al., 1999; Koehn et al., 2003; Venugopal et al., 2003) have delivered state-of-the-art performance on standard translation tasks.</S><S sid = 45 ssid = >The orientation model is related to the distortion model in (Brown et al., 1993), but we do not compute a block alignment during training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N04-4026.txt | Citing Article:  W12-3140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['30','121'] | Reference Text:  <S sid = 30 ssid = >1, the orientation sequence is , i.e. block and block are generated using left orientation.</S><S sid = 121 ssid = >The paper has greatly profited from discussion with Kishore Papineni and Fei Xia.</S> | Discourse Facet:  NA | Annotator: Automatic


