Citance Number: 1 | Reference Article:  J93-3003.txt | Citing Article:  P97-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Empirical studies on the disambiguation of cue phrases (Hirschberg and Litman, 1993) have shown that just by considering the orthographic environment in which a discourse marker occurs, one can distinguish between sentential and discourse usages in about 80% of cases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Empirical Studies On The Disambiguation Of Cue Phrases</S><S sid = NA ssid = NA>Our model is based on several empirical studies (Hirschberg and Litman 1987; Litman and Hirschberg 1990): two studies of individual cue phrases in which we develop our model, and a more comprehensive study of cue phrases as a class, in which we confirm and expand our model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J93-3003.txt | Citing Article:  I05-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Annotation includes two stages: first, we allowed two coders to choose 'explanation' relations signaled by because using (Hirschberg and Litman, 1993)'s 3-way classification.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This allowed us to study how adjacent cue phrases interact Julia Hirschberg and Diane Litman Disambiguation of Cue Phrases with one another.</S><S sid = NA ssid = NA>We hypothesize, then, that, while individual speakers may choose different strategies to realize discourse now, they appear to choose from among the same limited number of options.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J93-3003.txt | Citing Article:  P99-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Many discourse segmentation techniques (e.g. Hirschberg and Litman, 1993) as well as some topic segmentation algorithms rely on cue words and phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Without such discourse segmentation, the incorrect potential antecedents might have been preferred, given their surface proximity and number agreement with the pronoun in question.</S><S sid = NA ssid = NA>Our findings for our single-speaker multi-cue phrase study support the intonational model of discourse/sentential characteristics of cue phrases that we proposed based on our earlier multispeaker single-cue phrase studies of now and well (Hirschberg and Litman 1987; Litman and Hirschberg 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J93-3003.txt | Citing Article:  P98-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was partially supported by DARPA under contract N00039-84-C-0165.</S><S sid = NA ssid = NA>Another intonational feature that is considered in our study of cue phrases is prosodic phrasing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J93-3003.txt | Citing Article:  D08-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use a list of cue phrases identified by Hirschberg and Litman (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Based on the findings of our study of now, we proposed that listeners may use prosodic information to disambiguate discourse from sentential uses of cue phrases (Hirschberg and Litman 1987).</S><S sid = NA ssid = NA>Our findings for our single-speaker multi-cue phrase study support the intonational model of discourse/sentential characteristics of cue phrases that we proposed based on our earlier multispeaker single-cue phrase studies of now and well (Hirschberg and Litman 1987; Litman and Hirschberg 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J93-3003.txt | Citing Article:  W98-0319.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Perhaps the most studied cue for discourse structure are lexical cues, also called cue phrases, which are defined as follows by Hirschberg and Litman (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our findings for our single-speaker multi-cue phrase study support the intonational model of discourse/sentential characteristics of cue phrases that we proposed based on our earlier multispeaker single-cue phrase studies of now and well (Hirschberg and Litman 1987; Litman and Hirschberg 1990).</S><S sid = NA ssid = NA>However, while cue phrases may convey discourse structure, each also one or more alternate uses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J93-3003.txt | Citing Article:  W98-0319.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example Hirschberg and Litman (1993) found that into national phrasing and pitch accent play a role in disambiguating cue phrases, and hence in helping determine discourse structure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will have more to say on the role of orthography in disambiguating cue phrases in connection with the study described in Section 5.</S><S sid = NA ssid = NA>The critical role that cue phrases play in understanding and generating discourse has often been noted in the computational linguistics literature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J93-3003.txt | Citing Article:  W04-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>our own implementation of a feature concerning the presence of certain cue words (Hirschberg and Litman, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our findings for our single-speaker multi-cue phrase study support the intonational model of discourse/sentential characteristics of cue phrases that we proposed based on our earlier multispeaker single-cue phrase studies of now and well (Hirschberg and Litman 1987; Litman and Hirschberg 1990).</S><S sid = NA ssid = NA>Another intonational feature that is considered in our study of cue phrases is prosodic phrasing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J93-3003.txt | Citing Article:  P13-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Many researchers have attempted to make use of cue phrases (Hirschberg and Litman, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Based on the findings of our study of now, we proposed that listeners may use prosodic information to disambiguate discourse from sentential uses of cue phrases (Hirschberg and Litman 1987).</S><S sid = NA ssid = NA>Our findings for our single-speaker multi-cue phrase study support the intonational model of discourse/sentential characteristics of cue phrases that we proposed based on our earlier multispeaker single-cue phrase studies of now and well (Hirschberg and Litman 1987; Litman and Hirschberg 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


