Citance Number: 1 | Reference Article:  A00-2004.txt | Citing Article:  P01-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Choi (2000) used the rank of the cosine, rather than the cosine itself, to measure the similarity of sentences. The statistical model for the algorithm is described in Section 2, and the algorithm for obtaining the maximum-probability segmentation is described in Section 3.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It incorporates the optimisations described in section 3.4.</S><S sid = NA ssid = NA>For instance, the introduction section of a document is less cohesive than a section which is about a particular topic.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  A00-2004.txt | Citing Article:  W12-0703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As dataset the Choi dataset (Choi, 2000) is used.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For segmentation, we used a 11 x 11 rank mask.</S><S sid = NA ssid = NA>Both algorithms used a 11 x 11 ranking mask.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A00-2004.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this paper, we selected for comparison three systems based merely on the lexical reiteration feature: TextTiling (Hearst, 1997), C99 (Choi, 2000) and TextSeg (Utiyama and Isahara, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We compare three versions of the TextTiling algorithm (Hearst, 1994).</S><S sid = NA ssid = NA>C99(b) is marginally more accurate than C99.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A00-2004.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The C99 algorithm (Choi, 2000) makes a linear segmentation based on a divisive clustering strategy and the cosine similarity measure between any two minimal units.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A segmentation algorithm has two key elements, a, clustering strategy and a similarity measure.</S><S sid = NA ssid = NA>Boundary locations are discovered by divisive clustering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A00-2004.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Choi (2000) designed an artificial dataset, built by concatenating short pieces of texts that have been extracted from the Brown corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A segment is the first n sentences of a randomly selected document from the Brown corpus'.</S><S sid = NA ssid = NA>An artificial test corpus of 700 samples is used to assess the accuracy and speed performance of segmentation algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A00-2004.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>C99 KA to denote the C99 algorithm (Choi, 2000) when the aver age number of boundaries in the reference data was provided to the algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>C99(b) is marginally more accurate than C99.</S><S sid = NA ssid = NA>Our chain breaking strategy improved accuracy (compare K98(i) with K98(j,a))• Two versions of our algorithm were developed, C99 and C99(b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  A00-2004.txt | Citing Article:  P06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, most algorithms achieve high performance on synthetic collections, generated by concatenation of random text blocks (Choi, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A sample is a concatenation of ten text segments.</S><S sid = NA ssid = NA>Low error probability indicates high accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  A00-2004.txt | Citing Article:  P06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Therefore, we only use manual transcriptions of these lectures. Synthetic Corpus Also as part of our analysis, we used the synthetic corpus created byChoi (2000) which is commonly used in the evaluation of segmentation algorithms.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An artificial test corpus of 700 samples is used to assess the accuracy and speed performance of segmentation algorithms.</S><S sid = NA ssid = NA>Both algorithms used a 11 x 11 ranking mask.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  A00-2004.txt | Citing Article:  P06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follow Choi (2000) and compute the mean segment length used in determining the parameter k on each reference text separately. We also plot the Receiver Operating Character is tic (ROC) curve to gauge performance at a finer level of discrimination (Swets, 1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A text segment is defined by two sentences i, j (inclusive).</S><S sid = NA ssid = NA>An artificial test corpus of 700 samples is used to assess the accuracy and speed performance of segmentation algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  A00-2004.txt | Citing Article:  P06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We test the system on a range of data sets, including the Physics and AI lectures and the synthetic corpus created by Choi (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A sample is characterised by the range of n. The corpus was generated by an automatic procedure5.</S><S sid = NA ssid = NA>The significance of our results has been confirmed by both t-test and KS-test.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  A00-2004.txt | Citing Article:  P06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Comparison with local dependency models We compare our system with the state-of-the-art similarity-based segmentation system developed by Choi (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper describes a method for linear text segmentation which is twice as accurate and over seven times as fast as the state-of-the-art (Reynar, 1998).</S><S sid = NA ssid = NA>Each value in the similarity matrix is replaced by its rank in the local region.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  A00-2004.txt | Citing Article:  P06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the publicly available implementation of the system and optimize the system on a range of mask-sizes and different parameter settings described in (Choi, 2000) on a held out development set of three lectures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The former is an exact implementation of the algorithm described in this paper.</S><S sid = NA ssid = NA>K98(i) is my implementation of the algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  A00-2004.txt | Citing Article:  C08-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Existing methods for topic segmentation typically assume that fragments of text (e.g. sentences or sequences of words of a fixed length) with similar lexical distribution are about the same topic; the goal of these methods is to find the boundaries where the lexical distribution changes (e.g. Choi (2000), Malioutov and Barzilay (2006)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Existing work falls into one of two categories, lexical cohesion methods and multi-source methods (Yaari, 1997).</S><S sid = NA ssid = NA>Lexical cohesion methods are typically used for segmenting written text in a collection to improve information retrieval (Hearst, 1994; Reynar, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  A00-2004.txt | Citing Article:  C08-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Nevertheless, we will compare our topic identification approach to a state-of-the-art topic segmentation algorithm (Choi, 2000) in the evaluation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The aim of linear text segmentation is to discover the topic boundaries.</S><S sid = NA ssid = NA>This paper describes a method for linear text segmentation which is twice as accurate and over seven times as fast as the state-of-the-art (Reynar, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  A00-2004.txt | Citing Article:  C08-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Choi 2000 Choi's (2000) state-of-the-art approach to finding segment boundaries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper describes a method for linear text segmentation which is twice as accurate and over seven times as fast as the state-of-the-art (Reynar, 1998).</S><S sid = NA ssid = NA>B(r,b) randomly selects b boundaries as real boundaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  A00-2004.txt | Citing Article:  C08-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the freely available C99 software described in Choi (2000), varying a parameter that allows us to control the average number of sentences per segment and reporting the best result on the test data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A text segment is defined by two sentences i, j (inclusive).</S><S sid = NA ssid = NA>The significance of our results has been confirmed by both t-test and KS-test.</S> | Discourse Facet:  NA | Annotator: Automatic


