Citance Number: 1 | Reference Article:  J00-4003.txt | Citing Article:  C02-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Vieira and Poesio (2000), extending this class to include only and a few others, make use of them in identifying discourse-new definite descriptions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Looking for restrictive postmodifiers might therefore be a good way of identifying discourse-new descriptions.</S><S sid = NA ssid = NA>Vieira and Poesio Processing Definite Descriptions Sidner's Theory of Definite Anaphora Cornprehension.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J00-4003.txt | Citing Article:  P04-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One common approach involves the design of heuristic rules to identify specific types of (non) anaphoric NPs such as pleonastic pronouns (e.g., Paice and Husk (1987), Lappin and Leass (1994), Kennedy and Boguraev (1996), Denber (1998)) and definite descriptions (e.g., Vieira and Poesio (2000)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2 in fact, it is precisely because we are interested in identifying the types of commonsense reasoning actually used in language processing that we focused on definite descriptions rather than on other types of anaphoric expressions (such as pronouns and ellipsis) that can be processed much more effectively on the basis of syntactic information alone (Lappin and Leass 1994; Hardt 1997).</S><S sid = NA ssid = NA>The most common classification problem is distinguishing between larger situation and bridging descriptions; see also Fraurud (1990) and Poesio and Vieira (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J00-4003.txt | Citing Article:  D07-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While the resolution of pronominal anaphora and tracking of named entities is possible with good accuracy, the resolution of definite NPs (having a common noun as their head) is usually limited to the cases that Vieira and Poesio (2000) call direct coreference, where both coreferent mentions have the same head.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our system's strategy for resolving direct anaphora is very simple: it just looks for a potential antecedent whose head matches the head noun of the definite description.</S><S sid = NA ssid = NA>We will use the term direct anaphora when both description and antecedent have the same head noun, as in a house.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J00-4003.txt | Citing Article:  W04-0707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Vieira and Poesio (2000) proposed an algorithm for definite description (DD) resolution that incorporates a number of heuristics for detecting discourse-new descriptions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The column headed if represents the number of cases of descriptions classified as discourse-new in the standard annotation; + indicates the total number of discourse-new descriptions correctly identified; — the number of errors.</S><S sid = NA ssid = NA>The system attempts to classify each definite description as either direct anaphora,. discourse-new, or bridging description.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J00-4003.txt | Citing Article:  W04-0707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Vieira and Poesio (2000) proposed an algorithm for definite description resolution that incorporates a number of heuristics for detecting discourse-new (henceforth: DN) descriptions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The column headed if represents the number of cases of descriptions classified as discourse-new in the standard annotation; + indicates the total number of discourse-new descriptions correctly identified; — the number of errors.</S><S sid = NA ssid = NA>The system attempts to classify each definite description as either direct anaphora,. discourse-new, or bridging description.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J00-4003.txt | Citing Article:  W04-0707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Vieira and Poesio, 2000) is run, which attempts to find an head-matching antecedent within a given window and taking premodification into account.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our corpus, cases of antecedents that would incorrectly match by simply matching heads without regarding premodificatiort include: Vieira and Poesio Processing Definite Descriptions Again, taking proper account of the semantic contribution of these premodifiers would, in general, require commonsense reasoning.</S><S sid = NA ssid = NA>In our corpus we found that about 10% of direct anaphoric definite descriptions have more than one possible antecedent if segmentation is not taken into account (Vieira and Poesio 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J00-4003.txt | Citing Article:  W04-0707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The baseline algorithm without DN detection incorporated in GUITAR described above (i.e., only the direct anaphora resolution part of (Vieira and Poesio, 2000)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>5.2.5 Errors in Anaphora Resolution.</S><S sid = NA ssid = NA>As before, there were just a few more errors in anaphora resolution than in anaphora classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J00-4003.txt | Citing Article:  W06-1612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A major obstacle in the resolution of definite noun phrases with full lexical heads is that only a small proportion of them is actually anaphoric (ca. 30% (Vieira and Poesio, 2000)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>30.</S><S sid = NA ssid = NA>Our algorithm for identifying anchors attempts to match not only heads with heads, but also:</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J00-4003.txt | Citing Article:  P03-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, R. Vieira and M. Poesio have recently shown in (Vieira and Poesio, 2000) that such an exhaustive search is not needed, because many noun phrases are not anaphoric at all - about 24365 of definite NPs in their corpus have no prior referents.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our corpus we found that about 10% of direct anaphoric definite descriptions have more than one possible antecedent if segmentation is not taken into account (Vieira and Poesio 1996).</S><S sid = NA ssid = NA>Vieira and Poesio Processing Definite Descriptions Sidner's Theory of Definite Anaphora Cornprehension.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J00-4003.txt | Citing Article:  P07-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the system by Vieira and Poesio (2000), for example, WordNet is consulted to obtain the synonymy, hypernymy and meronymy relations for resolving the definite anaphora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To have an idea of how complete the information in WordNet is concerning the relations that are encoded, we selected from our two corpora 70 bridging descriptions that we had manually identified as being linked to their anchors by one of the semantic relations encoded in WordNet—synonymy, hypernymy (hyponymy), and meronymy (holonymy).</S><S sid = NA ssid = NA>Vieira and Poesio Processing Definite Descriptions Sidner's Theory of Definite Anaphora Cornprehension.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J00-4003.txt | Citing Article:  C08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We note that around 80% of the definite NPs are anaphoric in our corpus, instead of the 50% presented in (Vieira and Poesio, 2000) for news paper texts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>50.</S><S sid = NA ssid = NA>These latter contain about 80 definite descriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J00-4003.txt | Citing Article:  H05-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Vieira/Poesio algorithm (Vieira and Poesio, 2000) attempts to classify each definite description as either direct anaphora, discourse-new, or bridging description.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The system attempts to classify each definite description as either direct anaphora,. discourse-new, or bridging description.</S><S sid = NA ssid = NA>In the experiments discussed in Poesio and Vieira (1998) we asked our subjects to classify all definite description uses in our two corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J00-4003.txt | Citing Article:  E09-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Uryupina (2003) and Vieira and Poesio (2000) also take capital and low case letters into account.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The low recall was sometimes due to segmentation.</S><S sid = NA ssid = NA>In our corpus we found that about 10% of direct anaphoric definite descriptions have more than one possible antecedent if segmentation is not taken into account (Vieira and Poesio 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J00-4003.txt | Citing Article:  E09-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A more fine-grained distinction is made by Bean and Riloff (1999) and Vieira and Poesio (2000) to distinguish restrictive from non-restrictive post modification by ommitting those modifiers that occur between commas, which should not be classified as chain starting.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>15 More recently, Bean and Riloff (1999) have proposed methods for automatically extracting from a corpus heads that correlate well with discourse novelty. from our corpus analysis look for restrictive modification.&quot; We developed patterns to recognize restrictive postmodification and nonrestrictive postmodification; we also tested the correlation between discourse novelty and premodification.</S><S sid = NA ssid = NA>Restrictive premodification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J00-4003.txt | Citing Article:  E09-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The precision and recall results obtained by these classifiers - tested on MUC corpora - are around the eighties, and around the seventies in the case of Vieira and Poesio (2000), who use the Penn Treebank.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We tested the matching algorithm from Vieira and Poesio (1996) in the present version of the system; the results are presented in Table 9.</S><S sid = NA ssid = NA>In the experiments discussed in Poesio and Vieira (1998) we asked our subjects to classify all definite description uses in our two corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J00-4003.txt | Citing Article:  P08-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the discourse-new classification task, the model's most important feature is whether the head word of the NP to be classified has occurred previously (as in Ng and Cardie (2002) and Vieira and Poesio (2000)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The results just discussed led us to adopt a model of definite descriptions processing advanced in Fraurud (1990) and further elaborated in Poesio and Vieira (1998), according to which interpreting definite descriptions in written discourse is not just a matter of checking whether there is a suitable antecedent for the description, but also involves a classification task: recognizing whether a description is, in Fraurud's terms, first-mention or subsequent-mention—or, in our terminology, direct anaphora, discourse-new, or bridging.</S><S sid = NA ssid = NA>. the markets; One way to process these definite descriptions would be to update the discourse model with discourse referents not only for the NP as a whole, but also for the embedded nouns.</S> | Discourse Facet:  NA | Annotator: Automatic


