Citance Number: 1 | Reference Article:  H05-1066.txt | Citing Article:  D12-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use three base models for dependency parsing: MST parser (McDonald et al 2005), Maltparser (Nivre et al 2006), and the ensemble parser of Surdeanu and Manning (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S><S sid = NA ssid = NA>parser of Collins et al (1999).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 7 | Reference Article:  H05-1066.txt | Citing Article:  W12-4205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We have reimplemented the MST parser (McDonald et al, 2005) in order to provide for a simple insertion of the parallel features into the models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S><S sid = NA ssid = NA>parser of Collins et al (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H05-1066.txt | Citing Article:  W12-4205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The set of monolingual features used in RUR parser follows those described by McDonald et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S><S sid = NA ssid = NA>The num ber of features extracted from the PDT training set was 13, 450, 672, using the feature set outlined by McDonald et al (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H05-1066.txt | Citing Article:  D12-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first parser is a non-lexicalized version of the MST parser (McDonald et al 2005) successfully used in the multilingual context (McDonald et al 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S><S sid = NA ssid = NA>parser of Collins et al (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H05-1066.txt | Citing Article:  E12-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work has been supported by NSF ITR grants 0205448 and 0428193.</S><S sid = NA ssid = NA>7.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H05-1066.txt | Citing Article:  P13-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work has been supported by NSF ITR grants 0205448 and 0428193.</S><S sid = NA ssid = NA>7.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H05-1066.txt | Citing Article:  P14-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>See Georgiadis (2003) for a detailed algorithmic proof, and McDonald et al (2005) for an illustrative example.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Most previous dependency parsing models have focused on projective trees, including the work of Eisner (1996), Collins et al (1999), Yamada and Matsumoto (2003), Nivre and Scholz (2004), and McDonald et al (2005).</S><S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H05-1066.txt | Citing Article:  P13-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They introduce maximum spanning tree (MST) parsing (McDonald et al, 2005) into phrase-based translation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If a tree results, it must be the maximum spanning tree.</S><S sid = NA ssid = NA>A maximum spanning tree (MST) of G is a tree y ? E that maximizes the value ?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H05-1066.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For domain adaptation, we show an error reduction of up to 7.7% when adapting the second-order projective MST parser (McDonald et al 2005) from newswire to the QuestionBank domain.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S><S sid = NA ssid = NA>parser of Collins et al (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H05-1066.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For dependency parsing we utilize the second-order projective MST parser (McDonald et al 2005) with the gold-standard POS tags of the corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S><S sid = NA ssid = NA>than projective parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H05-1066.txt | Citing Article:  D12-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Base is the second-order, projective dependency parser of McDonald et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S><S sid = NA ssid = NA>parser of Collins et al (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  H05-1066.txt | Citing Article:  P12-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We consider two different approaches to learning a temporal dependency parser: a shift-reduce model (Nivre, 2008) and a graph-based model (McDonald et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Nivre and Nilsson (2005) presented a parsing model that allows for the introduc tion of non-projective edges into dependency trees through learned edge transformations within their memory-based parser.</S><S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  H05-1066.txt | Citing Article:  S12-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Dependency tree parsing as the search for the maximum spanning tree in a directed graph was proposed by McDonald et al (2005c).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If a tree results, it must be the maximum spanning tree.</S><S sid = NA ssid = NA>The main idea of our method is that dependencyparsing can be formalized as the search for a maximum spanning tree in a directed graph.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  H05-1066.txt | Citing Article:  S12-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The formulation works by defining in McDonald et al (2005a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S><S sid = NA ssid = NA>et al,2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  H05-1066.txt | Citing Article:  D12-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The standard approach to framing dependency parsing as an integer linear program was introduced by (Riedel and Clarke, 2006), who converted the MST parser of (McDonald et al 2005) to use ILP for inference. The key idea is to build a complete graph consisting of tokens of the sentence where each edge is weighted by a learned scoring function.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Chu-Liu-Edmonds(G, s) Graph G = (V, E) Edge weight function s : E ? R 1.</S><S sid = NA ssid = NA>McD2005: The projective parser of McDonald et al.</S> | Discourse Facet:  NA | Annotator: Automatic


