Citance Number: 1 | Reference Article:  P04-1053.txt | Citing Article:  I05-2045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hasegawa, et al put forward an unsupervised approach for relation extraction from large text corpora (Hasegawa et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We propose a new approach to relation discovery from large text corpora.</S><S sid = NA ssid = NA>We proposed an unsupervised method for relation discovery from large corpora.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P04-1053.txt | Citing Article:  N12-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fully unsupervised Open IE systems are mainly based on clustering of entity pair contexts to produce clusters of entity pairs that share the same relations, as introduced by Hasegawa et al (Hasegawa et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our proposed method is fully unsupervised.</S><S sid = NA ssid = NA>Our approach is based on context based clustering of pairs of entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P04-1053.txt | Citing Article:  N12-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Dr. Yoshihiko Hayashi at Nippon Telegraph and Telephone Corporation, currently at Osaka University, who gave one of us (T.H.) an opportunity to conduct this research.</S><S sid = NA ssid = NA>These words, which are stemmed, could be regarded as the context of the pair of named entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P04-1053.txt | Citing Article:  C08-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Dr. Yoshihiko Hayashi at Nippon Telegraph and Telephone Corporation, currently at Osaka University, who gave one of us (T.H.) an opportunity to conduct this research.</S><S sid = NA ssid = NA>These words, which are stemmed, could be regarded as the context of the pair of named entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P04-1053.txt | Citing Article:  E06-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hasegawa et al (2004) performs unsupervised hierarchical clustering over a simple set of features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many clustering methods were proposed for hierarchical clustering, but we adopt complete linkage because it is conservative in making clusters.</S><S sid = NA ssid = NA>We do not know how many clusters we should make in advance, so we adopt hierarchical clustering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P04-1053.txt | Citing Article:  E09-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unfortunately, this number is often unavailable in in formation extraction tasks in general (Hasegawa et al, 2004), and attribute extraction in particular.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The concept of relation extraction was introduced as part of the Template Element Task, one of the information extraction tasks in the Sixth Message Understanding Conference (MUC-6) (Defense Advanced Research Projects Agency, 1995).</S><S sid = NA ssid = NA>Following MUC, the Automatic Content Extraction (ACE) meetings (National Institute of Standards and Technology, 2000) are pursuing information extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P04-1053.txt | Citing Article:  P06-2094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Hasegawa et al 2004) used large corpora and an Extended Named Entity tagger to find novel relations and their participants.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use an extended named entity tagger (Sekine, 2001) in order to detect useful relations between extended named entities.</S><S sid = NA ssid = NA>Discovering Relations Among Named Entities From Large Corpora</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P04-1053.txt | Citing Article:  N07-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some existing studies use corpus-based statistics for relation extraction (Hasegawa et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our approach is based on context based clustering of pairs of entities.</S><S sid = NA ssid = NA>Instead of them, we use a named entity (NE) tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P04-1053.txt | Citing Article:  W09-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hasegawa et al (2004) described a paraphrase discovery approach based on clustering concurrent name pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our approach is based on context based clustering of pairs of entities.</S><S sid = NA ssid = NA>We propose a new approach to relation discovery from large text corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P04-1053.txt | Citing Article:  P06-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Compared with supervised and semi-supervised methods, Hasegawa et al (2004)'s unsupervised approach for relation extraction can overcome the difficulties on requirement of a large amount of labeled data and enumeration of all class labels.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Most of approaches to the ACE RDC task involved supervised learning such as kernel methods (Zelenko et al., 2002) and need richly annotated corpora which are tagged with relation instances.</S><S sid = NA ssid = NA>Some previous work adopted a weakly supervised learning approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P04-1053.txt | Citing Article:  P06-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hasegawa et al (2004)'s method is to use a hierarchical clustering method to cluster pairs of named entities according to the similarity of context words intervening between the named entities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The key idea is clustering pairs of named entities according to the similarity of context words intervening between the named entities.</S><S sid = NA ssid = NA>The key idea was clustering of pairs of named entities according to the similarity of the context words intervening between the named entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P04-1053.txt | Citing Article:  P06-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It also does not need to pre-define the number of the context clusters or pre-specify the similarity threshold for the clusters as Hasegawa et al (2004)'s method.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>After we calculate the similarity among context vectors of NE pairs, we make clusters of NE pairs based on the similarity.</S><S sid = NA ssid = NA>So, we also define a norm threshold in advance to eliminate short context vectors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P04-1053.txt | Citing Article:  P06-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Dr. Yoshihiko Hayashi at Nippon Telegraph and Telephone Corporation, currently at Osaka University, who gave one of us (T.H.) an opportunity to conduct this research.</S><S sid = NA ssid = NA>These words, which are stemmed, could be regarded as the context of the pair of named entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P04-1053.txt | Citing Article:  P06-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Hasegawa et al, 2004), they preformed unsupervised relation extraction based on hierarchical clustering and they only used word features between entity mention pairs to construct context vectors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our approach is based on context based clustering of pairs of entities.</S><S sid = NA ssid = NA>We also used stop words when context vectors are made.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P04-1053.txt | Citing Article:  P06-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We reported the clustering results using the same clustering strategy as Hasegawa et al (2004) proposed.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many clustering methods were proposed for hierarchical clustering, but we adopt complete linkage because it is conservative in making clusters.</S><S sid = NA ssid = NA>For example, Sekine proposed 150 types of named entities (Sekine et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P04-1053.txt | Citing Article:  P06-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Table 5, Hasegawa's Method1 means the test used the word feature as Hasegawa et al (2004) while Hasegawa's Method2 means the test used the same feature set as our method.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also used the patterns, “,.</S><S sid = NA ssid = NA>A threshold just above 0 means that each combination of NE pairs in the same cluster shares at least one word in common — and most of these common words were pertinent to the relations.</S> | Discourse Facet:  NA | Annotator: Automatic


