Citance Number: 1 | Reference Article:  D07-1071.txt | Citing Article:  N12-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the dataset introduced in Zettlemoyer and Collins (2007) and automatically converted their lambda-calculus expressions to attribute-value pairs following the conventions adopted by Liang et al (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this sense it is related to the algorithmof Liang et al (2006).</S><S sid = NA ssid = NA>It is sim ple for us to map from lambda-calculus expressions to attribute-value entries of this form; for example, the expression to(x,Boston) would be mapped to destination = Boston.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  D07-1071.txt | Citing Article:  P13-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Zettlemoyer and Collins (2007) learn a mapping from textual queries to a logical form.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Recent work (Mooney, 2007; He and Young, 2006;Zettlemoyer and Collins, 2005) has developed learn ing algorithms for the problem of mapping sentences to underlying semantic representations.</S><S sid = NA ssid = NA>2.4 Zettlemoyer and Collins 2005.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D07-1071.txt | Citing Article:  P13-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluated GUSP on end-to-end question answering using the ATIS dataset for semantic parsing (Zettlemoyer and Collins, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.4 Zettlemoyer and Collins 2005.</S><S sid = NA ssid = NA>Using these rules, we can parse the 2For example, many question sentences have semantics of type ?e, t?, as in ?x.flight(x) ? to(x, boston).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D07-1071.txt | Citing Article:  P13-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Zettlemoyer and Collins (2007) used a predicate from (f, c) to signify that flight f starts from city c.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>the from predicate signaling that the logical-form describes flights with more than one origin city.</S><S sid = NA ssid = NA>2.4 Zettlemoyer and Collins 2005.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D07-1071.txt | Citing Article:  W09-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our starting point is the work done by Zettlemoyer and Collins on parsing using relaxed CCG grammars (Zettlemoyer and Collins, 2007) (ZC07).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.4 Zettlemoyer and Collins 2005.</S><S sid = NA ssid = NA>Online Learning of Relaxed CCG Grammars for Parsing to Logical Form</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D07-1071.txt | Citing Article:  W09-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Practically, the grammar relaxation is done via the introduction of non-standard CCG rules (Zettlemoyer and Collins, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.4 Zettlemoyer and Collins 2005.</S><S sid = NA ssid = NA>A key idea is to introduce non-standard CCG combinators that relax certain parts of the grammar?for example allowing flexible word order, or insertion of lexical items?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D07-1071.txt | Citing Article:  P09-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the set developed by Zettlemoyer and Collins (2007), which includes features that are sensitive to lexical choices and the structure of the logical form that is constructed.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first column lists the triggers that identify some sub-structure within a logical form.</S><S sid = NA ssid = NA>2.4 Zettlemoyer and Collins 2005.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D07-1071.txt | Citing Article:  P09-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>See the discussion by Zettlemoyer and Collins (2007) (ZC07) for the full details.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Zettlemoyer and Collins (2005) present more complete details.</S><S sid = NA ssid = NA>2.4 Zettlemoyer and Collins 2005.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D07-1071.txt | Citing Article:  W11-0105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Luke Zettlemoyer was funded by a Microsoft graduateresearch fellowship and Michael Collins was sup ported by the National Science Foundation under grants 0347631 and DMS-0434222.</S><S sid = NA ssid = NA>These additional combinators are natural extensions of the forward appli cation, forward composition, and type-raising rulesseen in CCG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D07-1071.txt | Citing Article:  W11-0105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The later work of Zettlemoyer and Collins (2007), also uses hand crafted rules.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.4 Zettlemoyer and Collins 2005.</S><S sid = NA ssid = NA>In section 4.2 we describe a new, online algorithm that uses GENLEX.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D07-1071.txt | Citing Article:  W11-0105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The systems that we compared with are: The SYN0, SYN20 and GOLDSYN systems by Ge and Mooney (2009), the system SCISSOR by Ge and Mooney (2005), an SVM based system KRIPS by Kate and Mooney (2006), a synchronous grammar based system WASP by Wong and Mooney (2007), the CCG based system by Zettlemoyer and Collins (2007) and the work by Lu et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Another approach, which we may consider in the future, would be to annotate a small subset of the training examples with full CCG derivations, from which these frequently occurring entries could be learned.of techniques have been considered including ap proaches based on machine translation techniques (Papineni et al, 1997; Ramaswamy and Kleindienst, 2000; Wong and Mooney, 2006), parsing techniques(Miller et al, 1996; Ge and Mooney, 2006), tech niques that use inductive logic programming (Zelle and Mooney, 1996; Thompson and Mooney, 2002; Tang and Mooney, 2000; Kate et al, 2005), andideas from string kernels and support vector ma chines (Kate and Mooney, 2006; Nguyen et al, 2006).</S><S sid = NA ssid = NA>Recent work (Mooney, 2007; He and Young, 2006;Zettlemoyer and Collins, 2005) has developed learn ing algorithms for the problem of mapping sentences to underlying semantic representations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D07-1071.txt | Citing Article:  D11-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We make use of the standard application, composition and coordination combinators, as well as type-shifting rules introduced by Zettlemoyer and Collins (2007) to model spontaneous, unedited text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>3.1 Application and Composition Rules.</S><S sid = NA ssid = NA>In addition to the application and compositionrules, we will also make use of type raising and co ordination combinators.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D07-1071.txt | Citing Article:  D11-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follow the setup of Zettlemoyerand Collins (2007) where possible, including feature design, initialization of the semantic parser, and evaluation metrics, as reviewed below.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Initialization: Set parameters w to initial values described in section 6.2.</S><S sid = NA ssid = NA>Recent work (Mooney, 2007; He and Young, 2006;Zettlemoyer and Collins, 2005) has developed learn ing algorithms for the problem of mapping sentences to underlying semantic representations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D07-1071.txt | Citing Article:  N12-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Luke Zettlemoyer was funded by a Microsoft graduateresearch fellowship and Michael Collins was sup ported by the National Science Foundation under grants 0347631 and DMS-0434222.</S><S sid = NA ssid = NA>These additional combinators are natural extensions of the forward appli cation, forward composition, and type-raising rulesseen in CCG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D07-1071.txt | Citing Article:  N12-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Zettlemoyer and Collins (2007) learn a mapping from textual queries to a logical form.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Recent work (Mooney, 2007; He and Young, 2006;Zettlemoyer and Collins, 2005) has developed learn ing algorithms for the problem of mapping sentences to underlying semantic representations.</S><S sid = NA ssid = NA>2.4 Zettlemoyer and Collins 2005.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D07-1071.txt | Citing Article:  P12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Zettlemoyer and Collins (2007), we trained on 4,962 scenarios and tested on ATIS NOV93 which contains 448 examples.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Fortest, we used the ATIS NOV93 test set which con tains 448 examples.</S><S sid = NA ssid = NA>2.4 Zettlemoyer and Collins 2005.</S> | Discourse Facet:  NA | Annotator: Automatic


