Citance Number: 1 | Reference Article:  P06-2066.txt | Citing Article:  W06-1517.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, well-nestedness is interesting as a generalization of projectivity (Marcus, 1967) while more than 23% of the 73088 dependency structures in the Prague Dependency Treebank of Czech (Hajic et al., 2001) are non-projective, only 0.11% are not well-nested (Kuhlmann and Nivre, 2006).</S> | Reference Offset:  ['14','106'] | Reference Text:  <S sid = 14 ssid = >We compare the proposals from a theoretical point of view, and evaluate a subset of them empirically by testing their representational adequacy with respect to two dependency treebanks: the Prague Dependency Treebank (PDT) (Hajiˇc et al., 2001), and the Danish Dependency Treebank (DDT) (Kromann, 2003).</S><S sid = 106 ssid = >The experiments are based on data from the Prague Dependency Treebank (PDT) (Hajiˇc et al., 2001) and the Danish Dependency Treebank (DDT) (Kromann, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P06-2066.txt | Citing Article:  P07-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They confirm the findings of Kuhlmann and Nivre (2006): planarity seems to be almost as restrictive as projectivity; well-nestedness, on the other hand, covers large proportions of trees in all languages.</S> | Reference Offset:  ['2','104'] | Reference Text:  <S sid = 2 ssid = >In dependency-based parsing, several constraints have been proposed that restrict the class of permissible structures, such as projectivity, planarity, multi-planarity, well-nestedness, gap degree, and edge degree.</S><S sid = 104 ssid = >In this section, we present an experimental evaluation of planarity, well-nestedness, gap degree, and edge degree, by examining how large a proportion of the structures found in two dependency treebanks are allowed under different constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P06-2066.txt | Citing Article:  P07-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This supports our theoretical results and confirms that properties of non-projective edges provide a more accurate as well as expressive means for describing non projective structures in natural language than the constraints and measures considered by Kuhlmann and Nivre (2006).</S> | Reference Offset:  ['0','10'] | Reference Text:  <S sid = 0 ssid = >Mildly Non-Projective Dependency Structures</S><S sid = 10 ssid = >However, recent results in non-projective dependency parsing, especially using data-driven methods, indicate that most non-projective structures required for the analysis of natural language are very nearly projective, differing only minimally from the best projective approximation (Nivre and Nilsson, 2005; Hall and Novák, 2005; McDonald and Pereira, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-2066.txt | Citing Article:  N07-2016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kuhlmann and Nivre (2006) compare several constraints on dependency structures and among the considered ones find well-nestedness to be in good accord with empirical data.</S> | Reference Offset:  ['17','139'] | Reference Text:  <S sid = 17 ssid = >In section 3, we define and compare five different constraints on mildly non-projective dependency structures that can be found in the literature: planarity, multiplanarity, well-nestedness, gap degree, and edge degree.</S><S sid = 139 ssid = >Experimental evaluation based on data from two treebanks shows, that a combination of the wellnestedness constraint and parametric constraints on discontinuity (formalized either as gap degree or edge degree) gives a very good fit with the empirical linguistic data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-2066.txt | Citing Article:  N07-2016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kuhlmann and Nivre (2006) claim that the constraint of well-nestedness seems to approximate well dependency structures occurring in natural language.</S> | Reference Offset:  ['10','105'] | Reference Text:  <S sid = 10 ssid = >However, recent results in non-projective dependency parsing, especially using data-driven methods, indicate that most non-projective structures required for the analysis of natural language are very nearly projective, differing only minimally from the best projective approximation (Nivre and Nilsson, 2005; Hall and Novák, 2005; McDonald and Pereira, 2006).</S><S sid = 105 ssid = >Assuming that the treebank structures are sampled from naturally occurring structures in natural language, this provides an indirect evaluation of the linguistic adequacy of the different proposals.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-2066.txt | Citing Article:  P09-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unlike acyclicity and the single head constraints, which impose restrictions on the dependency relation as such, projectivity constrains the interaction between the dependency relations and the order of the nodes in the sentence (Kuhlmann and Nivre, 2006).</S> | Reference Offset:  ['7','33'] | Reference Text:  <S sid = 7 ssid = >Many practical implementations of dependency parsing are restricted to projective structures, where the projection of a head word has to form a continuous substring of the sentence.</S><S sid = 33 ssid = >In contrast to acyclicity and the indegree constraint, both of which impose restrictions on the dependency relation as such, the projectivity constraint concerns the interaction between the dependency relation and the positions of the nodes in the sentence: it says that the nodes in a subtree of a dependency graph must form an interval, where an interval (with endpoints i and j) is the set [i, j] := {kEV I i < k and k < j }.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-2066.txt | Citing Article:  P09-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Kuhlmann and Nivre, 2006), we call this edge degree to avoid confusion.</S> | Reference Offset:  ['109','112'] | Reference Text:  <S sid = 109 ssid = >DDT comprises 100k words of text selected from the Danish PAROLE corpus, with annotation property all structures gap degree 0 gap degree 1 gap degree 2 gap degree 3 gap degree 4 edge degree 0 edge degree 1 edge degree 2 edge degree 3 edge degree 4 edge degree 5 edge degree 6 projective planar well-nested of primary and secondary dependencies based on Discontinuous Grammar (Kromann, 2003).</S><S sid = 112 ssid = >For the parametric constraints (gap degree, edge degree), we report the number and percentage of structures having degree d (d > 0), where degree 0 is equivalent (for both gap degree and edge degree) to projectivity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-2066.txt | Citing Article:  P09-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['71','144'] | Reference Text:  <S sid = 71 ssid = >The notion of edge degree was introduced by Nivre (2006) in order to allow mildly non-projective structures while maintaining good parsing efficiency in data-driven dependency parsing.2 Define the span of an edge (i, j) as the interval S((i, j)) W= [min(i, j),max(i, j)].</S><S sid = 144 ssid = >The work of Joakim Nivre is partially supported by the Swedish Research Council.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-2066.txt | Citing Article:  P09-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This work further corroborates Kuhlmann's work on Czech (PDT) for Hindi (Kuhlmann and Nivre, 2006).</S> | Reference Offset:  ['143','144'] | Reference Text:  <S sid = 143 ssid = >The work of Marco Kuhlmann is funded by the Collaborative Research Centre 378 ‘Resource-Adaptive Cognitive Processes’ of the Deutsche Forschungsgemeinschaft.</S><S sid = 144 ssid = >The work of Joakim Nivre is partially supported by the Swedish Research Council.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-2066.txt | Citing Article:  W07-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work identifies two properties that appear particularly relevant to the characterization of graph-based dependency models of syntactic structure: the absence of interleaving substructures (well-nestedness) and a bound on a type of discontinuity (gap-degree <= 1) successfully describe more than 99% of the structures in two dependency tree banks (Kuhlmann and Nivre 2006) .</S> | Reference Offset:  ['76','79'] | Reference Text:  <S sid = 76 ssid = >The non-projective dependency grammar of Kahane et al. (1998) is based on an operation on dependency trees called lifting: a ‘lift’ of a tree T is the new tree that is obtained when one replaces one 2We use the term edge degree instead of the original simple term degree from Nivre (2006) to mark the distinction from the notion of gap degree. or more edges (i, k) in T by edges (j, k), where j !</S><S sid = 79 ssid = >A dependency tree is acceptable, if it can be lifted to form a projective graph.3 A similar design is pursued in Topological Dependency Grammar (Duchier and Debusmann, 2001), where a dependency analysis consists of two, mutually constraining graphs: the ID graph represents information about immediate dominance, the LP graph models the topological structure of a sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-2066.txt | Citing Article:  W07-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Relevant results from Kuhlmann and Nivre (2006).</S> | Reference Offset:  ['9','10'] | Reference Text:  <S sid = 9 ssid = >This is especially relevant for languages with free or flexible word order.</S><S sid = 10 ssid = >However, recent results in non-projective dependency parsing, especially using data-driven methods, indicate that most non-projective structures required for the analysis of natural language are very nearly projective, differing only minimally from the best projective approximation (Nivre and Nilsson, 2005; Hall and Novák, 2005; McDonald and Pereira, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-2066.txt | Citing Article:  W07-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Kuhlmann and Nivre (2006) for the definition of edge degree.</S> | Reference Offset:  ['109','112'] | Reference Text:  <S sid = 109 ssid = >DDT comprises 100k words of text selected from the Danish PAROLE corpus, with annotation property all structures gap degree 0 gap degree 1 gap degree 2 gap degree 3 gap degree 4 edge degree 0 edge degree 1 edge degree 2 edge degree 3 edge degree 4 edge degree 5 edge degree 6 projective planar well-nested of primary and secondary dependencies based on Discontinuous Grammar (Kromann, 2003).</S><S sid = 112 ssid = >For the parametric constraints (gap degree, edge degree), we report the number and percentage of structures having degree d (d > 0), where degree 0 is equivalent (for both gap degree and edge degree) to projectivity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-2066.txt | Citing Article:  W07-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >If we suppose that the characterization of dependency structures as reported by Kuhlmann and Nivre (2006) for Czech and Danish extends cross-linguistically, i.e. the dependency structures for natural language falls within the class of well-nested and gap degree <= 1 dependency structures, then MC-TAG appears to correspond to the wrong class of model-theoretic dependency structures.</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >Mildly Non-Projective Dependency Structures</S><S sid = 2 ssid = >In dependency-based parsing, several constraints have been proposed that restrict the class of permissible structures, such as projectivity, planarity, multi-planarity, well-nestedness, gap degree, and edge degree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P06-2066.txt | Citing Article:  W07-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This keeps the corresponding graph drawings within the class of structures identified by Bodirsky et al (2005) as a model of TAG derivations, and by Kuhlmann and Nivre (2006) as empirically relevant.</S> | Reference Offset:  ['53','54'] | Reference Text:  <S sid = 53 ssid = >Bodirsky et al. (2005) present two structural constraints on dependency graphs that characterize analyses corresponding to derivations in Tree Adjoining Grammar: the gap degree restriction and the well-nestedness constraint.</S><S sid = 54 ssid = >A gap is a discontinuity in the projection of a node in a dependency graph (Plátek et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P06-2066.txt | Citing Article:  E09-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While the number of highly non-projective dependency structures is negligible for practical applications (Kuhlmann and Nivre, 2006), the rank can not easily be bounded.</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >Mildly Non-Projective Dependency Structures</S><S sid = 12 ssid = >In this paper, we review a number of proposals for classes of dependency structures that lie between strictly projective and completely unrestricted non-projective structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P06-2066.txt | Citing Article:  E09-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is interesting to compare our approach with techniques for well-nested dependency trees (Kuhlmann and Nivre, 2006).</S> | Reference Offset:  ['36','127'] | Reference Text:  <S sid = 36 ssid = >Projectivity is an interesting constraint on dependency structures both from a theoretical and a practical perspective.</S><S sid = 127 ssid = >When we compare the two graded constraints to each other, we find that the gap degree measure partitions the data into less and larger clusters than the edge degree, which may be an advantage in the context of using the degree constraints as features in a data-driven approach towards parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P06-2066.txt | Citing Article:  N07-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Alternative notions of mildly non-projective dependency structures are explored in Kuhlmann and Nivre (2006).</S> | Reference Offset:  ['0','138'] | Reference Text:  <S sid = 0 ssid = >Mildly Non-Projective Dependency Structures</S><S sid = 138 ssid = >In this paper, we have reviewed a number of proposals for the characterization of mildly non-projective dependency structures, motivated by the need to find a better balance between expressivity and complexity than that offered by either strictly projective or unrestricted non-projective structures.</S> | Discourse Facet:  NA | Annotator: Automatic


