Citance Number: 1 | Reference Article:  W01-0511.txt | Citing Article:  P02-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In previous work (Rosario and Hearst, 2001), we demonstrated the utility of using a lexical hierarchy for assigning relations to two-word noun compounds.</S> | Reference Offset:  ['0','19'] | Reference Text:  <S sid = 0 ssid = >Classifying The Semantic Relations In Noun Compounds Via A Domain-Specific Lexical Hierarchy</S><S sid = 19 ssid = >In Section 5 we describe the method for automatically assigning semantic relations to noun compounds, and report the results of experiments using this method.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W01-0511.txt | Citing Article:  W06-3813.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In other methods, lexical resources are specifically tailored to meet the requirements of the domain (Rosario and Hearst, 2001) or the system (Gomez, 1998).</S> | Reference Offset:  ['0','35'] | Reference Text:  <S sid = 0 ssid = >Classifying The Semantic Relations In Noun Compounds Via A Domain-Specific Lexical Hierarchy</S><S sid = 35 ssid = >Because the data is sparse, empirical methods that train on word occurrences alone (Hindle and Rooth, 1993) have been supplanted by algorithms that generalize one or both of the nouns according to classmembership measures (Resnik, 1993; Resnik and Hearst, 1993; Brill and Resnik, 1994; Li and Abe, 1998), but the statistics are computed for the particular preposition and verb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W01-0511.txt | Citing Article:  P07-3014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach was used by Rosario and Hearst (2001) within a specific domain - medical texts.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >Classifying The Semantic Relations In Noun Compounds Via A Domain-Specific Lexical Hierarchy</S><S sid = 3 ssid = >We find that a very simple approach using a machine learning algorithm and a domain-specific lexical hierarchy successfully generalizes from training instances, performing better on previously unseen words than a baseline consisting of training on the words themselves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W01-0511.txt | Citing Article:  W04-2609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','174'] | Reference Text:  <S sid = 54 ssid = >We tried to produce relations that correspond to the linguistic theories such as those of Levi and Warren, but in many cases these are inappropriate.</S><S sid = 174 ssid = >This work was supported in part by NSF award number IIS-9817353.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W01-0511.txt | Citing Article:  W04-2609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','174'] | Reference Text:  <S sid = 54 ssid = >We tried to produce relations that correspond to the linguistic theories such as those of Levi and Warren, but in many cases these are inappropriate.</S><S sid = 174 ssid = >This work was supported in part by NSF award number IIS-9817353.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W01-0511.txt | Citing Article:  W04-2609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Rosario and Hearst 2001) focused on the medical domain making use of a lexical ontology and standard machine learning techniques.</S> | Reference Offset:  ['42','153'] | Reference Text:  <S sid = 42 ssid = >Our approach differs from these in that we are using machine learning techniques to determine which level of the lexical hierarchy is appropriate for generalizing across nouns.</S><S sid = 153 ssid = >The main idea is to define a set of relations that can hold between the terms and use standard machine learning techniques and a lexical hierarchy to generalize from training instances to new examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W01-0511.txt | Citing Article:  W04-2609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','174'] | Reference Text:  <S sid = 54 ssid = >We tried to produce relations that correspond to the linguistic theories such as those of Levi and Warren, but in many cases these are inappropriate.</S><S sid = 174 ssid = >This work was supported in part by NSF award number IIS-9817353.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W01-0511.txt | Citing Article:  P08-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rosario and Hearst (2001) used a discriminative classifier to assign 18 relations for noun compounds from biomedical text, achieving 60% accuracy.</S> | Reference Offset:  ['6','155'] | Reference Text:  <S sid = 6 ssid = >One of the important challenges of biomedical text, along with most other technical text, is the proliferation of noun compounds.</S><S sid = 155 ssid = >In this task of multi-class classification (with 18 classes) we achieved an accuracy of about 60%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W01-0511.txt | Citing Article:  W09-2416.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Rosario and Hearst (2001) propose 18 abstract relations for interpreting NCs in biomedical text, e.g., DEFECT, MATERIAL, PERSON AFFILIATED, ATTRIBUTE OF CLINICAL STUDY.</S> | Reference Offset:  ['6','168'] | Reference Text:  <S sid = 6 ssid = >One of the important challenges of biomedical text, along with most other technical text, is the proliferation of noun compounds.</S><S sid = 168 ssid = >For the mixed class Defect in Location, the algorithm achieved an accuracy around 95% for both “Defect” and “Location” simultaneously.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W01-0511.txt | Citing Article:  P10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While most of the noun compound research to date is not domain specific, Rosario and Hearst (2001) create and experiment with a taxonomy tailored to biomedical text.</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >Classifying The Semantic Relations In Noun Compounds Via A Domain-Specific Lexical Hierarchy</S><S sid = 6 ssid = >One of the important challenges of biomedical text, along with most other technical text, is the proliferation of noun compounds.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W01-0511.txt | Citing Article:  P10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rosario and Hearst (2001) utilize neural networks to classify compounds according to their domain-specific relation taxonomy.</S> | Reference Offset:  ['0','89'] | Reference Text:  <S sid = 0 ssid = >Classifying The Semantic Relations In Noun Compounds Via A Domain-Specific Lexical Hierarchy</S><S sid = 89 ssid = >In particular, we used neural networks to classify across all relations simultaneously. shown in boldface are those used in the experiments reported on here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W01-0511.txt | Citing Article:  W07-2082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rosario and Hearst (2001) used MeSH, a lexical hierarchy of medical terms.</S> | Reference Offset:  ['94','105'] | Reference Text:  <S sid = 94 ssid = >We ran the experiments creating models that used different levels of the MeSH hierarchy.</S><S sid = 105 ssid = >We used a feed-forward network trained with conjugate gradient descent. number corresponds to the level of the MeSH hierarchy used for classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W01-0511.txt | Citing Article:  W09-1301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Domain noun compound semantics, including static relations, have been considered in studies by (Rosario and Hearst, 2001) and (Nakov et al, 2005), but in IE settings static relations tend to appear only implicitly, as in the RelEx causal RE system of (Fundel et al, 2007), or through the causal relations they imply: for example, in the AIMed corpus (Bunescu et al, 2005) statements such as NE1/NE2 complex are annotated as a binding relation between the two NEs, not Part Whole relations with the broader entity.</S> | Reference Offset:  ['12','28'] | Reference Text:  <S sid = 12 ssid = >These relations are intended to be combined to produce larger propositions that can then be used in a variety of interpretation paradigms, such as abductive reasoning (Hobbs et al., 1993) or inductive logic programming (Ng and Zelle, 1997).</S><S sid = 28 ssid = >Rindflesch et al. (2000) use hand-coded rule based systems to extract the factual assertions from biomedical text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W01-0511.txt | Citing Article:  W09-2415.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rosario and Hearst (2001) classify noun compounds from the domain of medicine into 13 classes that describe the semantic relation between the head noun and the modifier.</S> | Reference Offset:  ['0','14'] | Reference Text:  <S sid = 0 ssid = >Classifying The Semantic Relations In Noun Compounds Via A Domain-Specific Lexical Hierarchy</S><S sid = 14 ssid = >We have found that we can use such algorithms to classify relationships between two-word noun compounds with a surprising degree of accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


