Citance Number: 1 | Reference Article:  W09-1105.txt | Citing Article:  W09-1408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our goal was to investigate the performance of a memory-based approach to the event extraction task, using only the information available in the training corpus and modelling the task applying an approach similar to the one that has been applied to tasks like semantic role labeling (Morante et al, 2008) or negation scope detection (Morante and Daelemans, 2009).</S> | Reference Offset:  ['18','55'] | Reference Text:  <S sid = 18 ssid = >The approach to the treatment of negation in NLP presented in this paper was introduced in Morante et al. (2008).</S><S sid = 55 ssid = >The system has been developed using the BioScope corpus (Szarvas et al., 2008; Vincze et al., 2008)1, a freely available resource that consists of medical and biological texts.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W09-1105.txt | Citing Article:  W10-2919.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The effect of negation has been broadly studied in NLP (Morante and Daelemans, 2009) and sentiment analysis (Jia et al, 2009).</S> | Reference Offset:  ['18','77'] | Reference Text:  <S sid = 18 ssid = >The approach to the treatment of negation in NLP presented in this paper was introduced in Morante et al. (2008).</S><S sid = 77 ssid = >We use IGTREE as implemented in TiMBL (version 6.1.2) (Daelemans et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W09-1105.txt | Citing Article:  W10-3113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Still, Morante and Daelemans (2009), for example, used various classifiers (Memory-based Learners, Support Vector Machines, and Conditional Random Fields) to detect negation cues and their scope.</S> | Reference Offset:  ['99','161'] | Reference Text:  <S sid = 99 ssid = >Feature selection experiments were carried out with the memory-based learning classifier.</S><S sid = 161 ssid = >Typical example sentences with this negation signal are shown in (4).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W09-1105.txt | Citing Article:  P11-2049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly, Morante and Daelemans (2009b) developed a machine learning system for identifying hedging cues and their scopes.</S> | Reference Offset:  ['46','75'] | Reference Text:  <S sid = 46 ssid = >Machine learning techniques have been used in some cases.</S><S sid = 75 ssid = >The two classification tasks (identifying negation signals and finding the scope) are implemented using supervised machine learning methods trained on part of the annotated corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W09-1105.txt | Citing Article:  C10-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Compared with negation scope finding, negation signal finding is much simpler and has been well resolved in the literature, e.g. with the accuracy of 95.8% -98.7% on the three sub corpora of the Bioscope corpus (Morante and Daelemans, 2009).</S> | Reference Offset:  ['9','116'] | Reference Text:  <S sid = 9 ssid = >Finding the scope of a negation signal means determining at sentence level the sequence of words in the sentence that is affected by the negation.</S><S sid = 116 ssid = >In the negation finding task, a negation token is correctly classified if it has been classified as being at the beginning or inside the negation signal.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W09-1105.txt | Citing Article:  C10-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Morante et al (2008) and Morante and Daelemans (2009) pioneered the research on negation scope finding by formulating it as a chunking problem, which classifies the words of a sentence as being inside or outside the scope of a negation signal.</S> | Reference Offset:  ['9','118'] | Reference Text:  <S sid = 9 ssid = >Finding the scope of a negation signal means determining at sentence level the sequence of words in the sentence that is affected by the negation.</S><S sid = 118 ssid = >In the scope finding task, a token is correctly classified if it has been correctly classified as being inside or outside of the scope of all the negation signals that there are in the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W09-1105.txt | Citing Article:  C10-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, given golden negation signals on the Bioscope corpus, Morante and Daelemans (2009) only got the performance of 50.26% in PCS (percentage of correct scope) measure on the full papers sub corpus (22.8 words per sentence on average), compared to 87.27% in PCS measure on the clinical reports subcorpus (6.6 words per sentence on average).</S> | Reference Offset:  ['152','167'] | Reference Text:  <S sid = 152 ssid = >An alternative to the PCS-2 measure would be to mark in the corpus the relevant negated content words and evaluate if they are under the scope.</S><S sid = 167 ssid = >This difference can not be caused by the sentence length, since the average sentence length in the abstracts subcorpus (26.43 tokens) is similar to the average sentence length in the papers subcorpus (26.24).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W09-1105.txt | Citing Article:  C10-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Morante and Daelemans (2009) further improved the performance by combing several classifiers.</S> | Reference Offset:  ['106','184'] | Reference Text:  <S sid = 106 ssid = >However, the classifiers only predict the first and last element of the scope.</S><S sid = 184 ssid = >The architecture of the system is new for this problem, with three classifiers and a metalearner that takes as input the output of the first classifiers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W09-1105.txt | Citing Article:  C10-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For detailed statistics about the three subcorpora, please see Morante and Daelemans (2009).</S> | Reference Offset:  ['61','136'] | Reference Text:  <S sid = 61 ssid = >Table 1 shows statistics about the corpora.</S><S sid = 136 ssid = >We take the scope to the right for the baseline because it is much more frequent than the scope to the left, as is shown by the statistics contained in Table 1 of Section 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W09-1105.txt | Citing Article:  C10-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following the experimental setting in Morante and Daelemans (2009), the abstracts sub corpus is randomly divided into 10 folds so as to perform 10-fold cross validation, while the performance on both the papers and clinical reports subcorpora is evaluated using the system trained on the whole abstracts subcorpus.</S> | Reference Offset:  ['113','155'] | Reference Text:  <S sid = 113 ssid = >The results provided for the abstracts part of the corpus have been obtained by performing 10-fold cross validation experiments, whereas the results provided for papers and clinical reports have been obtained by training on the full abstracts subcorpus and testing on the papers and clinical reports subcorpus.</S><S sid = 155 ssid = >One factor is the length of sentences: 75.85 % of the sentences in the clinical reports have 10 or less words, whereas this rate is 3.17 % for abstracts and 11.27 % for papers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W09-1105.txt | Citing Article:  C10-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although Morante and Daelemans (2009) reported the performance of 95.8%-98.7% on negation signal finding, it lowers the performance of negation scope finding by about 7.29%-16.52% in PCS measure.</S> | Reference Offset:  ['9','116'] | Reference Text:  <S sid = 9 ssid = >Finding the scope of a negation signal means determining at sentence level the sequence of words in the sentence that is affected by the negation.</S><S sid = 116 ssid = >In the negation finding task, a negation token is correctly classified if it has been classified as being at the beginning or inside the negation signal.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W09-1105.txt | Citing Article:  D10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','193'] | Reference Text:  <S sid = 48 ssid = >Golding and Chapman (2003) experiment with Naive Bayes and Decision Trees to distinguish whether a medical observation is negated by the word not in a corpus of hospital reports.</S><S sid = 193 ssid = >We are grateful to four anonymous reviewers for their valuable comments and suggestions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W09-1105.txt | Citing Article:  D10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, given golden negation cues on the Bioscope corpus, Morante and Daelemans (2009a) only got the performance of 50.26% in PCS on the full papers sub corpus (22.8 words per sentence on average), compared to 87.27% in PCS on the clinical reports sub corpus (6.6 words per sentence on average).</S> | Reference Offset:  ['156','167'] | Reference Text:  <S sid = 156 ssid = >The average length of a sentence for clinical reports is 7.73 tokens, whereas for abstracts it is 26.43 and for papers 26.24.</S><S sid = 167 ssid = >This difference can not be caused by the sentence length, since the average sentence length in the abstracts subcorpus (26.43 tokens) is similar to the average sentence length in the papers subcorpus (26.24).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W09-1105.txt | Citing Article:  D10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Speculation Scope Learning Similar to Morante and Daelemans (2009a), Morante and Daelemans (2009b) formulated speculation scope identification as a chunking problem which predicts whether a word in the sentence is inside or outside of the speculation scope, with proper post-processing to ensure consecutiveness of the speculation scope.</S> | Reference Offset:  ['56','118'] | Reference Text:  <S sid = 56 ssid = >In the corpus, every sentence is annotated with information about negation and speculation.</S><S sid = 118 ssid = >In the scope finding task, a token is correctly classified if it has been correctly classified as being inside or outside of the scope of all the negation signals that there are in the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W09-1105.txt | Citing Article:  D10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','193'] | Reference Text:  <S sid = 48 ssid = >Golding and Chapman (2003) experiment with Naive Bayes and Decision Trees to distinguish whether a medical observation is negated by the word not in a corpus of hospital reports.</S><S sid = 193 ssid = >We are grateful to four anonymous reviewers for their valuable comments and suggestions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W09-1105.txt | Citing Article:  D10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','193'] | Reference Text:  <S sid = 48 ssid = >Golding and Chapman (2003) experiment with Naive Bayes and Decision Trees to distinguish whether a medical observation is negated by the word not in a corpus of hospital reports.</S><S sid = 193 ssid = >We are grateful to four anonymous reviewers for their valuable comments and suggestions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W09-1105.txt | Citing Article:  D10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','193'] | Reference Text:  <S sid = 48 ssid = >Golding and Chapman (2003) experiment with Naive Bayes and Decision Trees to distinguish whether a medical observation is negated by the word not in a corpus of hospital reports.</S><S sid = 193 ssid = >We are grateful to four anonymous reviewers for their valuable comments and suggestions.</S> | Discourse Facet:  NA | Annotator: Automatic


