Citance Number: 1 | Reference Article:  W99-0629.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This experiment is repeated on two different existing systems, which are reported in Buchholz et al (1999) and Carroll et al (1999), respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For more references and information about these algorithms we refer to (Daelemans et al., 1998; Daelemans et al., 1999b).</S><S sid = NA ssid = NA>Argamon et at.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W99-0629.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>When using the Buchholz et al (1999) system, the improvement in the other modifier is now no longer statistically significant.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For more references and information about these algorithms we refer to (Daelemans et al., 1998; Daelemans et al., 1999b).</S><S sid = NA ssid = NA>Several MB modules have been developed in previous work, such as: a POS tagger (Daelemans et al., 1996), a chunker (Veenstra, 1998; Tjong Kim Sang and Veenstra, 1999) and a grammatical relation (GR) assigner (Buchholz, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W99-0629.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We rerun rule learning on the smaller (1391 GR instance) training set with a Union of the Buchholz et al (1999) and Carroll et al (1999) systems's translated GR annotations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For more references and information about these algorithms we refer to (Daelemans et al., 1998; Daelemans et al., 1999b).</S><S sid = NA ssid = NA>Several MB modules have been developed in previous work, such as: a POS tagger (Daelemans et al., 1996), a chunker (Veenstra, 1998; Tjong Kim Sang and Veenstra, 1999) and a grammatical relation (GR) assigner (Buchholz, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W99-0629.txt | Citing Article:  P00-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>TheIaU F-score is statistically signicantly better than the F-scores with either using Buchholz et al (1999) (IaB) or not using any initial annotations (NI).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For more references and information about these algorithms we refer to (Daelemans et al., 1998; Daelemans et al., 1999b).</S><S sid = NA ssid = NA>Through experiments with cascading several classifiers, we will show that even using imperfect classifiers can improve overall performance of the cascaded classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W99-0629.txt | Citing Article:  P07-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Preiss (2003) compares the parsers of Collins (2003) and Charniak (2000), the GR finder of Buchholz et al (1999), and the RASP parser, using the Carroll et al (1998) gold-standard.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For more references and information about these algorithms we refer to (Daelemans et al., 1998; Daelemans et al., 1999b).</S><S sid = NA ssid = NA>Several MB modules have been developed in previous work, such as: a POS tagger (Daelemans et al., 1996), a chunker (Veenstra, 1998; Tjong Kim Sang and Veenstra, 1999) and a grammatical relation (GR) assigner (Buchholz, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W99-0629.txt | Citing Article:  P02-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Buchholz et al (1999) achieve 71.2 F-score for grammatical relation assignment on automatically tagged and chunked text after training on about 40,000 Wall Street Journal sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The data for all our experiments was extracted from the Penn Treebank II Wall Street Journal (WSJ) corpus (Marcus et al., 1993).</S><S sid = NA ssid = NA>Cascaded Grammatical Relation Assignment</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W99-0629.txt | Citing Article:  P01-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The computation of grammatical relations from shallow parsers or chunkers is still at an early stage (Buchholz et al, 1999, Carroll et al, 1998) and there are few other robust semantic processors, and none in the medical domain.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For more references and information about these algorithms we refer to (Daelemans et al., 1998; Daelemans et al., 1999b).</S><S sid = NA ssid = NA>Several MB modules have been developed in previous work, such as: a POS tagger (Daelemans et al., 1996), a chunker (Veenstra, 1998; Tjong Kim Sang and Veenstra, 1999) and a grammatical relation (GR) assigner (Buchholz, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W99-0629.txt | Citing Article:  W05-0618.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Likewise, it might be better to find different grammatical relations subsequently, instead of simultaneously.</S><S sid = NA ssid = NA>For convenient comparisons of only one value, we also list the Fo---1 value (C.J.van Rijsbergen, 1979).</S> | Discourse Facet:  NA | Annotator: Automatic


