Citance Number: 1 | Reference Article:  C10-2005.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent examples of this approach are Barbosa and Feng (2010) and Pak and Paroubek (2010).</S> | Reference Offset:  ['150','207'] | Reference Text:  <S sid = 150 ssid = >For polarity detection, they select the positive examples for the training data from the tweets containing good emoticonsand negative examples from tweets contain ing bad emoticons.</S><S sid = 207 ssid = >One exception is TwitterSentiment (Go et al., 2009), for instance, which considers tweets with good emoticons as positive examples and tweets with bad emoticons as negative examples for the training data, and builds a classifier using unigrams and bigrams as features.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C10-2005.txt | Citing Article:  P11-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, (Barbosa and Feng, 2010) propose a two-step approach to classify the sentiments of tweets using SVM classifiers with abstract features.</S> | Reference Offset:  ['1','46'] | Reference Text:  <S sid = 1 ssid = >In this paper, we propose an approach toautomatically detect sentiments on Twit ter messages (tweets) that explores some characteristics of how tweets are written and meta-information of the words that compose these messages.</S><S sid = 46 ssid = >3.1 Features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C10-2005.txt | Citing Article:  P11-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also re-implemented the method proposed in (Barbosa and Feng, 2010) for comparison.</S> | Reference Offset:  ['13','85'] | Reference Text:  <S sid = 13 ssid = >In this paper, we propose a 2-step sentiment analysis classification method for Twitter, whichfirst classifies messages as subjective and ob jective, and further distinguishes the subjectivetweets as positive or negative.</S><S sid = 85 ssid = >Second, wepresent some modifications in the proposed fea tures that are more suitable for this task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C10-2005.txt | Citing Article:  P11-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >From Table 1, we can see that all our systems perform better than (Barbosa and Feng, 2010) on our data set.</S> | Reference Offset:  ['77','128'] | Reference Text:  <S sid = 77 ssid = >training set, we remove from this set tweets that contain the top-n opinion words in the subjectivity training set, e.g., words as cool, suck, awesome etc. As we show in Section 4, this process is in fact able to remove certain noisy in the training data,leading to a better performing subjectivity classi fier.</S><S sid = 128 ssid = >However, looking at our training data almost half of the occurrences of this word appears in the positive set and the other half inthe negative set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C10-2005.txt | Citing Article:  P11-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One possible reason is that (Barbosa and Feng, 2010) use only abstract features while our systems use more lexical features.</S> | Reference Offset:  ['46','201'] | Reference Text:  <S sid = 46 ssid = >3.1 Features.</S><S sid = 201 ssid = >An other common characteristic of some of them isthe use of n-grams as features to create their mod els.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C10-2005.txt | Citing Article:  P11-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One possible reason is that (Barbosa and Feng, 2010) use only abstract features while our systems use more lexical features.</S> | Reference Offset:  ['46','201'] | Reference Text:  <S sid = 46 ssid = >3.1 Features.</S><S sid = 201 ssid = >An other common characteristic of some of them isthe use of n-grams as features to create their mod els.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C10-2005.txt | Citing Article:  P11-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The results show that our system using both content features and sentiment lexicon features performs slightly better than (Barbosa and Feng, 2010).</S> | Reference Offset:  ['46','50'] | Reference Text:  <S sid = 46 ssid = >3.1 Features.</S><S sid = 50 ssid = >Meta-features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C10-2005.txt | Citing Article:  E12-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, multiple models can be blended into a single classifier (Barbosa and Feng, 2010).</S> | Reference Offset:  ['66','192'] | Reference Text:  <S sid = 66 ssid = >3.2 Subjectivity Classifier.</S><S sid = 192 ssid = >Finally, since the data qual ity provided by TwitterSentiment is better than the3For this experiment, we used the TwitterSA(single) con figuration.</S> | Discourse Facet:  NA | Annotator: Automatic


