Citance Number: 1 | Reference Article:  D07-1077.txt | Citing Article:  P14-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, this rule set substantially decreased the total times of rule application about 60%, compared with a constituent-based approach (Wang et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated the reordering approach within the MOSES phrase-based SMT system (Koehn et al, 2007).</S><S sid = NA ssid = NA>Our approach is most similar to that of Collins et al (2005).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  D07-1077.txt | Citing Article:  P14-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The overall accuracy of this rule set is 60.0%, which is almost at the same level as the WR07 rule set (62.1%), according to the similar evaluation (200 sentences and one annotator) conducted in Wang et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also report experiments which assess the impact of each type of reordering rule on translation accuracy.</S><S sid = NA ssid = NA>Our approach is most similar to that of Collins et al (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D07-1077.txt | Citing Article:  P08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>LCP IP NP-A NPB NN ?(accident) VP VV u)(happen) LC</S><S sid = NA ssid = NA>We used the Penn Chinese Treebank guidelines (Xueet al, 2005) in searching for a suitable set of reordering rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D07-1077.txt | Citing Article:  P08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>LCP IP NP-A NPB NN ?(accident) VP VV u)(happen) LC</S><S sid = NA ssid = NA>We used the Penn Chinese Treebank guidelines (Xueet al, 2005) in searching for a suitable set of reordering rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D07-1077.txt | Citing Article:  W10-3811.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are two reasons why the syntactic reordering approach improves over the baseline phrase-based SMT system (Wang et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated the reordering approach within the MOSES phrase-based SMT system (Koehn et al, 2007).</S><S sid = NA ssid = NA>Our approach is most similar to that of Collins et al (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D07-1077.txt | Citing Article:  P09-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Collins et al (2005) propose German clause restructuring to improve German-English SMT, while Wang et al (2007) present similar work for Chinese English SMT.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our approach is most similar to that of Collins et al (2005).</S><S sid = NA ssid = NA>Collins et al (2005) also describe an approach for German, concentrating on re ordering German clauses, which have quite different word order from clauses in English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D07-1077.txt | Citing Article:  W11-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both achieve BLEU score improvements for SMT: 25.2% to 26.8% for (Collins et al, 2005) and 28.52 to 30.86 for (Wang et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The reordering rules give an improve ment in accuracy from 28.52 to 30.86 BLEU score.</S><S sid = NA ssid = NA>The reordering approach improved the BLEU score for the MOSES system from 28.52 to 30.86 on the NIST 2006 evaluation data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D07-1077.txt | Citing Article:  W11-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Wang et al, 2007) uses rules very similar to our own as they use the same language pair, although they reorder the Chinese, whereas we reorder the English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Itis worth noting that none of these approaches to re ordering make use of explicit syntactic information in the source language?for example, none of the methods make use of an existing source-language parser (the systems of Yamada and Knight (2001) and Marcu et al (2006) make use of a parser in the target language, i.e., English).</S><S sid = NA ssid = NA>but not ?this technique?s mastery.?We decide to reorder DNPs of the ?NP+DEG?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D07-1077.txt | Citing Article:  P12-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>LCP IP NP-A NPB NN ?(accident) VP VV u)(happen) LC</S><S sid = NA ssid = NA>We used the Penn Chinese Treebank guidelines (Xueet al, 2005) in searching for a suitable set of reordering rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D07-1077.txt | Citing Article:  P09-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Long-distance phrase movement is a common problem in Chinese-English MT, and many MT systems try to handle it (e.g., Wang et al. 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, note that a number of statistical MT systems make use of source language syntax in transducer-style approaches; see (Lin, 2004; Ding and Palmer, 2005; Quirk et al, 2005; Liu et al,2006; Huang et al, 2006).</S><S sid = NA ssid = NA>Our results show that Chinese parses are useful in SMT in spite of this problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D07-1077.txt | Citing Article:  C10-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There is similar work for Chinese-English (Wang et al, 2007) and quite a few other languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our approach is most similar to that of Collins et al (2005).</S><S sid = NA ssid = NA>We are not, however, aware of work on this topic for translation from Chinese to English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D07-1077.txt | Citing Article:  W09-0420.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>LCP IP NP-A NPB NN ?(accident) VP VV u)(happen) LC</S><S sid = NA ssid = NA>We used the Penn Chinese Treebank guidelines (Xueet al, 2005) in searching for a suitable set of reordering rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D07-1077.txt | Citing Article:  E09-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>LCP IP NP-A NPB NN ?(accident) VP VV u)(happen) LC</S><S sid = NA ssid = NA>We used the Penn Chinese Treebank guidelines (Xueet al, 2005) in searching for a suitable set of reordering rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D07-1077.txt | Citing Article:  E09-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Much like Wang et al (2007), we parse the English side of our corpora and reorder using predefined rules.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>rules.</S><S sid = NA ssid = NA>in English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D07-1077.txt | Citing Article:  P09-2084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chinese ordering differs from English mainly in clause ordering (Wang et al, 2007) and within the noun phrase.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Collins et al (2005) also describe an approach for German, concentrating on re ordering German clauses, which have quite different word order from clauses in English.</S><S sid = NA ssid = NA>3.2 Noun Phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D07-1077.txt | Citing Article:  W11-2150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Clause restructuring performed with hand-crafted reordering rules for German-to-English and Chinese-to-English tasks are presented in (Collins et al, 2005) and (Wang et al, 2007), respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our approach is most similar to that of Collins et al (2005).</S><S sid = NA ssid = NA>Reordering approaches have given significant improvements in performance fortranslation from French to English (Xia and Mc Cord, 2004) and from German to English (Collins et al, 2005).This paper describes a syntactic reordering approach for translation from Chinese to English.</S> | Discourse Facet:  NA | Annotator: Automatic


