Citance Number: 1 | Reference Article:  P11-1020.txt | Citing Article:  D12-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the Multiple Video Description Corpus (Chen and Dolan, 2011) obtained from multiple descriptions of short videos.</S> | Reference Offset:  ['27','205'] | Reference Text:  <S sid = 27 ssid = >Examples of this kind of data include the Multiple-Translation Chinese (MTC) Corpus 2 which consists of Chinese news stories translated into English by 11 translation agencies, and literary works with multiple translations into English (e.g.</S><S sid = 205 ssid = >Asking annotators to write multiple descriptions or longer descriptions would result in more varied data but at the cost of more noise in the alignments.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P11-1020.txt | Citing Article:  S12-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The STS task data includes five subtasks with text pairs from different sources: the Microsoft Research Paraphrase Corpus (Dolan et al, 2004) (MSRpar), The Microsoft Research Video corpus (Chen and Dolan, 2011) (MSRvid), statistical machine translation output of parliament proceedings (Koehn, 2005) (SMT-eur).</S> | Reference Offset:  ['18','29'] | Reference Text:  <S sid = 18 ssid = >In addition to describing a mechanism for collecting large-scale sentence-level paraphrases, we are also making available to the research community 85K parallel English sentences as part of the Microsoft Research Video Description Corpus 1.</S><S sid = 29 ssid = >Another method for collecting monolingual paraphrase data involves aligning semantically parallel sentences from different news articles describing the same event (Shinyama et al., 2002; Barzilay and Lee, 2003; Dolan et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P11-1020.txt | Citing Article:  S12-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >MSR video data (Chen and Dolan, 2011).</S> | Reference Offset:  ['217','220'] | Reference Text:  <S sid = 217 ssid = >Another application for our data is to apply it to computer vision tasks such as video retrieval.</S><S sid = 220 ssid = >We introduced a data collection framework that produces highly parallel data by asking different annotators to describe the same video segments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P11-1020.txt | Citing Article:  P12-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To encourage quality contributions, we use a tiered payment structure (Chen and Dolan, 2011) that rewards the good workers.</S> | Reference Offset:  ['66','80'] | Reference Text:  <S sid = 66 ssid = >To ensure the quality of the annotations being produced, we used a two-tiered payment system.</S><S sid = 80 ssid = >We again used a tiered payment system to reward and retain workers who performed well.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P11-1020.txt | Citing Article:  P12-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, as pointed out by (Chenand Dolan, 2011), there is the lack of automatic metric that is capable to measure all the three criteria in paraphrase generation.</S> | Reference Offset:  ['6','223'] | Reference Text:  <S sid = 6 ssid = >However, a lack of standard datasets and automatic evaluation metrics has impeded progress in the field.</S><S sid = 223 ssid = >Finally, we also introduced a new metric, PINC, to measure the lexical dissimilarity between the source sentence and the paraphrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P11-1020.txt | Citing Article:  P13-2040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples of groundings include pictures (Rashtchianu et al., 2010), videos (Chen and Dolan, 2011), translations of a sentence from another language (Dreyer and Marcu, 2012), or even paraphrases of the same sentence (Barzilay and Lee, 2003).</S> | Reference Offset:  ['7','29'] | Reference Text:  <S sid = 7 ssid = >Without these resources, researchers have resorted to developing their own small, ad hoc datasets (Barzilay and McKeown, 2001; Shinyama et al., 2002; Barzilay and Lee, 2003; Quirk et al., 2004; Dolan et al., 2004), and have often relied on human judgments to evaluate their results (Barzilay and McKeown, 2001; Ibrahim et al., 2003; Bannard and Callison-Burch, 2005).</S><S sid = 29 ssid = >Another method for collecting monolingual paraphrase data involves aligning semantically parallel sentences from different news articles describing the same event (Shinyama et al., 2002; Barzilay and Lee, 2003; Dolan et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P11-1020.txt | Citing Article:  P13-2040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Consider the following excerpts from a video description corpus (Chen and Dolan, 2011): A man is sliding a cat on the floor.</S> | Reference Offset:  ['18','89'] | Reference Text:  <S sid = 18 ssid = >In addition to describing a mechanism for collecting large-scale sentence-level paraphrases, we are also making available to the research community 85K parallel English sentences as part of the Microsoft Research Video Description Corpus 1.</S><S sid = 89 ssid = >Overall, 688 workers submitted at least one English description.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P11-1020.txt | Citing Article:  P13-2040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Given a large set of videos and a number of descriptions for each video (Chen and Dolan, 2011), we build a system that can recognize fluent and accurate descriptions of videos.</S> | Reference Offset:  ['96','97'] | Reference Text:  <S sid = 96 ssid = >On average, 41 descriptions were produced for each video, with at least 27 for over 95% of the videos.</S><S sid = 97 ssid = >Even limiting the set to descriptions produced from the Tier-2 tasks, there are still 16 descriptions on average for each video, with at least 12 descriptions for over 95% of the videos.</S> | Discourse Facet:  NA | Annotator: Automatic


