Citance Number: 1 | Reference Article:  W99-0625.txt | Citing Article:  P01-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This extension will require using a more selective alignment technique (similar to that of (Hatzivassiloglou et al., 1999)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It serves as the first component of a domain-independent multidocument summarization system [McKeown et al. 1999] which generates a summary through text reformulation [Barzilay et al.</S><S sid = NA ssid = NA>We thus consider the following potential matches between text units: identified using the ALEMBIC tool set [Aberdeen et al. 1995].</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W99-0625.txt | Citing Article:  C04-1129.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We then cluster the simplified sentences withSimFinder (Hatzivassiloglou et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It serves as the first component of a domain-independent multidocument summarization system [McKeown et al. 1999] which generates a summary through text reformulation [Barzilay et al.</S><S sid = NA ssid = NA>Our results indicate that our method outperforms the standard techniques for detecting similarity, and the system has been successfully integrated into a larger multipledocument summarization system [McKeown et al. 1999].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W99-0625.txt | Citing Article:  P07-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>At the level of short passages or sentences, (Hatzivassiloglou et al, 1999) goes beyond N-gram, taking advantage of WordNet synonyms, as well as ordering and distance between shared words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>WordNet synonyms. provides sense information, placing in sets of synonyms match words that appear in the same synset.</S><S sid = NA ssid = NA>Our include linked noun phrases, WordNet synonyms, and similar verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W99-0625.txt | Citing Article:  W08-0913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, Hatzivassiloglou et al (1999) trained a classifier for paraphrase detection, though their performance only reached roughly 37% recall and 61% precision.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In comparison, the unmodified TF*IDF approach obtained only 32.6% precision when recall is 39.1%, i.e., close to our system's recall; and only 20.8% recall at precision of 62.2%, comparable to our classifier's ilarity metrics.</S><S sid = NA ssid = NA>It serves as the first component of a domain-independent multidocument summarization system [McKeown et al. 1999] which generates a summary through text reformulation [Barzilay et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W99-0625.txt | Citing Article:  W03-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the context of multi document summarization, SimFinder (Hatzivassiloglou et al, 1999) identifies sentences that convey similar information across in put documents to select the summary content.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It serves as the first component of a domain-independent multidocument summarization system [McKeown et al. 1999] which generates a summary through text reformulation [Barzilay et al.</S><S sid = NA ssid = NA>We discuss a more restrictive definition of similarity than traditional, document-level and information retrieval-oriented, notions of similarity, and motivate it by showing its relevance to the multi-document text summarization problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W99-0625.txt | Citing Article:  W03-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An obvious choice for a baseline in this task is the following: any two sentences are considered aligned if their cosine similarity exceeds a certain threshold. We also compare our algorithm with two state-of the-art systems, SimFinder (Hatzivassiloglou et al, 1999) and Decomposition (Jing, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It serves as the first component of a domain-independent multidocument summarization system [McKeown et al. 1999] which generates a summary through text reformulation [Barzilay et al.</S><S sid = NA ssid = NA>We thus consider the following potential matches between text units: identified using the ALEMBIC tool set [Aberdeen et al. 1995].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W99-0625.txt | Citing Article:  C04-1166.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To this end, we intend to implement a second-pass analysis that would rerank the candidates produced by fuzzy inverted generation by computing text similarities over short passages such as those propose din (Hatzivassiloglou et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1999] by combining information from these similar text passages.</S><S sid = NA ssid = NA>It serves as the first component of a domain-independent multidocument summarization system [McKeown et al. 1999] which generates a summary through text reformulation [Barzilay et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W99-0625.txt | Citing Article:  S12-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hatzivassiloglou et al (1999) proposed to use linguistic features as indicators of text similarity to address the problem of sparse representation of sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We address concerns of sparse data and the narrower than topical definition of similarity by exploring several linguistic features, in addition to shared words or collocations, as indicators of text similarity.</S><S sid = NA ssid = NA>We address concerns of sparse data and the narrower than topical definition of similarity by exploring several linguistic features, in addition to shared words or collocations, as indicators of similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


