Citance Number: 1 | Reference Article:  P04-1041.txt | Citing Article:  W04-1505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['58','188'] | Reference Text:  <S sid = 58 ssid = >features such as person, number etc. The stricter preds-only captures only paths ending in PRED:VALUE.</S><S sid = 188 ssid = >AcknowledgementsThis research was funded by Enterprise Ireland Ba sic Research Grant SC/2001/186 and IRCSET.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P04-1041.txt | Citing Article:  P06-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The f-structure annotation algorithm used for inducing LFG resources from the Penn-II treebank for English (Cahill et al, 2004) uses configurational, categorial, function tag and trace information.</S> | Reference Offset:  ['29','46'] | Reference Text:  <S sid = 29 ssid = >We outline the automatic f-structure annotation algorithm, PCFG-based LFG grammar approximations and parsing architecturesof (Cahill et al, 2002).</S><S sid = 46 ssid = >The f-structure annotation algorithm of (Cahill et 3LFGs may also involve morphological and semantic levels of representation.al., 2002) exploits configurational, categorial, Penn II ?functional?, local head and trace informationto annotate nodes with LFG feature-structure equa tions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P04-1041.txt | Citing Article:  P06-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A methodology for automatically obtaining LFG f-structures from trees output by probabilistic parsers trained on the Penn-II tree bank has been described by Cahill et al (2004).</S> | Reference Offset:  ['23','145'] | Reference Text:  <S sid = 23 ssid = >The LFG approximations of (Cahill et al, 2002), however, are only ?half?</S><S sid = 145 ssid = >For details on how we map the f-structures produced by our parsers to a format similar to that of the PARC 700 Dependency Bank, see (Burke et al, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P04-1041.txt | Citing Article:  P06-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some properties of Spanish and the encoding of syntactic information in the Cast3LB treebank make it non-trivial to apply the method of automatically mapping c-structures to f-structures used by Cahill et al (2004), which assigns grammatical functions to tree nodes based on their phrasal category, the category of the mother node and their position relative to the local head.</S> | Reference Offset:  ['42','69'] | Reference Text:  <S sid = 42 ssid = >NP ? U.N V ? signs ?PRED=U.N. ?PRED=sign Figure 1: Simple LFG C- and F-Structure Uparrows point to the f-structure associated with the mother node, downarrows to that of the local node.The equations are collected with arrows instanti ated to unique tree node identifiers, and a constraint solver generates an f-structure.</S><S sid = 69 ssid = >Nodes followed by annotations are treated as a monadic category for grammar extraction and parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P04-1041.txt | Citing Article:  P09-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cahill et al (2004), in their presentation of LFG parsing resources, distinguish 32 types of dependencies, divided into two major groups: a group of predicate-only dependencies and non predicate dependencies.</S> | Reference Offset:  ['6','60'] | Reference Text:  <S sid = 6 ssid = >Resolution of such long-distance dependencies (LDDs) is therefore crucial in the determination of accurate predicate-argument struc1Manually constructed f-structures for 105 randomly se lected trees from Section 23 of the WSJ section of the Penn-II Treebankture, deep dependency relations and the construction of proper meaning representations such as log ical forms (Johnson, 2002).</S><S sid = 60 ssid = >Based on these resources (Cahill et al, 2002) de veloped two parsing architectures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P04-1041.txt | Citing Article:  W07-0411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The translation and reference files are analyzed by a tree bank-based, probabilistic Lexical-Functional Grammar (LFG) parser (Cahill et al, 2004), which produces a set of dependency triples for each input.</S> | Reference Offset:  ['1','29'] | Reference Text:  <S sid = 1 ssid = >This paper shows how finite approximations of long distance dependency (LDD) resolution can be obtained automatically for wide-coverage, robust, probabilistic Lexical-Functional Grammar (LFG) resources acquired from treebanks.</S><S sid = 29 ssid = >We outline the automatic f-structure annotation algorithm, PCFG-based LFG grammar approximations and parsing architecturesof (Cahill et al, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P04-1041.txt | Citing Article:  W07-0411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cahill et al (2004) presents Penn-II Treebank based LFG parsing resources.</S> | Reference Offset:  ['29','60'] | Reference Text:  <S sid = 29 ssid = >We outline the automatic f-structure annotation algorithm, PCFG-based LFG grammar approximations and parsing architecturesof (Cahill et al, 2002).</S><S sid = 60 ssid = >Based on these resources (Cahill et al, 2002) de veloped two parsing architectures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P04-1041.txt | Citing Article:  W07-0411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we use the parser developed by Cahill et al (2004), which automatically annotates input text with c-structure trees and f-structure dependencies, reaching high precision and recall rates.</S> | Reference Offset:  ['22','54'] | Reference Text:  <S sid = 22 ssid = >From the f-structure annotated treebank they automatically extract wide-coverage, robust, PCFG-based LFG approximations that parse new text into trees and f-structure representations.</S><S sid = 54 ssid = >Annotation quality is measured in terms of precision and recall (P&R) against the DCU 105.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P04-1041.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We present a novel PCFG-based architecture for robust probabilistic generation based on wide-coverage LFG approximations (Cahill et al, 2004) automatically extracted from tree banks, maximising the probability of a tree given an f-structure.</S> | Reference Offset:  ['0','22'] | Reference Text:  <S sid = 0 ssid = >Long-Distance Dependency Resolution In Automatically Acquired Wide-Coverage PCFG-Based LFG Approximations</S><S sid = 22 ssid = >From the f-structure annotated treebank they automatically extract wide-coverage, robust, PCFG-based LFG approximations that parse new text into trees and f-structure representations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P04-1041.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper we present a novel PCFG-based architecture for probabilistic generation based onwide-coverage, robust Lexical Functional Grammar (LFG) approximations automatically extracted from tree banks (Cahill et al, 2004).</S> | Reference Offset:  ['1','29'] | Reference Text:  <S sid = 1 ssid = >This paper shows how finite approximations of long distance dependency (LDD) resolution can be obtained automatically for wide-coverage, robust, probabilistic Lexical-Functional Grammar (LFG) resources acquired from treebanks.</S><S sid = 29 ssid = >We outline the automatic f-structure annotation algorithm, PCFG-based LFG grammar approximations and parsing architecturesof (Cahill et al, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P04-1041.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cahill et al (2004) present two parsing architectures: the pipeline and the integrated parsing architecture.</S> | Reference Offset:  ['60','125'] | Reference Text:  <S sid = 60 ssid = >Based on these resources (Cahill et al, 2002) de veloped two parsing architectures.</S><S sid = 125 ssid = >We ran experiments with grammars in both the pipeline and the integrated parsing architectures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P04-1041.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The generation architecture presented here builds on the integrated parsing architecture resources of Cahill et al (2004).</S> | Reference Offset:  ['60','65'] | Reference Text:  <S sid = 60 ssid = >Based on these resources (Cahill et al, 2002) de veloped two parsing architectures.</S><S sid = 65 ssid = >In the integrated architecture the treebank is first annotated with f-structure equations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P04-1041.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['58','188'] | Reference Text:  <S sid = 58 ssid = >features such as person, number etc. The stricter preds-only captures only paths ending in PRED:VALUE.</S><S sid = 188 ssid = >AcknowledgementsThis research was funded by Enterprise Ireland Ba sic Research Grant SC/2001/186 and IRCSET.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P04-1041.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['58','188'] | Reference Text:  <S sid = 58 ssid = >features such as person, number etc. The stricter preds-only captures only paths ending in PRED:VALUE.</S><S sid = 188 ssid = >AcknowledgementsThis research was funded by Enterprise Ireland Ba sic Research Grant SC/2001/186 and IRCSET.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P04-1041.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This conditioning effectively turns the f-structure annotated PCFGs of Cahill et al (2004) into probabilistic generation grammars.</S> | Reference Offset:  ['19','184'] | Reference Text:  <S sid = 19 ssid = >Recently (Cahill et al, 2002) showed how wide-coverage, probabilistic unification grammarresources can be acquired automatically from fstructure-annotated treebanks.</S><S sid = 184 ssid = >grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P04-1041.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our back off uses the built-in lexical macros of the automatic f-structure annotation algorithm of Cahill et al (2004) to identify potential part-of-speech categories corresponding to a particular set of features.</S> | Reference Offset:  ['29','64'] | Reference Text:  <S sid = 29 ssid = >We outline the automatic f-structure annotation algorithm, PCFG-based LFG grammar approximations and parsing architecturesof (Cahill et al, 2002).</S><S sid = 64 ssid = >The resulting parse-trees are then annotated by the automatic f-structure annotation algorithm and resolved into f-structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P04-1041.txt | Citing Article:  N07-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The feasibility of such post-parse deepening (for a statistical parser) is demonstrated by Cahill et al (2004).</S> | Reference Offset:  ['70','133'] | Reference Text:  <S sid = 70 ssid = >Post-parsing, equations are collected from parse trees and resolved into f-structures.Both architectures parse raw text into ?proto?</S><S sid = 133 ssid = >The DCU 105 (Cahill et al, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


