Citance Number: 1 | Reference Article:  D10-1048.txt | Citing Article:  P11-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also thank Nicholas Rizzolo and Dan Roth for helping us replicate their experimental setup, and Heng Ji and Dekang Lin for providing their gender lexicon.</S><S sid = NA ssid = NA>In a significant departure from previous work, each model in our framework gets (possibly incomplete) clustering information for each mention from the earlier coreference models in the multi-pass system.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  D10-1048.txt | Citing Article:  W11-1902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Please see (Raghunathan et al, 2010) for more details.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Subjects are more probable antecedents for pronouns (Kertz et al., 2006).</S><S sid = NA ssid = NA>This theory is known by different names in many NLP applications: Brown et al. (1993) used simple models as “stepping stones” for more complex word alignment models; Collins (1999) used “cautious” decision list learning for named entity classification; Spitkovsky et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D10-1048.txt | Citing Article:  W11-1902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The core of our coreference resolution system is an incremental extension of the system described in Raghunathan et al (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Multi-Pass Sieve for Coreference Resolution</S><S sid = NA ssid = NA>With one exception (Pass 2), all the previous coreference models focus on nominal coreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D10-1048.txt | Citing Article:  W11-1902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Proper Head Word Match: This sieve marks two mentions headed by proper nouns as coreferent if they have the same head word and satisfy the following constraints: Not i-within-i same as Raghunathan et al (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To address this issue, this pass implements several features that must all be matched in order to yield a link: Cluster head match – the mention head word matches any head word in the antecedent cluster.</S><S sid = NA ssid = NA>This pass relaxes the cluster head match heuristic by allowing the mention head to match any word in the cluster of the candidate antecedent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D10-1048.txt | Citing Article:  S12-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The candidate antecedents for the pronoun are ordered based on a notion of discourse salience that favors syntactic salience and document proximity (Raghunathan et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This guarantees syntactic salience and also favors document proximity.</S><S sid = NA ssid = NA>This model is triggered for all nominal mentions regardless of discourse salience, because it is possible that indefinite mentions are repeated in a document when concepts are discussed but not instantiated, e.g., a sports bar below: We now describe the coreference models implemented in the sieve.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D10-1048.txt | Citing Article:  S12-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>By matching the performance of the DT system in the first two rows of the table, the AC system proves that it can successfully learn the relative importance of the deterministic sieves, which in (Raghunathanet al, 2010) and (Lee et al, 2011) have been manually ordered using a separate development dataset.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For clarity, we summarize them in Table 1 and show the cumulative performance as they are added to the sieve in Table 2.</S><S sid = NA ssid = NA>We implemented all components in our approach using only deterministic models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D10-1048.txt | Citing Article:  W12-4501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chen built upon the sieve architecture proposed in Raghunathan et al (2010) and added one more sieve - head match - for Chinese and modified two sieves.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This pass relaxes the cluster head match heuristic by allowing the mention head to match any word in the cluster of the candidate antecedent.</S><S sid = NA ssid = NA>For clarity, we summarize them in Table 1 and show the cumulative performance as they are added to the sieve in Table 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D10-1048.txt | Citing Article:  P13-2015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We incorporate lexicalized feature sets into two different coreference architectures: Reconcile (Stoyanov et al, 2010), a pairwise coreference classifier, and Sieve (Raghunathan et al, 2010), a rule-based system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This theory is known by different names in many NLP applications: Brown et al. (1993) used simple models as “stepping stones” for more complex word alignment models; Collins (1999) used “cautious” decision list learning for named entity classification; Spitkovsky et al.</S><S sid = NA ssid = NA>A Multi-Pass Sieve for Coreference Resolution</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D10-1048.txt | Citing Article:  P13-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There is no polynomial-time dynamic program for inference in a model with arbitrary entity-level features, so systems that use such features typically rely on making decisions in a pipelined manner and sticking with them, operating greedily in a left-to-right fashion (Rahmanand Ng, 2009) or in a multi-pass, sieve-like manner (Raghunathan et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Like us, they use a rich set of features and deterministic decisions.</S><S sid = NA ssid = NA>A Multi-Pass Sieve for Coreference Resolution</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D10-1048.txt | Citing Article:  W12-4510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Compared with machine learning methods, (Raghunathan et al, 2010) proposed rule-base models which have been witnessed good performance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This theory is known by different names in many NLP applications: Brown et al. (1993) used simple models as “stepping stones” for more complex word alignment models; Collins (1999) used “cautious” decision list learning for named entity classification; Spitkovsky et al.</S><S sid = NA ssid = NA>Additionally, the deterministic models in our tiered model are significantly simpler, yet perform generally better than the complex inference models proposed in these works.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D10-1048.txt | Citing Article:  P13-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This fact explains a new trend to develop accurate unsupervised systems that exploit simple but robust linguistic principles (Raghunathan et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Additionally, we propose several simple, yet powerful, new features.</S><S sid = NA ssid = NA>This flexibility is in sharp contrast to supervised classifiers that require their models to be retrained on labeled data, and unsupervised systems that do not offer a clear insertion point for new features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D10-1048.txt | Citing Article:  W11-1811.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is an interesting observation because pronominal anaphora problem has been reported with much higher results on other domains (Raghunathan et al, 2010), and also on other bio data (hsiang Lin and Liang, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Gender – we assign gender attributes from static lexicons from (Bergsma and Lin, 2006; Ji and Lin, 2009).</S><S sid = NA ssid = NA>We exclude from this analysis two notable works that report results only on a version of the task that includes finding mentions (Haghighi and Klein, 2010; Stoyanov, 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D10-1048.txt | Citing Article:  D12-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our multi-sieve approach is different from (Raghunathan et al 2010) in several respects: (a) our sieves are machine-learning classifiers, (b) the same pair of mentions can fall into multiple sieves, (c) later sieves can override the decisions made by earlier sieves, allowing to recover from errors as additional evidence becomes available.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Multi-Pass Sieve for Coreference Resolution</S><S sid = NA ssid = NA>For proper nouns, 50% of recall errors are due to mention lengthening, mentions that are longer than their earlier mentions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D10-1048.txt | Citing Article:  D12-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Raghunathan et al 2010) recorded the best result on CoNLL 2011 shared task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We exclude from this analysis two notable works that report results only on a version of the task that includes finding mentions (Haghighi and Klein, 2010; Stoyanov, 2010).</S><S sid = NA ssid = NA>To the best of our knowledge, we are the first to apply this theory to coreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D10-1048.txt | Citing Article:  D12-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The ordering should be such that (a) maximum amount of information is injected at early stages (b) the precision at the early stages is as high as possible (Raghunathan et al 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For instance, once a new high precision feature (or group of features) is inserted as its own stage, it will benefit later stages with more precise clusters, but it will not interfere with their particular algorithmic decisions.</S><S sid = NA ssid = NA>Instead, in each of our models, we exploit the cluster information received from the previous stages by resolving only mentions that are currently first in textual order in their cluster.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D10-1048.txt | Citing Article:  D12-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Third, while our division to sieves may resemble witchcraft, it is motivated by the intuition that mentions appearing close to one another are easier instances of co-ref as well as linguistic insights of (Raghunathan et al 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The intuition behind this heuristic is two-fold.</S><S sid = NA ssid = NA>On the corpora where our model is not best, it ranks a close second.</S> | Discourse Facet:  NA | Annotator: Automatic


