Citance Number: 1 | Reference Article:  H05-1004.txt | Citing Article:  H05-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For this reason, we compute an unweighted entity-constrained mention F-measure (Luo, 2005) and report all contrastive experiments with this metric.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The paper proposes a Constrained Entity Alignment F-Measure (CEAF) for evaluatingcoreference resolution.</S><S sid = NA ssid = NA>Comparative experiments are conducted to show that the widely known MUC F-measure has serious flaws in evaluating a coreference system.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  H05-1004.txt | Citing Article:  P11-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We report recall, precision, and F1 for MUC (Vilain et al, 1995), B3 (Bagga and Baldwin, 1998), and CEAF (Luo, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is worth pointing out that the entity definition here is different from what used in the Message Understanding Conference (MUC) task (MUC, 1995; MUC, 1998) ? ACE entity is called coreference chain or equivalence class in MUC, and ACE mention is called entity in MUC.</S><S sid = NA ssid = NA>Comparative experiments are conducted to show that the widely known MUC F-measure has serious flaws in evaluating a coreference system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  H05-1004.txt | Citing Article:  S10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Three runs have been submitted for the SemEval task 1 on Coreference Resolution (Recasens et al, 2010), optimizing Corry's performance for BLANC (Recasens and Hovy, in prep), MUC (Vilain et al, 1995) and CEAF (Luo, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On Coreference Resolution Performance Metrics</S><S sid = NA ssid = NA>An important problem in coreference resolution is how to evaluate a system?s performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  H05-1004.txt | Citing Article:  S10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We have collected a number of runs on the development data to optimize the performance level for a particular score: BLANC (Recasens and Hovy, in prep), MUC (Vilain et al, 1995) or CEAF (Luo, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is worth pointing out that the entity definition here is different from what used in the Message Understanding Conference (MUC) task (MUC, 1995; MUC, 1998) ? ACE entity is called coreference chain or equivalence class in MUC, and ACE mention is called entity in MUC.</S><S sid = NA ssid = NA>On Coreference Resolution Performance Metrics</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H05-1004.txt | Citing Article:  P10-1143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We report results in terms of recall (R), precision (P), and F-score (F) by employing the mention-based B3 metric (Bagga and Baldwin, 1998), the entity-based CEAF metric (Luo, 2005), and the pairwise F1 (PW) metric.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The proposed metric is also compared with the ACE-Value, the official evaluation metric in the AutomaticContent Extraction (ACE) task, and we con clude that the proposed metric possesses someproperties such as symmetry and better inter pretability missing in the ACE-Value.</S><S sid = NA ssid = NA>A good performance metric should have the following two properties:</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H05-1004.txt | Citing Article:  W10-2301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Category Evaluation Measures set mapping purity, inverse purity, F-measure pair counting rand index, Jaccard Coefficient, Folks and Mallows FM entropy entropy, mutual information, VI, V editing distance editing distance co reference resolution MUC (Vilain et al,1995), B-Cubed (Bagga and Baldwin, 1998), CEAF (Luo, 2005) Table 3.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The metric is com puted by aligning reference and system entities (or coreference chains) with the constraint that a system (reference) entity is aligned with at most one reference (system) entity.</S><S sid = NA ssid = NA>The paper proposes a Constrained Entity Alignment F-Measure (CEAF) for evaluatingcoreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H05-1004.txt | Citing Article:  P11-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is similar to Luo (2005) where a Bell tree is used to score and store the searching path.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A working definition of coreference resolution is partitioning the noun phrases we are interested in into equiv alence classes, each of which refers to a physical entity.We adopt the terminologies used in the Automatic Con tent Extraction (ACE) task (NIST, 2003a) and call eachindividual phrase a mention and equivalence class an en tity.</S><S sid = NA ssid = NA>It is worth pointing out that the entity definition here is different from what used in the Message Understanding Conference (MUC) task (MUC, 1995; MUC, 1998) ? ACE entity is called coreference chain or equivalence class in MUC, and ACE mention is called entity in MUC.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H05-1004.txt | Citing Article:  D09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>CEAF (Luo, 2005): For a similarity function between predicted and true clusters, CEAF scores the best match between true and predicted clusters using this function.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We show that the best alignment is a maximum bipartite matching problem which can be solved by theKuhn-Munkres algorithm.</S><S sid = NA ssid = NA>The paper proposes a Constrained Entity Alignment F-Measure (CEAF) for evaluatingcoreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H05-1004.txt | Citing Article:  D09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the similarity function from Luo (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A good performance metric should have the following two properties:</S><S sid = NA ssid = NA>For example, in the following text segment, (1): ?The American Medical Association voted yesterday to install the heir apparent as its president-elect, rejecting a strong, upstart challenge by a district doctor who argued that the nation?s largest physicians?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H05-1004.txt | Citing Article:  D12-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In coreference resolution, typical performance measure functions include MUC (Vilain et al, 1995), Rand index (Rand, 1971), B-CUBED (Bagga and Baldwin, 1998) and CEAF (Luo, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On Coreference Resolution Performance Metrics</S><S sid = NA ssid = NA>An important problem in coreference resolution is how to evaluate a system?s performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H05-1004.txt | Citing Article:  D12-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In all our experiments, we use two popular performance measures, B-CUBED Fmeasure (Bagga and Baldwin, 1998) and CEAF F measure (Luo, 2005), to evaluate the co reference resolution result.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An important problem in coreference resolution is how to evaluate a system?s performance.</S><S sid = NA ssid = NA>On Coreference Resolution Performance Metrics</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H05-1004.txt | Citing Article:  C10-2125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To evaluate our system we use CEAF (Luo, 2005) and B3 (Bagga and Baldwin, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An important problem in coreference resolution is how to evaluate a system?s performance.</S><S sid = NA ssid = NA>The paper proposes a Constrained Entity Alignment F-Measure (CEAF) for evaluatingcoreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H05-1004.txt | Citing Article:  D12-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We compare the end clustering quality across a variety of thresholds and for various system flavors using three metrics: MUC (Vilain et al 1995), B3 (Bagga and Baldwin, 1998) and CEAF (Luo, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On Coreference Resolution Performance Metrics</S><S sid = NA ssid = NA>It is worth pointing out that the entity definition here is different from what used in the Message Understanding Conference (MUC) task (MUC, 1995; MUC, 1998) ? ACE entity is called coreference chain or equivalence class in MUC, and ACE mention is called entity in MUC.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  H05-1004.txt | Citing Article:  P10-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A good performance metric should have the following two properties:</S><S sid = NA ssid = NA>For example, in the following text segment, (1): ?The American Medical Association voted yesterday to install the heir apparent as its president-elect, rejecting a strong, upstart challenge by a district doctor who argued that the nation?s largest physicians?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  H05-1004.txt | Citing Article:  P10-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A good performance metric should have the following two properties:</S><S sid = NA ssid = NA>For example, in the following text segment, (1): ?The American Medical Association voted yesterday to install the heir apparent as its president-elect, rejecting a strong, upstart challenge by a district doctor who argued that the nation?s largest physicians?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  H05-1004.txt | Citing Article:  W11-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both parameters were empirically adjusted on the development set for the evaluation measure used in this shared task: the unweighted average of MUC (Vilain et al, 1995), B3 (Bagga and Baldwin, 1998) and entity-based CEAF (Luo, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is worth pointing out that the entity definition here is different from what used in the Message Understanding Conference (MUC) task (MUC, 1995; MUC, 1998) ? ACE entity is called coreference chain or equivalence class in MUC, and ACE mention is called entity in MUC.</S><S sid = NA ssid = NA>The paper proposes a Constrained Entity Alignment F-Measure (CEAF) for evaluatingcoreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  H05-1004.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Results are reported in terms of recall (R), precision (P), and F-measure (F), obtained using two coreference scoring programs: the MUC scorer (Vilain et al., 1995) and the CEAF scorer (Luo, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is worth pointing out that the entity definition here is different from what used in the Message Understanding Conference (MUC) task (MUC, 1995; MUC, 1998) ? ACE entity is called coreference chain or equivalence class in MUC, and ACE mention is called entity in MUC.</S><S sid = NA ssid = NA>Comparative experiments are conducted to show that the widely known MUC F-measure has serious flaws in evaluating a coreference system.</S> | Discourse Facet:  NA | Annotator: Automatic


