Citance Number: 1 | Reference Article:  C10-1152.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>When compared against current state of-the-art methods (Zhu et al, 2010) our model yields significantly simpler output that is both grammatical and meaning preserving.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first is Moses which is a state of the art SMT system widely used as a baseline in MT community.</S><S sid = NA ssid = NA>In our third baseline system, we substitute the words in the output of the compression system with their simpler synonyms.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C10-1152.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>AlignILP is most different from the reference, followed by Zhu et al (2010) and RevILP.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Reading assistance is thus an important application of sentence simplification, espe cially for people with reading disabilities (Carrollet al, 1999; Inui et al, 2003), low-literacy read ers (Watanabe et al, 2009), or non-native speakers (Siddharthan, 2002).Not only human readers but also NLP applications can benefit from sentence simplification.</S><S sid = NA ssid = NA>This is confirmed by MT evaluation measures: if we set CW as both source and reference, the BLEU score obtained by Moses is 0.78.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C10-1152.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zhu et al (2010) is the least grammatical model. Finally, RevILP preserves the meaning of the target as well as SimpleEW, whereas Zhu et al yields the most distortions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Reading assistance is thus an important application of sentence simplification, espe cially for people with reading disabilities (Carrollet al, 1999; Inui et al, 2003), low-literacy read ers (Watanabe et al, 2009), or non-native speakers (Siddharthan, 2002).Not only human readers but also NLP applications can benefit from sentence simplification.</S><S sid = NA ssid = NA>As faras lexical simplification is concerned, word substitution is usually done by selecting simpler syn onyms from Wordnet based on word frequency (Carroll et al, 1999).In this paper, we propose a sentence simplifica tion model by tree transformation which is based 1353 on techniques from statistical machine translation (SMT) (Yamada and Knight, 2001; Yamada andKnight, 2002; Graehl et al, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C10-1152.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our results also show that a more general model not restricted to specific rewrite operations like Zhu et al (2010) obtains superior results and has better coverage.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The results are pre sented in Tab.</S><S sid = NA ssid = NA>Here are two example results obtained with our TSM system.Example 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C10-1152.txt | Citing Article:  W12-2910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zhu et al (2010), for example, use a tree-based simplification model which uses techniques from statistical machine translation (SMT) with this data set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As faras lexical simplification is concerned, word substitution is usually done by selecting simpler syn onyms from Wordnet based on word frequency (Carroll et al, 1999).In this paper, we propose a sentence simplifica tion model by tree transformation which is based 1353 on techniques from statistical machine translation (SMT) (Yamada and Knight, 2001; Yamada andKnight, 2002; Graehl et al, 2008).</S><S sid = NA ssid = NA>A Monolingual Tree-based Translation Model for Sentence Simplification</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C10-1152.txt | Citing Article:  W12-2910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This system can handle sentence splitting operations and the authors use both automatic and human evaluation and show an improvement over the results of Zhu et al (2010) on the same data set, but they have to admit that learning from parallel bi-text is not as efficient as learning from revision histories of the Wiki-pages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>with ?use?</S><S sid = NA ssid = NA>The authors are requested to ?use easy words and short sentences?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C10-1152.txt | Citing Article:  W11-1601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our work extends recent work by Zhu et al (2010) that also examines Wikipedia/Simple English Wikipedia as a data-driven, sentence simplification task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We collected a paired dataset from the English Wikipedia and Simple English Wikipedia.</S><S sid = NA ssid = NA>The sentences from Wikipedia and Simple Wikipedia are considered as ?complex?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C10-1152.txt | Citing Article:  W11-1601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach performs significantly better than two different text compression approaches, including T3, and better than previous approaches on a similar data set (Zhu et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>TSM achieves significantly better scores than Moses which has the best BLEUscore.</S><S sid = NA ssid = NA>The evaluation shows that our model achieves better readability scores than a set of baseline systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C10-1152.txt | Citing Article:  P12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There has also been work on lexical substitution for simplification, where the aim is to substitute difficult words with simpler synonyms, derived from WordNet or dictionaries (Inui et al, 2003). Zhu et al (2010) examine the use of paired documents in English Wikipedia and Simple Wikipediafor a data-driven approach to the sentence simplification task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our third baseline system, we substitute the words in the output of the compression system with their simpler synonyms.</S><S sid = NA ssid = NA>We collected a paired dataset from the English Wikipedia and Simple English Wikipedia.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C10-1152.txt | Citing Article:  P12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follow Zhu et al (2010) and Coster and Kauchak (2011) in proposing that sentence simplification can be approached as a monolingual machine translation task, where the source and target languages are the same and where the output should be simpler in form from the input but similar in meaning.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we consider sentence sim plification as a special form of translation with the complex sentence as the source and the simple sentence as the target.</S><S sid = NA ssid = NA>A Monolingual Tree-based Translation Model for Sentence Simplification</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C10-1152.txt | Citing Article:  P12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1360</S><S sid = NA ssid = NA>should be put on the ?left?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C10-1152.txt | Citing Article:  P12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1360</S><S sid = NA ssid = NA>should be put on the ?left?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C10-1152.txt | Citing Article:  P12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While Zhu et al (2010) have demonstrated that their approach outperforms a PBMT approach in terms of Flesch Reading Ease test scores, we are not aware of any studies that evaluate PBMT for sentence simplification with human judgements.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Reading assistance is thus an important application of sentence simplification, espe cially for people with reading disabilities (Carrollet al, 1999; Inui et al, 2003), low-literacy read ers (Watanabe et al, 2009), or non-native speakers (Siddharthan, 2002).Not only human readers but also NLP applications can benefit from sentence simplification.</S><S sid = NA ssid = NA>Nevertheless, the sentences generated by TSM seem better than Moses in terms of simplification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C10-1152.txt | Citing Article:  P12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1360</S><S sid = NA ssid = NA>should be put on the ?left?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C10-1152.txt | Citing Article:  P12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zhu et al (2010) learn a sentence simplification model which is able to perform four rewrite operations on the parse trees of the input sentences, namely substitution, reordering, splitting, and deletion.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We apply the following simplification operations to the parse tree of a complex sentence: splitting, 1354dropping, reordering and substitution.</S><S sid = NA ssid = NA>Splitting, dropping, reordering, and substitution are widely accepted as important simplification operations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C10-1152.txt | Citing Article:  P12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zhu et al (2010) evaluate their system using BLEU and NIST scores, as well as various readability scores that only take into account the output sentence, such as the Flesch Reading Ease test and n-gram language model perplexity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>9 shows the BLEU and NIST scores.</S><S sid = NA ssid = NA>The evaluation shows that our model achieves better readability scores than a set of baseline systems.</S> | Discourse Facet:  NA | Annotator: Automatic


