Citance Number: 1 | Reference Article:  A97-1014.txt | Citing Article:  E99-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This type of model is used to facilitate the syntactic annotation of the NEGRA corpus of German newspaper texts (Skut et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will closely coordinate the further development of our corpus with the annotation work in Verbmobil and with other German efforts in corpus annotation.</S><S sid = NA ssid = NA>(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  A97-1014.txt | Citing Article:  W04-1506.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>that could best deal with the free word order displayed by Basque syntax (Skut et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An Annotation Scheme For Free Word Order Languages</S><S sid = NA ssid = NA>As for free word order languages, the following features may cause problems: sition between the two poles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A97-1014.txt | Citing Article:  C10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast, some other tree banks, such as the German NeGra and TIGER tree banks allow annotation with crossing branches (Skut et al, 1997). Non-local dependencies can then be expressed directly by grouping all dependent elements under a single node.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A uniform representation of local and non-local dependencies makes the structure more transparent'.</S><S sid = NA ssid = NA>Argument structure can be represented in terms of unordered trees (with crossing branches).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A97-1014.txt | Citing Article:  C10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our data source is the German NeGra tree bank (Skut et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S><S sid = NA ssid = NA>(Lehmann et al., 1996), (Marcus et al., 1994), (Sampson, 1995)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A97-1014.txt | Citing Article:  P05-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The parsing models we present are trained and tested on the NEGRA corpus (Skut et al, 1997), a hand parsed corpus of German newspaper text containing approximately 20,000 sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will closely coordinate the further development of our corpus with the annotation work in Verbmobil and with other German efforts in corpus annotation.</S><S sid = NA ssid = NA>In the second phase of the project Verbmobil a. treebank for :30,000 German spoken sentences as well as for the same amount of English and Japanese sentences will be created.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A97-1014.txt | Citing Article:  P03-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The present paper addresses this question by proposing a probabilistic parsing model trained on Negra (Skut et al, 1997), a syntactically annotated corpus for German.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Syntactically annotated corpora of German have been missing until now.</S><S sid = NA ssid = NA>The work reported in this paper aims at providing syntactically annotated corpora (treebanks') for stochastic grammar induction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  A97-1014.txt | Citing Article:  P03-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The annotation scheme (Skut et al, 1997) is modeled to a certain extent on that of the Penn Treebank (Marcuset al, 1993), with crucial differences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These differences can be illustrated by a comparison with the Penn Treebank annotation scheme.</S><S sid = NA ssid = NA>(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  A97-1014.txt | Citing Article:  C04-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Special thanks go t,o Oliver Plaehn, who implemented the annotation tool, and to our fearless annotators Roland Hendriks, Kerstin Klockner, Thomas Schulz, and Bernd-Paul Simon.</S><S sid = NA ssid = NA>We also wish to thank Robert MacIntyre and Ann Taylor for valuable discussions on the Penn Treebank annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  A97-1014.txt | Citing Article:  W04-1505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>German is considerably more in ectional which means that discarding functional information is more harmful, and which explains why the NEGRA an notation has been conceived to be quite at (Skut et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S><S sid = NA ssid = NA>(Lehmann et al., 1996), (Marcus et al., 1994), (Sampson, 1995)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  A97-1014.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The factors used in the algorithms and the algorithms themselves are evaluated on a German corpus annotated with syntactic and co reference in formation (Negra) (Skut et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S><S sid = NA ssid = NA>Syntactically annotated corpora of German have been missing until now.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  A97-1014.txt | Citing Article:  N07-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Special thanks go t,o Oliver Plaehn, who implemented the annotation tool, and to our fearless annotators Roland Hendriks, Kerstin Klockner, Thomas Schulz, and Bernd-Paul Simon.</S><S sid = NA ssid = NA>We also wish to thank Robert MacIntyre and Ann Taylor for valuable discussions on the Penn Treebank annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  A97-1014.txt | Citing Article:  P11-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>CKK uses the Dubey and Keller (2003) parser, which is trained on the Negra corpus (Skut et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S><S sid = NA ssid = NA>(Lehmann et al., 1996), (Marcus et al., 1994), (Sampson, 1995)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  A97-1014.txt | Citing Article:  W08-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Earlier studies by Dubey and Keller (2003) and Dubey (2005) using the Negra treebank (Skut et al, 1997) reports that lexicalization of PCFGs decrease the parsing accuracy when parsing Negra's flat constituent structures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S><S sid = NA ssid = NA>The tree resembles traditional constituent structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  A97-1014.txt | Citing Article:  P06-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We next tested UML-DOP on two additional domains which were also used in Klein and Manning (2004) and Bod (2006): the German NEGRA 10 (Skut et al 1997) and the Chinese CTB10 (Xue et al 2002) both containing 2200+ sentences 10 words after removing punctuation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S><S sid = NA ssid = NA>(Lehmann et al., 1996), (Marcus et al., 1994), (Sampson, 1995)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  A97-1014.txt | Citing Article:  D07-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A comparison of unlexicalised PCFG parsing (Kubler, 2005) trained and evaluated on the German NEGRA (Skut et al, 1997) and the Tu? Ba D/Z (Telljohann et al, 2004) tree banks using LoPar (Schmid, 2000) shows a difference in parsing results of about 16%, using the PARSEVAL metric (Black et al, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S><S sid = NA ssid = NA>(Lehmann et al., 1996), (Marcus et al., 1994), (Sampson, 1995)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  A97-1014.txt | Citing Article:  C02-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Special thanks go t,o Oliver Plaehn, who implemented the annotation tool, and to our fearless annotators Roland Hendriks, Kerstin Klockner, Thomas Schulz, and Bernd-Paul Simon.</S><S sid = NA ssid = NA>We also wish to thank Robert MacIntyre and Ann Taylor for valuable discussions on the Penn Treebank annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


