Citance Number: 1 | Reference Article:  W02-0109.txt | Citing Article:  W02-0108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >If evaluated against the requirements for teaching environments discussed in (Loper and Bird, 2002), GATE covers them all quite well.</S> | Reference Offset:  ['2','28'] | Reference Text:  <S sid = 2 ssid = >NLTK covers symbolic and statistical natural language processing, and is interfaced to annotated corpora.</S><S sid = 28 ssid = >In surveying the available languages, we believe that Python offers an especially good fit to the above requirements.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W02-0109.txt | Citing Article:  W08-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have not yet used the Natural Language Toolkit (Loper and Bird, 2002) (see Section 3.1) in this course.</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >NLTK: The Natural Language Toolkit</S><S sid = 18 ssid = >We describe NLTK, the Natural Language Toolkit, which we have developed in conjunction with a course we have taught at the University of Pennsylvania.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-0109.txt | Citing Article:  S12-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, all texts were lemmatized using Porter's stemmer (1980) for English and Snowballstemmers for other languages using an implementation provided by the NLTK (Loper and Bird, 2002).</S> | Reference Offset:  ['106','179'] | Reference Text:  <S sid = 106 ssid = >It is automatically extracted from docstring comments in the Python source code, using Epydoc (Loper, 2002).</S><S sid = 179 ssid = >The experience of using NLTK was very positive, both for us and for the students.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-0109.txt | Citing Article:  W11-0505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We strip unnecessary HTML tags and Wiki templates with mwlib5 and split sentences with NLTK (Loper and Bird, 2002).</S> | Reference Offset:  ['66','132'] | Reference Text:  <S sid = 66 ssid = >The token module provides basic classes for processing individual elements of text, such as words or sentences.</S><S sid = 132 ssid = >They then constructed chunks from any sequence of tags that occurred in a noun phrase more than 50% of the time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-0109.txt | Citing Article:  W05-0102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some popular options include the NLTK (Loper and Bird, 2002), CSLU (Cole, 1999), Trindi (Larsson and Traum, 2000) and Regulus (Rayner et al, 2003) toolkits.</S> | Reference Offset:  ['199','204'] | Reference Text:  <S sid = 199 ssid = >Recent work includes (Copestake, 2000; Baldridge et al., 2002a).</S><S sid = 204 ssid = >Examples include the CMU-Cambridge Statistical Language Modeling Toolkit (Clarkson and Rosenfeld, 1997), the EMU Speech Database System (Harrington and Cassidy, 1999), the General Architecture for Text Engineering (Bontcheva et al., 2002), the Maxent Package for Maximum Entropy Models (Baldridge et al., 2002b), and the Annotation Graph Toolkit (Maeda et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-0109.txt | Citing Article:  W11-1417.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a simple path distance similarity measure, as implemented in NLTK (Loper and Bird, 2002).</S> | Reference Offset:  ['94','207'] | Reference Text:  <S sid = 94 ssid = >This interface is currently implemented by two modules.</S><S sid = 207 ssid = >It is well documented, easy to learn, and simple to use.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-0109.txt | Citing Article:  D10-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our word pairs are lemmatized using the Wordnet based lemmatizer of NLTK (Loper and Bird, 2002).</S> | Reference Offset:  ['106','179'] | Reference Text:  <S sid = 106 ssid = >It is automatically extracted from docstring comments in the Python source code, using Epydoc (Loper, 2002).</S><S sid = 179 ssid = >The experience of using NLTK was very positive, both for us and for the students.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-0109.txt | Citing Article:  W08-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Natural Language Toolkit, or NLTK, was developed to give a broad range of students access to the core knowledge and skills of NLP (Loper and Bird, 2002).</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >NLTK: The Natural Language Toolkit</S><S sid = 18 ssid = >We describe NLTK, the Natural Language Toolkit, which we have developed in conjunction with a course we have taught at the University of Pennsylvania.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W02-0109.txt | Citing Article:  P11-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Tokenization ,lemmatization, and stop word removal was performed using the Natural Language Toolkit (Loper and Bird, 2002).</S> | Reference Offset:  ['0','106'] | Reference Text:  <S sid = 0 ssid = >NLTK: The Natural Language Toolkit</S><S sid = 106 ssid = >It is automatically extracted from docstring comments in the Python source code, using Epydoc (Loper, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W02-0109.txt | Citing Article:  P06-4019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Systems like NLTK (Loper and Bird, 2002) and Gate (Cunningham, 2002) do not offer functionality for Lexical Resource Management.</S> | Reference Offset:  ['106','183'] | Reference Text:  <S sid = 106 ssid = >It is automatically extracted from docstring comments in the Python source code, using Epydoc (Loper, 2002).</S><S sid = 183 ssid = >They found the interfaces defined by NLTK intuitive, and appreciated the ease with which they could combine different components to create complete NLP systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W02-0109.txt | Citing Article:  W07-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To identify content words, we used the NLTK-Lite tagger to assign a part of speech to each word (Loper and Bird, 2002).</S> | Reference Offset:  ['66','78'] | Reference Text:  <S sid = 66 ssid = >The token module provides basic classes for processing individual elements of text, such as words or sentences.</S><S sid = 78 ssid = >The tagger module defines a standard interface for augmenting each token of a text with supplementary information, such as its part of speech or its WordNet synset tag; and provides several different implementations for this interface.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W02-0109.txt | Citing Article:  W05-0111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the NL processing, the Natural Language Toolkit (NL Toolkit or NLTK), developed at the University of Pennsylvania by Loper and Bird (2002), and available for download from Source Forge at http: //nltk.sourceforge.net/ was used.</S> | Reference Offset:  ['18','19'] | Reference Text:  <S sid = 18 ssid = >We describe NLTK, the Natural Language Toolkit, which we have developed in conjunction with a course we have taught at the University of Pennsylvania.</S><S sid = 19 ssid = >The Natural Language Toolkit is available under an open source license from http://nltk.sf.net/.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W02-0109.txt | Citing Article:  W11-2703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['69','221'] | Reference Text:  <S sid = 69 ssid = >The remaining modules define data structures and interfaces for performing specific NLP tasks.</S><S sid = 221 ssid = >We are grateful to Mitch Marcus and the Department of Computer and Information Science at the University of Pennsylvania for sponsoring the work reported here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W02-0109.txt | Citing Article:  W05-0101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the end I decided to require the students to learn python because I wanted to use NLTK, the Natural Language Toolkit (Loper and Bird, 2002).</S> | Reference Offset:  ['0','54'] | Reference Text:  <S sid = 0 ssid = >NLTK: The Natural Language Toolkit</S><S sid = 54 ssid = >This allows students to learn how to use the toolkit incrementally throughout a course.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W02-0109.txt | Citing Article:  S10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['69','221'] | Reference Text:  <S sid = 69 ssid = >The remaining modules define data structures and interfaces for performing specific NLP tasks.</S><S sid = 221 ssid = >We are grateful to Mitch Marcus and the Department of Computer and Information Science at the University of Pennsylvania for sponsoring the work reported here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W02-0109.txt | Citing Article:  P04-3031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Natural Language Toolkit (NLTK) was developed in conjunction with a computational linguistics course at the University of Pennsylvania in 2001 (Loper and Bird, 2002).</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >NLTK: The Natural Language Toolkit</S><S sid = 18 ssid = >We describe NLTK, the Natural Language Toolkit, which we have developed in conjunction with a course we have taught at the University of Pennsylvania.</S> | Discourse Facet:  NA | Annotator: Automatic


