Citance Number: 1 | Reference Article:  P98-2204.txt | Citing Article:  E99-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['66','180'] | Reference Text:  <S sid = 66 ssid = >< posy, then x y. Summarizing Table 2, I state the following preference ranking for discourse entities in Ui and U2-1: hearer-old discourse entities in U, hearer-old discourse entities in Ui_1, mediated discourse entities in Ui, mediated discourse entities in Ui_i, hearernew discourse entities in U2, hearer-new discourse entities in Ui_1.</S><S sid = 180 ssid = >I am grateful for valuable comments by Barbara Grosz, Udo Hahn, Aravind Joshi, Lauri Karttunen, Andrew Kehler, Ellen Prince, and Bonnie Webber.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P98-2204.txt | Citing Article:  W04-0713.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have compared the obtained results with those obtained by testing bfp (Brennan et al, 1987) and str98 (Strube, 1998).</S> | Reference Offset:  ['19','27'] | Reference Text:  <S sid = 19 ssid = >In Section 4, I compare the results of my algorithm with the results of the centering algorithm (Brennan et al., 1987) with and without specifications for complex sentences (Kameyama, 1998).</S><S sid = 27 ssid = >Grosz et al. (1995) and Brennan et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P98-2204.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Strube (1998)'s centering approach (whose sentence ordering is designated as SR2 in Table 2) also deals with and even prefers intra sentential anaphora, which raises the upper limit to a more acceptable 80.2%.</S> | Reference Offset:  ['92','125'] | Reference Text:  <S sid = 92 ssid = >Table 4).</S><S sid = 125 ssid = >Kameyama's (1998) intra-sentential centering operates at the clause level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P98-2204.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Strube (1998) and Strube and Hahn (1999) argue that the information status of an antecedent is more important than the grammatical role in which it occurs.</S> | Reference Offset:  ['41','50'] | Reference Text:  <S sid = 41 ssid = >Strube & Hahn (1996) rank the Cf according to the information status of discourse entities.</S><S sid = 50 ssid = >E.g., evoked and unused discourse entities have the same information status because both belong to OLD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P98-2204.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Like (Ge et al, 1998), Strube (1998) evaluates on ideal hand annotated data.</S> | Reference Offset:  ['19','27'] | Reference Text:  <S sid = 19 ssid = >In Section 4, I compare the results of my algorithm with the results of the centering algorithm (Brennan et al., 1987) with and without specifications for complex sentences (Kameyama, 1998).</S><S sid = 27 ssid = >Grosz et al. (1995) and Brennan et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P98-2204.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Strube (1998)'s S-list algorithm is also restricted to the current and last sentence.</S> | Reference Offset:  ['109','124'] | Reference Text:  <S sid = 109 ssid = >For my experiments I restricted the length of the S-list to five elements.</S><S sid = 124 ssid = >For the BFPalgorithm, I define U as a simple sentence, a complex sentence, or each full clause of a compound sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P98-2204.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['66','180'] | Reference Text:  <S sid = 66 ssid = >< posy, then x y. Summarizing Table 2, I state the following preference ranking for discourse entities in Ui and U2-1: hearer-old discourse entities in U, hearer-old discourse entities in Ui_1, mediated discourse entities in Ui, mediated discourse entities in Ui_i, hearernew discourse entities in U2, hearer-new discourse entities in Ui_1.</S><S sid = 180 ssid = >I am grateful for valuable comments by Barbara Grosz, Udo Hahn, Aravind Joshi, Lauri Karttunen, Andrew Kehler, Ellen Prince, and Bonnie Webber.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P98-2204.txt | Citing Article:  P03-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['66','180'] | Reference Text:  <S sid = 66 ssid = >< posy, then x y. Summarizing Table 2, I state the following preference ranking for discourse entities in Ui and U2-1: hearer-old discourse entities in U, hearer-old discourse entities in Ui_1, mediated discourse entities in Ui, mediated discourse entities in Ui_i, hearernew discourse entities in U2, hearer-new discourse entities in Ui_1.</S><S sid = 180 ssid = >I am grateful for valuable comments by Barbara Grosz, Udo Hahn, Aravind Joshi, Lauri Karttunen, Andrew Kehler, Ellen Prince, and Bonnie Webber.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P98-2204.txt | Citing Article:  P05-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The POS properties could indicate whether a candidate refers to a hearer old entity that would have a higher preference to be selected as the antecedent (Strube, 1998).</S> | Reference Offset:  ['11','157'] | Reference Text:  <S sid = 11 ssid = >The S-list ranking criteria define a preference for hearer-old over hearer-new discourse entities (Prince, 1981) generalizing Strube & Hahn's (1996) approach.</S><S sid = 157 ssid = >In my model this effect is achieved by the preference for hearer-old discourse entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P98-2204.txt | Citing Article:  E99-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We now turn to our method of anaphora resolution, which extends the algorithm presented in Strube (1998), in order to be able to account for discourse deictic anaphora as well as individual anaphora.</S> | Reference Offset:  ['71','115'] | Reference Text:  <S sid = 71 ssid = >Anaphora resolution is performed with a simple look-up in the S-list3.</S><S sid = 115 ssid = >Method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P98-2204.txt | Citing Article:  E99-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition to the S-List (Strube, 1998), which contains the referents of NPs available for anaphoric reference, our model includes an A-List for abstract objects.</S> | Reference Offset:  ['73','173'] | Reference Text:  <S sid = 73 ssid = >Just after an anaphoric expression is resolved, the S-list is updated.</S><S sid = 173 ssid = >In contrast to the centering model, my model includes a treatment for intrasentential anaphora and is sufficiently well specified to be applied to real texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P98-2204.txt | Citing Article:  C04-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have compared the obtained results with those obtained by testing bfp (Brennan et al, 1987) and str98 (Strube, 1998).</S> | Reference Offset:  ['19','27'] | Reference Text:  <S sid = 19 ssid = >In Section 4, I compare the results of my algorithm with the results of the centering algorithm (Brennan et al., 1987) with and without specifications for complex sentences (Kameyama, 1998).</S><S sid = 27 ssid = >Grosz et al. (1995) and Brennan et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P98-2204.txt | Citing Article:  I08-3014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Centering theory has also guided the development of pronoun resolution algorithms, such as the BFP algorithm (Brenan, Friedman and Pollard, 1987) and the S-list algorithm developed by Strube (Strube, 1998).</S> | Reference Offset:  ['19','32'] | Reference Text:  <S sid = 19 ssid = >In Section 4, I compare the results of my algorithm with the results of the centering algorithm (Brennan et al., 1987) with and without specifications for complex sentences (Kameyama, 1998).</S><S sid = 32 ssid = >The BFP-algorithm (cf.</S> | Discourse Facet:  NA | Annotator: Automatic


