Citance Number: 1 | Reference Article:  W99-0604.txt | Citing Article:  P14-1139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To obtain the best single alignment, it is common practice to use a post-hoc algorithm to merge these directional alignments (Och et al, 1999).</S> | Reference Offset:  ['37','101'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 101 ssid = >This alignment representation is a generalization of the baseline alignments described in (Brown et al., 1993) and allows for many-to-many alignments.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W99-0604.txt | Citing Article:  C10-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zens et al (2004) introduce a left-to-right decoding algorithm with ITG constraints on the alignment template system (Och et al, 1999).</S> | Reference Offset:  ['37','55'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 55 ssid = >For our model, the probability of alignment al for position j depends on the previous alignment position a3_1 (Vogel et al., 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W99-0604.txt | Citing Article:  W03-0310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A significant source of errors in statistical machine translation is the word reordering problem (Och et al, 1999).</S> | Reference Offset:  ['0','37'] | Reference Text:  <S sid = 0 ssid = >Improved Alignment Models For Statistical Machine Translation</S><S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W99-0604.txt | Citing Article:  N03-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The blocks are simpler than the alignment templates in (Och et al, 1999) in that they do not have any internal structure.</S> | Reference Offset:  ['37','150'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 150 ssid = >3 shows some of the extracted alignment templates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W99-0604.txt | Citing Article:  N03-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We take the intersection of the two alignments as described in (Och et al, 1999).</S> | Reference Offset:  ['37','101'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 101 ssid = >This alignment representation is a generalization of the baseline alignments described in (Brown et al., 1993) and allows for many-to-many alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W99-0604.txt | Citing Article:  N03-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar block selection scheme has been presented in (Och et al, 1999).</S> | Reference Offset:  ['37','91'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 91 ssid = >Details of this approach will be presented elsewhere.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W99-0604.txt | Citing Article:  W12-3159.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use another technique to speed up direct search by storing and re-using search graphs, which consist of lattices in the case of phrase-based decoding (Och et al, 1999) and hypergraphs in the case of hierarchical decoding (Chiang, 2005).</S> | Reference Offset:  ['87','152'] | Reference Text:  <S sid = 87 ssid = >For our DP search, we use a leftto-right beam-search concept having been introduced in speech recognition, where we rely on beam-search as an efficient pruning technique in order to handle potentially huge search spaces.</S><S sid = 152 ssid = >For decoding we use the following search criterion: This decision rule is an approximation to Eq.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W99-0604.txt | Citing Article:  D09-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The phrase extraction heuristic then extracts all the bi phrases that are compatible with the word alignment (Och et al, 1999).</S> | Reference Offset:  ['37','47'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 47 ssid = >The basic idea is to model two different alignment levels: a phrase level alignment between phrases and a word level alignment between single words within these phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W99-0604.txt | Citing Article:  D09-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Second, using a heuristic proposed in (Och et al, 1999), all the aligned phrase pairs (x?, a?, y?) satisfying the following criteria are extracted: (1) x? and y? consist of consecutive words of x and y, and both have length at most k, (2) a? is the alignment between words of x? and y? induced by a, (3) a? contains at least one link, and (4) there are no links in a that have just one end in x? or y?.</S> | Reference Offset:  ['75','146'] | Reference Text:  <S sid = 75 ssid = >The optimal translation is obtained by carrying out the following optimization: where J is the length of the input sentence and $ is a symbol denoting the sentence end.</S><S sid = 146 ssid = >A phrase-pair is consistent with the alignment if the words within the source phrase are only aligned to words within the target phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W99-0604.txt | Citing Article:  P06-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['72','232'] | Reference Text:  <S sid = 72 ssid = >The DP equation is evaluated recursively to find the best partial path to each grid point (j, , e).</S><S sid = 232 ssid = >This work has been partially supported as part of the Verbmobil project (contract number 01 IV 701 T4) by the German Federal Ministry of Education, Science, Research and Technology and as part of the EuTrans project by the by the European Community (ESPRIT project number 30268).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W99-0604.txt | Citing Article:  P06-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Only phrases that conform to the so-called consistent alignment restrictions (Och et al, 1999) are extracted.</S> | Reference Offset:  ['37','150'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 150 ssid = >3 shows some of the extracted alignment templates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W99-0604.txt | Citing Article:  P03-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Och et al (1999) proposed a translation template approach that computes phrasal mappings from the viterbi alignments of a training corpus.</S> | Reference Offset:  ['37','147'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 147 ssid = >Thus we obtain a count n(z) of how often an alignment template occurred in the aligned training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W99-0604.txt | Citing Article:  P03-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Re-ordering effects across languages have been modeled in several ways, including word-based (Brown et al, 1993), template-based (Och et al, 1999) and syntax-based (Yamada, Knight, 2001).</S> | Reference Offset:  ['37','101'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 101 ssid = >This alignment representation is a generalization of the baseline alignments described in (Brown et al., 1993) and allows for many-to-many alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W99-0604.txt | Citing Article:  P03-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To implement our phrase extraction technique, the maximum approximation alignments were combined with the union operation as described in (Och et al, 1999), resulting in a dense but inaccurate alignment map as measured against a human aligned gold standard.</S> | Reference Offset:  ['101','119'] | Reference Text:  <S sid = 101 ssid = >This alignment representation is a generalization of the baseline alignments described in (Brown et al., 1993) and allows for many-to-many alignments.</S><S sid = 119 ssid = >However we do not apply maximum approximation in training, thereby obtaining slightly improved alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W99-0604.txt | Citing Article:  W07-0715.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This method of phrase pair extraction was originally described by Och et al (1999).</S> | Reference Offset:  ['141','146'] | Reference Text:  <S sid = 141 ssid = >We determine correlated bilingual classes by using the method described in (Och, 1999).</S><S sid = 146 ssid = >A phrase-pair is consistent with the alignment if the words within the source phrase are only aligned to words within the target phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W99-0604.txt | Citing Article:  H05-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Once an alignment is obtained, phrases which satisfy the inverse projection constraint are extracted (although earlier this constraint was called consistent alignments (Och et al, 1999)).</S> | Reference Offset:  ['60','185'] | Reference Text:  <S sid = 60 ssid = >In this approach, we first assume that the alignments satisfy the monotonicity requirement.</S><S sid = 185 ssid = >There was no constraint on the length of the sentences, and some of the sentences in the test corpus contain more than 50 words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W99-0604.txt | Citing Article:  P10-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most common method for obtaining the phrase table is heuristic extraction from automatically word-aligned bilingual training data (Och et al, 1999).</S> | Reference Offset:  ['102','141'] | Reference Text:  <S sid = 102 ssid = >The classes used in P and E are automatically trained bilingual classes using the method described in (Och, 1999) and constitute a partition of the vocabulary of source and target language.</S><S sid = 141 ssid = >We determine correlated bilingual classes by using the method described in (Och, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


