Citance Number: 1 | Reference Article:  W04-3206.txt | Citing Article:  W12-4006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, the TEASE collection of entailment rules (Szpektor et al, 2004) consists of 136 templates provided as input, plus all the learned templates.</S> | Reference Offset:  ['79','149'] | Reference Text:  <S sid = 79 ssid = >Our output consists of pairs of templates for which an entailment relation holds.</S><S sid = 149 ssid = >For each verb entry in the lexicon, we provided the judges with the corresponding pivot template and the list of related candidate entailment templates found by the system.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W04-3206.txt | Citing Article:  P08-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lin and Pantel (2001) and Szpektor et al (2004) proposed methods to obtain entailment templates by using a single monolingual resource.</S> | Reference Offset:  ['49','193'] | Reference Text:  <S sid = 49 ssid = >Finally, (Lin and Pantel, 2001) present a notably different approach that relies on matching separately single anchors.</S><S sid = 193 ssid = >Like (Lin and Pantel, 2001), learning the context for which entailment relations are valid is beyond the scope of this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W04-3206.txt | Citing Article:  P08-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >DIRT (Lin and Pantel, 2001) and TEASE (Szpektor et al, 2004) report accuracies of50.1% and 44.3% respectively compared to our average accuracy across two annotators of 70.79%.</S> | Reference Offset:  ['55','163'] | Reference Text:  <S sid = 55 ssid = >Lin and Pantel report experiments for 9 templates, in which their system extracted 10 correct inference rules on average per input template, from 1GB of news data.</S><S sid = 163 ssid = >These figures may be compared (informally, as data is incomparable) with average yield of 10.1 and average precision of 50.3% for the 9 “pivot” templates of (Lin and Pantel, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-3206.txt | Citing Article:  W07-0909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper we use TEASE (Szpektor et al, 2004), a state of-the-art unsupervised acquisition algorithm for lexical-syntactic entailment rules.</S> | Reference Offset:  ['3','20'] | Reference Text:  <S sid = 3 ssid = >However, the scalability of state-of-the-art paraphrase acquisition approaches is still limited.</S><S sid = 20 ssid = >Our research goal is to approach unsupervised acquisition of such a full scale KB.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-3206.txt | Citing Article:  N06-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['62','199'] | Reference Text:  <S sid = 62 ssid = >Three classes of syntactic template learning approaches are presented in the literature: learning ofpredicate argument templates (Yangarber et al., 2000), learning of syntactic chains (Lin and Pantel, 2001) and learning of sub-trees (Sudo et al., 2003).</S><S sid = 199 ssid = >For data visualization and analysis the authors intensively used the CLARK system (www.bultreebank.org) developed at the Bulgarian Academy of Sciences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-3206.txt | Citing Article:  C08-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >TEASE (Szpektor et al., 2004) discovers dependency sub-parses from the Web, based on sets of representative entities for a given lexical item.</S> | Reference Offset:  ['0','50'] | Reference Text:  <S sid = 0 ssid = >Scaling Web-Based Acquisition Of Entailment Relations</S><S sid = 50 ssid = >They limit the allowed structure of templates only to paths in dependency parses connecting two anchors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-3206.txt | Citing Article:  P07-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yet the current precision of acquisition algorithms is typically still mediocre, as illustrated in Table 1 for Dirt (Lin and Pantel, 2001) and TEASE (Szpektor et al, 2004), two prominent acquisition algorithms whose outputs are publicly available.</S> | Reference Offset:  ['32','60'] | Reference Text:  <S sid = 32 ssid = >Algorithms for paraphrase acquisition address two problems: (a) finding matching anchors and (b) identifying template structure, as reviewed in the next two subsections.</S><S sid = 60 ssid = >Interesting algorithms are presented in (Pang et al., 2003; Barzilay and Lee, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-3206.txt | Citing Article:  P07-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Indeed, only few earlier works reported inter-judge agreement level, and those that did reported rather low Kappa values, such as 0.54 (Barzilay and Lee, 2003) and 0.55 0.63 (Szpektor et al, 2004).</S> | Reference Offset:  ['60','166'] | Reference Text:  <S sid = 60 ssid = >Interesting algorithms are presented in (Pang et al., 2003; Barzilay and Lee, 2003).</S><S sid = 166 ssid = >Agreement among judges is measured by the Kappa value, which is 0.55 between J#1 and J#2, 0.57 between J#2 and J#3, and 0.63 between J#1 and J#3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-3206.txt | Citing Article:  P07-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We applied the instance-based methodology to evaluate two state-of-the-art unsupervised acquisition algorithms, DIRT (Lin and Pantel, 2001) and TEASE (Szpektor et al, 2004), whose output is publicly available.</S> | Reference Offset:  ['3','24'] | Reference Text:  <S sid = 3 ssid = >However, the scalability of state-of-the-art paraphrase acquisition approaches is still limited.</S><S sid = 24 ssid = >The algorithms described in this paper were applied for acquiring entailment relations for verb-based expressions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-3206.txt | Citing Article:  W11-0202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Szpektor et al (2004) describe the TEASE method for extracting entailing relation templates from the Web.</S> | Reference Offset:  ['79','83'] | Reference Text:  <S sid = 79 ssid = >Our output consists of pairs of templates for which an entailment relation holds.</S><S sid = 83 ssid = >On the other hand, it should be sufficiently frequent to appear with different entailing templates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-3206.txt | Citing Article:  P09-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other types of relations that have been studied by pattern-based approaches include question answer relations (such as birthdates and inventor) (Ravichandran and Hovy, 2002), synonyms and antonyms (Lin et al, 2003), general purpose analogy (Turney et al, 2003), verb relations (including similarity, strength, antonym, enable ment and temporal) (Chklovski and Pantel, 2004), entailment (Szpektor et al, 2004), and more specific relations, such as purpose, creation (Cimiano and Wenderoth, 2007), LivesIn, and EmployedBy (Bunescu and Mooney, 2007).</S> | Reference Offset:  ['35','60'] | Reference Text:  <S sid = 35 ssid = >These include multiple translations of the same text (Barzilay and McKeown, 2001) and corresponding articles from multiple news sources (Shinyama et al., 2002; Pang et al., 2003; Barzilay and Lee, 2003).</S><S sid = 60 ssid = >Interesting algorithms are presented in (Pang et al., 2003; Barzilay and Lee, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W04-3206.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many recent efforts have also focused on extracting semantic relations between entities, such as entailments (Szpektor et al 2004), is-a (Ravichandran and Hovy 2002), part-of (Girju et al 2006), and other relations.</S> | Reference Offset:  ['35','40'] | Reference Text:  <S sid = 35 ssid = >These include multiple translations of the same text (Barzilay and McKeown, 2001) and corresponding articles from multiple news sources (Shinyama et al., 2002; Pang et al., 2003; Barzilay and Lee, 2003).</S><S sid = 40 ssid = >Since exhaustive processing of the Web is not feasible, (Duclaye et al., 2002) and (Ravichandran and Hovy, 2002) attempted bootstrapping approaches, which resemble the mutual bootstrapping method for Information Extraction of (Riloff and Jones, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W04-3206.txt | Citing Article:  P08-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar methods have also been used by Ibrahim et al (2003) and Szpektor et al (2004).</S> | Reference Offset:  ['35','60'] | Reference Text:  <S sid = 35 ssid = >These include multiple translations of the same text (Barzilay and McKeown, 2001) and corresponding articles from multiple news sources (Shinyama et al., 2002; Pang et al., 2003; Barzilay and Lee, 2003).</S><S sid = 60 ssid = >Interesting algorithms are presented in (Pang et al., 2003; Barzilay and Lee, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W04-3206.txt | Citing Article:  P08-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, the precisions of the para phrase patterns reported in (Lin and Pantel, 2001), (Ibrahim et al, 2003), and (Szpektor et al, 2004) are lower than 50%.</S> | Reference Offset:  ['35','62'] | Reference Text:  <S sid = 35 ssid = >These include multiple translations of the same text (Barzilay and McKeown, 2001) and corresponding articles from multiple news sources (Shinyama et al., 2002; Pang et al., 2003; Barzilay and Lee, 2003).</S><S sid = 62 ssid = >Three classes of syntactic template learning approaches are presented in the literature: learning ofpredicate argument templates (Yangarber et al., 2000), learning of syntactic chains (Lin and Pantel, 2001) and learning of sub-trees (Sudo et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W04-3206.txt | Citing Article:  C10-2146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On-line usage of web queries is less frequent and was used mainly in semantic acquisition applications: the discovery of semantic verb relations (Chklovski and Pantel, 2004), the acquisition of entailment relations (Szpektor et al, 2004), and the discovery of concept-specific relationships (Davidov et al, 2007).</S> | Reference Offset:  ['0','15'] | Reference Text:  <S sid = 0 ssid = >Scaling Web-Based Acquisition Of Entailment Relations</S><S sid = 15 ssid = >These relations provide a broad framework for representing and recognizing semantic variability, as proposed in (Dagan and Glickman, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W04-3206.txt | Citing Article:  E06-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Next, we implemented a prototype that utilizes a state-of-the-art method for learning entailment relations from the web (Szpektor et al, 2004), the Minipar dependency parser (Lin, 1998) and a syntactic matching module.</S> | Reference Offset:  ['62','93'] | Reference Text:  <S sid = 62 ssid = >Three classes of syntactic template learning approaches are presented in the literature: learning ofpredicate argument templates (Yangarber et al., 2000), learning of syntactic chains (Lin and Pantel, 2001) and learning of sub-trees (Sudo et al., 2003).</S><S sid = 93 ssid = >STEP (2.A) utilizes a Web search engine to initialize S by retrieving sentences containing P. The sentences are parsed by the MINIPAR dependency parser (Lin, 1998), keeping only sentences that contain the complete syntactic template Tp (with all the variables instantiated).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W04-3206.txt | Citing Article:  E06-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Taking a step further, the TEASE algorithm (Szpektor et al, 2004) provides a completely unsupervised method for acquiring entailment relations from the Web for a given input relation (see Section 5.1).</S> | Reference Offset:  ['17','71'] | Reference Text:  <S sid = 17 ssid = >More examples of entailment relations, acquired by our method, can be found in Table 1 (section 4).</S><S sid = 71 ssid = >For each lexicon entry, denoted a pivot, our extraction method performs two phases: (a) extract promising anchor sets for that pivot (ASE, Section 3.1), and (b) from sentences containing the anchor sets, extract templates for which an entailment relation holds with the pivot (TE, Section 3.2).</S> | Discourse Facet:  NA | Annotator: Automatic


