Citance Number: 1 | Reference Article:  P94-1020.txt | Citing Article:  W09-2203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >[Interest] is a binary version of the word sense disambiguation data from (Bruce and Wiebe, 1994).</S> | Reference Offset:  ['0','57'] | Reference Text:  <S sid = 0 ssid = >Word-Sense Disambiguation Using Decomposable Models</S><S sid = 57 ssid = >Unlike several previous approaches to word sense disambiguation ([29], [5], [7], [10]), nothing in this approach limits the selection of sense tags to a particular number or type of meaning distinctions.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P94-1020.txt | Citing Article:  C08-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Interest data set developed by Bruce and Wiebe (1994) has been previously used for WSD (Ng and Lee, 1996).</S> | Reference Offset:  ['63','68'] | Reference Text:  <S sid = 63 ssid = >During tagging, 107 usages were removed from the data set due to the authors' inability to classify them in terms of the set of LDOCE senses.</S><S sid = 68 ssid = >The distribution of sense tags in the data set is presented in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P94-1020.txt | Citing Article:  W02-0817.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The next significant hand tagging task was reported in (Bruce and Wiebe, 1994), where 2,476 usages of interest were manually assigned with sense tags from the Longman Dictionary of Contemporary English (LDOCE).</S> | Reference Offset:  ['10','62'] | Reference Text:  <S sid = 10 ssid = >We selected as the set of tags all non-idiomatic noun senses of defined in the electronic version of Longman's Dictionary of Contemporary English (LDOCE) ([23]).</S><S sid = 62 ssid = >In total, 2,476 usages2 of interest as a noun3 were automatically extracted from the corpus and manually assigned sense tags corresponding to the LDOCE definitions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P94-1020.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['40','162'] | Reference Text:  <S sid = 40 ssid = >As such, decomposable models are models that can be expressed as a product of marginals,1 where each marginal consists of only interdependent variables.</S><S sid = 162 ssid = >An Experiment in Computational Discrimination of English Word Senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P94-1020.txt | Citing Article:  N01-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['40','162'] | Reference Text:  <S sid = 40 ssid = >As such, decomposable models are models that can be expressed as a product of marginals,1 where each marginal consists of only interdependent variables.</S><S sid = 162 ssid = >An Experiment in Computational Discrimination of English Word Senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P94-1020.txt | Citing Article:  C08-1143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Interest data set developed by Bruce and Wiebe (1994) has been previously used for WSD (Ng and Lee, 1996).</S> | Reference Offset:  ['63','68'] | Reference Text:  <S sid = 63 ssid = >During tagging, 107 usages were removed from the data set due to the authors' inability to classify them in terms of the set of LDOCE senses.</S><S sid = 68 ssid = >The distribution of sense tags in the data set is presented in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


