Citance Number: 1 | Reference Article:  P09-1042.txt | Citing Article:  P10-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hwa et al (2005) and Ganchev et al (2009) induce dependency grammar via projection from aligned bilingual corpora, and use some thresholds to filter out noise and some hand-written rules to handle heterogeneity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Alshawi et al. (2000) and Hwa et al.</S><S sid = NA ssid = NA>Dependency representation has been used for language modeling, textual entailment and machine translation (Haghighi et al., 2005; Chelba et al., 1997; Quirk et al., 2005; Shen et al., 2008), to name a few tasks.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While Hwa et al (2005) requires full projected parses to train their parser, Ganchev et al (2009) and Jiang and Liu (2010) can learn from partially projected trees.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Alshawi et al. (2000) and Hwa et al.</S><S sid = NA ssid = NA>Our work most closely relates to Hwa et al. (2005), who proposed to learn generative dependency grammars using Collins’ parser (Collins, 1999) by constructing full target parses via projected dependencies and completion/transformation rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, the discriminative training in (Ganchev et al, 2009) doesn't allow for richer syntactic context and it doesn't learn from all the relations in the partial dependency parse.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Dependency grammars are arguably more robust to transfer since syntactic relations between aligned words of parallel sentences are better conserved in translation than phrase structure (Fox, 2002; Hwa et al., 2005).</S><S sid = NA ssid = NA>Instead, we explore formulations of both generative and discriminative probabilistic models where projected syntactic relations are constrained to hold approximately and only in expectation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluated our system (section 5) on Bulgarian and Spanish projected dependency data used in (Ganchev et al, 2009) for comparison.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Dependency representation has been used for language modeling, textual entailment and machine translation (Haghighi et al., 2005; Chelba et al., 1997; Quirk et al., 2005; Shen et al., 2008), to name a few tasks.</S><S sid = NA ssid = NA>To get a feel for the typical case, we used off-the-shelf parsers (McDonald et al., 2005) for English, Spanish and Bulgarian on two bitexts (Koehn, 2005; Tiedemann, 2007) and compared several measures of dependency conservation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While the Hindi projected tree bank was obtained using the method described in section 4, Bulgarian and Spanish projected datasets were obtained using the approach in (Ganchev et al, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A parallel corpus is word-level aligned using an alignment toolkit (Graça et al., 2009) and the source (English) is parsed using a dependency parser (McDonald et al., 2005).</S><S sid = NA ssid = NA>The experimental details are described in this section.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>P (GNPPA) is the percentage of relations in the data that are learned bythe GNPPA parser satisfying the contiguous partial tree constraint and P (E-GNPPA) is the per Exactly 10K sentences were selected in order to compare our results with those of (Ganchev et al, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our experiments we evaluate the learned models on dependency treebanks (Nivre et al., 2007).</S><S sid = NA ssid = NA>Results for the discriminative parser are shown in the bottom panels of Figure 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For Bulgarian and Spanish, we used the same test data that was used in the work of Ganchev et al (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We explored two parsing models: a generative model used by several authors for unsupervised induction and a discriminative model used for fully supervised training.</S><S sid = NA ssid = NA>Dependency representation has been used for language modeling, textual entailment and machine translation (Haghighi et al., 2005; Chelba et al., 1997; Quirk et al., 2005; Shen et al., 2008), to name a few tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Table 4 compares our accuracies with those reported in (Ganchev et al, 2009) for Bulgarian and Spanish.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 3 compares the errors for different linguistic rules.</S><S sid = NA ssid = NA>For Spanish, we have three rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was partially supported by an Integrative Graduate Education and Research Traineeship grant from National Science Foundation (NSFIGERT 0504487), by ARO MURI SUBTLE W911NF-07-1-0216 and by the European Projects AsIsKnown (FP6-028044) and LTfLL (FP7-212578).</S><S sid = NA ssid = NA>Our framework can handle a wide range of constraints and we are currently exploring richer syntactic constraints that involve conservation of multiple edge constructions as well as constraints on conservation of surface length of dependencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Table 4: Comparison of baseline, GNPPA and E GNPPA with baseline and discriminative model from (Ganchev et al, 2009) for Bulgarian and Spanish.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In order to evaluate our method, we a baseline inspired by Hwa et al. (2005).</S><S sid = NA ssid = NA>Table 2 shows attachment accuracy of our method and the baseline for both language pairs under several conditions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ganchev et al (2009)'s baseline is similar to the first iteration of their discriminative model and hence performs better than ours.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that this baseline is very similar to the first iteration of our model, since for a large corpus the different random choices made in different sentences tend to smooth each other out.</S><S sid = NA ssid = NA>As we shall see below, the discriminative parser performs even better than the generative model. u We trained our discriminative parser for 100 iterations of online EM with a Gaussian prior variance of 100.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P09-1042.txt | Citing Article:  P11-5005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was partially supported by an Integrative Graduate Education and Research Traineeship grant from National Science Foundation (NSFIGERT 0504487), by ARO MURI SUBTLE W911NF-07-1-0216 and by the European Projects AsIsKnown (FP6-028044) and LTfLL (FP7-212578).</S><S sid = NA ssid = NA>Our framework can handle a wide range of constraints and we are currently exploring richer syntactic constraints that involve conservation of multiple edge constructions as well as constraints on conservation of surface length of dependencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P09-1042.txt | Citing Article:  D11-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since posterior regularization is closely related to constraint driven learning, this makes our algorithm also similar to the parser projection approach of Ganchev et al (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The generative learning objective is to minimize: For discriminative estimation (Ganchev et al., 2008), we do not attempt to model the marginal distribution of x, so we simply have the two regularization terms: Note that the idea of regularizing moments is related to generalized expectation criteria algorithm of Mann and McCallum (2007), as we discuss in the related work section below.</S><S sid = NA ssid = NA>However, the improvement in stability makes the algorithm much more usable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P09-1042.txt | Citing Article:  D11-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An empirical comparison to Ganchev et al (2009) is given in Section 5.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Alshawi et al. (2000) and Hwa et al.</S><S sid = NA ssid = NA>Dependency representation has been used for language modeling, textual entailment and machine translation (Haghighi et al., 2005; Chelba et al., 1997; Quirk et al., 2005; Shen et al., 2008), to name a few tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P09-1042.txt | Citing Article:  D11-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>PR: The posterior regularization (PR) approach of Ganchev et al (2009), in which a supervised English parser is used to generate constraints that are projected using a parallel corpus and used to regularize a target language parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A parallel corpus is word-level aligned using an alignment toolkit (Graça et al., 2009) and the source (English) is parsed using a dependency parser (McDonald et al., 2005).</S><S sid = NA ssid = NA>The Bulgarian experiments transfer a parser from English to Bulgarian, using the OpenSubtitles corpus (Tiedemann, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P09-1042.txt | Citing Article:  D11-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The PR system of Ganchev et al (2009) is similar to ours as it also projects syntax across parallel corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A parallel corpus is word-level aligned using an alignment toolkit (Graça et al., 2009) and the source (English) is parsed using a dependency parser (McDonald et al., 2005).</S><S sid = NA ssid = NA>For both corpora, we performed word alignments with the open source PostCAT (Graça et al., 2009) toolkit.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P09-1042.txt | Citing Article:  D11-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some success in this area has been demonstrated via generative models (Klein and Manning, 2002), which often benefit from well chosen priors (Cohen and Smith, 2009) or posterior constraints (Ganchev et al, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also used a generative model based on dependency model with valence (Klein and Manning, 2004).</S><S sid = NA ssid = NA>Discriminative models outperform the generative models in the majority of cases.</S> | Discourse Facet:  NA | Annotator: Automatic


