Citance Number: 1 | Reference Article:  W04-3213.txt | Citing Article:  W05-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Swier and Stevenson (2004) innovated with an unsupervised approach to the problem, using a boot strapping algorithm, and achieved 87% accuracy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using an unsupervised algorithm for semantic role labelling, we have achieved 90% correct on identified arguments, well over an informed baseline of 77%, and have achieved 87% correct on all slots (64% baseline).</S><S sid = NA ssid = NA>As a point of comparison, the supervised method of Gildea and Jurafsky (2002) achieved 82.1% accuracy on identified arguments using general thematic roles.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W04-3213.txt | Citing Article:  D09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To the best of our knowledge no system was able to reproduce the successful results of (Swier and Stevenson, 2004) on the PropBank role set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Set to and set to .</S><S sid = NA ssid = NA>Table 1) that are the best syntactic matches with the chunker output.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W04-3213.txt | Citing Article:  W11-0327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are also some methods for unsupervised semantic role labeling (Swier and Stevenson, 2004), (Abend et al, 2009) that easily adapt across domains but their performances are not comparable to supervised systems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unsupervised Semantic Role Labeling</S><S sid = NA ssid = NA>Because of the importance of this task, a number of recent methods have been proposed for automatic semantic role labelling (e.g., Gildea and Jurafsky, 2002; Gildea and Palmer, 2002; Chen and Rambow, 2003; Fleischman et al., 2003; Hacioglu et al., 2003; Thompson et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-3213.txt | Citing Article:  W11-0910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, VerbNet (derived from Levin? s [1993] work, Kipper et al, 2008) is widely used for a number of semantic processing tasks, including semantic role labeling (Swier and Stevenson, 2004), the creation of semantic parse trees (Shi and Mihalcea, 2005), and implicit argument resolution (Gerber and Chai, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unsupervised Semantic Role Labeling</S><S sid = NA ssid = NA>We instead make use of VerbNet (Kipper et al., 2000), a manually developed hierarchical verb lexicon based on the verb classification of Levin (1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-3213.txt | Citing Article:  P09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Swier and Stevenson (2004) and Swier and Stevenson (2005) presented the first model that does not use an SRL annotated corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then iteratively: create a probability model based on the currently annotated semantic roles, use this probability model to assign roles that are deemed to have sufficient evidence, and add the newly labelled arguments to our annotated set.</S><S sid = NA ssid = NA>In our approach, all previously annotated slots are used in the iterative training of the probability model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-3213.txt | Citing Article:  E09-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Swier and Stevenson (2004) present an unsupervised method for labeling the arguments of verbs with their semantic roles.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present an unsupervised method for labelling the arguments of verbs with their semantic roles.</S><S sid = NA ssid = NA>Unsupervised Semantic Role Labeling</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-3213.txt | Citing Article:  W12-3404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Swier and Stevenson (2004) were the first to introduce unsupervised SRL in an approach that used the VerbNet lexicon to guide unsupervised learning.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unsupervised Semantic Role Labeling</S><S sid = NA ssid = NA>Also, the unsupervised nature of the approach highlights an intermediate step of determining the set of possible roles for each argument.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-3213.txt | Citing Article:  W06-1601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, Swier and Stevenson (2004) per form unsupervised semantic role labeling by using hand-crafted verb lexicons to replace supervised semantic role training data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unsupervised Semantic Role Labeling</S><S sid = NA ssid = NA>To our knowledge, this is the first unsupervised semantic role labelling system applied to general semantic roles in a domain-general corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-3213.txt | Citing Article:  P10-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Swier and Stevenson (2004, 2005), while addressing an unsupervised SRL task, greatly differ from us as their algorithm uses the VerbNet (Kipper et al, 2000) verb lexicon, in addition to supervised parses.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We instead make use of VerbNet (Kipper et al., 2000), a manually developed hierarchical verb lexicon based on the verb classification of Levin (1993).</S><S sid = NA ssid = NA>In semantic role labelling using VerbNet, they are particularly relevant since the classes are based on a commonality of role-labelled syntactic frames (Kipper et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-3213.txt | Citing Article:  P11-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Swier and Stevenson (2004) induce role labels with a bootstrapping scheme where the set of labeled instances is iteratively expanded using a classifier trained on previously labeled instances.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Set to and set to .</S><S sid = NA ssid = NA>Our bootstrapping algorithm makes initial unambiguous role assignments, and then iteratively updates the probability model on which future assignments are based.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-3213.txt | Citing Article:  D11-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Swier and Stevenson (2004) were the first to introduce an unsupervised semantic role labeling system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unsupervised Semantic Role Labeling</S><S sid = NA ssid = NA>To our knowledge, this is the first unsupervised semantic role labelling system applied to general semantic roles in a domain-general corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W04-3213.txt | Citing Article:  H05-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is achieved by adopting the scoring method of Swier and Stevenson (2004), in which we compute the portion Frame of frame slots that can be mapped to an extracted argument, and the portion% Sent of extracted arguments from the sentence that can be mapped to the frame.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We align the slots of each frame with the chunked slots, and compute the portion %Frame of frame slots that can be mapped to a chunked slot, and the portion %Chunks of chunked slots that can be mapped to the frame.</S><S sid = NA ssid = NA>Throughout the paper we use the term “frame” to refer to a syntactic frame—the set of syntactic arguments of a verb—possibly labelled with roles, as exemplified in the VerbNet entry in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W04-3213.txt | Citing Article:  H05-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For comparison, we also apply the iterative algorithm developed by Swier and Stevenson (2004), using the same bootstrapping parameters.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Algorithm 1 shows the bootstrapping algorithm.</S><S sid = NA ssid = NA>All that remains is to specify the parameters that guide the iterative use of the probability model to assign roles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W04-3213.txt | Citing Article:  H05-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For ease of comparison, we use the same verbs as in Swier and Stevenson (2004), except that we measure performance over a much larger superset of verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>From the set of target verbs, we derived an extended verb set that comprises all of the original target verbs as well as any verb that shares a class with one of those target verbs.</S><S sid = NA ssid = NA>This gives us a set of 1159 verbs to observe in total, and increases the likelihood that some verb class information is available for each of the possible classes of the target verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W04-3213.txt | Citing Article:  H05-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a point of comparison, we apply the iterative back off model from Swier and Stevenson (2004), trained on 20% of the BNC, with our frame matcher and test data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have described the frame matcher that produces a set of slots with candidate role lists (some unambiguous), and our backoff probability model.</S><S sid = NA ssid = NA>As a point of comparison, the supervised method of Gildea and Jurafsky (2002) achieved 82.1% accuracy on identified arguments using general thematic roles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W04-3213.txt | Citing Article:  P12-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Early unsupervised approaches to the SRL task include (Swier and Stevenson, 2004), where theVerbNet verb lexicon was used to guide unsupervised learning, and a generative model of Grenager and Manning (2006) which exploits linguistic priors on syntactic-semantic interface.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unsupervised Semantic Role Labeling</S><S sid = NA ssid = NA>Supervised approaches to this task have thus far used the predicate lexicon of FrameNet, or the verb lexicon of PropBank, since each has an associated labelled corpus for training.</S> | Discourse Facet:  NA | Annotator: Automatic


