Citance Number: 1 | Reference Article:  J00-4005.txt | Citing Article:  W03-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>With such a concept hierarchy as well as semantic relations with a precisely defined signature, we can for example overcome annotation problems of intensionality and predication as discussed in (van Deemter and Kibble, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Criterion 4 has been discussed above.</S><S sid = NA ssid = NA>Problems posed to coreference annotation by intensionality (Hirschman et al. 1997) have motivated considerable complications in the TD.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J00-4005.txt | Citing Article:  P10-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast, they do not fall under the identity relation in OntoNotes, which follows the linguistic understanding of coreference according to which nominal predicates and appositives express properties of an entity rather than refer to a second (coreferent) entity (van Deemter and Kibble, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The relation of coreference has been defined as holding between two noun phrases if they &quot;refer to the same entity&quot; (Hirschman et al. 1997).</S><S sid = NA ssid = NA>It follows that anaphora and coreference are different things.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J00-4005.txt | Citing Article:  W09-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to be linguistically accurate (van Deemter and Kibble, 2000), we distinguish between referring and attributive NPs: while the first point to an entity, the latter express some of its properties.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this squib, we intend to point at some fundamental problems with many of these annotation exercises, which are caused by a failure to distinguish properly between coreference, anaphora, and other, related phenomena.</S><S sid = NA ssid = NA>Secondly, we suggest a further division of labor whereby those phenomena that are no longer accounted for in the new TD are covered by other tasks (Kibble and van Deemter 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J00-4005.txt | Citing Article:  W04-0210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Proposals for annotating coreference such as (Hirschman, 1998) have been motivated by work on Information Extraction, hence the notion of coreference used is very difficult to relate to traditional ideas about anaphora (van Deemter and Kibble, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Concerning Criterion 1, finally, it has been observed that the figures for recall in the MUC information extraction algorithm are rather discouraging (Appelt 1998).</S><S sid = NA ssid = NA>Problems posed to coreference annotation by intensionality (Hirschman et al. 1997) have motivated considerable complications in the TD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J00-4005.txt | Citing Article:  E09-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although often treated together, anaphoric pronoun resolution differs from coreference resolution (van Deemter and Kibble, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Secondly, we suggest a further division of labor whereby those phenomena that are no longer accounted for in the new TD are covered by other tasks (Kibble and van Deemter 2000).</S><S sid = NA ssid = NA>Anaphoric and coreferential relations can coincide, of course, but not all coreferential relations are anaphoric, nor are all anaphoric relations coreferential.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J00-4005.txt | Citing Article:  W04-2327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As van Deemter and Kibble (2000) point out, however, the result is rather ad hoc; the IDENT relation as defined by the instructions doesn't capture any coherent definition of coreference.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The TD admits that certain instructions may be incompatible with the definition of coreference but no reason is given for these incompatibilities and no intuitive motivation for the relation IDENT is offered.</S><S sid = NA ssid = NA>As a result, the relation actually annotated in MUC—henceforth called the IDENT relation, following Hirschman and Chinchor (1997)—must be distinguished from the coreference relation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J00-4005.txt | Citing Article:  W04-2327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>see (van Deemter and Kibble, 2000) for some problems with the choices made in MUCCS.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Secondly, we suggest a further division of labor whereby those phenomena that are no longer accounted for in the new TD are covered by other tasks (Kibble and van Deemter 2000).</S><S sid = NA ssid = NA>(Similar strategies seem to be van Deemter and Kibble On Coreferring adopted by most practitioners of coreference annotation, e.g., Cristea et al. [1999]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J00-4005.txt | Citing Article:  W04-0706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Coreference has been defined by (van Deemter and Kibble, 2000) as the relation holding between linguistic expressions that refer to the same extra linguistic entity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The relation of coreference has been defined as holding between two noun phrases if they &quot;refer to the same entity&quot; (Hirschman et al. 1997).</S><S sid = NA ssid = NA>But if they do not refer, the coreference relation as defined in Section 1 (which presupposes that Referent(cli) and Referent(a2) are defined) is not applicable to them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J00-4005.txt | Citing Article:  W05-0311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It suffers however from a number of problems (van Deemter and Kibble, 2000), chief among which is the fact that the one semantic relation expressed by the scheme, ident, conflates a number of relations that semanticists view as distinct: besides COREFERENCE proper, there are IDENTITY ANAPHORA, BOUND ANAPHORA, and even PREDICATION.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(An example of the latter is bound anaphora, see Section 2.1.)</S><S sid = NA ssid = NA>In particular, it suggests a division of labor whereby annotation of the coreference relation proper is separated from other tasks such as annotation of bound anaphora and of the relation between a subject and a predicative NP.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J00-4005.txt | Citing Article:  W05-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following van Deemter and Kibble (2000), we define a coreference relation to hold between two NPs just in case they refer to the same extra-linguistic referent in the real world.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A corpus, for example, can easily contain NPs A, B, C, and D for which Referent(A) U Referent(B) = Referent(C) U Referent(D).</S><S sid = NA ssid = NA>But if they do not refer, the coreference relation as defined in Section 1 (which presupposes that Referent(cli) and Referent(a2) are defined) is not applicable to them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J00-4005.txt | Citing Article:  C04-1169.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These arguments give support to van Deemter and Kibble (2000), who argue that it is problematic that the annotation strategy assumed in MUC-6 and MUC-7 goes beyond a mark-up of coreference.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because the MUC project is the bestknown example of coreference annotation, on which much subsequent work is based, and because of the public availability of the MUC Task Definition (TD, Hirschman and Chinchor 11997D, we will focus on MUC.</S><S sid = NA ssid = NA>On Coreferring: Coreference In MUC And Related Annotation Schemes</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J00-4005.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>NP coreference is related to the task of anaphora resolution, whose goal is to identify an antecedent for an anaphoric NP (i.e., an NP that depends on another NP, specifically its antecedent, for its interpretation) [see van Deemter and Kibble (2000) for a detailed discussion of the difference between the two tasks].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(For example, the NP a solution is the (bound) anaphoric antecedent to it in (1b).)</S><S sid = NA ssid = NA>Loosely speaking—and glossing over some difficulties regarding the precise delimitation of anaphora (Sidner 1979; Partee 1989; van Deemter 1992)—an NP al is said to take an NP a2 as its anaphoric antecedent if and only if al depends on az for its interpretation (e.g., Kamp and Reyle 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


