Citance Number: 1 | Reference Article:  W00-1427.txt | Citing Article:  W02-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The relation tuple is then converted to root form using the Sussex morphological analyser (Minnen et al, 2000) and the POS tags are removed.</S> | Reference Offset:  ['33','128'] | Reference Text:  <S sid = 33 ssid = >The PoS labels follow the same pattern as in the Lancaster CLAWS tag sets (Garside et al., 1987; Burnard, 1995). with noun tags starting with N. etc.</S><S sid = 128 ssid = >Karttunen et al. (1996)).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W00-1427.txt | Citing Article:  W07-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Information on lemmatisation, as well as abbreviations and their long forms, is added using the morpha lemmatiser (Minnen et al, 2000) and the ExtractAbbrev script of Schwartz and Hearst (2003), respectively.</S> | Reference Offset:  ['82','128'] | Reference Text:  <S sid = 82 ssid = >For each of these word forms we fed the corresponding input (derived automatically from the lemmatisation and inflection specification provided by CELEX) to the generator.</S><S sid = 128 ssid = >Karttunen et al. (1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W00-1427.txt | Citing Article:  N03-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Heads are extracted from the chunks and lemmatized (Minnen et al, 2000).</S> | Reference Offset:  ['78','128'] | Reference Text:  <S sid = 78 ssid = >Minnen and Carroll (Under review) report an evaluation of the accuracy of the morphological generator with respect to the CELEX lexical database (version 2.5; Baayen et al., 1993).</S><S sid = 128 ssid = >Karttunen et al. (1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W00-1427.txt | Citing Article:  W06-0701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Further linguistic markup is added using the morpha lemmatiser (Minnen et al, 2000) and the C&C named entity tagger (Curran and Clark, 2003) trained on the data from MUC-7.</S> | Reference Offset:  ['13','128'] | Reference Text:  <S sid = 13 ssid = >The morphological generator was built using data from several large corpora and machine readable dictionaries.</S><S sid = 128 ssid = >Karttunen et al. (1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W00-1427.txt | Citing Article:  W02-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We next lemmatised the data using morpha (Minnen et al, 2000), and chunk parsed the WSJ with TiMBL 4.1 (Daelemans et al, 2001) using the Brown corpus as training data.</S> | Reference Offset:  ['13','77'] | Reference Text:  <S sid = 13 ssid = >The morphological generator was built using data from several large corpora and machine readable dictionaries.</S><S sid = 77 ssid = >In addition. we have incorporated data acquired semiautomatically from the following corpora and machine readable, dictionaries: the LOB corpus (Garside et al., 1987), the Penn Treebank (Marcus et al., 1993), the SUSANNE corpus (Sampson, 1995), the Spoken English Corpus (Taylor and Knowles, 1988), the Oxford Psycholinguistic Database (Quinlan, 1992), and the &quot;Computer-Usable&quot; version of the Oxford Advanced Learner's Dictionary of Current English (OALDCE; Mitton, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W00-1427.txt | Citing Article:  W07-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Tokenisation, species word identification and chunking were implemented in-house using the LTXML2 tools (Grover and Tobin, 2006), whilst abbreviation extraction used the Schwartz and Hearst abbreviation extractor (Schwartz and Hearst, 2003) and lemmatisation used morpha (Minnen et al, 2000).</S> | Reference Offset:  ['25','116'] | Reference Text:  <S sid = 25 ssid = >The generator is implemented in Flex.</S><S sid = 116 ssid = >In fact an must be used if the following word starts with a vowel sound, and a otherwise.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W00-1427.txt | Citing Article:  S10-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the morpha lemmatizer (Minnen et al, 2000), which is built into the C&C tools, to match tokens across T and H; and we converted all tokens to lowercase.</S> | Reference Offset:  ['61','97'] | Reference Text:  <S sid = 61 ssid = >Consonant doubling is triggered on the basis of both orthographic and phonological information: when a word ends in one vowel 2ftu1e choice based on ordering in the description can in fact be overridden by arranging for the second or subsequent match to cover a larger part of the input so that the longest match heuristic applies (Levine et al., 1992).</S><S sid = 97 ssid = >In order to discount program startup times (which are anyway only of the order of 0.05 seconds) we used input files of 400K and 800K tokens and recorded the difference in timings; we took the averages of 10 runs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W00-1427.txt | Citing Article:  S10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Part-of-speech (POS) tagging is done using the C&C tagger (Curran and Clark, 2003a) and lemmatisation is done using morpha (Minnen et al, 2000).</S> | Reference Offset:  ['12','45'] | Reference Text:  <S sid = 12 ssid = >In this paper we describe a fast and robust generator for the inflectional morphology of English that generates a word form given a specification of a lemma, a part-of-speech (PoS) label, and an inflectional type.</S><S sid = 45 ssid = >These are dealt with using additional, more specific, rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W00-1427.txt | Citing Article:  W05-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Grefenstette (1994) relation extractor produces context relations that are then lemmatised using the Minnen et al (2000) morphological analyser.</S> | Reference Offset:  ['109','128'] | Reference Text:  <S sid = 109 ssid = >This is important in the context of an applied system.</S><S sid = 128 ssid = >Karttunen et al. (1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W00-1427.txt | Citing Article:  W08-0325.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >B5: Lemmatize the tokens using morpha, (Minnen et al, 2000).</S> | Reference Offset:  ['78','128'] | Reference Text:  <S sid = 78 ssid = >Minnen and Carroll (Under review) report an evaluation of the accuracy of the morphological generator with respect to the CELEX lexical database (version 2.5; Baayen et al., 1993).</S><S sid = 128 ssid = >Karttunen et al. (1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W00-1427.txt | Citing Article:  W08-0603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The tokenisation, sentence boundary detection, head word identification and chunking components were implemented with the lt-xml2tools (Grover and Tobin, 2006), and the lemmatisation used morpha (Minnen et al, 2000).</S> | Reference Offset:  ['25','128'] | Reference Text:  <S sid = 25 ssid = >The generator is implemented in Flex.</S><S sid = 128 ssid = >Karttunen et al. (1996)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W00-1427.txt | Citing Article:  P02-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since MINIPAR performs morphological analysis on the context relations we have added an existing morphological analyser (Minnen et al, 2000) to the other extractors.</S> | Reference Offset:  ['109','129'] | Reference Text:  <S sid = 109 ssid = >This is important in the context of an applied system.</S><S sid = 129 ssid = >Lexical transducers have been used extensively for morphological analysis, and in theory a finite-state transducer implementing an analyser can be reversed to produce a generator.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W00-1427.txt | Citing Article:  W05-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For our purposes, we use a Penn tree bank-style tagger custom-built using fnTBL 1.0 (Ngai and Florian, 2001), and further lemmatise the output of the tagger using morph (Minnen et al, 2000).</S> | Reference Offset:  ['13','45'] | Reference Text:  <S sid = 13 ssid = >The morphological generator was built using data from several large corpora and machine readable dictionaries.</S><S sid = 45 ssid = >These are dealt with using additional, more specific, rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W00-1427.txt | Citing Article:  P10-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a morphological tool (Minnen et al, 2000) to obtain the base form from the original verb or noun, so that YAG can generate grammatical sentences.</S> | Reference Offset:  ['66','88'] | Reference Text:  <S sid = 66 ssid = >However, the verb to exhibit does not undergo consonant doubling so this rule will generate, incorrectly, the word form exhibitted.</S><S sid = 88 ssid = >For example, the BNC contains around 850 occurrences of the word form programming tagged as a verb. but this form is not present in CELEX.</S> | Discourse Facet:  NA | Annotator: Automatic


