Citance Number: 1 | Reference Article:  J98-2001.txt | Citing Article:  W12-1632.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Such items have also been called bridging anaphors (Poesio and Vieira, 1998).</S> | Reference Offset:  ['181','354'] | Reference Text:  <S sid = 181 ssid = >It is dependent on the number of coders, number of items being classified, and number of choices of classes to be ascribed to items.</S><S sid = 354 ssid = >We developed two versions of the system: one that only attempts to classify subsequent-mention and discourse-new definite descriptions (Vieira and Poesio 1997), and one that also attempts to classify bridging references (Poesio, Vieira, and Teufel 1997).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J98-2001.txt | Citing Article:  W05-0311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Things are different for associative anaphora, see (Poesio and Vieira, 1998).</S> | Reference Offset:  ['146','378'] | Reference Text:  <S sid = 146 ssid = >Associative.</S><S sid = 378 ssid = >2.: ASSOCIATIVE There is an antecedent in the text which has a different noun, but it is a synonym or associate to the description.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J98-2001.txt | Citing Article:  W04-0707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Poesio and Vieira (1998) carried out corpus studies indicating that in corpora like the Wall Street Journal portion of the Penn Treebank.</S> | Reference Offset:  ['163','431'] | Reference Text:  <S sid = 163 ssid = >First of all, we classified the definite descriptions included in 20 randomly chosen articles from the Wall Street Journal contained in the subset of the Penn Treebank corpus included in the ACL/DCI CD-ROM.12 All together, these articles contain 1,040 instances of definite description use.</S><S sid = 431 ssid = >If it was not mentioned before and its interpretation is not based on the previous text, then: is it something mutually known by writer and general readers of the Wall Street Journal?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J98-2001.txt | Citing Article:  W03-1902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Index1 refers to the sequential numbering of definite descriptions; Index2 refers to the sequential numbering of noun phrases; and Code refers to their classification, according to discourse status (Poesio and Vieira, 1998).</S> | Reference Offset:  ['371','393'] | Reference Text:  <S sid = 371 ssid = >The &quot;the&quot;-phrase refers to something new to the text.</S><S sid = 393 ssid = >It may also be the case that the DD was not mentioned before and is not related to something in the text, but it refers to something which is part of the common knowledge of the writer and readers in general.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J98-2001.txt | Citing Article:  W04-0210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Poesio and Vieira (1998) found that of the 1,400 definite descriptions in their corpus, only about 50% were subsequent mention or bridging references, whereas 50% were first mentions.</S> | Reference Offset:  ['329','354'] | Reference Text:  <S sid = 329 ssid = >On the positive side, we have two observations: our subjects did reasonably well at distinguishing fir§t-mention from subsequent-mention antecedents, and at identifying the antecedent of a subsequent-mention definite description.</S><S sid = 354 ssid = >We developed two versions of the system: one that only attempts to classify subsequent-mention and discourse-new definite descriptions (Vieira and Poesio 1997), and one that also attempts to classify bridging references (Poesio, Vieira, and Teufel 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J98-2001.txt | Citing Article:  W04-0210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >this was confirmed by Poesio and Vieira (1998).</S> | Reference Offset:  ['347','354'] | Reference Text:  <S sid = 347 ssid = >As already mentioned, we are in the course of implementing a system capable of performing the classification task semiautomatically (Vieira 1998).</S><S sid = 354 ssid = >We developed two versions of the system: one that only attempts to classify subsequent-mention and discourse-new definite descriptions (Vieira and Poesio 1997), and one that also attempts to classify bridging references (Poesio, Vieira, and Teufel 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J98-2001.txt | Citing Article:  W03-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The annotation scheme proposed by Poesio et al (Poesio and Vieira, 1998) is a product of a corpus based analysis of definite description (DD) use showing that more than 50% of the DDs in their corpus are discourse new or unfamiliar.</S> | Reference Offset:  ['0','324'] | Reference Text:  <S sid = 0 ssid = >A Corpus-Based Investigation Of Definite Description Use</S><S sid = 324 ssid = >5.1.1 Consequences for Corpus Annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J98-2001.txt | Citing Article:  W03-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In fact, it has been shown that the agreement of subjects annotating bridging (Poesio and Vieira, 1998) or discourse (Cimiano,2003) relations can be too low for tentative conclusion to be drawn (Carletta, 1996).</S> | Reference Offset:  ['216','274'] | Reference Text:  <S sid = 216 ssid = >. or the conclusion that .</S><S sid = 274 ssid = >And indeed, the agreement figures went up from K = 0.63 to K = 0.68 (ignoring doubts) when we did so, i.e., within the &quot;tentative&quot; margins of agreement according to Carletta (1996) (0.68 < x < 0.8).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J98-2001.txt | Citing Article:  H05-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Poesio and Vieira (1998) report lower human agreement on more fine-grained classifications of definite descriptions.</S> | Reference Offset:  ['19','348'] | Reference Text:  <S sid = 19 ssid = >Theories of definite descriptions such as (Christophersen 1939; Hawkins 1978; Webber 1979; Prince 1981; Heim 1982) identify two subtasks involved in the interpretation of a definite description: deciding whether the definite description is related to an antecedent in the texe—which in turn may involve recognizing fairly fine-grained distinctions-and, if so, identifying this antecedent.</S><S sid = 348 ssid = >This system would help the human classifiers by suggesting possible classifications, and possible antecedents in the case of discourse-related definite descriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J98-2001.txt | Citing Article:  W04-2327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >the results of Poesio and Vieira (1998) indicated that this type of an notation could be highly unreliable.</S> | Reference Offset:  ['319','354'] | Reference Text:  <S sid = 319 ssid = >One subject indicated parts of the factory as the antecedent; another indicated the factory; and the third indicated areas of the factory. dusty where the crocidolite was used.</S><S sid = 354 ssid = >We developed two versions of the system: one that only attempts to classify subsequent-mention and discourse-new definite descriptions (Vieira and Poesio 1997), and one that also attempts to classify bridging references (Poesio, Vieira, and Teufel 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J98-2001.txt | Citing Article:  W04-2327.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of our aims was to continue the work on bridging references annotation and interpretation in (Poesio and Vieira, 1998), which showed that marking up bridging references is quite hard.</S> | Reference Offset:  ['102','354'] | Reference Text:  <S sid = 102 ssid = >(This is the class of definite descriptions for which Clark [1977] used the term bridging references.)</S><S sid = 354 ssid = >We developed two versions of the system: one that only attempts to classify subsequent-mention and discourse-new definite descriptions (Vieira and Poesio 1997), and one that also attempts to classify bridging references (Poesio, Vieira, and Teufel 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J98-2001.txt | Citing Article:  E09-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Only perhaps one in four or five NPs are markable (Poesio and Vieira, 1998).</S> | Reference Offset:  ['347','354'] | Reference Text:  <S sid = 347 ssid = >As already mentioned, we are in the course of implementing a system capable of performing the classification task semiautomatically (Vieira 1998).</S><S sid = 354 ssid = >We developed two versions of the system: one that only attempts to classify subsequent-mention and discourse-new definite descriptions (Vieira and Poesio 1997), and one that also attempts to classify bridging references (Poesio, Vieira, and Teufel 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J98-2001.txt | Citing Article:  P08-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >as Poesio and Vieira (1998) show, only about 2/3 of definite descriptions which are anaphoric have the same head as their antecedent.</S> | Reference Offset:  ['147','241'] | Reference Text:  <S sid = 147 ssid = >We assigned to this class those definite descriptions that stand in an anaphoric or associative anaphoric relation with an antecedent explicitly mentioned in the text, but that are not identified by the same head noun as their antecedent.</S><S sid = 241 ssid = >We also replaced the anaphoric (same head) class we had in the first experiment with a broader coreferent class including all cases in which a definite description is coreferential with its antecedent, whether or not the head noun was the same: e.g., we asked the subjects to classify as coreferent a definite like the house referring back to an antecedent introduced as a Victorian home, which would not have counted as anaphoric (same head) in our first experiment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J98-2001.txt | Citing Article:  C00-2130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In previous work (Poesio and Vieira, 1998) we reported the results of corpus annotation experiments in which the subjects were asked to classify the uses of definite descriptions in Wall Stree Journal articles.</S> | Reference Offset:  ['2','8'] | Reference Text:  <S sid = 2 ssid = >We ran two experiments, in which subjects were asked to classify the uses of definite descriptions in a corpus of 33 newspaper articles, containing a total of 1,412 definite descriptions.</S><S sid = 8 ssid = >We ran two experiments, in which subjects were asked to classify the uses of definite descriptions in a corpus of 33 newspaper articles, containing a total of 1,412 definite descriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J98-2001.txt | Citing Article:  C00-2130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The final configuration of the system was arrived at on the basis of an extensive evaluation of the heuristics using the corpus annotated in our previous work (Poesio and Vieira, 1998).</S> | Reference Offset:  ['84','351'] | Reference Text:  <S sid = 84 ssid = >She criticizes as too simplistic the binary distinction between given and new discourse entities that is at the basis of most previous work on familiarity, and proposes a much more detailed taxonomy of &quot;givenness&quot;—or, as she calls it, assumed familiarity—meant to address this problem.</S><S sid = 351 ssid = >On the other, it uses heuristics to identify unfamiliar and larger situation definite descriptions on the basis of syntactic information and very little lexical information about nouns that take complements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J98-2001.txt | Citing Article:  C00-2130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our corpus study (Poesio and Vieira, 1998) we found that our subjects did better at ideutifying discourse-new descriptions all together.</S> | Reference Offset:  ['91','335'] | Reference Text:  <S sid = 91 ssid = >Discourse-New/Discourse-Old.</S><S sid = 335 ssid = >Our study confirms the findings of previous work (e.g., Fraurud [1990]) that a great number of definite descriptions in texts are discourse-new: in our second experiment we found an equal number of discourse-new and discourse-related definite descriptions, although many of the definite descriptions classified as discourse-new could be seen as associative in a loose sense.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J98-2001.txt | Citing Article:  W09-1901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This model aims to resolve both coreferent and associative (also called bridging (Poesio and Vieira, 1998)) cases of nonpronominal anaphora.</S> | Reference Offset:  ['136','146'] | Reference Text:  <S sid = 136 ssid = >We grouped these latter definite descriptions with Hawkins's associative descriptions in a class that we called associative.</S><S sid = 146 ssid = >Associative.</S> | Discourse Facet:  NA | Annotator: Automatic


