Citance Number: 1 | Reference Article:  P90-1010.txt | Citing Article:  P11-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As initiative passes back and forth between discourse participants, control over the conversation similarly transfers from one speaker to another (Walker and Whittaker, 1990).</S> | Reference Offset:  ['6','18'] | Reference Text:  <S sid = 6 ssid = >As INITIATIVE passes back and forth between the discourse participants, we say that CONTROL over the conversation gets trans- ferred from one discourse participant to another.</S><S sid = 18 ssid = >We model mixed-initiative using an utterance type classification and a set of rules for transfer of control between discourse participants that were proposed by Whittaker and Stenton\[WS88\].</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P90-1010.txt | Citing Article:  P08-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Walker and Whittaker claim that initiative encompasses both dialogue control and task control (Walker and Whittaker, 1990), however, several others disagree.</S> | Reference Offset:  ['38','56'] | Reference Text:  <S sid = 38 ssid = >and Transfer of Control We use the framework for the allocation and trans- fer of control of Whittaker and Stenton\[WS88\].</S><S sid = 56 ssid = >(ASSERT - C control) E: "Right" (PROMPT - C control) C: "And there's another one which is % RESA" (ASSERT - C control) E: "OK urn" (PROMPT - C control) C: "VS" (ASSERT- C control) E: "Right" (PROMPT - C control) C: "Mm" (PROMPT - C abdicates control) CONTROL SHIFT TO E - - - - E: "Right and you haven't got - I assume you haven't got local labelled common with those labels" (QUESTION - E control) Whittaker and Stenton also performed a post-hoe analysis of the segment boundaries that are defined by the control rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P90-1010.txt | Citing Article:  P08-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For dialogue initiative annotation, I am using Walker and Whittaker's utterance based allocation of control rules (Walker and Whittaker, 1990), which are widely used to identify dialogue initiative.</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Mixed Initiative In Dialogue: An Investigation Into Discourse Segmentation</S><S sid = 18 ssid = >We model mixed-initiative using an utterance type classification and a set of rules for transfer of control between discourse participants that were proposed by Whittaker and Stenton\[WS88\].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P90-1010.txt | Citing Article:  W01-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Whittaker and Stenton (1988) looked at the correlation of control boundaries to discourse markers, and Walker and Whittaker (1990) looked at anaphoric reference.</S> | Reference Offset:  ['38','74'] | Reference Text:  <S sid = 38 ssid = >and Transfer of Control We use the framework for the allocation and trans- fer of control of Whittaker and Stenton\[WS88\].</S><S sid = 74 ssid = >72 looked at the distribution of anaphora with respect to the control segments in the ADs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P90-1010.txt | Citing Article:  W01-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Walker and Whittaker (1990) suggested that changes in initiative correspond to change sin discourse structure, but they did not determine the exact relationship between them.</S> | Reference Offset:  ['73','186'] | Reference Text:  <S sid = 73 ssid = >Anaphora To determine the relationship between the de- rived control segments and ATTENTIONAL STATE we 6Our abdication category was called prompt by \[WS88\].</S><S sid = 186 ssid = >There can be topic shifts with- out change of initiation, change of control without a topic shift\[WS88\].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P90-1010.txt | Citing Article:  W09-2109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For dialogue initiative annotation, we used the well-known utterance-based rules for allocation of control from (Walker and Whittaker, 1990).</S> | Reference Offset:  ['18','49'] | Reference Text:  <S sid = 18 ssid = >We model mixed-initiative using an utterance type classification and a set of rules for transfer of control between discourse participants that were proposed by Whittaker and Stenton\[WS88\].</S><S sid = 49 ssid = >The rules for the allocation of control are based on the utterance type classification and allow a di- alogue to be divided into segments that correspond to which speaker is the controller of the segment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P90-1010.txt | Citing Article:  W09-2109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Once the dialogue acts had been automatically annotated, two coders, one of the authors and an out side annotator, coded 24 dialogues (1449 utterances, approximately 45% of the corpus) for dialogue initiative, by using the four control rules from (Walker and Whittaker, 1990).</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Mixed Initiative In Dialogue: An Investigation Into Discourse Segmentation</S><S sid = 18 ssid = >We model mixed-initiative using an utterance type classification and a set of rules for transfer of control between discourse participants that were proposed by Whittaker and Stenton\[WS88\].</S> | Discourse Facet:  NA | Annotator: Automatic


