Citance Number: 1 | Reference Article:  P93-1041.txt | Citing Article:  W10-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lexical cohesion techniques include similarity measures between adjacent blocks of text, as in TextTiling (Hearst, 1994, 1997) and lexical chains based on recurrences of a term or related terms, as in Morris and Hirst (1991), Kozima (1993), and Galley, et al.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Morris and Hirst (1991) used Roget's thesaurus to determine whether or not two words have lexical cohesion.</S><S sid = NA ssid = NA>Text Segmentation Based On Similarity Between Words</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P93-1041.txt | Citing Article:  P99-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>He identified topic boundaries where the LCP score was low (Kozima, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, some valleys of the LCP do not exactly correspond to segment boundaries.</S><S sid = NA ssid = NA>It is clear that the valleys of the LCP correspond mostly to the dominant segment boundaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P93-1041.txt | Citing Article:  P98-2244.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, the lexical cohesion profile (Kozima, 1993) should be perfectly usable with our fragmentation method.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Kozima and Furugori (1993) defined lexical cohesiveness as semantic similarity between words, and proposed a method for measuring it.</S><S sid = NA ssid = NA>This paper proposes an indicator, called the lexical cohesion profile (LCP), which locates segment boundaries in a narrative text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P93-1041.txt | Citing Article:  H05-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ever since Morris and Hirst (1991)'s ground breaking paper, topic segmentation has been a steadily growing research area in computational linguistics, with applications in summarization (Barzilay and Elhadad, 1997), information retrieval (Salton and Allan, 1994), and text understanding (Kozima, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Morris and Hirst (1991) used Roget's thesaurus to determine whether or not two words have lexical cohesion.</S><S sid = NA ssid = NA>Text segmentation described here provides basic information for text understanding: Segment boundaries provide valuable restriction for determination of the referents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P93-1041.txt | Citing Article:  D07-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Therefore, many approaches have concentrated on different ways of estimating lexical coherence of text segments, such as semantic similarity between words (Kozima, 1993), similarity between blocks of text (Hearst, 1994), and adaptive language models (Beeferman et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Text Segmentation Based On Similarity Between Words</S><S sid = NA ssid = NA>Kozima and Furugori (1993) defined lexical cohesiveness as semantic similarity between words, and proposed a method for measuring it.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P93-1041.txt | Citing Article:  P98-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As in Kozima (1993), the second method exploits lexical cohesion to segment exts, but in a different way.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Kozima and Furugori (1993) defined lexical cohesiveness as semantic similarity between words, and proposed a method for measuring it.</S><S sid = NA ssid = NA>This paper proposed LCP, all indicator of segment changing, which concentrates on lexical cohesion of a text. segment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P93-1041.txt | Citing Article:  P01-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kozima (1993), for example, used cohesion based on the spreading activation on a semantic network.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Lexical cohesiveness is defined as word similarity (Kozima and Furugori, 1993) computed by spreading activation on a semantic network.</S><S sid = NA ssid = NA>Similarity between words is computed by spreading activation on a semantic network which is systematically constructed from an English dictionary (LDOCE).</S> | Discourse Facet:  NA | Annotator: Automatic


