Citance Number: 1 | Reference Article:  N03-1024.txt | Citing Article:  N03-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We point out that one such approach, recently proposed by Pang et al (2003), also represents paraphrases by lattices, similarly to our method, although their lattices are derived using parse information.</S> | Reference Offset:  ['19','152'] | Reference Text:  <S sid = 19 ssid = >In previous work, Langkilde and Knight (1998) used word lattices for language generation, but their method involved hand-crafted rules.</S><S sid = 152 ssid = >Recently, Papineni et al. (2002) have proposed an automatic MT system evaluation technique (the BLEU score).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  N03-1024.txt | Citing Article:  N06-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['59','190'] | Reference Text:  <S sid = 59 ssid = >Our keyword checking procedure acts as a filter.</S><S sid = 190 ssid = >Any opinions, findings, and conclusions or recommendations expressed above are those of the authors and do not necessarily reflect the views of the National Science Foundation or the Sloan Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N03-1024.txt | Citing Article:  W11-1602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Evaluation is sped up by using a compact word lattice view for eliciting human judgments, built using the syntactic fusion algorithm of (Pang et al, 2003).</S> | Reference Offset:  ['38','42'] | Reference Text:  <S sid = 38 ssid = >In the second step (line 6), we extract an FSA from the parse forest and then we compact it further using a limited form of bottom-up alignment, which we call squeezing (line 7).</S><S sid = 42 ssid = >The first step in the algorithm is to merge these parse trees into one parse-forest-like structure using a top-down process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N03-1024.txt | Citing Article:  E09-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['59','190'] | Reference Text:  <S sid = 59 ssid = >Our keyword checking procedure acts as a filter.</S><S sid = 190 ssid = >Any opinions, findings, and conclusions or recommendations expressed above are those of the authors and do not necessarily reflect the views of the National Science Foundation or the Sloan Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N03-1024.txt | Citing Article:  W06-3112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To avoid combinatorial problems, implementing multiple simultaneous substitutions could be done using a lattice, much like in (Pang et al, 2003).</S> | Reference Offset:  ['8','42'] | Reference Text:  <S sid = 8 ssid = >And researchers in multi-document text summarization (Barzilay et al., 1999), information extraction (Shinyama et al., 2002), and question answering (Lin and Pantel, 2001; Hermjakob et al., 2002) have focused on identifying and exploiting paraphrases in the context of recognizing redundancies, alternative formulations of the same meaning, and improving the performance of question answering systems.</S><S sid = 42 ssid = >The first step in the algorithm is to merge these parse trees into one parse-forest-like structure using a top-down process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N03-1024.txt | Citing Article:  P05-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the automatic evaluation of machine translation, paraphrases may help to alleviate problems presented by the fact that there are often alternative and equally valid ways of translating a text (Pang et al, 2003).</S> | Reference Offset:  ['100','152'] | Reference Text:  <S sid = 100 ssid = >The results of the evaluation are presented in Table 1.</S><S sid = 152 ssid = >Recently, Papineni et al. (2002) have proposed an automatic MT system evaluation technique (the BLEU score).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N03-1024.txt | Citing Article:  I05-5001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['59','190'] | Reference Text:  <S sid = 59 ssid = >Our keyword checking procedure acts as a filter.</S><S sid = 190 ssid = >Any opinions, findings, and conclusions or recommendations expressed above are those of the authors and do not necessarily reflect the views of the National Science Foundation or the Sloan Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N03-1024.txt | Citing Article:  I05-5001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['59','190'] | Reference Text:  <S sid = 59 ssid = >Our keyword checking procedure acts as a filter.</S><S sid = 190 ssid = >Any opinions, findings, and conclusions or recommendations expressed above are those of the authors and do not necessarily reflect the views of the National Science Foundation or the Sloan Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N03-1024.txt | Citing Article:  W09-2503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['59','190'] | Reference Text:  <S sid = 59 ssid = >Our keyword checking procedure acts as a filter.</S><S sid = 190 ssid = >Any opinions, findings, and conclusions or recommendations expressed above are those of the authors and do not necessarily reflect the views of the National Science Foundation or the Sloan Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N03-1024.txt | Citing Article:  W11-1609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Earlier, Barzilay and Lee (2003) and Pang et al (2003) developed approaches to aligning multiple reference translations in order to extract para phrases and generate new sentences.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >Syntax-Based Alignment Of Multiple Translations: Extracting Paraphrases And Generating New Sentences</S><S sid = 3 ssid = >They can be used to extract lexical and syntactic paraphrase pairs and to generate new, unseen sentences that express the same meaning as the sentences in the input sets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N03-1024.txt | Citing Article:  W08-1911.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pang et al (Pang et al, 2003) used parallel monolingual corpora built from news stories that had been independently translated several times to learn lattices from a syntax-based alignment process.</S> | Reference Offset:  ['20','33'] | Reference Text:  <S sid = 20 ssid = >Bangalore et al. (2001) and Barzilay and Lee (2002) both applied the technique of multi-sequence alignment (MSA) to align parallel corpora and produced similar FSAs.</S><S sid = 33 ssid = >These stories were independently translated into English by 11 translation agencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N03-1024.txt | Citing Article:  P06-2096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pang et al provide a remedy to this problem by performing alignment on the Charniak parse trees of the clustered sentences (Pang et al, 2003).</S> | Reference Offset:  ['8','41'] | Reference Text:  <S sid = 8 ssid = >And researchers in multi-document text summarization (Barzilay et al., 1999), information extraction (Shinyama et al., 2002), and question answering (Lin and Pantel, 2001; Hermjakob et al., 2002) have focused on identifying and exploiting paraphrases in the context of recognizing redundancies, alternative formulations of the same meaning, and improving the performance of question answering systems.</S><S sid = 41 ssid = >Given a sentence group, we pass each of the 11 sentences to Charniak’s (2000) parser to get 11 parse trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N03-1024.txt | Citing Article:  P06-2096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our work is closest in spirit to the two papers that inspired us (Barzilay and Lee, 2003) and (Pang et al, 2003).</S> | Reference Offset:  ['20','24'] | Reference Text:  <S sid = 20 ssid = >Bangalore et al. (2001) and Barzilay and Lee (2002) both applied the technique of multi-sequence alignment (MSA) to align parallel corpora and produced similar FSAs.</S><S sid = 24 ssid = >It’s still possible to use MSA if, for example, the input is pre-clustered to have the same constituent ordering (Barzilay and Lee (2003)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N03-1024.txt | Citing Article:  W12-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pang et al (2003) propose an algorithm to align sets of parallel sentences driven entirely by the syntactic representations of the sentences.</S> | Reference Offset:  ['3','20'] | Reference Text:  <S sid = 3 ssid = >They can be used to extract lexical and syntactic paraphrase pairs and to generate new, unseen sentences that express the same meaning as the sentences in the input sets.</S><S sid = 20 ssid = >Bangalore et al. (2001) and Barzilay and Lee (2002) both applied the technique of multi-sequence alignment (MSA) to align parallel corpora and produced similar FSAs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N03-1024.txt | Citing Article:  N06-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pang et al (2003) use word lattices as paraphrase representations from semantically equivalent translations sets.</S> | Reference Offset:  ['1','9'] | Reference Text:  <S sid = 1 ssid = >We describe a syntax-based algorithm that automatically builds Finite State Automata (word lattices) from semantically equivalent translation sets.</S><S sid = 9 ssid = >In previous work (Barzilay and McKeown, 2001; Lin and Pantel, 2001; Shinyama et al., 2002), paraphrases are represented as sets or pairs of semantically equivalent words, phrases, and patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N03-1024.txt | Citing Article:  D12-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the basis of this hypothesis, Barzi lay and McKeown (2001) and Pang et al2003) created monolingual parallel corpora from multiple human translations of the same source.</S> | Reference Offset:  ['20','95'] | Reference Text:  <S sid = 20 ssid = >Bangalore et al. (2001) and Barzilay and Lee (2002) both applied the technique of multi-sequence alignment (MSA) to align parallel corpora and produced similar FSAs.</S><S sid = 95 ssid = >Since the co-training-based algorithm of Barzilay and McKeown (2001) takes parallel corpus as input, we created out of the MTC corpus 55 × 993 sentence pairs (Each equivalent translation set of cardinality 11 was mapped into (2) equivalent translation pairs.).</S> | Discourse Facet:  NA | Annotator: Automatic


