Citance Number: 1 | Reference Article:  W06-0301.txt | Citing Article:  W07-2072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kim and Hovy (2006) integrated verb information from FrameNet and incorporated it into semantic role labeling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using FrameNet data.</S><S sid = NA ssid = NA>This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using data from FrameNet.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W06-0301.txt | Citing Article:  C10-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kim and Hovy (2006 ) used a FrameNet-based semantic role labeler to deter mine holder and topic of opinions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using data from FrameNet.</S><S sid = NA ssid = NA>This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using FrameNet data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W06-0301.txt | Citing Article:  W11-0308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kim and Hovy (2006) use structural features of the language to identify opinion entities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first identify an opinion and then find its holder and topic.</S><S sid = NA ssid = NA>Both of them use the MPQA corpus2 but they only identify opinion holders, not topics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W06-0301.txt | Citing Article:  P10-2049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A more linguistically motivated approach was taken by Kim and Hovy (2006) through identifying opinion holders and targets with semantic role labeling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A statistical approach for semantic role labeling was introduced by (Gildea and Jurafsky, 2002).</S><S sid = NA ssid = NA>Semantic role labeling is the task of identifying semantic roles such as Agent, Patient, Speaker, or Topic, in a sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W06-0301.txt | Citing Article:  W11-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Also Framenet (Ruppenhofer et al (2010)) is used as a resource in opinion mining and sentiment analysis (Kim and Hovy (2006)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Sentiment detection is the task of determining positive or negative sentiment of words (Hatzivassiloglou and McKeown, 1997; Turney, 2002; Esuli and Sebastiani, 2005), phrases and sentences (Kim and Hovy, 2004; Wilson et al., 2005), or documents (Pang et al., 2002; Turney, 2002).</S><S sid = NA ssid = NA>Another related works are (Choi et al., 2005; Kim and Hovy, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W06-0301.txt | Citing Article:  W11-1718.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also, it would be interesting to see how other types of part of speech such as adverbs and nouns affect the performance of the system.</S><S sid = NA ssid = NA>Note that in our study we treat word sentiment classification as a three-way classification problem instead of a two-way classification problem (i.e. positive and negative).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W06-0301.txt | Citing Article:  P13-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kim and Hovy (2006) identifies opinion holders and targets by using their semantic roles related to opinion words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our method first identifies an opinion-bearing word, labels semantic roles related to the word in the sentence, and then finds a holder and a topic of the opinion word among labeled semantic roles.</S><S sid = NA ssid = NA>We decompose our task into three phases: identifying an opinion-bearing word, labeling semantic roles related to the word in the sentence, and then finding the holder and the topic of the opinion word among the labeled semantic roles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W06-0301.txt | Citing Article:  W12-3716.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some work such as (Kim and Hovy, 2006) has explored the connection to role labeling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper is organized as follows: Section 2 briefly introduces related work both in sentiment analysis and semantic role labeling.</S><S sid = NA ssid = NA>This section reviews previous works in both sentiment detection and semantic role labeling.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W06-0301.txt | Citing Article:  W11-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kim and Hovy (2006) use a machine translation system and subsequently use a subjectivity analysis system that was developed for English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both of them use the MPQA corpus2 but they only identify opinion holders, not topics.</S><S sid = NA ssid = NA>Words in the positive class carry positive valence whereas 4 These were randomly selected from 8011 English verbs and 19748 English adjectives. those in negative class carry negative valence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W06-0301.txt | Citing Article:  C08-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also, it would be interesting to see how other types of part of speech such as adverbs and nouns affect the performance of the system.</S><S sid = NA ssid = NA>Note that in our study we treat word sentiment classification as a three-way classification problem instead of a two-way classification problem (i.e. positive and negative).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W06-0301.txt | Citing Article:  C08-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A notable exception is the work of Kim and Hovy (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Their work is similar to ours but different because their opinion is restricted to propositional opinion and mostly to verbs.</S><S sid = NA ssid = NA>Building on this work, more sophisticated problems such as opinion holder identification have also been studied.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W06-0301.txt | Citing Article:  N10-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Opinion holder is usually an entity that holds an opinion, and opinion target is what the opinion is about (Kim and Hovy, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We define holder as an entity who holds an opinion, and topic, as what the opinion is about.</S><S sid = NA ssid = NA>We first identify an opinion and then find its holder and topic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W06-0301.txt | Citing Article:  N10-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kim and Hovy (2006) proposed to map the semantic frames of FrameNet into opinion holder and target for only adjectives and verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>49 frames for verbs and 43 frames for adjectives are collected.</S><S sid = NA ssid = NA>Baseline: For the baseline system, we applied two different algorithms for sentences which have opinion-bearing verbs as target words and for those that have opinion-bearing adjectives as target words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W06-0301.txt | Citing Article:  N12-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This means that we are actually searching for all triples{ source, target, opinion} in this sentence (Kim and Hovy, 2006) and throughout each document in the corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We collected frames related to opinion words from the FrameNet corpus.</S><S sid = NA ssid = NA>However, FrameNet has a limited number of words in its annotated corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W06-0301.txt | Citing Article:  E12-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bethard et al (2004) and Kim and Hovy (2006) explore the usefulness of semantic roles provided by FrameNet (Fillmore et al 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Bethard et al., 2004) identify opinion propositions and holders.</S><S sid = NA ssid = NA>Subjectivity detection is the task of identifying subjective words, expressions, and sentences (Wiebe et al., 1999; Hatzivassiloglou and Wiebe, 2000; Riloff et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W06-0301.txt | Citing Article:  E12-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bethard et al (2004) use this resource to acquire labeled training data while in (Kim and Hovy, 2006) FrameNet is used within a rule-based classifier mapping frame-elements of frames to opinion holders.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Bethard et al., 2004) identify opinion propositions and holders.</S><S sid = NA ssid = NA>To achieve this goal, we utilize FrameNet data by mapping target words to opinion-bearing words and mapping semantic roles to holders and topics, and then use them for system training.</S> | Discourse Facet:  NA | Annotator: Automatic


