Citance Number: 1 | Reference Article:  C08-1114.txt | Citing Article:  N09-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Language modeling (Chen and Goodman, 1996), noun-clustering (Ravichandran et al, 2005), constructing syntactic rules for SMT (Galley et al, 2004), and finding analogies (Turney, 2008) are examples of some of the problems where we need to compute relative frequencies.</S> | Reference Offset:  ['82','176'] | Reference Text:  <S sid = 82 ssid = >Turney et al (2003) used a combination of 13 independent modules.</S><S sid = 176 ssid = >The morphological processing in PairClass (Minnen et al, 2001) is more sophisticated than in Turney (2006).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C08-1114.txt | Citing Article:  C10-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, (Turney, 2008) tackled the problem of classifying different lexical information such as synonymy, antonymy, hypernymy and association by using context words.</S> | Reference Offset:  ['26','117'] | Reference Text:  <S sid = 26 ssid = >We may view the task of recognizing word analogies as a problem of classifying word pairs (see Table 1).</S><S sid = 117 ssid = >The best previous resultis an accuracy of 97.5% (Turney et al, 2003), ob tained using a hybrid of four different algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C08-1114.txt | Citing Article:  W11-2128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Turney (2008) proposed a supervised method to solve word analogy questions that require identifying synonyms, antonyms, hypernyms, and other lexical-semantic relations between word pairs.</S> | Reference Offset:  ['6','120'] | Reference Text:  <S sid = 6 ssid = >We introduce a supervised corpus-based machine learning algorithm for classifying analogous word pairs, and we show that it can solve multiple-choice SAT analogy questions, TOEFL synonymquestions, ESL synonym-antonym questions, and similar-associated-both ques tions from cognitive psychology.</S><S sid = 120 ssid = >3.3 Synonyms and Antonyms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C08-1114.txt | Citing Article:  W09-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Turney (2008) recently advocated the need for a uniform approach to corpus-based semantic tasks.</S> | Reference Offset:  ['0','15'] | Reference Text:  <S sid = 0 ssid = >A Uniform Approach to Analogies Synonyms Antonyms and Associations</S><S sid = 15 ssid = >However, weprefer to take a corpus-based approach to seman tics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C08-1114.txt | Citing Article:  W09-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Such tasks will require an extension of the current framework of Turney (2008) beyond evidence from the direct co-occurrence of target word pairs.</S> | Reference Offset:  ['77','121'] | Reference Text:  <S sid = 77 ssid = >The target pair is called the stem.</S><S sid = 121 ssid = >The task of classifying word pairs as either syn onyms or antonyms readily fits into the framework of supervised classification of word pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C08-1114.txt | Citing Article:  W12-3402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Turney (2008) presents a general approach for classifying word pairs into semantic relations by extracting the strings occurring between the two words of a pair (up to three words in-between, up to one word on either side) and using a frequency-based selection process to select sub-patterns where words from the extracted context pattern may have been replaced by a wild card.</S> | Reference Offset:  ['7','40'] | Reference Text:  <S sid = 7 ssid = >A pair of words (petrify:stone) is analogous to another pair (vaporize:gas) when the semantic re lations between the words in the first pair are highly similar to the relations in the second pair.</S><S sid = 40 ssid = >To generate patterns from a phrase, we re place the given word pairs with variables, X and Y , and we replace the remaining words with a wild card symbol (an asterisk) or leave them as they are.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C08-1114.txt | Citing Article:  W09-0205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Building on a recent proposal in this direction by Turney (2008), we propose a generic method of this sort, and we test it on a set of unrelated tasks, reporting good performance across the board with very little task-specific tweaking.</S> | Reference Offset:  ['32','101'] | Reference Text:  <S sid = 32 ssid = >The output of the algorithm is anassignment of labels to the word pairs in the test ing set.</S><S sid = 101 ssid = >Now we apply PairClass to the task of recogniz ing synonyms, using a set of 80 multiple-choicesynonym questions from the TOEFL (test of En glish as a foreign language).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C08-1114.txt | Citing Article:  W09-0205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Turney (2008) is the first, to the best of our knowledge, to raise the issue of a unified approach.</S> | Reference Offset:  ['96','194'] | Reference Text:  <S sid = 96 ssid = >The best previous result is an accuracy of 56.1% (Turney, 2006).</S><S sid = 194 ssid = >For example, consider the knowledge en coded in WordNet: much of the knowledge in WordNet is embedded in the graph structure that connects words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C08-1114.txt | Citing Article:  W09-0205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We adopt a similar approach to the one used in Turney (2008) and consider each question as a separate bi nary classification problem with one positive training instance and 5 unknown pairs.</S> | Reference Offset:  ['84','111'] | Reference Text:  <S sid = 84 ssid = >Turney (2006) used a corpus-based algorithm.We may view Table 2 as a binary classification problem, in which mason:stone and carpen ter:wood are positive examples and the remaining word pairs are negative examples.</S><S sid = 111 ssid = >In each random fold, 90% of the pairs are used for training and 10% are used for testing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C08-1114.txt | Citing Article:  W09-0205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The algorithm proposed by Turney (2008) is labeled as Turney-PairClass.</S> | Reference Offset:  ['13','176'] | Reference Text:  <S sid = 13 ssid = >As far as we know, the algorithm proposed here is the first attempt to deal with all four tasks using a uniform approach.</S><S sid = 176 ssid = >The morphological processing in PairClass (Minnen et al, 2001) is more sophisticated than in Turney (2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C08-1114.txt | Citing Article:  W11-2506.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This type of similarity is reminiscent of relational analogies investigated in Turney (2008).</S> | Reference Offset:  ['73','192'] | Reference Text:  <S sid = 73 ssid = >3.1 SAT Analogies.</S><S sid = 192 ssid = >We believe that most of our lexical knowledge is relational, not attributional.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C08-1114.txt | Citing Article:  D12-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Turney (2008) proposes a unified approach to handling analogies, synonyms, antonyms and associations by transforming the last three cases into cases of analogy.</S> | Reference Offset:  ['0','10'] | Reference Text:  <S sid = 0 ssid = >A Uniform Approach to Analogies Synonyms Antonyms and Associations</S><S sid = 10 ssid = >We subsume synonyms, antonyms, and associations under analogies.</S> | Discourse Facet:  NA | Annotator: Automatic


