Citance Number: 1 | Reference Article:  W04-3219.txt | Citing Article:  W05-1205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, for this study we employ the MSR Paraphrase Corpus (Quirk et al, 2004).</S> | Reference Offset:  ['61','113'] | Reference Text:  <S sid = 61 ssid = >Koehn et al. 2003).</S><S sid = 113 ssid = >The raters were presented with an input sentence and an output paraphrase from each system in random order to prevent bias toward any particular judgment.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W04-3219.txt | Citing Article:  P10-2070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar approach to our sentence reconstruction method has been developed by Quirk et al (2004) for paraphrase generation.</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >Monolingual Machine Translation For Paraphrase Generation</S><S sid = 8 ssid = >We approach this problem as one of statistical machine translation (SMT), within the noisy channel model of Brown et al. (1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-3219.txt | Citing Article:  W08-1911.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As sentential paraphrasing is more likely to alter meaning, Quirk et al (Quirk et al, 2004) approached paraphrasing as a monotonous decoding by a phrase-based SMT system.</S> | Reference Offset:  ['60','61'] | Reference Text:  <S sid = 60 ssid = >Recent work in SMT has shown that simple phrase-based MT systems can outperform more sophisticated word-based systems (e.g.</S><S sid = 61 ssid = >Koehn et al. 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-3219.txt | Citing Article:  P09-2063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most paraphrase generation tools use some standard SMT decoding algorithms (Quirk et al., 2004) or some off-the-shelf decoding tools like Moses (Koehn et al, 2007).</S> | Reference Offset:  ['61','84'] | Reference Text:  <S sid = 61 ssid = >Koehn et al. 2003).</S><S sid = 84 ssid = >To generate paraphrases of a given input, a standard SMT decoding approach was used; this is described in more detail below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-3219.txt | Citing Article:  C08-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Quirk et al (2004) built a paraphrase generation model from a monolingual comparable corpus based on a statistical machine translation framework, where the language model assesses the grammaticality of the translations ,i.e., generated expressions.</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >Monolingual Machine Translation For Paraphrase Generation</S><S sid = 8 ssid = >We approach this problem as one of statistical machine translation (SMT), within the noisy channel model of Brown et al. (1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-3219.txt | Citing Article:  C10-2017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most paraphrase generators use some standard SMT decoding algorithms (Quirk et al, 2004) or some off-the-shelf decoding tools like MOSES.</S> | Reference Offset:  ['84','86'] | Reference Text:  <S sid = 84 ssid = >To generate paraphrases of a given input, a standard SMT decoding approach was used; this is described in more detail below.</S><S sid = 86 ssid = >To begin the decoding process, we first constructed a lattice of all possible paraphrases of the source sentence based on our phrasal translation database.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-3219.txt | Citing Article:  P06-2096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another piece of related work, (Quirk et al, 2004), starts off with parallel inputs and uses monolingual Statistical Machine Translation techniques to align them and generate novel sentences.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Monolingual Machine Translation For Paraphrase Generation</S><S sid = 1 ssid = >We apply statistical machine translation (SMT) tools to generate novel paraphrases of input sentences in the same language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-3219.txt | Citing Article:  P11-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Typical examples are paraphrasing using bilingual (Callison-Burch et al, 2006) or monolingual (Quirket al, 2004) data.</S> | Reference Offset:  ['61','150'] | Reference Text:  <S sid = 61 ssid = >Koehn et al. 2003).</S><S sid = 150 ssid = >For example: We are currently experimenting with data extracted from the first two sentences in each article, which by journalistic convention tend to summarize content (Dolan et al. 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-3219.txt | Citing Article:  P12-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Quirk et al (2004) build a monolingual translation system using a corpus of sentence pairs extracted from news articles describing same events.</S> | Reference Offset:  ['2','47'] | Reference Text:  <S sid = 2 ssid = >The system is trained on large volumes of sentence pairs automatically extracted from clustered news articles available on the World Wide Web.</S><S sid = 47 ssid = >We held out a set of news clusters from our training data and extracted a set of 250 sentence pairs for blind evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-3219.txt | Citing Article:  C08-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Quirk et al (2004) present an end-to-end paraphrasing system inspired by phrase-based machine translation that can both ac quire paraphrases and use them to generate new strings.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Monolingual Machine Translation For Paraphrase Generation</S><S sid = 1 ssid = >We apply statistical machine translation (SMT) tools to generate novel paraphrases of input sentences in the same language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W04-3219.txt | Citing Article:  C08-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although there is a greater supply of paraphrasing corpora, such as the Multiple-Translation Chinese (MTC) corpus 1 and the Microsoft Research (MSR) Paraphrase Corpus (Quirk et al, 2004),.</S> | Reference Offset:  ['70','74'] | Reference Text:  <S sid = 70 ssid = >In more detail, we first gathered lexical translation probabilities of the form P(s  |t) by running five iterations of Model 1 on the training corpus.</S><S sid = 74 ssid = >Secondly, it appears to boost translation quality in more sophisticated translation systems by inducing lexical triggering (Och et al. 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W04-3219.txt | Citing Article:  P11-2044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Outside of NLI, prior research has also explored the task of monolingual word alignment using extensions of statistical MT (Quirk et al, 2004) and multi-sequence alignment (Barzilay and Lee, 2002).</S> | Reference Offset:  ['7','100'] | Reference Text:  <S sid = 7 ssid = >Recent research has treated paraphrase acquisition and generation as a machine learning problem (Barzilay & McKeown, 2001; Lin & Pantel, 2002; Shinyama et al, 2002, Barzilay & Lee, 2003, Pang et al., 2003).</S><S sid = 100 ssid = >These are accompanied by paraphrases generated by their Multi-Sequence Alignment (MSA) system and a baseline employing WordNet (Fellbaum 1998), along with human judgments for each output by 2-3 raters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W04-3219.txt | Citing Article:  P11-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For other SMT methods, see Quirk et al (2004) and Bannard and Callison-Burch (2005) among others.</S> | Reference Offset:  ['61','158'] | Reference Text:  <S sid = 61 ssid = >Koehn et al. 2003).</S><S sid = 158 ssid = >We accomplished this by using methods from the field of SMT, which is oriented toward learning and generating exactly the sorts of alternations encountered in monolingual paraphrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W04-3219.txt | Citing Article:  P08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Paraphrase generation can be viewed as monolingual machine translation (Quirk et al, 2004), which typically includes a translation model and a language model.</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >Monolingual Machine Translation For Paraphrase Generation</S><S sid = 8 ssid = >We approach this problem as one of statistical machine translation (SMT), within the noisy channel model of Brown et al. (1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W04-3219.txt | Citing Article:  P08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Quirk et al (2004) first recast paraphrase generation as monolingual SMT.</S> | Reference Offset:  ['0','7'] | Reference Text:  <S sid = 0 ssid = >Monolingual Machine Translation For Paraphrase Generation</S><S sid = 7 ssid = >Recent research has treated paraphrase acquisition and generation as a machine learning problem (Barzilay & McKeown, 2001; Lin & Pantel, 2002; Shinyama et al, 2002, Barzilay & Lee, 2003, Pang et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W04-3219.txt | Citing Article:  P08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The SMT-based paraphrasing model used by Quirk et al (2004) was the noisy channel model of Brown et al (1993), which identified the optimal paraphrase T of a sentence S by finding.</S> | Reference Offset:  ['8','9'] | Reference Text:  <S sid = 8 ssid = >We approach this problem as one of statistical machine translation (SMT), within the noisy channel model of Brown et al. (1993).</S><S sid = 9 ssid = >That is, we seek to identify the optimal paraphrase T* of a sentence S by finding: T and S being sentences in the same language.</S> | Discourse Facet:  NA | Annotator: Automatic


