Citance Number: 1 | Reference Article:  J93-1005.txt | Citing Article:  P94-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As the result, we conclude that if we do not resolve PP attachment problem (Hindle and Rooth, 1993), to the expected extent, we will not extract he maximal noun phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, we expect that the method will be extendable to other instances of PP attachment ambiguity, such as the ambiguity that arises when several prepositional phrases follow a subject NP, and to ambiguities involving other phrases, especially phrases such as infinitives that have syntactic markers analogous to a preposition.</S><S sid = NA ssid = NA>Of the object noun phrases identified, 223,666 were ambiguous verb— noun—preposition triples.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J93-1005.txt | Citing Article:  W97-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>After the initial effort by Hindle and Rooth (1993), it has become clear that this area needs statistical methods in which an easy integration of many information sources is possible.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is an area for further investigation.</S><S sid = NA ssid = NA>Unfortunately, it is not clear where the necessary information about lexical preferences is to be found.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J93-1005.txt | Citing Article:  P00-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One of the earliest corpus-based approaches to prepositional phrase attachment used lexical preference by computing co-occurrence frequencies (lexical associations) of verbs and nouns with prepositions (Hindle and Rooth, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our proposal is to use co-occurrence of verbs and nouns with prepositions in a large body of text as an indicator of lexical preference.</S><S sid = NA ssid = NA>The table of verbs, nouns, and prepositions is in several respects an imperfect source of information about lexical associations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J93-1005.txt | Citing Article:  P00-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We thank Bill Gale, Ken Church, and David Yarowsky for many helpful discussions of this work and are grateful to four reviewers and Christian Rohrer for their comments on an earlier version.</S><S sid = NA ssid = NA>Second, a preposition in an entry might be structurally related to neither the noun of the entry nor the verb (if there is one), even if the entry is derived from a correct parse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J93-1005.txt | Citing Article:  W07-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are multiple approaches ranging from purely statistical (Ratnaparkhi, 1998), to hybrid approaches that take into account the lexical semantics of the verb (Hindle and Rooth, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We began this paper by alluding to several approaches to PP attachment, specifically work assuming the construction of discourse models, approaches based on structural attachment preferences, and work indicating a dominant role for lexical preference.</S><S sid = NA ssid = NA>However, we can draw no firm conclusions about the other approaches.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J93-1005.txt | Citing Article:  W01-0511.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Li and Abe (1998) use a minimum description length-based algorithm to find an optimal tree cut over WordNet for each classification problem, finding improvements over both lexical association (Hindle and Rooth, 1993) and conceptual association, and equaling the transformation-based results.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is evidence of a lexical association of the verb send with to.</S><S sid = NA ssid = NA>In these cases, we can use the dictionary to choose the attachment according to the association indicated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J93-1005.txt | Citing Article:  W07-2211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Examples of this work include a system by Liu et al (1990), and experiments by Hindle and Rooth (1993), and Resnik and Hearst (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These include idioms as in Examples 8 and 9, light verb constructions (Example 10), and small clauses (Example 11).</S><S sid = NA ssid = NA>Other approaches to adjusting small frequencies are discussed in Church et al. (1991) and Gale, Church, Yarowsky (in press).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J93-1005.txt | Citing Article:  N06-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is also the case that we thought PP attachment might be improved because of the increased coverage of preposition noun and preposition-verb combinations that work such as (Hindle and Rooth, 1993) show to be so important.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, entries of the form verb noun preposition do not tell us whether to induce a lexical association between verb and preposition or between noun and preposition.</S><S sid = NA ssid = NA>We want to use the verb-noun-preposition table to derive a table of bigrams counts, where a bigram is a pair consisting of a noun or verb and an associated preposition (or no preposition).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J93-1005.txt | Citing Article:  D07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In computational linguistics, a multitude of tasks is sensitive to selectional preferences, such as the resolution of ambiguous attachments (Hindle and Rooth, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For instance, N precision is the fraction of cases that the procedure identified as N attachments that actually were N attachments.</S><S sid = NA ssid = NA>The LA procedure recognized about 85% of the 586 actual noun attachment examples as noun attachments, and about 70% of the actual verb attachments as verb attachments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J93-1005.txt | Citing Article:  P99-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hindle and Rooth (1993) used a partial parser to extract (v, n, p) tuples from a corpus, where p is the preposition whose attachment is ambiguous between the verb v and the noun n.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Of the object noun phrases identified, 223,666 were ambiguous verb— noun—preposition triples.</S><S sid = NA ssid = NA>For each noun phrase head, we recorded the following preposition if any occurred (ignoring whether or not the parser had attached the preposition to the noun phrase), and the preceding verb if the noun phrase was the object of that verb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J93-1005.txt | Citing Article:  W05-0612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Training on unambiguous cases is similar in spirit to (Hindle and Rooth, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The precision is similar to that which was achieved with the LA procedure with a threshold of 2, although the recall is lower.</S><S sid = NA ssid = NA>The precision figure is similar to that obtained by the lexical association procedure with a threshold of zero, but the recall is far lower: the dictionary provides insufficient information in most cases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J93-1005.txt | Citing Article:  H05-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The pioneering work in this area was that of Hindle and Rooth (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is an area for further investigation.</S><S sid = NA ssid = NA>We began this paper by alluding to several approaches to PP attachment, specifically work assuming the construction of discourse models, approaches based on structural attachment preferences, and work indicating a dominant role for lexical preference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J93-1005.txt | Citing Article:  H05-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Web frequencies were reliable enough and did not need smoothing for (i), but for (ii), smoothing using the technique described in Hindle and Rooth (1993) led to better recall.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The maximum likelihood estimate described above is not very good when frequencies are small, and when frequencies are zero, the formula will not work at all.</S><S sid = NA ssid = NA>We use a crude adjustment to observed frequencies that has the right general properties, though it is not likely to be a very good estimate when frequencies are small.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J93-1005.txt | Citing Article:  H05-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pattern (5) is motivated by the observation that if n1 is a pronoun, this suggests a verb attachment (Hindle and Rooth, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, if the LA score is 2.0, then the probability of verb attachment is four times greater than noun attachment.</S><S sid = NA ssid = NA>This suggests that a distributional approach can provide an approximate solution to parsing problems that, in the worst case, call for complex reasoning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J93-1005.txt | Citing Article:  W12-3406.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The standard method of solving the PP-attachment problem is based on collocation extraction (cf., e.g., (Hindle and Rooth, 1993)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The performance of the human judges with access just to the verb-noun-preposition triple is a standard of what is possible based on this information, and the lexical association procedure falls somewhat short of this standard.</S><S sid = NA ssid = NA>We also wanted a standard of correctness for the test sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J93-1005.txt | Citing Article:  W12-3406.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Early work, including (Hindle and Rooth, 1993), concentrated on lexical associations, later also using word net information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These sentences were selected from stories included in the 13 million– word sample, but the particular sentences were excluded from the calculation of lexical associations.</S><S sid = NA ssid = NA>The table of verbs, nouns, and prepositions is in several respects an imperfect source of information about lexical associations.</S> | Discourse Facet:  NA | Annotator: Automatic


