Citance Number: 1 | Reference Article:  P07-1003.txt | Citing Article:  W08-0308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Approaches have been proposed recently towards getting better word alignment and thus better TTS templates, such as encoding syntactic structure information into the HMM-based word alignment model DeNero and Klein (2007), and building a syntax-based word alignment model Mayand Knight (2007) with TTS templates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This proposed model is not the first variant of the HMM model that incorporates syntax-based distortion.</S><S sid = NA ssid = NA>Our model generates word alignments that better respect the parse trees upon which they are conditioned, without sacrificing alignment quality.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P07-1003.txt | Citing Article:  P09-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>While it remains to be seen whether these improvements impact final translation accuracy, it is reasonable to hope that, all else equal, alignments which better respect syntactic correspondences will be superior for syntactic MT.</S><S sid = NA ssid = NA>Figure 1B exposes the consequences: a wide array of desired rules are lost during extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P07-1003.txt | Citing Article:  P10-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is a simplified version of and similar in spirit to the tree distance metric used in (DeNero and Klein, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This model can be simplified by removing all conditioning on node types.</S><S sid = NA ssid = NA>We observed a similar 50% reduction for the Chinese data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1003.txt | Citing Article:  P10-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>DeNero and Klein (2007) refine the distortion model of an HMM aligner to reflect tree distance instead of string distance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, its distortion model considers only string distance, disregarding the constituent structure of the English sentence.</S><S sid = NA ssid = NA>Lopez and Resnik (2005) considers a simpler tree distance distortion model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1003.txt | Citing Article:  D10-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This gap between alignment modeling and translation modeling is clearly undesirable as it often generates tensions that would prevent the extraction of many useful translation rules (DeNero and Klein, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>While alignment errors are undesirable in general, this error is particularly problematic for a syntax-based translation system.</S><S sid = NA ssid = NA>Consider the example sentence in figure 1A, which demonstrates how a particular type of alignment error prevents the extraction of many useful transducer rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1003.txt | Citing Article:  N10-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The final alignments, in both the baseline and the feature-enhanced models, are computed by training the generative models in both directions, combining the result with hard union competitive thresholding (DeNero and Klein, 2007), and using agreement training for the HMM (Liang et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our models substantially outperform GIZA++, confirming results in Liang et al. (2006).</S><S sid = NA ssid = NA>Using the joint training technique of Liang et al. (2006) to initialize the model parameters, we achieve an AER superior to the GIZA++ implementation of IBM model 4 (Och and Ney, 2003) and a reduction of 56.3% in aligned interior nodes, a measure of agreement between alignments and parses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P07-1003.txt | Citing Article:  D09-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>DeNero and Klein (2007) use a syntax based distance in an HMM word alignment model to favor syntax-friendly alignments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This proposed model is not the first variant of the HMM model that incorporates syntax-based distortion.</S><S sid = NA ssid = NA>While alignment errors are undesirable in general, this error is particularly problematic for a syntax-based translation system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P07-1003.txt | Citing Article:  D09-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>While it remains to be seen whether these improvements impact final translation accuracy, it is reasonable to hope that, all else equal, alignments which better respect syntactic correspondences will be superior for syntactic MT.</S><S sid = NA ssid = NA>Figure 1B exposes the consequences: a wide array of desired rules are lost during extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P07-1003.txt | Citing Article:  N12-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used an out-of-the-box implementation of the Berkeley Aligner (DeNero and Klein, 2007), a competitive word alignment system, to construct an unsupervised alignment over the 75 test sentences, based on the larger training corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This alignment pattern was observed in our test set and corrected by our model.</S><S sid = NA ssid = NA>We propose a novel model for unsupervised word alignment which explicitly takes into account target language constituent structure, while retaining the robustness and efficiency of the HMM alignment model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P07-1003.txt | Citing Article:  N12-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>While it remains to be seen whether these improvements impact final translation accuracy, it is reasonable to hope that, all else equal, alignments which better respect syntactic correspondences will be superior for syntactic MT.</S><S sid = NA ssid = NA>Figure 1B exposes the consequences: a wide array of desired rules are lost during extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


