Citance Number: 1 | Reference Article:  J97-2003.txt | Citing Article:  W98-1307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>for a recent elaboration of these concepts see Mohri, 1997 [13]).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The determirtization algorithm for such transducers is illustrated in Figures 13 and 14.</S><S sid = NA ssid = NA>Indeed, one of the recent trends in language studies is a large increase in the size of data sets.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J97-2003.txt | Citing Article:  P03-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To apply the rules defining the classes to the input corpus, we just need to compose the automaton with a and project the result on the output: X can be made stochastic using a pushing algorithm (Mohri, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>T') by pushing.</S><S sid = NA ssid = NA>Notice that if one wishes to construct the result of the determinization of T for a given input string w, one does not need to expand the whole result of the determinization, but only the necessary part of the determinized transducer.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J97-2003.txt | Citing Article:  W12-6207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I thank Michael Riley, and also CL reviewers, for their comments on earlier versions of this paper, Fernando Pereira and Michael Riley for discussions, Andrej Ljolje for providing the word lattices cited herein, Phil Terscaphen for useful advice, and Dominique Perrin for his help in finding references relating to the minimization of automata by determinization.</S><S sid = NA ssid = NA>We will use the following definition for characterizing the transducers that admit determinization.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J97-2003.txt | Citing Article:  A00-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The most attractive feature of the FST (Finite State Transducer) formalism lies in its superior time and space efficiency [Mohri 1997].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>From the computational point of view, the use of finite-state machines is mainly motivated by considerations of time and space efficiency.</S><S sid = NA ssid = NA>Thus, we describe methods consistent with the initial reasons for using finite-state machines, in particular the time efficiency of deterministic machines, and the space efficiency achievable with new minimization algorithms for sequential transducers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J97-2003.txt | Citing Article:  C08-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Sample XFST code Finite-state transducers are robust and time and space efficient (Mohri, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because they are so time and space efficient, sequential transducers will likely be used increasingly often in natural language processing as well as in other connected fields.</S><S sid = NA ssid = NA>Both space and time complexity of the determinization algorithm for automata are exponential.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J97-2003.txt | Citing Article:  C08-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This two-way power of the finite-state transducer (Mohri, 1997) has significantly reduced the amount of efforts to build the HUMT system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also present a minimization algorithm that allows the size of subsequential transducers representing power series to be reduced.</S><S sid = NA ssid = NA>Finite-State Transducers In Language And Speech Processing</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J97-2003.txt | Citing Article:  C08-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another very important and powerful strength of finite-state transducers, they can be composed together to build a single transducer that can perform the same task that could be done with help of two or more transducers when applied sequentially (Mohri, 1997), not only allows us to build a direct Hindi Urdu transducer, but also helps to divide difficult and complex problems into simple ones, and has indeed simplified the process of building the HUMT system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An important advantage of local determinization is that it can be applied to any transducer without restriction.</S><S sid = NA ssid = NA>As such, they admit the composition operation defined for mappings, a useful operation that allows the construction of more complex transducers from simpler ones.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J97-2003.txt | Citing Article:  N03-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Equivalence is efficiently tested by pushing the (deterministic) automata to canonicalize their arc labels and then testing unweighted equivalence (Mohri, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The equivalence of local grammars can also be tested using the equivalence algorithm for sequential transducers.</S><S sid = NA ssid = NA>The identity of two subsequential transducers with different numbering of states can be tested in the same way as that of two deterministic automata; for instance, by testing the equivalence of the automata and the equality of their number of states.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J97-2003.txt | Citing Article:  C00-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, the computational consequences of this can be lessened by lazy evaluation techniques (Mohri, 1997) and we believe that this finite state approach to constructing semantic representations is viable for a broad range of sophisticated language interface tasks.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finite-State Transducers In Language And Speech Processing</S><S sid = NA ssid = NA>Sequential finite-state transducers are now used in all areas of computational linguistics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J97-2003.txt | Citing Article:  D08-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The combined WFST will be more efficient by optimizing with determinization, minimization and pushing algorithms of WFSTs (Mohri, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>T') by pushing.</S><S sid = NA ssid = NA>Subsequential transducers admit very efficient algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J97-2003.txt | Citing Article:  C04-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Regular languages, especially generated by deterministic finite state automata are widely used in Natural Language processing, for various different tasks (Mohri, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finite-state machines have been used in various domains of natural language processing.</S><S sid = NA ssid = NA>Finite-state machines have been used in various domains of natural language processing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J97-2003.txt | Citing Article:  C04-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Not all PFAs can be determinized, as discussed by (Mohri, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These lattices were already determinized.</S><S sid = NA ssid = NA>Not all transducers can be determinized using the power series determinization.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J97-2003.txt | Citing Article:  C10-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Numerous examples of the utility of word lattices come from the field of finite state automata, language modeling, speech recognition, parsing and machine translation (Mohri, 1997, inter alia).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finite-State Transducers In Language And Speech Processing</S><S sid = NA ssid = NA>We present examples of such cases, which appear in speech recognition, in the last section.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J97-2003.txt | Citing Article:  N03-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>O-TRIE is a deterministic right-branching trie encoding (Leermakers, 1992) with weights pushed left (Mohri, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Right sequential functions apply to strings from right to left.</S><S sid = NA ssid = NA>The right sequential transducer can be constructed in such a way that these ambiguities can then be resolved from right to left.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J97-2003.txt | Citing Article:  N03-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Additionally, with I-tries, only the top-level intermediate rules have probability less than 1, while for O-tries, one can back-weight probability as in (Mohri, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The negative weights cannot be interpreted in terms of probability.</S><S sid = NA ssid = NA>The weight of the path can be interpreted as a negative log of the probability of that sentence given the sequence of acoustic observations (utterance).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J97-2003.txt | Citing Article:  P04-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example transducer determinization (Mohri, 1997) uses a set of pairs of states and weights.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Hence, the subsets q2 that we consider here are made of pairs (q, x) of states and weights.</S><S sid = NA ssid = NA>States in the transducer T3 correspond to pairs of states of Ti and T2.</S> | Discourse Facet:  NA | Annotator: Automatic


