Citance Number: 1 | Reference Article:  W99-0611.txt | Citing Article:  W01-0716.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Cardie and Wagstaff (1999) combined the use of WordNet with proper name gazetteers in order to obtain information on the compatibility of coreferential NPs in their clustering algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here we use WordNet (Fellbaum, 1998) to obtain coarse semantic information for the head noun.</S><S sid = NA ssid = NA>Proper Name.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W99-0611.txt | Citing Article:  W02-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although approaches to coreference resolution that rely only on clustering could easily enforce transitivity (as in Cardie and Wagstaff (1999)), they have not performed as well as state-of-the-art approaches to coreference.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The MUC-6 evaluation also provided results for a large number of non-learning approaches to coreference resolution.</S><S sid = NA ssid = NA>Existing systems for noun phrase coreference resolution can be broadly characterized as learning and non-learning approaches.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W99-0611.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank David Pierce for his formatting and technical advice.</S><S sid = NA ssid = NA>Appositive.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W99-0611.txt | Citing Article:  C04-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Cardie and Wagstaff (1999) have proposed an unsupervised approach which also incorporates cluster information into consideration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Azzam et al. (1998), for example, describe a focus-based approach that incorporates discourse information when resolving pronouns.</S><S sid = NA ssid = NA>Second, our approach is unsupervised and requires no annotation of training data, nor a large corpus for computing statistical occurrences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W99-0611.txt | Citing Article:  P07-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The closest comparable unsupervised system is Cardie and Wagstaff (1999) who use pairwise NP distances to cluster document mentions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Without this mechanism, it is possible that the decision tree classifies NP i and NP i as coreferent, and NP i and NPk as coreferent, but NP i and NPk as not coreferent.</S><S sid = NA ssid = NA>Our approach, on the other hand, uses unsupervised learning4 and requires no training data.5 In addition, both MLR and RESOLVE require an additional mechanism to coordinate the collection of pairwise coreference decisions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W99-0611.txt | Citing Article:  W05-0609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, approaches to coreference resolution (Cardie and Wagstaff, 1999) use clustering to identify groups of references to the same entity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Noun Phrase Coreference As Clustering</S><S sid = NA ssid = NA>The MUC-6 evaluation also provided results for a large number of non-learning approaches to coreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W99-0611.txt | Citing Article:  D07-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The system of Cardie and Wagstaff (1999) uses the node distance in WordNet (with an upper limit of 4) as one component in the distance measure that guides their clustering algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The subsections below describe the noun phrase representation, the distance metric, and the clustering algorithm in turn.</S><S sid = NA ssid = NA>Otherwise, the distance is < r, and the algorithm considers c and c2 for merging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W99-0611.txt | Citing Article:  W06-3804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the first subtask we use the same set of features as in Cardie and Wagstaff (1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It contains two base noun phrases: Chief Financial Officer and Prime Corp. Each noun phrase in the input text is then represented as a set of 11 features as shown in Table 1.</S><S sid = NA ssid = NA>Given an input text, we first use the Empire noun phrase finder (Cardie and Pierce, 1998) to locate all noun phrases in the text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W99-0611.txt | Citing Article:  P07-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Coreference resolution on text datasets is well studied (e.g., (Cardie and Wagstaff, 1999)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given an input text, we first use the Empire noun phrase finder (Cardie and Pierce, 1998) to locate all noun phrases in the text.</S><S sid = NA ssid = NA>Furthermore, our approach has a number of important advantages over existing learning and non-learning methods for coreference resolution: As a result, we believe that viewing noun phrase coreference as clustering provides a promising framework for corpus-based coreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W99-0611.txt | Citing Article:  P07-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We employ a set of verbal features that is similar to the features used by state-of-the-art coreference resolution systems that operate on text (e.g., (Cardieand Wagstaff, 1999)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the current version of our system, the NUMBER, PROPER NAME, SEMANTIC CLASS, GENDER, and ANIMACY features operate as coreference filters.</S><S sid = NA ssid = NA>It contains two base noun phrases: Chief Financial Officer and Prime Corp. Each noun phrase in the input text is then represented as a set of 11 features as shown in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W99-0611.txt | Citing Article:  P07-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Coreference resolution is often performed in two phases: a binary classification phase, in which the likelihood of coreference for each pair of noun phrases is assessed; and a partitioning phase, in which the clusters of mutually coreferring NPs are formed, maximizing some global criterion (Cardie and Wagstaff, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All previous attempts to view coreference as a learning problem treat coreference resolution as a classification task: the algorithms classify a pair of noun phrases as coreferent or not.</S><S sid = NA ssid = NA>The first baseline marks every pair of noun phrases as coreferent, i.e. all noun phrases in the document form one class.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W99-0611.txt | Citing Article:  P07-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The verbal features that we have included are a representative sample from the literature (e.g., (Cardie and Wagstaff, 1999)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Qualitative and quantitative comparisons to related work are included in Section 5.</S><S sid = NA ssid = NA>In the current version of our system, the NUMBER, PROPER NAME, SEMANTIC CLASS, GENDER, and ANIMACY features operate as coreference filters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W99-0611.txt | Citing Article:  W02-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An unsupervised approach to the resolution of definite NPs was applied by Cardie and Wagstaff (1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Handling the JS class alone requires recognizing coreferent NPs in appositive and genitive constructions as well as those that occur as proper names, possessive pronouns, and definite NPs.</S><S sid = NA ssid = NA>This paper introduces a new, unsupervised algorithm for noun phrase coreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W99-0611.txt | Citing Article:  W02-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Cardie and Wagstaff (1999) describe an unsupervised clustering approach to noun phrase coreference resolution in which features are assigned to single noun phrases only.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Noun Phrase Coreference As Clustering</S><S sid = NA ssid = NA>This paper introduces a new, unsupervised algorithm for noun phrase coreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W99-0611.txt | Citing Article:  W02-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The feature semantic class used by Cardie and Wagstaff (1999) seems to be a domain-dependent one which can only be used for the MUC domain and similar ones.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Semantic Class.</S><S sid = NA ssid = NA>Here, NPi subsumes NP2, giving them a distance of —oo via the word substring term; however, NPi's semantic class is COMPANY, and NP2's class is OBJECT, generating a distance of oo via the semantic class feature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W99-0611.txt | Citing Article:  W02-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Cardie and Wagstaff (1999) report a performance of 53.6% F-measure (evaluated according to Vilain et al (1995)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>They were calculated automatically using the MUC-6 scoring program (Vilain et al., 1995).</S><S sid = NA ssid = NA>Ge et al. (1998) present a probabilistic model for pronoun resolution trained on a small subset of the Penn Treebank Wall Street Journal corpus (Marcus et al., 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


