Citance Number: 1 | Reference Article:  N09-2004.txt | Citing Article:  D10-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, little research has been done on how to effectively perform SRL on bi text, which has important applications including machine translation (Wu and Fung, 2009).</S> | Reference Offset:  ['6','48'] | Reference Text:  <S sid = 6 ssid = >Many of the most glaring errors made by today’s statistical machine translation systems are those resulting from confusion of semantic roles.</S><S sid = 48 ssid = >Oracle analysis of n-best lists and lattices show that they often focus on lexical choice alternatives rather than re-ordering / role variations which are more important to semantic adequacy.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N09-2004.txt | Citing Article:  W11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wu and Fung (2009) used SRL labels for reordering the n-best output of phrase-based translation systems.</S> | Reference Offset:  ['58','69'] | Reference Text:  <S sid = 58 ssid = >The phrase-based SMT model used for the first pass achieves a BLEU score of 42.99, establishing a fairly strong baseline to begin with.</S><S sid = 69 ssid = >Whereas ReWrite was based on wordlevel re-ordering, however, our approach is based on constituent phrase re-ordering, and the phrases to be re-ordered are more selectively chosen via the semantic parse labels.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N09-2004.txt | Citing Article:  P11-2052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, Wu and Fung (2009a; 2009b) also show that semantic roles help in statistical machine translation , capitalising on a study of the correspondence between English and Chinese which indicates that 84% of roles transfer directly, for PropBank-style annotations.</S> | Reference Offset:  ['6','18'] | Reference Text:  <S sid = 6 ssid = >Many of the most glaring errors made by today’s statistical machine translation systems are those resulting from confusion of semantic roles.</S><S sid = 18 ssid = >Across Chinese and English, for example, it has been reported that approximately 84% of semantic roles are preserved consistently (Fung et al. 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N09-2004.txt | Citing Article:  P12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent years have witnessed increasing efforts towards integrating predicate-argument structures into statistical machine translation (SMT) (Wu and Fung, 2009b; Liu and Gildea, 2010).</S> | Reference Offset:  ['1','13'] | Reference Text:  <S sid = 1 ssid = >We present results on a novel hybrid semantic SMT model that incorporates the strengths of both semantic role labeling and phrase-based statistical machine translation.</S><S sid = 13 ssid = >Shallow semantic parsing models have attained increasing levels of accuracy in recent years (Gildea and Jurafsky 2000; Sun and Jurafsky 2004; Pradhan et al. 2004, 2005; Pradhan 2005; Fung et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N09-2004.txt | Citing Article:  P12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unfortunately they are usually neither correctly translated nor translated at all in many SMT systems according to the error study by Wu and Fung (2009a).</S> | Reference Offset:  ['6','42'] | Reference Text:  <S sid = 6 ssid = >Many of the most glaring errors made by today’s statistical machine translation systems are those resulting from confusion of semantic roles.</S><S sid = 42 ssid = >The second pass algorithm performs the error correction shown in Figure 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N09-2004.txt | Citing Article:  P12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As PAS analysis widely employs global and sentence-wide features, it is computationally expensive to integrate target side predicate argument structures into the dynamic programming style of SMT decoding (Wu and Fung, 2009b).</S> | Reference Offset:  ['34','66'] | Reference Text:  <S sid = 34 ssid = >In fact, the lack of easy compositionality is the reason that today’s most accurate shallow semantic parsers rely not primarily on compositional parsing techniques, but rather on ensembles of predictors that independently rate/rank a wide variety of factors supporting the role assignments given a broad sentence-wide range of context features.</S><S sid = 66 ssid = >We note that accuracy here was measured via BLEU, and it has been widely observed that the negative impacts of semantic predicate-argument errors on the utility of the translation are underestimated by evaluation metrics based on lexical criteria such as BLEU.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N09-2004.txt | Citing Article:  P12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also want to address another translation issue of arguments as shown in Table 7: arguments are wrongly translated into separate groups instead of a cohesive unit (Wuand Fung, 2009a).</S> | Reference Offset:  ['15','44'] | Reference Text:  <S sid = 15 ssid = >Such models, which identify semantic frames within input sentences by marking its predicates, and labeling their arguments with the semantic roles that they fill.</S><S sid = 44 ssid = >Rather, the ordering of arguments in relation to their predicates is often where the main failures of adequacy occur.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N09-2004.txt | Citing Article:  W11-2136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wu and Fung (2009) present a two-pass model to incorporate semantic information to the phrase-based SMT pipeline.</S> | Reference Offset:  ['3','38'] | Reference Text:  <S sid = 3 ssid = >The first pass is performed using a conventional phrase-based SMT model.</S><S sid = 38 ssid = >The first pass is performed using a conventional phrase-based SMT model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N09-2004.txt | Citing Article:  W11-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As the demand for semantically consistent machine translation rises (Wu and Fung, 2009a), the need for a comprehensive semantic mapping tool has become more apparent.</S> | Reference Offset:  ['1','6'] | Reference Text:  <S sid = 1 ssid = >We present results on a novel hybrid semantic SMT model that incorporates the strengths of both semantic role labeling and phrase-based statistical machine translation.</S><S sid = 6 ssid = >Many of the most glaring errors made by today’s statistical machine translation systems are those resulting from confusion of semantic roles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N09-2004.txt | Citing Article:  W11-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >With the current architecture of machine translation decoders, few ways of incorporating semantics in MT output include using word sense disambiguation to select the correct target translation (Carpuat and Wu, 2007) and reordering/reranking MT output based on semantic consistencies (Wu and Fung, 2009b) (Carpuat et al, 2010).</S> | Reference Offset:  ['24','72'] | Reference Text:  <S sid = 24 ssid = >Over the past decade, we have seen an accumulation of evidence that SMT accuracy can be improved via tree-structured and syntactic models (e.g., Wu 1997; Wu and Chiang 2009), and more recently, work from lexical semantics has also at long last been successfully applied to increasing SMT accuracy, in the form of techniques adapted from word sense disambiguation models (Chan et al. 2007; Gimenez and Mˆrquez 2007b; Carpuat and Wu 2007).</S><S sid = 72 ssid = >But whereas Ueffing et al. take the output from a first-pass rulebased MT system, and then correct it using a second-pass SMT system, our two-pass semantic SMT model does the reverse: it takes the output from a first-pass SMT system, and then corrects it with the aid of semantic analyzers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N09-2004.txt | Citing Article:  W11-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Later, Wu and Fung (2009b) used parallel semantic roles to improve MT system outputs.</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Semantic Roles for SMT: A Hybrid Two-Pass Model</S><S sid = 17 ssid = >This is, of course, by design; it follows from the definition of semantic roles, which are less language-dependent than syntactic roles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N09-2004.txt | Citing Article:  W11-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other statistical translation specific applications we would like to explore include extensions of MT output reordering (Wu and Fung, 2009b) and reranking using predicate-argument mapping, as well as predicate-argument projection onto the target language as an evaluation metric for MT output.</S> | Reference Offset:  ['66','72'] | Reference Text:  <S sid = 66 ssid = >We note that accuracy here was measured via BLEU, and it has been widely observed that the negative impacts of semantic predicate-argument errors on the utility of the translation are underestimated by evaluation metrics based on lexical criteria such as BLEU.</S><S sid = 72 ssid = >But whereas Ueffing et al. take the output from a first-pass rulebased MT system, and then correct it using a second-pass SMT system, our two-pass semantic SMT model does the reverse: it takes the output from a first-pass SMT system, and then corrects it with the aid of semantic analyzers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N09-2004.txt | Citing Article:  W11-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Wu and Fung, 2009) uses PropBank role labels (Palmer et al, 2005) as the basis of a second pass filter over an SMT system to improve the BLEU score from 42.99 to 43.51.</S> | Reference Offset:  ['58','59'] | Reference Text:  <S sid = 58 ssid = >The phrase-based SMT model used for the first pass achieves a BLEU score of 42.99, establishing a fairly strong baseline to begin with.</S><S sid = 59 ssid = >In comparison, the automatically errorcorrected translations that are output by the second pass achieve a BLEU score of 43.51.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N09-2004.txt | Citing Article:  P13-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['35','72'] | Reference Text:  <S sid = 35 ssid = >But while this improves semantic parsing accuracy, it poses a major obstacle for efficient tight integration into the sub-hypothesis construction and maintenance loops within SMT decoders.</S><S sid = 72 ssid = >But whereas Ueffing et al. take the output from a first-pass rulebased MT system, and then correct it using a second-pass SMT system, our two-pass semantic SMT model does the reverse: it takes the output from a first-pass SMT system, and then corrects it with the aid of semantic analyzers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N09-2004.txt | Citing Article:  P13-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our approach is inline with Wu and Fung (2009b) who demonstrated that on the one hand 84% of verb syntactic functions in a 50-sentence test corpus projected from Chinese to English, and that on the other hand about 15% of the subjects were not translated into subjects, but their semantic roles were preserved across language.</S> | Reference Offset:  ['18','23'] | Reference Text:  <S sid = 18 ssid = >Across Chinese and English, for example, it has been reported that approximately 84% of semantic roles are preserved consistently (Fung et al. 2006).</S><S sid = 23 ssid = >On the one hand, there is reason to be optimistic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N09-2004.txt | Citing Article:  P13-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One problem with using BLEU as an evaluation metric is that it is a precision-oriented metric and tends to reward fluency rather than adequacy (see (Wu and Fung, 2009a; Liu and Gildea, 2010)).</S> | Reference Offset:  ['9','10'] | Reference Text:  <S sid = 9 ssid = >It has often been noted that the dominance of lexically-oriented, precisionbased metrics such as BLEU (Papineni et al. 2002) tend to reward fluency more than adequacy.</S><S sid = 10 ssid = >The length penalty in the BLEU metric, in particular, is only an indirect and weak indicator of adequacy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N09-2004.txt | Citing Article:  W11-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Concerning the usage of SRL for SMT, Wu and Fung (2009) reported a first successful application of semantic role labels to improve translation quality.</S> | Reference Offset:  ['5','65'] | Reference Text:  <S sid = 5 ssid = >Evaluation on a Wall Street Journal newswire genre test set showed the hybrid model to yield an improvement of roughly half a point in BLEU score over a strong pure phrase-based SMT baseline – to our knowledge, the first successful application of semantic role labeling to SMT.</S><S sid = 65 ssid = >To our knowledge, this is a first result demonstrating that shallow semantic parsing can improve translation accuracy of SMT models.</S> | Discourse Facet:  NA | Annotator: Automatic


