Citance Number: 1 | Reference Article:  A00-2030.txt | Citing Article:  W01-0510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Section 5 compares our approach too thiers in the literature, in particular that of (Miller et al., 2000).</S> | Reference Offset:  ['26','40'] | Reference Text:  <S sid = 26 ssid = >We were already using a generative statistical model for part-of-speech tagging (Weischedel et al. 1993), and more recently, had begun using a generative statistical model for name finding (Bikel et al.</S><S sid = 40 ssid = >Further details are discussed in the section Tree Augmentation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  A00-2030.txt | Citing Article:  P14-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns.</S> | Reference Offset:  ['26','104'] | Reference Text:  <S sid = 26 ssid = >We were already using a generative statistical model for part-of-speech tagging (Weischedel et al. 1993), and more recently, had begun using a generative statistical model for name finding (Bikel et al.</S><S sid = 104 ssid = >We have demonstrated, at least for one problem, that a lexicalized, probabilistic context-free parser with head rules (LPCFGHR) can be used effectively for information extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A00-2030.txt | Citing Article:  P05-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One interesting system that does not belong to the above class is that of Miller et al (2000), who take the view that relation extraction is just a form of probabilistic parsing where parse trees are augmented to identify all relations.</S> | Reference Offset:  ['34','41'] | Reference Text:  <S sid = 34 ssid = >In these trees, the standard TREEBANK structures are augmented to convey semantic information, that is, entities and relations.</S><S sid = 41 ssid = >To train our integrated model, we required a large corpus of augmented parse trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A00-2030.txt | Citing Article:  P05-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees.</S> | Reference Offset:  ['34','52'] | Reference Text:  <S sid = 34 ssid = >In these trees, the standard TREEBANK structures are augmented to convey semantic information, that is, entities and relations.</S><S sid = 52 ssid = >In this section, we describe the algorithm that was used to automatically produce augmented trees, starting with a) human-generated semantic annotations and b) machinegenerated syntactic parse trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A00-2030.txt | Citing Article:  P05-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model.</S> | Reference Offset:  ['11','98'] | Reference Text:  <S sid = 11 ssid = >We evaluated the new approach to information extraction on two of the tasks of the Seventh Message Understanding Conference (MUC-7) and reported in (Marsh, 1998).</S><S sid = 98 ssid = >In both Template Entity (TE) and Template Relation (TR), our system finished in second place among all entrants.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A00-2030.txt | Citing Article:  H05-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Miller et al, 2000) have combined entity recognition, parsing, and relation extraction into a jointly-trained single statistical parsing model that achieves improved performance on all the subtasks. Part of the contribution of the current work is to suggest that joint decoding can be effective even when joint training is not possible because jointly-labeled data is unavailable.</S> | Reference Offset:  ['33','61'] | Reference Text:  <S sid = 33 ssid = >Our integrated model represents syntax and semantics jointly using augmented parse trees.</S><S sid = 61 ssid = >The detailed probability structure differs, however, in that it was designed to jointly perform part-of-speech tagging, name finding, syntactic parsing, and relation finding in a single process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  A00-2030.txt | Citing Article:  P04-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Miller et al (2000) propose an integrated statistical parsing technique that augments parse trees with semantic labels denoting entity and relation types.</S> | Reference Offset:  ['41','58'] | Reference Text:  <S sid = 41 ssid = >To train our integrated model, we required a large corpus of augmented parse trees.</S><S sid = 58 ssid = >Whenever a relation involves an entity that is not a direct descendant of that relation in the parse tree, semantic pointer labels are attached to all of the intermediate nodes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  A00-2030.txt | Citing Article:  P04-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Whereas Miller et al (2000) use a generative model to produce parse information as well as relation information, we hypothesize that a technique discriminatively trained to classify relations will achieve better performance.</S> | Reference Offset:  ['0','26'] | Reference Text:  <S sid = 0 ssid = >A Novel Use Of Statistical Parsing To Extract Information From Text</S><S sid = 26 ssid = >We were already using a generative statistical model for part-of-speech tagging (Weischedel et al. 1993), and more recently, had begun using a generative statistical model for name finding (Bikel et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  A00-2030.txt | Citing Article:  W05-0602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The syntactic model in (Miller et al, 2000) is similar to Collins', but does not use features like subcat frames and distance measures.</S> | Reference Offset:  ['28','60'] | Reference Text:  <S sid = 28 ssid = >Finally, our newly constructed parser, like that of (Collins 1997), was based on a generative statistical model.</S><S sid = 60 ssid = >In our statistical model, trees are generated according to a process similar to that described in (Collins 1996, 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  A00-2030.txt | Citing Article:  N07-2041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar to the approach in (Miller et al, 2000) and (Kulick et al, 2004), our parser integrates both syntactic and semantic annotations into a single annotation as shown in Figure 2.</S> | Reference Offset:  ['35','50'] | Reference Text:  <S sid = 35 ssid = >An example of an augmented parse tree is shown in Figure 3.</S><S sid = 50 ssid = >Figure 4 shows an example of the semantic annotation, which was the only type of manual annotation we performed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  A00-2030.txt | Citing Article:  W10-2924.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Miller et al (2000) adapt a probabilistic context-free parser for information extraction by augmenting syntactic labels with entity and relation labels.</S> | Reference Offset:  ['6','104'] | Reference Text:  <S sid = 6 ssid = >In this paper, we report adapting a lexicalized, probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S><S sid = 104 ssid = >We have demonstrated, at least for one problem, that a lexicalized, probabilistic context-free parser with head rules (LPCFGHR) can be used effectively for information extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  A00-2030.txt | Citing Article:  W06-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most of the approaches for relation extraction rely on the mapping of syntactic dependencies, such as SVO, onto semantic relations, using either pattern matching or other strategies, such as probabilistic parsing for trees augmented with annotations for entities and relations (Miller et al 2000), or clustering of semantically similar syntactic dependencies, according to their selectional restrictions (Gamallo et al, 2002).</S> | Reference Offset:  ['34','38'] | Reference Text:  <S sid = 34 ssid = >In these trees, the standard TREEBANK structures are augmented to convey semantic information, that is, entities and relations.</S><S sid = 38 ssid = >Other labels indicate relations among entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  A00-2030.txt | Citing Article:  P07-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This includes parsing and relation extraction (Miller et al, 2000), entity labeling and relation extraction (Roth and Yih, 2004), and part-of-speech tagging and chunking (Sutton et al, 2004).</S> | Reference Offset:  ['26','58'] | Reference Text:  <S sid = 26 ssid = >We were already using a generative statistical model for part-of-speech tagging (Weischedel et al. 1993), and more recently, had begun using a generative statistical model for name finding (Bikel et al.</S><S sid = 58 ssid = >Whenever a relation involves an entity that is not a direct descendant of that relation in the parse tree, semantic pointer labels are attached to all of the intermediate nodes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  A00-2030.txt | Citing Article:  W05-0636.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Miller et al (2000) showed that performing parsing and information extraction in a joint model improves performance on both tasks.</S> | Reference Offset:  ['11','105'] | Reference Text:  <S sid = 11 ssid = >We evaluated the new approach to information extraction on two of the tasks of the Seventh Message Understanding Conference (MUC-7) and reported in (Marsh, 1998).</S><S sid = 105 ssid = >A single model proved capable of performing all necessary sentential processing, both syntactic and semantic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  A00-2030.txt | Citing Article:  N06-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Miller et al (2000) address the task of relation extraction from the statistical parsing viewpoint.</S> | Reference Offset:  ['1','26'] | Reference Text:  <S sid = 1 ssid = >Since 1995, a few statistical parsing algorithms have demonstrated a breakthrough in parsing accuracy, as measured against the UPenn TREEBANK as a gold standard.</S><S sid = 26 ssid = >We were already using a generative statistical model for part-of-speech tagging (Weischedel et al. 1993), and more recently, had begun using a generative statistical model for name finding (Bikel et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  A00-2030.txt | Citing Article:  D11-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns.</S> | Reference Offset:  ['26','104'] | Reference Text:  <S sid = 26 ssid = >We were already using a generative statistical model for part-of-speech tagging (Weischedel et al. 1993), and more recently, had begun using a generative statistical model for name finding (Bikel et al.</S><S sid = 104 ssid = >We have demonstrated, at least for one problem, that a lexicalized, probabilistic context-free parser with head rules (LPCFGHR) can be used effectively for information extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


