Citance Number: 1 | Reference Article:  P83-1019.txt | Citing Article:  P89-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fidditch is one such deterministic parser, designed to provide a syntactic analysis of text as a tool for locating examples of various linguistically interesting structures (Hindle 1983).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because it is a deterministic parser, it produces only one analysis for each sentence.</S><S sid = NA ssid = NA>Other cases (examples 610 below) are only interpretable given the assumption that certain words, which are potentially part of the syntactic structure, are to be removed from the syntactic analysis.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P83-1019.txt | Citing Article:  P99-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Hindle, 1983) states that repairs are available for semantic analysis but provides no details on the representation to be used.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although the self-corrected string is edited from the syntactic analysis, it is nevertheless available for semantic interpretation.</S><S sid = NA ssid = NA>Although the expunged constituents may be available for semantic interpretation, they do not form part of the main predication.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P83-1019.txt | Citing Article:  P93-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>RIM builds upon Labov (1966) and Hindle (1983) by conceptually extending the EDIT SIGNAL HYPOTHESIS that repairs are acoustically or phonetically marked at the point of interruption of fluent speech.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Labov (1966) provided the key to solving this problem when he noted that a phonetic signal (specifically, a markedly abrupt cut-off of the speech signal) always marks the site where self-correction takes place.</S><S sid = NA ssid = NA>Two features are essential to the self-correction system: 1) every self-correction site (whether it results in the expunction of words or not) is marked by a phonetically identifiable signal placed at the right edge of the potential expunction site; and 2) the expunged part is the left-hand member of a pair of copies, one on each side of the editing signal.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P83-1019.txt | Citing Article:  P93-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One proposal for repair processing that lends itself to both incremental processing and the integration of speech cues into repair detection is that of Hindle (1983), who defines a typology of repairs and associated correction strategies in terms of extensions to a deterministic parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The editing system that I will describe is implemented on top of a deterministic parser, called Fidditch. based on the processing principles proposed by Marcus (1980).</S><S sid = NA ssid = NA>After some processing, the configuration of the data structures is that shown in Figure 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P83-1019.txt | Citing Article:  P93-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An hypothesized acoustic phonetic edit signal, "a markedly abrupt cut-off of the speech signal" (Hindle, 1983 ,p.123), is assumed to mark the interruption of fluent speech (cf. (Labov, 1966)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Labov (1966) provided the key to solving this problem when he noted that a phonetic signal (specifically, a markedly abrupt cut-off of the speech signal) always marks the site where self-correction takes place.</S><S sid = NA ssid = NA>For the present discussion, I will assume little about the phonetic nature of the signal except that it is phonetically recognizable, and that, whatever their phonetic nature, all editing signals are, for the self-correction system, equivalent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P83-1019.txt | Citing Article:  P93-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Importantly, Hindle's system allows for non surface-based corrections and sequential application of correction rules (Hindle, 1983, p. 123).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Such cases where the Surface Copy Editor must apply are rare, and it may therefore be that there exists an optimal parser grammar that would make the Surface Copy Editor redundant; all strings would be edited by the syntactically based Category and Stack Copy rules.</S><S sid = NA ssid = NA>SURFACE COPY EDITOR.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P83-1019.txt | Citing Article:  P93-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>RIM incorporates two main assumptions of Hindle (1983): (1) correction strategies are linguistically rule-governed, and (2) linguistic ues must be available to signal when a disfluency has occurred and to 'trigger' correction strategies.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although the expunged constituents may be available for semantic interpretation, they do not form part of the main predication.</S><S sid = NA ssid = NA>Thus, the observed pattern of self-correction introduces empirical constraints on the set of features that are available for syntactic rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P83-1019.txt | Citing Article:  A94-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other than syntactic knowledge includes grammar specific recovery rules such as recta-rules (Weishedel and Sondheimer, 1983), semantic or pragmatic knowledge which may depend on a particular domain (Carbonell and Hayes, 1983) or the characteristics of the ill-formed utterances observed in human discourse (Hindle, 1983).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The category copying rules are generalizations of simple copying, applied to a knowledge of linguistic categories.</S><S sid = NA ssid = NA>The category copying rules are generalizations of simple copying, applied to a knowledge of linguistic categories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P83-1019.txt | Citing Article:  A00-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>My thanks to Tony Kroch, Mitch Marcus, and Ken Church for helpful comments on this work.</S><S sid = NA ssid = NA>Although the self-corrected string is edited from the syntactic analysis, it is nevertheless available for semantic interpretation.</S> | Discourse Facet:  NA | Annotator: Automatic


