Citance Number: 1 | Reference Article:  P99-1065.txt | Citing Article:  W00-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It might also be possible to exploit the internal structure of the POS tags, for example through incremental prediction of the POS tag being generated; or to exploit the use of word lemmas, effectively splitting word—word relations into syntactic dependencies (POS tag—POS tag relations) and more semantic (lemma—lemma) dependencies.</S><S sid = NA ssid = NA>The model of (Collins 97) had conditioning variables that allowed the model to learn a preference for dependencies which do not cross verbs.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P99-1065.txt | Citing Article:  P05-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It might also be possible to exploit the internal structure of the POS tags, for example through incremental prediction of the POS tag being generated; or to exploit the use of word lemmas, effectively splitting word—word relations into syntactic dependencies (POS tag—POS tag relations) and more semantic (lemma—lemma) dependencies.</S><S sid = NA ssid = NA>The model of (Collins 97) had conditioning variables that allowed the model to learn a preference for dependencies which do not cross verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P99-1065.txt | Citing Article:  P05-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It might also be possible to exploit the internal structure of the POS tags, for example through incremental prediction of the POS tag being generated; or to exploit the use of word lemmas, effectively splitting word—word relations into syntactic dependencies (POS tag—POS tag relations) and more semantic (lemma—lemma) dependencies.</S><S sid = NA ssid = NA>The model of (Collins 97) had conditioning variables that allowed the model to learn a preference for dependencies which do not cross verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P99-1065.txt | Citing Article:  P05-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To create dependency structures from the Penn Treebank, we used the extraction rules of Yamada and Matsumoto (2003), which are an approximation to the lexicalization rules of Collins (1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Prague Dependency Treebank PDT (Hap, 1998) has been modeled after the Penn Treebank (Marcus et al. 93), with one important exception: following the Praguian linguistic tradition, the syntactic annotation is based on dependencies rather than phrase structures.</S><S sid = NA ssid = NA>Other rules in the tree contribute similar sets of probabilities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P99-1065.txt | Citing Article:  P05-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular, we used the method of Collins et al (1999) to simplify part-of-speech tags since the rich tags used by Czech would have led to a large but rarely seen set of POS features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Statistical parsers of English typically make use of the roughly 50 POS tags used in the Penn Treebank corpus, but the Czech PDT corpus provides a much richer set of POS tags, with over 3000 possible tags defined by the tagging system and over 1000 tags actually found in the corpus.</S><S sid = NA ssid = NA>(The detailed POS was used for the main POS values D, J, V, and X; the case field was used for the other possible main POS values.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P99-1065.txt | Citing Article:  P05-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Czech parser of Collins et al (1999) was run on a different data set and most other dependency parsers are evaluated using English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Statistical Parser For Czech</S><S sid = NA ssid = NA>The parsers of (Collins 96,97) encoded this as a hard constraint.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P99-1065.txt | Citing Article:  C10-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lattice parsing (Chappelier et al, 1999) is an alternative to a pipeline that prevents cascading errors by placing all segmentation options into the parse chart.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Figure 4 illustrates how the baseline transformation method can lead to parsing errors in relative clause cases.</S><S sid = NA ssid = NA>Table 2 shows a phrase from the corpus, with the alternative possible tags and machine-selected tag for each word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P99-1065.txt | Citing Article:  E06-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the Czech data, we used the predefined training, development and testing split of the Prague Dependency Treebank (Hajiˇc et al., 2001), and the automatically generated POS tags supplied with the data, which we reduce to the POS tag set from Collins et al (1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Prague Dependency Treebank PDT (Hap, 1998) has been modeled after the Penn Treebank (Marcus et al. 93), with one important exception: following the Praguian linguistic tradition, the syntactic annotation is based on dependencies rather than phrase structures.</S><S sid = NA ssid = NA>We explored two different methods, bottom-up and topdown, for automatically deriving POS tag sets based on counts of governing and dependent tags extracted from the parse trees that the parser constructs from the training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P99-1065.txt | Citing Article:  C04-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It might also be possible to exploit the internal structure of the POS tags, for example through incremental prediction of the POS tag being generated; or to exploit the use of word lemmas, effectively splitting word—word relations into syntactic dependencies (POS tag—POS tag relations) and more semantic (lemma—lemma) dependencies.</S><S sid = NA ssid = NA>The model of (Collins 97) had conditioning variables that allowed the model to learn a preference for dependencies which do not cross verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P99-1065.txt | Citing Article:  C04-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It might also be possible to exploit the internal structure of the POS tags, for example through incremental prediction of the POS tag being generated; or to exploit the use of word lemmas, effectively splitting word—word relations into syntactic dependencies (POS tag—POS tag relations) and more semantic (lemma—lemma) dependencies.</S><S sid = NA ssid = NA>The model of (Collins 97) had conditioning variables that allowed the model to learn a preference for dependencies which do not cross verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P99-1065.txt | Citing Article:  C04-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We are grateful to Yamada and Matsumoto for letting us use their rule set, which is a slight modification of the rules used by Collins (1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is a rule-based system which is based on a manually designed set of rules.</S><S sid = NA ssid = NA>Each rule has the fonnl : 'With the exception of the top rule in the tree, which has the form TOP H (h) .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P99-1065.txt | Citing Article:  C04-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This F-measure is based on the recall and precision figures reported in Figure 7.15 in Collins (1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See figure 5.</S><S sid = NA ssid = NA>This is a rule-based system which is based on a manually designed set of rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P99-1065.txt | Citing Article:  D09-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As the interest of the NLP community grows to encompass more languages, we observe efforts towards adapting an English parser for parsing other languages (e.g., (Collins et al, 1999)), or towards designing a language-independent framework based on principles underlying the models for parsing English (Bikel, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus the techniques and results found for Czech should be relevant to parsing several other languages.</S><S sid = NA ssid = NA>Much of the recent research on statistical parsing has focused on English; languages other than English are likely to pose new problems for statistical methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P99-1065.txt | Citing Article:  H05-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The mechanism we employ for incorporating morphology into the PCFG model (the Model 1 parser in (Collins, 1999)) is the modification of its part-of speech (POS) tag set; in this paper, we explain how this mechanism allows the parser to better capture morphological constraints.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We ran three versions of the parser over the final test set: the baseline version, the full model with all additions, and the full model with everything but the bigram model.</S><S sid = NA ssid = NA>The parsing model builds on Model 1 of (Collins 97); this section briefly describes the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P99-1065.txt | Citing Article:  H05-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The authors in (Collins et al, 1999) describe an approach that gives 80% accuracy in recovering unlabeled dependencies in Czech.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Collins 99) describes results of 91% accuracy in recovering dependencies on section 0 of the Penn Wall Street Journal Treebank, using Model 2 of (Collins 97).</S><S sid = NA ssid = NA>In these cases the baseline approach gives tree structures such as that in figure 5(a).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P99-1065.txt | Citing Article:  H05-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ourbaseline model, which we used to evaluate the effects of using morphology, was Model 1 (Collins, 1999) with a simple POS tag set containing almost no morphological information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parsing model builds on Model 1 of (Collins 97); this section briefly describes the model.</S><S sid = NA ssid = NA>We ran three versions of the parser over the final test set: the baseline version, the full model with all additions, and the full model with everything but the bigram model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P99-1065.txt | Citing Article:  P05-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is also true of the adaptation of the Collins parser for Czech (Collins et al, 1999) and the finite-state dependency parser for Turkish by Oflazer (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Statistical Parser For Czech</S><S sid = NA ssid = NA>The parser of (Collins 96) used punctuation as an indication of phrasal boundaries.</S> | Discourse Facet:  NA | Annotator: Automatic


