Citance Number: 1 | Reference Article:  A92-1018.txt | Citing Article:  A94-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The two systems we use are ENGCG (Karlsson et al, 1994) and the Xerox Tagger (Cutting et al, 1992).</S> | Reference Offset:  ['188','235'] | Reference Text:  <S sid = 188 ssid = >In support of this and other work, we have developed a system architecture for text access [Cutting et al., 1991].</S><S sid = 235 ssid = >Probabalistic predictions of a word's category can be made by analyzing suffixes in untagged text [Kupiec, 1992, Meteer et al., 1991].</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  A92-1018.txt | Citing Article:  W03-1314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The phrases in our bibliographic and clinical samples were then submitted to an underspecified syntactic analysis described by Rindflesch et al (2000) that draws on a stochastic tagger (see (Cutting et al, 1992) for details) as well as the SPECIALIST Lexicon, a large syntactic lexicon of both general and medical English that is distributed with the UMLS.</S> | Reference Offset:  ['188','190'] | Reference Text:  <S sid = 188 ssid = >In support of this and other work, we have developed a system architecture for text access [Cutting et al., 1991].</S><S sid = 190 ssid = >The part-of-speech tagger described here is implemented as an analysis module.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  A92-1018.txt | Citing Article:  E99-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a common strategy, POS guessers examine the endings of unknown words (Cutting et al 1992) along with their capitalization, or consider the distribution of unknown words over specific parts-of-speech (Weischedel et aL, 1993).</S> | Reference Offset:  ['14','75'] | Reference Text:  <S sid = 14 ssid = >Corpora are also likely to contain words that are unknown to the tagger.</S><S sid = 75 ssid = >Corpora are also likely to contain words that are unknown to the tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A92-1018.txt | Citing Article:  C96-2114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The tagger used is thus one that does not need tagged and disambiguated material to be trained on, namely the XPOST originally constructed at Xerox Parc (Cutting et al 1992, Cutting and Pedersen 1993).</S> | Reference Offset:  ['33','188'] | Reference Text:  <S sid = 33 ssid = >The second method of training does not require a tagged training corpus.</S><S sid = 188 ssid = >In support of this and other work, we have developed a system architecture for text access [Cutting et al., 1991].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A92-1018.txt | Citing Article:  P07-2056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In such cases, additional information may be coded into the HMM model to achieve higher accuracy (Cutting et al, 1992).</S> | Reference Offset:  ['12','73'] | Reference Text:  <S sid = 12 ssid = >Part-of-speech information facilitates higher-level analysis, such as recognizing noun phrases and other patterns in text.</S><S sid = 73 ssid = >Part-of-speech information facilitates higher-level analysis, such as recognizing noun phrases and other patterns in text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A92-1018.txt | Citing Article:  P07-2056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The semi-supervised model described in Cutting et al (1992), makes use of both labeled training text and some amount of unlabeled text.</S> | Reference Offset:  ['3','27'] | Reference Text:  <S sid = 3 ssid = >Only a lexicon and some unlabeled training text are required.</S><S sid = 27 ssid = >The first makes use of a tagged training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A92-1018.txt | Citing Article:  W96-0101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['286','287'] | Reference Text:  <S sid = 286 ssid = >The algorithm has an accuracy of approximately 80% in assigning grammatical functions.</S><S sid = 287 ssid = >We would like to thank Marti Hearst for her contributions to this paper, Lauri Karttunen and Annie Zaenen for their work on lexicons, and Kris Halvorsen for supporting this project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  A92-1018.txt | Citing Article:  W96-0101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Chanod and Tapanainen, 1995) compare two tagging frameworks for tagging French, one that is statistical, built upon the Xerox tagger (Cutting et al., 1992), and another based on linguistic constraints only.</S> | Reference Offset:  ['48','87'] | Reference Text:  <S sid = 48 ssid = >As the resources required are simply a lexicon and a suitably large sample of ordinary text, taggers can be built with minimal effort, even for other languages, such as French (e.g., [Kupiec, 1992]).</S><S sid = 87 ssid = >Statistical methods have also been used (e.g., [DeRose, 1988], [Garside et al., 1987]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  A92-1018.txt | Citing Article:  W04-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The XEROX tagger comes with a list of built-in ending guessing rules (Cutting et al,1992).</S> | Reference Offset:  ['188','235'] | Reference Text:  <S sid = 188 ssid = >In support of this and other work, we have developed a system architecture for text access [Cutting et al., 1991].</S><S sid = 235 ssid = >Probabalistic predictions of a word's category can be made by analyzing suffixes in untagged text [Kupiec, 1992, Meteer et al., 1991].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  A92-1018.txt | Citing Article:  W04-2611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This analysis depends on the SPECIALIST Lexicon and the Xerox part-of-speech tagger (Cutting et al, 1992) and provides simple noun phrases that are mapped to concepts in the UMLS Metathesaurus using MetaMap (Aronson, 2001).</S> | Reference Offset:  ['12','73'] | Reference Text:  <S sid = 12 ssid = >Part-of-speech information facilitates higher-level analysis, such as recognizing noun phrases and other patterns in text.</S><S sid = 73 ssid = >Part-of-speech information facilitates higher-level analysis, such as recognizing noun phrases and other patterns in text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  A92-1018.txt | Citing Article:  W04-1211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The prime public domain examples of such implementations include the Trigrams? n? Tags tagger (Brandts 2000), Xerox tagger (Cutting et al 1992) and LT POS tagger (Mikheev 1997).</S> | Reference Offset:  ['0','259'] | Reference Text:  <S sid = 0 ssid = >A Practical Part-Of-Speech Tagger</S><S sid = 259 ssid = >We have used the tagger in a number of applications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  A92-1018.txt | Citing Article:  N06-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is also possible to train statistical models using unlabeled data with the expectation maximization algorithm (Cutting et al, 1992).</S> | Reference Offset:  ['3','87'] | Reference Text:  <S sid = 3 ssid = >Only a lexicon and some unlabeled training text are required.</S><S sid = 87 ssid = >Statistical methods have also been used (e.g., [DeRose, 1988], [Garside et al., 1987]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  A92-1018.txt | Citing Article:  E95-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['286','287'] | Reference Text:  <S sid = 286 ssid = >The algorithm has an accuracy of approximately 80% in assigning grammatical functions.</S><S sid = 287 ssid = >We would like to thank Marti Hearst for her contributions to this paper, Lauri Karttunen and Annie Zaenen for their work on lexicons, and Kris Halvorsen for supporting this project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  A92-1018.txt | Citing Article:  W04-2602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It has been known for some years that good performance can be realized with partial tagging and a hidden Markov model (Cutting et al, 1992).</S> | Reference Offset:  ['1','99'] | Reference Text:  <S sid = 1 ssid = >We present an implementation of a part-of-speech tagger based on a hidden Markov model.</S><S sid = 99 ssid = >Under this regime the model is called a hidden Markov model (HMM), as state transitions (i.e., part-of-speech categories) are assumed to be unobservable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  A92-1018.txt | Citing Article:  A97-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['286','287'] | Reference Text:  <S sid = 286 ssid = >The algorithm has an accuracy of approximately 80% in assigning grammatical functions.</S><S sid = 287 ssid = >We would like to thank Marti Hearst for her contributions to this paper, Lauri Karttunen and Annie Zaenen for their work on lexicons, and Kris Halvorsen for supporting this project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  A92-1018.txt | Citing Article:  N01-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Cutting et al, 1992) reported very high results (96% on the Brown corpus) for unsupervised POS tagging using Hidden Markov Models (HMMs) by exploiting hand-built tag dictionaries and equivalence classes.</S> | Reference Offset:  ['205','248'] | Reference Text:  <S sid = 205 ssid = >Training is typically performed on a sample of the corpus at hand, with the trained HMM being saved for subsequent use on the corpus at large.</S><S sid = 248 ssid = >When using a lexicon and tagset built from the tagged text of the Brown corpus [Francis and KuEera, 1982], training on one half of the corpus (about 500,000 words) and tagging the other, 96% of word instances were assigned the correct tag.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  A92-1018.txt | Citing Article:  E06-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the tagging literature (e.g., Cutting et al (1992)) an ambiguity class is often composed of the set of every possible tag for a word.</S> | Reference Offset:  ['62','200'] | Reference Text:  <S sid = 62 ssid = >The ambiguity class of eac word is the set of its permitted parts of speech, only or of which is correct in context.</S><S sid = 200 ssid = >The set of tags identifies an ambiguity class.</S> | Discourse Facet:  NA | Annotator: Automatic


