Citance Number: 1 | Reference Article:  N09-1037.txt | Citing Article:  P10-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Compared with the disappointing results of joint learning on syntactic and semantic parsing, Miller et al (2000) and Finkel and Manning (2009) showed the effectiveness of joint learning on syntactic parsing and some simple NLP tasks, such as information extraction and name entity recognition.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Parsing and Named Entity Recognition</S><S sid = NA ssid = NA>Most work on joint parsing and semantic role labeling (SRL) has been disappointing, despite obvious connections between the two tasks.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  N09-1037.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used OntoNotes 3.0 (Hovy et al, 2006), and made the same data modifications as (Finkel and Manning, 2009b) to ensure consistency between the parsing and named entity annotations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For our experiments we used the LDC2008T04 OntoNotes Release 2.0 corpus (Hovy et al., 2006).</S><S sid = NA ssid = NA>Previous work on linguistic annotation pipelines (Finkel et al., 2006; Hollingshead and Roark, 2007) has enforced consistency from one stage to the next.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N09-1037.txt | Citing Article:  P11-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These approaches have been shown to be successful for tasks such as parsing and named entity recognition in newswire data (Finkel and Manning, 2009) or semantic role labeling in the Penn Treebank and Brown corpus (Toutanova et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2008 shared task (Surdeanu et al., 2008) was intended to be about joint dependency parsing and semantic role labeling, but the top performing systems decoupled the tasks and outperformed the systems which attempted to learn them jointly.</S><S sid = NA ssid = NA>Most work on joint parsing and semantic role labeling (SRL) has been disappointing, despite obvious connections between the two tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N09-1037.txt | Citing Article:  C10-2160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finkel and Manning (2009) proposed a discriminative feature based constituency parser for joint named entity recognition and parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We begin to address this problem with a joint model of parsing and named entity recognition, based on a discriminative feature-based constituency parser.</S><S sid = NA ssid = NA>Joint Parsing and Named Entity Recognition</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N09-1037.txt | Citing Article:  C10-2160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, most of the mentioned approaches are task-specific (e.g., (Toutanova et al, 2008) for semantic role labeling, and (Finkel and Manning, 2009) for parsing and NER), and they can hardly be applicable to other NLP tasks.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2008 shared task (Surdeanu et al., 2008) was intended to be about joint dependency parsing and semantic role labeling, but the top performing systems decoupled the tasks and outperformed the systems which attempted to learn them jointly.</S><S sid = NA ssid = NA>Most work on joint parsing and semantic role labeling (SRL) has been disappointing, despite obvious connections between the two tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N09-1037.txt | Citing Article:  C10-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It has been used in some natural language processing tasks, such as joint parsing and named entity recognition (Finkel and Manning, 2009), and word sense disambiguation (Zhong et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Parsing and Named Entity Recognition</S><S sid = NA ssid = NA>The CoNLL 2008 shared task (Surdeanu et al., 2008) was joint dependency parsing and SRL, but the top performing systems decoupled the tasks, rather than building joint models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N09-1037.txt | Citing Article:  W11-0804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Alternative approaches are that of Finkel and Manning (2009) on joint parsing and named entity recognition and the work of (Wehrli et al, 2010) which uses collocation information to rank competing hypotheses in a symbolic parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Parsing and Named Entity Recognition</S><S sid = NA ssid = NA>While other work has utilized the OntoNotes corpus (Pradhan et al., 2007; Yu et al., 2008), this is the first work to our knowledge to simultaneously model the multiple levels of annotation available.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N09-1037.txt | Citing Article:  P10-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, constraining a parser to respect the boundaries of known entities is standard practice not only in joint modeling of (constituent) parsing and NER (Finkel and Manning, 2009), but also in higher-level NLP tasks, such as relation extraction (Mintz et al, 2009), that couple chunking with (dependency) parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The CoNLL 2008 shared task (Surdeanu et al., 2008) was joint dependency parsing and SRL, but the top performing systems decoupled the tasks, rather than building joint models.</S><S sid = NA ssid = NA>For named entities, the joint model should help with boundaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N09-1037.txt | Citing Article:  D11-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finkel and Manning (2009) built a joint, discriminative model for parsing and named entity recognition (NER), addressing the problem of inconsistent annotations across the two tasks, and demonstrating that NER benefited considerably from the interaction with parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Parsing and Named Entity Recognition</S><S sid = NA ssid = NA>We begin to address this problem with a joint model of parsing and named entity recognition, based on a discriminative feature-based constituency parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N09-1037.txt | Citing Article:  P11-1163.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the same spirit, Finkel and Manning (2009) merged the syntactic annotations and the named entity annotations of the OntoNotes corpus (Hovy et al, 2006) and trained a discriminative parsing model for the joint problem of syntactic parsing and named entity recognition.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Parsing and Named Entity Recognition</S><S sid = NA ssid = NA>For our experiments we used the LDC2008T04 OntoNotes Release 2.0 corpus (Hovy et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N09-1037.txt | Citing Article:  P11-1163.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finkel and Manning (2009b) also proposed a parsing model for the extraction of nested named entity mentions, which, like this work, parses just the corresponding semantic annotations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Parsing and Named Entity Recognition</S><S sid = NA ssid = NA>In the future, we would like to add other levels of annotation available in the OntoNotes corpus to our model, including word sense disambiguation and semantic role labeling.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N09-1037.txt | Citing Article:  D12-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, performing named entity recognition (NER) jointly with constituent parsing has been shown to improve performance on both tasks, but the only aspect of the syntax which is leveraged by the NER component is the location of noun phrases (Finkel and Manning, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An example from the data where the joint model helped improve both parse structure and named entity recognition is shown in Figure 4.</S><S sid = NA ssid = NA>Joint Parsing and Named Entity Recognition</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N09-1037.txt | Citing Article:  D11-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finkel and Manning (2009) modeled the task of named entity recognition together with parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Parsing and Named Entity Recognition</S><S sid = NA ssid = NA>We presented a discriminatively trained joint model of parsing and named entity recognition, which improved performance on both tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N09-1037.txt | Citing Article:  D11-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To avoid overfitting, we employed an implementation from previous literature (Finkel and Manning,2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For parse features, we used the exact same features as described in (Finkel and Manning, 2008).</S><S sid = NA ssid = NA>Previous work on linguistic annotation pipelines (Finkel et al., 2006; Hollingshead and Roark, 2007) has enforced consistency from one stage to the next.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N09-1037.txt | Citing Article:  D10-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The spirit of this work more closely resembles that of Finkel and Manning (2009), which improves both parsing and named entity recognition by combining the two tasks.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Parsing and Named Entity Recognition</S><S sid = NA ssid = NA>Despite these earlier results, we found that combining parsing and named entity recognition modestly improved performance on both tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N09-1037.txt | Citing Article:  D11-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The idea of jointly training parsers to optimize multiple objectives is related to joint learning and inference for tasks like information extraction (Finkeland Manning, 2009) and machine translation (Burkett et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>While other work has utilized the OntoNotes corpus (Pradhan et al., 2007; Yu et al., 2008), this is the first work to our knowledge to simultaneously model the multiple levels of annotation available.</S><S sid = NA ssid = NA>The CoNLL 2008 shared task (Surdeanu et al., 2008) was intended to be about joint dependency parsing and semantic role labeling, but the top performing systems decoupled the tasks and outperformed the systems which attempted to learn them jointly.</S> | Discourse Facet:  NA | Annotator: Automatic


