Citance Number: 1 | Reference Article:  N06-2013.txt | Citing Article:  P06-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly to Habash and Sadat (2006), the set of schemes we explore are all word-level.</S> | Reference Offset:  ['1','8'] | Reference Text:  <S sid = 1 ssid = >In this paper, we study the effect of different word-level preprocessing decisions for Arabic on SMT quality.</S><S sid = 8 ssid = >Since we wish to study the effect of word-level preprocessing, we do not utilize any syntactic information.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N06-2013.txt | Citing Article:  P10-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Furthermore, it is not necessarily optimal in that (i) manually engineered segmentation schemes can outperform a straightforward linguistic morphological segmentation, e.g., (Habash and Sadat, 2006), and (ii) it may result in even worse performance than a word-based system, e.g., (Durgar El-Kahlout and Oflazer, 2006).</S> | Reference Offset:  ['78','85'] | Reference Text:  <S sid = 78 ssid = >We use the phrase-based SMT system, Portage (Sadat et al., 2005).</S><S sid = 85 ssid = >All of the training data we use is available from the Linguistic Data Consortium (LDC).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N06-2013.txt | Citing Article:  P10-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['39','108'] | Reference Text:  <S sid = 39 ssid = >+hm their/them).</S><S sid = 108 ssid = >In particular, we plan to include more syntactic knowledge and investigate combination techniques at the sentence and subsentence levels.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N06-2013.txt | Citing Article:  N09-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Habash and Sadat (2006) perform morphological decomposition of Arabic words, such as splitting of prefixes and suffixes.</S> | Reference Offset:  ['67','87'] | Reference Text:  <S sid = 67 ssid = >It is limited to splitting off punctuations and numbers from words and removing any diacritics that appear in the input.</S><S sid = 87 ssid = >English preprocessing comprised down-casing, separating punctuation from words and splitting off “’s”.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N06-2013.txt | Citing Article:  N09-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The MADA toolkit (Habash and Sadat, 2006) was used to perform Arabic morphological word decomposition and part-of-speech tagging.</S> | Reference Offset:  ['58','61'] | Reference Text:  <S sid = 58 ssid = >BAMA, Buckwalter Arabic Morphological Analyzer (Buckwalter, 2002), is used to obtain possible word analyses.</S><S sid = 61 ssid = >MADA, The Morphological Analysis and Disambiguation for Arabic tool, is an off-the-shelf resource for Arabic disambiguation (Habash and Rambow, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N06-2013.txt | Citing Article:  N09-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use tokenisation scheme, which splits certain prefixes and has been reported to improve machine translation performance (Habash and Sadat, 2006).</S> | Reference Offset:  ['0','102'] | Reference Text:  <S sid = 0 ssid = >Arabic Preprocessing Schemes For Statistical Machine Translation</S><S sid = 102 ssid = >We performed similar experiments as reported above on this subset of MT04.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N06-2013.txt | Citing Article:  P08-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More aggressive segmentation results in fewer OOV tokens, but automatic evaluation metrics indicate lower translation quality, presumably because the smaller units are being translated less idiomatically (Habash and Sadat, 2006).</S> | Reference Offset:  ['21','26'] | Reference Text:  <S sid = 21 ssid = >The anecdotal intuition in the field is that reduction of word sparsity often improves translation quality.</S><S sid = 26 ssid = >Her results show that morphological preprocessing helps, but only for the smaller corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N06-2013.txt | Citing Article:  C10-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other orthographic normalization schemes have been suggested for Arabic (Habash and Sadat, 2006), but we observe negligible parsing performance differences between these and the simple scheme used in this evaluation.</S> | Reference Offset:  ['66','76'] | Reference Text:  <S sid = 66 ssid = >ST: Simple Tokenization is the baseline preprocessing scheme.</S><S sid = 76 ssid = >This scheme is intended to minimize differences between Arabic and English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N06-2013.txt | Citing Article:  P08-2039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Habash and Sadat (2006) use the Arabic morphological analyzer MADA (Habash and Rambow, 2005) to segment the Arabic source; they propose various segmentation schemes.</S> | Reference Offset:  ['53','61'] | Reference Text:  <S sid = 53 ssid = >The second is more expensive, requiring the use of a morphological analyzer.</S><S sid = 61 ssid = >MADA, The Morphological Analysis and Disambiguation for Arabic tool, is an off-the-shelf resource for Arabic disambiguation (Habash and Rambow, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N06-2013.txt | Citing Article:  N09-2019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['39','108'] | Reference Text:  <S sid = 39 ssid = >+hm their/them).</S><S sid = 108 ssid = >In particular, we plan to include more syntactic knowledge and investigate combination techniques at the sentence and subsentence levels.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N06-2013.txt | Citing Article:  E09-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For preprocessing, a similar approach to that shown in Habash and Sadat (2006) was employed, and the MADA+TOKAN system for disambiguation and tokenization was used.</S> | Reference Offset:  ['61','66'] | Reference Text:  <S sid = 61 ssid = >MADA, The Morphological Analysis and Disambiguation for Arabic tool, is an off-the-shelf resource for Arabic disambiguation (Habash and Rambow, 2005).</S><S sid = 66 ssid = >ST: Simple Tokenization is the baseline preprocessing scheme.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N06-2013.txt | Citing Article:  P08-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent research on handling rich morphology has largely focused on translating from rich morphology languages, such as Arabic, into English (Habash and Sadat, 2006).</S> | Reference Offset:  ['5','23'] | Reference Text:  <S sid = 5 ssid = >Approaches to statistical machine translation (SMT) are robust when it comes to the choice of their input representation: the only requirement is consistency between training and evaluation.1 This leaves a wide range of possible preprocessing choices, even more so for morphologically rich languages such as Arabic.</S><S sid = 23 ssid = >Recent publications on the effect of morphology on SMT quality focused on morphologically rich languages such as German (Nießen and Ney, 2004); Spanish, Catalan, and Serbian (Popovi´c and Ney, 2004); and Czech (Goldwater and McClosky, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N06-2013.txt | Citing Article:  W11-1207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A morphological analysis of the Arabic text is then done using the Arabic morphological analyzer and disambiguation tool MADA (Nizar Habash and Roth, 2009), with the MADA-D2 since it seems to be the most efficient scheme for large data (Habash and Sadat, 2006).</S> | Reference Offset:  ['3','61'] | Reference Text:  <S sid = 3 ssid = >However, for small amounts of training data, it is best to apply English-like tokenization using part-of-speech tags, and sophisticated morphological analysis and disambiguation.</S><S sid = 61 ssid = >MADA, The Morphological Analysis and Disambiguation for Arabic tool, is an off-the-shelf resource for Arabic disambiguation (Habash and Rambow, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N06-2013.txt | Citing Article:  W08-0336.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On different language pairs, (Koehn and Knight, 2003) and (Habash and Sadat, 2006) showed that data-driven methods for splitting and preprocessing can improve Arabic-English and German-English MT.</S> | Reference Offset:  ['86','87'] | Reference Text:  <S sid = 86 ssid = >We use an Arabic-English parallel corpus of about 5 million words for translation model training data.4 We created the English language model from the English side of the parallel corpus together with 116 million words from the English Gigaword Corpus (LDC2005T12) and 128 million words from the English side of the UN Parallel corpus (LDC2004E13).</S><S sid = 87 ssid = >English preprocessing comprised down-casing, separating punctuation from words and splitting off “’s”.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N06-2013.txt | Citing Article:  N10-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Only for the Machine Translation task, (Habash and Sadat, 2006) report several results using different Arabic segmentation schemes.</S> | Reference Offset:  ['0','88'] | Reference Text:  <S sid = 0 ssid = >Arabic Preprocessing Schemes For Statistical Machine Translation</S><S sid = 88 ssid = >Arabic preprocessing was varied using the proposed schemes and techniques.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N06-2013.txt | Citing Article:  P09-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Arabic text was preprocessed according to the D2 scheme of Habash and Sadat (2006), which was identified as optimal for corpora this size.</S> | Reference Offset:  ['26','49'] | Reference Text:  <S sid = 26 ssid = >Her results show that morphological preprocessing helps, but only for the smaller corpora.</S><S sid = 49 ssid = >A scheme is a specification of the form of preprocessed output; whereas a technique is the method used to create such output.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N06-2013.txt | Citing Article:  N12-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The BLEU score improves uniformly, although the improvements are most dramatic for smaller datasets, which is consistent with previous work (Habash and Sadat, 2006).</S> | Reference Offset:  ['28','106'] | Reference Text:  <S sid = 28 ssid = >Our results are comparable to hers in terms of BLEU score and consistent in terms of conclusions.</S><S sid = 106 ssid = >For example, a 19% improvement in BLEU score (for MT04 under MADA with 100% training) (from 37.1 in D2 to 44.3) was found from an oracle combination created by selecting for each input sentence the output with the highest sentence-level BLEU score.</S> | Discourse Facet:  NA | Annotator: Automatic


