Citance Number: 1 | Reference Article:  W00-1401.txt | Citing Article:  P01-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Su et al (1992), Alshawi et al (1998) and Bangalore et al (2000) employ string edit distance between reference and output sentences to gauge output quality for MT and generation.</S> | Reference Offset:  ['51','52'] | Reference Text:  <S sid = 51 ssid = >This metric has also been used to measure accuracy of MT systems (Alshawi et al., 1998).</S><S sid = 52 ssid = >It is based on string edit distance between the output of the generation system and the reference corpus string.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W00-1401.txt | Citing Article:  W03-2801.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, quantitative metrics for automatic evaluation of surface realisers have been developed (Bangalore et al, 2000) and they have been shown to correlate well with human judgement for quality and understandability.</S> | Reference Offset:  ['6','94'] | Reference Text:  <S sid = 6 ssid = >The experiment confirms that intrinsic metrics cannot replace human evaluation, but some correlate significantly with human judgments of quality and understandability and can be used for evaluation during development.</S><S sid = 94 ssid = >In order to determine whether the metrics correlate with independent notions understandability or quality, we have performed evaluation experiments with human subjects.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W00-1401.txt | Citing Article:  P06-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Simple String Accuracy (SSA, Bangalore et al 2000) has been proposed as a baseline evaluation metric for natural language generation.</S> | Reference Offset:  ['0','88'] | Reference Text:  <S sid = 0 ssid = >Evaluation Metrics For Generation</S><S sid = 88 ssid = >The simple accuracy, generation accuracy, simple tree accuracy and generation tree accuracy for the two experiments are tabulated in Table 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W00-1401.txt | Citing Article:  N07-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kay (1996) identified parsing charts as such an architecture, which led to the development of various chart generation algorithms: Carroll et al (1999) for HPSG, Bangalore et al (2000) for LTAG, Moore (2002) for unification grammars, White and Baldridge (2003) for CCG.</S> | Reference Offset:  ['21','51'] | Reference Text:  <S sid = 21 ssid = >In Section 2. we briefly describe the architecture of FERGUS, and some of the modules.</S><S sid = 51 ssid = >This metric has also been used to measure accuracy of MT systems (Alshawi et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W00-1401.txt | Citing Article:  E09-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly, the metrics proposed for text generation by (Bangalore et al, 2000) (simple accuracy, generation accuracy) are based on string-edit distance from an ideal output.</S> | Reference Offset:  ['52','88'] | Reference Text:  <S sid = 52 ssid = >It is based on string edit distance between the output of the generation system and the reference corpus string.</S><S sid = 88 ssid = >The simple accuracy, generation accuracy, simple tree accuracy and generation tree accuracy for the two experiments are tabulated in Table 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W00-1401.txt | Citing Article:  P08-2050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','147'] | Reference Text:  <S sid = 54 ssid = >An alignment algorithm using substitution, insertion and deletion of tokens as operations attempts to match the generated string with the reference string.</S><S sid = 147 ssid = >This is indeed the case: the -results are summarized in Table 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W00-1401.txt | Citing Article:  W08-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also used the version of string-edit distance described by Bangalore et al (2000) which normalises for length.</S> | Reference Offset:  ['50','52'] | Reference Text:  <S sid = 50 ssid = >The first metric, simple accuracy, is the same string distance metric used for measuring speech recognition accuracy.</S><S sid = 52 ssid = >It is based on string edit distance between the output of the generation system and the reference corpus string.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W00-1401.txt | Citing Article:  C02-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','147'] | Reference Text:  <S sid = 54 ssid = >An alignment algorithm using substitution, insertion and deletion of tokens as operations attempts to match the generated string with the reference string.</S><S sid = 147 ssid = >This is indeed the case: the -results are summarized in Table 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W00-1401.txt | Citing Article:  C02-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Bangalore et al, 2000) finds this metric to correlate well with human judgments of understandability and quality.</S> | Reference Offset:  ['6','94'] | Reference Text:  <S sid = 6 ssid = >The experiment confirms that intrinsic metrics cannot replace human evaluation, but some correlate significantly with human judgments of quality and understandability and can be used for evaluation during development.</S><S sid = 94 ssid = >In order to determine whether the metrics correlate with independent notions understandability or quality, we have performed evaluation experiments with human subjects.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W00-1401.txt | Citing Article:  W05-1601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is not appropriate to reward the mere presence (regardless of place in the string) of, say, by midnight (which is what some evaluation metrics are specifically designed to do, e.g. [Bangalore et al, 2000]).</S> | Reference Offset:  ['0','128'] | Reference Text:  <S sid = 0 ssid = >Evaluation Metrics For Generation</S><S sid = 128 ssid = >A substitution represents a case in the string metrics in which not only a word is in the wrong place, but the word that should have been in that place is somewhere else.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W00-1401.txt | Citing Article:  W11-1611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This metric correlates significantly with human judgments and is better than Simple String Accuracy (Bangalore et al, 2000) for judging compression quality (Clarke and Lapata, 2006).</S> | Reference Offset:  ['6','50'] | Reference Text:  <S sid = 6 ssid = >The experiment confirms that intrinsic metrics cannot replace human evaluation, but some correlate significantly with human judgments of quality and understandability and can be used for evaluation during development.</S><S sid = 50 ssid = >The first metric, simple accuracy, is the same string distance metric used for measuring speech recognition accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


